ChannelName,Title,Video ID,Published At
The Comments Section with Bret Cooper_videos,A bear or a human?,3HteE7nL9YY,2023-08-10T00:45:00Z
The Comments Section with Bret Cooper_videos,YouTubers Troll Infamous Just Stop Oil Protesters,ki_EnmA7kNY,2023-08-09T23:56:48Z
The Comments Section with Bret Cooper_videos,Girls versus guys at the gym,sG-gxH74gL8,2023-08-09T20:47:32Z
The Comments Section with Bret Cooper_videos,Fashion Shows Represent The Devolution of Beauty,L81ZQmV169Q,2023-08-09T18:06:14Z
The Comments Section with Bret Cooper_videos,Humans Are Becoming Less Attractive?,Oe6KXRNmfRs,2023-08-08T23:09:14Z
The Comments Section with Bret Cooper_videos,"Sorry, Nascar Is Cucked",cLYz0Q7sYWg,2023-08-08T17:00:21Z
The Comments Section with Bret Cooper_videos,Who Gave Snow White This Attitude?,w8aB6MraJ7g,2023-08-07T23:00:24Z
The Comments Section with Bret Cooper_videos,This is lake Ken!,bcZPYYA3hUw,2023-08-07T01:45:02Z
The Comments Section with Bret Cooper_videos,I don't care if you're vegan!,4k5TBYoLRFk,2023-08-07T00:30:01Z
The Comments Section with Bret Cooper_videos,They are KENough.,VeXWpnl-neM,2023-08-06T23:30:08Z
The Comments Section with Bret Cooper_videos,Brett Attempts To Play RETRO Video Games,jRcs1asNkZA,2023-08-06T17:30:05Z
The Comments Section with Bret Cooper_videos,The cops did not expect this reaction!,EKTVKlm17nA,2023-08-05T23:44:03Z
The Comments Section with Bret Cooper_videos,The Destructive Dating History of Ariana Grande,8CnRVWYergw,2023-08-05T17:14:33Z
The Comments Section with Bret Cooper_videos,Short Kings Deserve A Shot,y5yixtvR8yA,2023-08-05T01:35:04Z
The Comments Section with Bret Cooper_videos,The younger generation will regret this,zdTB9H0y98c,2023-08-05T00:30:33Z
The Comments Section with Bret Cooper_videos,Imagine this song being released in 2023!,__0C2CV7D4E,2023-08-04T19:45:01Z
The Comments Section with Bret Cooper_videos,Don't Take This Marriage Advice...,yhkUguEKGoo,2023-08-04T17:00:41Z
The Comments Section with Bret Cooper_videos,Do women rate men like this?,Ylcm1aKQuAE,2023-08-04T00:00:14Z
The Comments Section with Bret Cooper_videos,Air Travel Is A Nightmare.,RigPnrtBLWA,2023-08-03T23:00:11Z
The Comments Section with Bret Cooper_videos,Got to keep work fun!,SHjcwfKp7-0,2023-08-03T19:00:13Z
The Comments Section with Bret Cooper_videos,Make Dads Smart Again!,Of3EX6TXCLY,2023-08-03T17:00:14Z
The Comments Section with Bret Cooper_videos,Why is pickle-ball taking over?!,Of9VyeWxNp0,2023-08-03T02:00:19Z
The Comments Section with Bret Cooper_videos,Chronically online but self-aware!,bHuA1yxzDFY,2023-08-03T00:00:26Z
The Comments Section with Bret Cooper_videos,Lizzo Sued For Bullying,djFZDvoZQNc,2023-08-02T23:00:18Z
The Comments Section with Bret Cooper_videos,The Next Identity Crisis,kdOsGC6Tpoo,2023-08-02T17:00:25Z
The Comments Section with Bret Cooper_videos,Kylie Finally Confesses,LuHs3n6jQKI,2023-08-01T23:00:17Z
The Comments Section with Bret Cooper_videos,People are getting too soft,YtXslrQQo9A,2023-08-01T20:45:00Z
The Comments Section with Bret Cooper_videos,The Media Causing Racial Hate,kfN9IGEXaLA,2023-08-01T17:19:36Z
The Comments Section with Bret Cooper_videos,"Men, this is a RED flag.",wBC51E4uzUg,2023-08-01T00:00:31Z
The Comments Section with Bret Cooper_videos,Swift Saves America,IclYO7I8TGs,2023-07-31T23:09:09Z
The Comments Section with Bret Cooper_videos,We all knew this was coming...,_54dRLVNE8k,2023-07-31T21:00:13Z
The Comments Section with Bret Cooper_videos,Khalid and DJ Khaled are not the same person,iBcaNjIC8bw,2023-07-31T19:30:06Z
The Comments Section with Bret Cooper_videos,The hard truth about dating,FEdkweXIsjs,2023-07-31T02:45:00Z
The Comments Section with Bret Cooper_videos,Am I that friend?,SefoOlHQNWY,2023-07-31T02:17:19Z
The Comments Section with Bret Cooper_videos,Can Brett Guess These VIRAL Sounds?,69RsxXDv--M,2023-07-30T17:00:07Z
The Comments Section with Bret Cooper_videos,Alpha female cringe?,gvj6KLBmOYc,2023-07-30T01:45:02Z
The Comments Section with Bret Cooper_videos,This is criminally embarrassing.,hD64_vK53mg,2023-07-30T00:00:14Z
The Comments Section with Bret Cooper_videos,Watch These Women Try To Pick Up Men,bztu1hZ4iSs,2023-07-29T17:00:32Z
The Comments Section with Bret Cooper_videos,This guy looks trustworthy,Du6Y6bWJKWQ,2023-07-29T00:45:00Z
The Comments Section with Bret Cooper_videos,The Dark Reality Of This New Tech,XZlu78xsbY8,2023-07-28T23:00:12Z
The Comments Section with Bret Cooper_videos,How to fire a Gen Z employee,2QQ_lf5uBQs,2023-07-28T19:30:00Z
The Comments Section with Bret Cooper_videos,The Next Barbie,T4rA98gRQKc,2023-07-28T17:00:18Z
The Comments Section with Bret Cooper_videos,She’s Even More Fake Than The Rest,2p6L1j0mz5M,2023-07-27T22:05:37Z
The Comments Section with Bret Cooper_videos,AI already thinks it's better than humans,CeLTG-5LPbo,2023-07-27T20:00:08Z
The Comments Section with Bret Cooper_videos,She Asked For Friends…,-oFBLB4hmJQ,2023-07-27T17:00:00Z
The Comments Section with Bret Cooper_videos,This is so wholesome,eS5Wyl_Kk_I,2023-07-27T01:00:30Z
The Comments Section with Bret Cooper_videos,Her 36G Bra Made Her Famous,bzmSjjnAReU,2023-07-26T23:00:30Z
The Comments Section with Bret Cooper_videos,This is NOT a parody.,Ek_ZtprG_lg,2023-07-26T20:00:04Z
The Comments Section with Bret Cooper_videos,Stop Posting Your Kids Online,WniPsvthqss,2023-07-26T16:30:17Z
The Comments Section with Bret Cooper_videos,They loved Trump not too long ago...,h3NLho80bH8,2023-07-26T03:24:12Z
The Comments Section with Bret Cooper_videos,Go Ask A Girl Out!,RyN2HrEDLJc,2023-07-25T22:15:01Z
The Comments Section with Bret Cooper_videos,This Needs To Be Discussed BEFORE Marriage,mzfevn1uS5o,2023-07-25T16:29:09Z
The Comments Section with Bret Cooper_videos,Biden supporters in a nutshell.,gCippmrdULg,2023-07-25T01:00:26Z
The Comments Section with Bret Cooper_videos,Am I A Barbie Fan?,eWuPRfBYhFE,2023-07-24T23:18:07Z
The Comments Section with Bret Cooper_videos,The infamous iPad tip,5r6Ay5eTgXM,2023-07-24T01:00:01Z
The Comments Section with Bret Cooper_videos,Air travel is miserable.,3fAWnjyjvE0,2023-07-24T00:00:01Z
The Comments Section with Bret Cooper_videos,Real life superhero tbh,LaLyN0VNAio,2023-07-23T21:00:08Z
The Comments Section with Bret Cooper_videos,This Barbie premiere is chaotic.,7P74gw-hTSA,2023-07-23T18:45:00Z
The Comments Section with Bret Cooper_videos,This trend needs to end.,Qb-llKXBDD0,2023-07-23T01:45:00Z
The Comments Section with Bret Cooper_videos,Leftists Eat Their Own.,m6pHSlnwLWA,2023-07-22T17:00:22Z
The Comments Section with Bret Cooper_videos,Men need to do more of this.,SA9cEn5zkZs,2023-07-22T00:45:01Z
The Comments Section with Bret Cooper_videos,Ariana Grande Caught Cheating With SpongeBob?!,SO5xepRZx34,2023-07-21T23:00:14Z
The Comments Section with Bret Cooper_videos,Why Are Women Like This?,YH4vPgto11o,2023-07-21T16:30:09Z
The Comments Section with Bret Cooper_videos,LOL what is going on here?!,yiMPp8ocpnE,2023-07-21T00:45:02Z
The Comments Section with Bret Cooper_videos,She Makes $7K A Day Doing THIS?,Qyp2ZK61Gi4,2023-07-20T23:00:11Z
The Comments Section with Bret Cooper_videos,"What is ""time blindness""?",MhyUxrt5xL8,2023-07-20T19:40:25Z
The Comments Section with Bret Cooper_videos,Love Robots Are Here,k-8GQ-uYolo,2023-07-20T16:17:16Z
The Comments Section with Bret Cooper_videos,Facebook's next invention,dtvEfFqxvDw,2023-07-20T00:45:01Z
The Comments Section with Bret Cooper_videos,Selfie Meltdown Caught On Video,149XJvi_SMU,2023-07-19T23:00:00Z
The Comments Section with Bret Cooper_videos,The typical 2023 college liberal perspective,SKTo-D6w4K4,2023-07-19T19:00:24Z
The Comments Section with Bret Cooper_videos,These Texts Should Have Stayed Private.,3bP5rmRXcwU,2023-07-19T16:18:05Z
The Comments Section with Bret Cooper_videos,The Selfish Dwarf,hEU9AXFmV6Y,2023-07-18T22:45:01Z
The Comments Section with Bret Cooper_videos,Do women ever do this?,hGhAy3OjdeU,2023-07-18T19:00:15Z
The Comments Section with Bret Cooper_videos,James Charles Can't Hide From This...,myotjbBhuLY,2023-07-18T16:01:05Z
The Comments Section with Bret Cooper_videos,That feeling when you grow your own food,yMI1C3PVsvU,2023-07-18T01:00:31Z
The Comments Section with Bret Cooper_videos,This Song Is Not Racist!,w4NOSXtsshk,2023-07-17T23:41:51Z
The Comments Section with Bret Cooper_videos,Wholesome TikTok moment,StwTSAl--Eo,2023-07-17T18:46:25Z
The Comments Section with Bret Cooper_videos,These are REAL plus size stores in Asia!?,lZez8PIskg8,2023-07-16T23:45:01Z
The Comments Section with Bret Cooper_videos,The WNBA is boring,Yf1q-ZXBmtU,2023-07-16T21:15:57Z
The Comments Section with Bret Cooper_videos,Why have real muscles when you can wear fake ones!?,OCaPbEOOoA8,2023-07-16T20:30:03Z
The Comments Section with Bret Cooper_videos,Were The '90s More Fun?,362gfutOZB0,2023-07-16T17:00:02Z
The Comments Section with Bret Cooper_videos,Giga Chad of the kangaroo world,7A-xllvtE-8,2023-07-16T00:00:05Z
The Comments Section with Bret Cooper_videos,Biden continues to stumble on live television,KJyJTRKmTXc,2023-07-15T19:30:01Z
The Comments Section with Bret Cooper_videos,A Big Lie?,CSnRoaVMMEM,2023-07-15T17:05:26Z
The Comments Section with Bret Cooper_videos,The stupidest way to get clicks,00QbFWaDs9I,2023-07-15T01:00:00Z
The Comments Section with Bret Cooper_videos,Why I Stopped Drinking.,sordHUtK6dQ,2023-07-14T23:00:23Z
The Comments Section with Bret Cooper_videos,Is America Ready For This Debate?,ZXheCR7Dxlc,2023-07-14T17:09:39Z
The Comments Section with Bret Cooper_videos,Look a bunny actually hopping!,H1rTg1cqp4s,2023-07-14T01:00:04Z
The Comments Section with Bret Cooper_videos,Ivy League Vs Community College,tRJd7vjY5fM,2023-07-13T22:58:58Z
The Comments Section with Bret Cooper_videos,Libs going after each other!?,aj9CzTks8bM,2023-07-13T18:45:01Z
The Comments Section with Bret Cooper_videos,Grandparents racing is so wholesome,soRuC1PIoLI,2023-07-13T01:00:19Z
The Comments Section with Bret Cooper_videos,Tipping Is Out Of Control.,ahmYLq60doM,2023-07-12T22:45:01Z
The Comments Section with Bret Cooper_videos,New Summer Trend,z6DjjzUfkKo,2023-07-12T17:00:41Z
The Comments Section with Bret Cooper_videos,YouTuber apology videos are getting worse,ULVGTnWPY4c,2023-07-12T00:45:01Z
The Comments Section with Bret Cooper_videos,Are Conservative Women Hotter?,NIoGIPSHick,2023-07-11T22:44:24Z
The Comments Section with Bret Cooper_videos,Kids these days SMH,dYU2HsWzzsY,2023-07-11T20:51:19Z
The Comments Section with Bret Cooper_videos,Demi Lovato UNHINGED,wfqPF_oP4jU,2023-07-11T17:00:43Z
The Comments Section with Bret Cooper_videos,GENIUS dad hack!,LpByrkUJ9HM,2023-07-11T00:15:03Z
The Comments Section with Bret Cooper_videos,Monogamy Is Kinky Now?,V6q9ROQ_auk,2023-07-10T23:00:14Z
The Comments Section with Bret Cooper_videos,Everyone has that food that never gets eaten,QMcLSWsS3DY,2023-07-10T17:00:24Z
