Title,Video ID,Published At
Reakcja rosyjskiej propagandy na utratę Nowoczerkaska. Uznanie dla SZU i przekierowanie uwagi widzów,hvP-qqxU36s,2023-12-30T15:00:12Z
"Jenisejsk-15. Ściśle tajna stacja radiolokacyjna, którą głodni mieszkańcy rozkradli na złom",oNEbarMHYVw,2023-12-28T15:00:24Z
Przepis na pyszne ciasto od Andromedy na święta,OeDo8sD4qUQ,2023-12-26T11:00:33Z
Wszystkie wstawki z żartami jakie pojawiły się w czasie Q&A. Kompilacja na święta,c0495EkqpO4,2023-12-24T11:00:16Z
Rosyjska telewizja z zapałem opowiada o nadchodzących rosyjskich samolotach 6. generacji,auUgy66LIfE,2023-12-22T15:00:10Z
"Co jest ważniejsze dla zwycięstwa: zasoby, broń czy morale? Matematyczne modelowanie wojny [PODCAST]",2d7JKaqp0os,2023-12-20T15:00:09Z
Realia życia po rosyjskiej stronie Mierzei Wiślanej. Poniemieckie bunkry i destrukcyjna turystyka,aKmy2E_jhRo,2023-12-18T15:00:13Z
Krótkie Q&A z moimi odpowiedziami na kilka pytań 😏,mbYucE0RvVQ,2023-12-16T12:00:13Z
"Jak żyje pośród radioaktywnych wysypisk Krasnokamiensk, aktywnie walczący na specoperacji [PODCAST]",cwvReoKZTnE,2023-12-14T15:00:06Z
"Zmobilizowany poległ z rąk współtowarzyszy, a rodzinie odmawiają wypłaty odszkodowania [PODCAST]",Baknz63FKBc,2023-12-12T15:00:03Z
Dikson. Ciężkie życie w najbardziej wysuniętej na północ miejscowości w Rosji.,_3mwtcYoKdg,2023-12-10T14:00:34Z
"Dlaczego ludzie nadal chcą mieszkać w Jubilejnym, wyludniającej się wiosce górniczej bez perspektyw",s92ULRB7dgE,2023-12-08T15:00:21Z
"Jak żyje i walczy Niewielsk, sachalińskie miasteczko położone 7000km od linii frontu [PODCAST]",mz0jFm_Dx7Q,2023-12-06T15:00:01Z
Rosyjski ekspert ostro krytykuje Polskę za chęć kupna wycofywanego krążownika Ticonderoga [PODCAST],vXzfjsbtwLU,2023-12-04T15:01:07Z
