Title,Video ID,Published At
Lucruri CIUDATE in BAZARUL de la PERIFERIA Moscovei,nLKj1-8Km4M,2023-12-30T15:45:02Z
"Așa arată capitala Rusiei NOAPTEA! Zgârie nori, ROBOTI și multă zăpadă!",WyzdVWYMhr0,2023-12-28T17:46:29Z
"Cum TRĂIESC cu ADEVĂRAT ROMÂNII în MOSCOVA? - ""Suntem de 20 de ANI în RUSIA""",4oXV5lRyA_k,2023-12-26T15:45:00Z
PROTEST impotriva lui PUTIN la Targul de Craciun din MOSCOVA?,LbX1zwHcAyw,2023-12-23T18:42:17Z
Am ajuns la KREMLIN - Asa arata MOSCOVA astazi! ( prima impresie ),QipCdQkyD5U,2023-12-21T16:45:00Z
AM AJUNS in RUSIA - Sunt RESTRICTII cu ADEVARAT? Iata cat de GREU a fost..,rJlbPujQZ3Y,2023-12-19T16:45:02Z
De AICI își cumpără VEDETELE din ROMÂNIA hainele de FIRMĂ! Toți vorbesc românește aici..,8cu6dLXVh-Y,2023-12-16T16:45:00Z
Turcia: Prima impresie din orasul aflat pe doua continente!,eGfIfeb1hTE,2023-12-13T15:45:03Z
REALITATEA din TRANSNISTRIA - De ce URĂSC acești oameni ROMÂNIA!?,NLkzG-1hdPI,2023-12-02T16:45:01Z
Oamenii REFUZĂ să vorbească LIMBA ROMANA - Latura ASCUNSĂ din R.Moldova,RgkBkYKvpVY,2023-11-25T16:45:02Z
Vor MOLDOVENII sa se UNEASCA cu Romania? IATA ce spun OAMENII din Chisinau 😲,xfVfh5spcYM,2023-11-18T17:40:00Z
Loc UNIC pe PLANETA lângă granița ROMANIEI! Orașul SUBTERAN de care NIMENI nu vorbește!,hLTP-cgWjvI,2023-11-15T17:45:02Z
"Așa TRĂIESC cei mai BOGAȚI RROMI - PALATE, DINȚI DE AUR! Singur în cartierul lor",F6fu5kpSMwA,2023-11-11T18:13:19Z
HAINE aproape GRATIS in cea mai MARE PIATA din R.Moldova,dMxiVnVi4Qw,2023-11-08T16:40:00Z
PRETURILE din SUPERMARKET - Cat COSTA cu ADEVARAT sa TRAIESTI in Republica Moldova!?,aN8FSWoBLWk,2023-11-04T16:40:00Z
SOCAȚI in Republica MOLDOVA: nu ESTE cea mai SĂRACĂ ȚARĂ din Europa! - iată de ce!,1wpawc6oVyg,2023-10-28T17:16:43Z
Locurile SECRETE din MALTA in care TREBUIE sa ajungi!,Xd84AY4Vz0M,2023-10-26T15:40:00Z
Am primit o CASĂ de 500 000 EURO de la o ROMÂNCĂ in MALTA ( viata REALĂ pe insulă),CMVrUkf4kk0,2023-10-21T15:40:00Z
MALTA - Prima Impresie! O Insulă cu o ISTORIE de PESTE 7000 de ANI,Mmkjc55z6K4,2023-10-14T15:40:00Z
"Asa ARATA o PIATA de PESTE si FRUCTE DE MARE in Italia, SICILIA!",BxKsfnrHEfE,2023-10-11T15:40:00Z
