Title,Video ID,Published At
What the hell is going on with men?,000EIZ7k-qk,2023-11-27T12:00:00Z
Hollywood doesn't care about WOMEN,kq49SvoLoH8,2023-10-31T11:00:46Z
What does Jada Pinkett Smith want?,CdO5T3G2q2w,2023-10-23T11:00:15Z
Will J.K. Rowling BACK DOWN?,yDqej28Q6xc,2023-10-16T11:00:46Z
South Park DESTROYED Harry and Meghan with ONE WORD,amLcs3CvCrQ,2023-10-03T11:00:01Z
The problem with NON-BINARY,qzobjpM4Kd8,2023-09-25T11:00:45Z
Why was Lilly Singh cancelled?,ubaUv4L5ddI,2023-09-18T11:00:46Z
Why do Feminists hate LOVE?,48VylFudGiU,2023-09-12T11:00:05Z
Woke activists will never stop,h4w8h4G01Ao,2023-07-31T11:00:27Z
Why is Phoebe Waller-Bridge in EVERYTHING?,cOJTCiS2edI,2023-07-11T11:00:25Z
What the hell is going on?,UTg2fshvBQM,2023-06-13T11:00:31Z
"Brie Larson is back, and better than ever?",FXAMngEUshQ,2023-05-01T11:00:07Z
ENOUGH with the GIRL BOSSES!,FG6CES1KxLM,2023-04-17T11:00:18Z
Prince Harry's BETRAYAL in the name of HEALING,Ln8YCWSpONo,2023-04-03T11:00:20Z
Jennifer Lawrence is too much,-zulXZ_2mcg,2023-03-27T11:00:00Z
South Park DESTROYED Harry and Meghan with ONE WORD,eMvdXtZqU6E,2023-03-13T11:00:34Z
Disney HATES its Heroes,rNBTxB-mkes,2023-03-06T12:00:37Z
Prince Harry showed his TRUE COLORS in SPARE | Q & A Part 2,aVHNOBCsCDc,2023-02-27T19:36:35Z
MARVEL IDENTITY POLITICS #shorts,o86L6KHTPLw,2023-02-17T15:11:01Z
Prince Harry and Meghan Markle are trying to MANIPULATE us | Q & A Part 1,J59vslfT2F8,2023-02-15T12:00:20Z
WE NEED CRITICISM #shorts,-YcMqgL90aM,2023-02-13T14:20:45Z
MULAN VS MULAN #shorts,RRZvW3fGfsg,2023-02-07T19:13:15Z
THE GIRL WHO CRIED WOLF #shorts,6f81hffl6Yo,2023-02-06T13:00:06Z
EARNED HEROISM #shorts,jWVCkCCRQ9Q,2023-02-03T13:00:35Z
WOMEN CAN BE CRAZY #shorts,WRISduYPbQk,2023-02-01T12:00:23Z
THE MARVEL AGENDA #shorts,2xzysbsOIHo,2023-01-30T12:00:02Z
THE REAL STORY? #shorts,TDaSajTsXg4,2023-01-28T12:00:24Z
MARVEL'S BLACK & WHITE THINKING #shorts,pUosYxTujYM,2023-01-26T17:18:24Z
BAD-ASS WOMEN IN MOVIES #shorts,QNtmqPPssyo,2023-01-24T14:00:12Z
THE NARCISSISM OF HER-OES #shorts,fntPsrRUf3A,2023-01-21T16:24:31Z
RACISM TINTED GLASSES #shorts,t4d0oiqhuvA,2023-01-20T17:59:27Z
MARVEL'S SECRET FOR SUCCESS #shorts,aTk9d7AXfT4,2023-01-17T16:41:53Z
WHAT IS MEGHAN SELLING? #shorts,XLrifbbC8MA,2023-01-14T16:47:42Z
BAD-ASS FEMALE CHARACTERS #shorts,5o_jhUgf0WQ,2023-01-06T22:18:22Z
