Title,Video ID,Published At
Doctor Who - The Church on Ruby Road - Episode Review,cVQyCvYf46Y,2023-12-27T19:36:52Z
Now They’re Going to Destroy The X-Files (even further)!,nKRm5KYnr2Y,2023-12-21T16:32:48Z
Doctor Who - The Giggle - Episode Review,Ym7FwLY-2BQ,2023-12-13T17:21:52Z
Current Doctor Who is Stupid with Professor Dinkles!,8Mf-8IBU1XM,2023-12-08T20:49:34Z
The Current Year Reorientation of Doctor Who,YeOnU1cob3g,2023-12-07T20:14:54Z
Doctor Who - Wild Blue Yonder - Episode Review,r_pm8Q_fyKs,2023-12-03T19:32:53Z
"Doctor Who – ""It’s all the fault of the (former) fans!",Y33vo0c6_T4,2023-12-01T21:50:09Z
Doctor Who - The Star Beast - Episode Review,DNcflzPXnDo,2023-11-26T20:02:16Z
Doctor Who Current Years Davros for Reasons,6iTDpOa2CWQ,2023-11-21T19:05:10Z
Doctor Who Showrunner Goes After the Fans!,DPXkvqvCqF4,2023-11-18T18:12:58Z
The Marvels Flops!,Q-8H56OyZRs,2023-11-11T22:37:04Z
The Current Disastrous State of Doctor Who,6vhctZscED0,2023-04-08T20:29:20Z
