Title,Video ID,Published At
Doctor Who Christmas Special TANKS. Media Blames Fans (Again),USyX_cYoE_8,2023-12-29T16:30:05Z
Will Kathleen Kennedy Renew The Book of Boba Fett for a second season?,S3UfQYKFio4,2023-12-28T16:30:08Z
Doctor Who Christmas Special TV Ratings CRATER,nXonjBpqZds,2023-12-27T16:30:12Z
Doctor Who New Season is QUEER and CRINGE - Ncuti Gatwa is LAME,lgcPJ7flcEk,2023-12-20T16:30:08Z
How Much Money Disney Lost on the 2023 Box Office - A Definitive Analysis,4VgFwv82mgU,2023-12-19T16:30:01Z
Jason Momoa knows Aquaman 2 will BOMB at the Box Office,oXklFPNXztM,2023-12-18T20:58:49Z
The Media Turns on the 15th Doctor Who - Ncuti Gatwa,P_Dhuzt91zg,2023-12-15T22:34:23Z
The upcoming CRINGE Doctor Who: Ncuti Gatwa,WuxluGWkkVk,2023-12-14T16:30:05Z
Adam Driver admits Kathleen Kennedy had NO PLAN for Star Wars sequels,bMQ3Cz1Q0vs,2023-12-13T21:39:53Z
James Mangold Admits Indiana Jones 5 had Multiple Endings,nXBxLOB0hGo,2023-12-12T22:30:04Z
Doctor Who 60th Anniversary Toymaker episode was a CRINGE FEST,an3cuzSsoWI,2023-12-11T22:50:18Z
Is DESPERATE Disney Rebooting the MCU?,Ly_-esXMht0,2023-12-08T22:30:15Z
Kathleen Kennedy is DESPERATE for a win with RUSHED Star Wars Rey film,wO31wng3vSo,2023-12-07T22:30:09Z
Marvel and DC Comics are DYING while Manga is THRIVING; MCU & The Marvels symptom of bigger problem,cpuq7tHHuh4,2023-12-06T22:30:09Z
Disney Pulls the Plug on Brie Larson's The Marvels,ODawfeECodc,2023-12-05T22:30:05Z
Dr Who 60th Anniversary continues to be CRINGEY,xiGxmmvm0_U,2023-12-04T22:30:06Z
"Bob Iger ADMITS Disney hurt Star Wars, MCU, etc",EzbJ1dyLUC4,2023-12-01T22:00:05Z
How much $ has The M-She-U cost Disney after The Marvels BOMB?,J2sUKaE47-4,2023-11-30T16:30:02Z
Disney unable to make movies like The Marvels any longer??,KYi7-9Ez90w,2023-11-29T19:31:18Z
Dr Who 60th Anniversary is CRINGE,0MJnnB91pdw,2023-11-28T18:07:40Z
"Audiences have ABANDONED Disney as The Marvels, Wish FLOP",KkeoxBizt0Q,2023-11-27T22:30:04Z
Dave Filoni won't save Star Wars; he belongs to Kathleen Kennedy,3wOMB9MU0Gw,2023-11-22T16:00:32Z
Disney learned NOTHING from The Marvels FLOP / More gender swaps INCOMING,LJa4NSSySwk,2023-11-21T17:56:44Z
"The Marvels is a Box Office Calamity, Smashing MCU Records for Futility",kVGdNfAoG_E,2023-11-20T17:30:05Z
The Marvels Director Calls out Fans for Her FLOP,5mXpNFzZ4q4,2023-11-17T21:00:22Z
Disney is protecting The Marvels with censorship campaign,th8LHCN7BU8,2023-11-16T22:30:06Z
How much will The Marvels BOMB cost Disney at the Box Office?,bn5s0KDeFgQ,2023-11-15T22:30:03Z
The MCU is scrambling to repair itself after The Marvels BOMBS,vYEFXfn34Zw,2023-11-14T17:34:54Z
Brie Larson gives CRINGE interview; The Marvels promotion FAILS,J2Y9VsDzh78,2023-11-13T22:35:08Z
The Marvels early numbers are AWFUL,YM__FAd4Pzk,2023-11-10T22:30:04Z
"Seriously, The Marvels is going to BOMB big time",QlU-phnEIqM,2023-11-09T22:30:04Z
The Marvels is ROASTED by critics; it'll be a BOX OFFICE BOMB,-Z4kEdMck24,2023-11-08T22:30:00Z
Evidence that Kathleen Kennedy Star Wars is DYING,zs7mFpfTR8k,2023-11-07T23:30:19Z
