Title,Video ID,Published At
Pop Culture News Roundup & Other Garbage | Trash Talk #45,kQPXqrCSWis,2023-12-15T23:23:07Z
Dr. Who Retcons Davros... | Madame Web?... | Taika Waititi Star Wars News | Trash Talk #44,EVu_xLsAxMg,2023-11-25T23:07:07Z
The MARVELS & LOKI S2 Finale REVIEWS! | Trash Talk #43,dVI8J5uBx3A,2023-11-11T11:12:12Z
LOKI S2.E4 Review | South Park Slams Disney | New Snow White Pics & Other Garbage | Trash Talk #42,Dc3Fa7jutU0,2023-10-28T12:53:36Z
Loki S2.E3 Reaction | Snow White Wars?... | Godzilla Minus One Trailer  | Trash Talk #41,z5cOJZI1d8M,2023-10-21T00:34:04Z
The Marvels is Projected to be a Box Office DISASTER!...,wY11D163p6A,2023-10-18T13:40:47Z
This Continues to be A BIG PROBLEM for Disney Plus | #Loki #Season2,FLKQawuz1IM,2023-10-17T16:00:09Z
Why Loki Season 2 Is Struggling To Gain Interest | Link Talks S2.E2,5PmVqBQYajQ,2023-10-16T14:34:41Z
Our Final Thoughts on the Ahsoka Series [Disney Plus],2I5geQ1XUrc,2023-10-15T17:00:01Z
Pointless Cameos & Bad Character Development | #Ahsoka,nZd1dMP6rrI,2023-10-15T14:00:28Z
The Ahsoka Series Written for Toddlers | Ezra Remains Stupid,SXXDLwug-nU,2023-10-14T14:00:14Z
Loki S2.E2 Review | Ahsoka Ratings DISASTER | Daredevil Staff PURGED | Trash Talk #40,2Moaul1U4Ak,2023-10-13T23:19:32Z
Baylan's Mission Was A Big Fat Nothing-Burger Mystery Box | #Ahsoka,Fqx2xZTySKI,2023-10-13T19:06:47Z
The Ahsoka Series Is Filled w/ Writing BLUNDERS...,kLim6LhbFAM,2023-10-13T17:09:10Z
Disney Has Made Star Wars Completely Meaningless | #Ahsoka,G2wN_6mfYZU,2023-10-13T15:10:56Z
Filoni Completely Forgot Ezra's Force Powers in This Scene | #Ahsoka,vN0YH1bnR6c,2023-10-12T19:00:24Z
Disney Star Wars Has Gotten Incredibly Lazy | #Ahsoka Writing Fail,h9kdHjhXY3g,2023-10-12T16:30:17Z
The Stormtrooper Zombies in #Ahsoka Were Laughably Stupid,76DrcDJDK6E,2023-10-12T14:35:59Z
Brain-dead Writing & Choreography on Full Display in the #Ahsoka Finale,s2n2J8Tpk1M,2023-10-11T17:00:37Z
The Ahsoka Series Is Full of Morons & Thrawn is King of the Idiots,aGkIZ0NfssE,2023-10-11T15:00:00Z
Disney Transforms Thrawn From Tactician to Teddy Bear 🧸,K7WLp9uKzLE,2023-10-11T14:10:12Z
