Title,Video ID,Published At
TOLKIEN Has Always Been For EVERYBODY,yYTHBOgkPJA,2023-12-31T05:37:55Z
ISOM Issue 2 - Third-Grader Level Of Writing,i_PF2OLXMaI,2023-12-30T07:55:48Z
Hollywood's Creative Bankruptcy Won't Go Away In 2024,CVU9eeUW1Y8,2023-12-29T20:20:26Z
In Defense Of The Lord of the Rings Adaptations By Peter Jackson,ktDPQmeyPlE,2023-12-28T20:25:50Z
Trash Media Excuse Disney Star Wars By Criticising The Prequels,YDBbQjsJYH0,2023-12-28T07:48:39Z
Prime Video's Rings Of Power Sullies Tolkien's Name,EuwwGeR4LTw,2023-12-27T06:04:38Z
Why We Criticise Mainstream Media,RqxzPZC4ILw,2023-12-26T10:15:57Z
The Hollywood Villain Question,F171RK7ErhA,2023-12-25T16:33:04Z
Rings Of Power Season 2 Messes Up Sauron Even More,bfswvpKq9rA,2023-12-24T21:21:13Z
The WORST And The BEST Of 2023 By European Lore,GXoOly0jls8,2023-12-24T10:43:50Z
REBEL MOON IS... A MOVIE!!!,WlANae6YM_c,2023-12-23T12:15:42Z
AVOID This Book About Tolkien At All Costs!!!,HMRsX9KYSdE,2023-12-22T05:08:04Z
Prime Video's Website Show Their Rings Of Power FAILURE,C69yor5ju84,2023-12-21T05:39:05Z
Henry Cavill's Warhammer 40K Universe Moving Ahead,lELa6MilckU,2023-12-20T15:09:22Z
X-Files Reboot Coming And It Is DOA!!!,zeZc7BfZ1LU,2023-12-20T05:41:12Z
Tolkien Estate And Amazon Win Lawsuit Over Fan Fiction,J6sdO4sT960,2023-12-19T14:51:23Z
Why We Don't Like Our Beloved Stories DESTROYED,T2pw3ENbR6A,2023-12-18T07:57:57Z
Nerd of the Rings - The Worst of the Fake Fans,w-0mWyjnc-s,2023-12-17T05:40:17Z
The Evil Of TOLKIEN SOCIETY,u7fkMe-QaQI,2023-12-16T14:42:22Z
The Rings Of Power Shills Are AFRAID Of Me! CONFIRMED!,pmToj-5Of3U,2023-12-15T05:13:32Z
"Woke Wizards of The Coast Lay Off 1,100 People",vZIxOjjlJAE,2023-12-14T16:20:59Z
Father Frost - A 1964 Russian Film That's Better Than ANYTHING Made Today,0iyimM6PmNg,2023-12-13T18:52:10Z
Hasbro... Get Woke... You Know The Rest,3GsakV7kTTc,2023-12-13T06:24:25Z
Cancel Culture In Peril,zpJD4a8MTxE,2023-12-12T15:02:36Z
Erasure Of European Culture Continues,Yhu0-fFdoAw,2023-12-11T05:41:41Z
They Don't Make Fantasy The Way They Used To,IZgCiqLsgg8,2023-12-10T05:42:45Z
The Silliest Lord of the Rings Take of the Month,5v6djZhBvtg,2023-12-09T15:42:17Z
CyberFrog Warts and All Comic Book Review,RqDPvzyktck,2023-12-08T15:33:14Z
How To Deal With Internet Nitwits,tTxLjRFTHuw,2023-12-08T04:58:57Z
House of the Dragon Season 2 Trailer Has It All,H-hZbfQ9W_I,2023-12-07T16:00:12Z
Cancel Culture Might Be Coming To An End,HH46OHatFa8,2023-12-07T06:51:15Z
How I Was Right About The Rings Of Power,em_oIsaLZeg,2023-12-06T05:18:49Z
The Best Fantasy Reads For Yule,k8ruKRtuo-E,2023-12-05T21:02:04Z
The Woke Fall of Doctor Who,-1crv0xLlGc,2023-12-04T14:24:15Z
Furiosa: A Mad Max Saga - A Spin-Off of a Remake,kb2HzElAp_g,2023-12-04T05:40:17Z
EXCLUSIVE Rings Of Power Season 2 Pitch Recording!!!,YoEql0hDg4U,2023-12-03T18:19:16Z
Rebel Moon - A Chance For Change,pTbChQ406bo,2023-12-03T05:21:02Z
65 - An Under-Promoted Film,S9I6DF6rYhk,2023-12-02T21:37:03Z
"Dave Filoni And Gandalf Round Two - Filoni ""Speaks"" Again",HnD5dbwC8Hw,2023-12-02T16:13:05Z
The Rings of Power Season 2  Predictions,NpFWSMHU_Y0,2023-12-01T15:45:26Z
"Weta Digital Closed... But Don't Panic, Man",BXnMqrczwxQ,2023-11-29T19:52:48Z
No Rings Of Power Merchandise - A Year Later,o5SSYuVbg7c,2023-11-29T05:34:42Z
"Thor Director Admits He Never Liked The Character - Well, OBVIOUSLY",Hx3ShAW2U_8,2023-11-28T17:43:11Z
