Title,Video ID,Published At
The Embarrassing Meltdown of the Funimation Localizers Panel,UT-yGMbe94E,2023-12-31T01:08:06Z
Disney and Marvel Are Done.,s-4q22Qb2Wk,2023-12-30T15:45:08Z
Based Asmongold Destroys Woke Anime Localizers,mkGnmhNliOI,2023-12-28T14:26:01Z
Aquaman 2 Flops at the Box Office like a Magikarp Out of Water,HFRePy618HQ,2023-12-27T02:09:26Z
Fan Advocacy Network's Top Recommended Christmas Movies,emmohlnp3o0,2023-12-25T17:09:11Z
Boogie2988 Got Banned from Twitch,e4tA2UlEOow,2023-12-24T16:11:54Z
Rebel Moon Confirms A Major Flaw in American Media,JlpWQ7NYgU4,2023-12-23T20:06:20Z
Woke Culture Has Made America A Joke in Entertainment,ijz9pz4YhXU,2023-12-21T19:41:03Z
Marvel's X-Men MCU Reboot Will Be Female-Focused,DkkVG3k92lM,2023-12-20T17:17:17Z
Colorado Supreme Court Bars Trump from 2024 Presidential Ballot,MFM_7z_Yx8k,2023-12-20T01:58:32Z
Disney's Snow White Apology Tour is Horrible,P8sy22hRwJw,2023-12-18T19:30:07Z
Twitch Became A Cam Site for a Day,vwYosh7OKF4,2023-12-17T02:10:22Z
"The Answer is No, Bud Light.",ryWA990NiQI,2023-12-14T00:59:05Z
"Disney Loses $105,000,000 Investment Over Wokeness",KaJzk9ctKUI,2023-12-13T02:11:29Z
Why Eiji Aonuma is Wrong About Linear Zelda,zUNip0lKrj0,2023-12-12T17:37:37Z
Doctor Who Casting Director Is Mad Fans Rejected Wokeness,D5_kgmu247w,2023-12-11T22:20:34Z
Twitch Has A Wokeness Problem,6xEO1LWK1PM,2023-12-11T14:45:09Z
"Yes, The 2023 Video Game Awards Were Woke",MIKTJV0aEx8,2023-12-09T03:39:39Z
We Might As Well Watch The Game Awards 2023...,KCPuxZ-rwDQ,2023-12-08T03:25:21Z
Grand Theft Auto VI Trailer Shatters All Records,jKSjZYBra_A,2023-12-07T02:14:39Z
GTA 6 (Grand Theft Auto VI) Trailer #1 Reaction,0-UTEZbvCtI,2023-12-06T02:34:41Z
What Hollywood Doesn’t Understand (ft. Furiosa: A Mad Max Saga),eO5cjlkmCv0,2023-12-02T03:36:55Z
Elon Musk Ends Disney CEO Bob Iger's Career With Three Words,Oi6dMoVzfzU,2023-12-01T15:32:22Z
Doctor Who (1963 - 2023),F9lYYUQqQfI,2023-11-30T02:22:35Z
Marvel's Fantastic Four Rumors Reveal Company Has No Good Will Left,6tE_qK0VsGU,2023-11-26T01:41:09Z
Silver Surfer is now a Woman...,K2VnlWaD8B4,2023-11-22T20:23:59Z
"Pokimane, AKA Cookie Monster, Wasn't Joking...",CR5kRfyUxLo,2023-11-21T00:27:46Z
"Pokimane, The Cookie Monster",FDklQMtrdpA,2023-11-20T15:15:14Z
The Marvels is Disney's Greatest Failure,BBUaq0wKoLs,2023-11-19T02:33:05Z
Analyzing Ben Shapiro's Embarrassing Meltdown,DjekLPIjJL4,2023-11-17T03:52:55Z
The Marvels Flopped Because of... Fans?,xuvFK98cNs4,2023-11-15T01:46:47Z
"No, Women Are Not Ruining Entertainment",1li47ZY1jU8,2023-11-14T15:15:11Z
The Marvels - Disney MCU's Lowest Opening Ever,AOwLFgz_fd0,2023-11-13T03:12:19Z
It's Official! The Legend of Zelda Movie is Coming!,GoDIaNmxU88,2023-11-10T14:00:07Z
Endurance and Determination | My Message to Star Wars Theory,MK2Be9F0rJg,2023-11-08T03:49:46Z
I'm Done With Disney Star Wars...,JbU5DcWZaGQ,2023-11-07T20:00:07Z
Gina Carano Exposes Disney and Hollywood's Bot Army,ncmmec5k9_I,2023-11-04T01:15:08Z
Woke Snow White Delayed Until... 2025?!,bunWuryoBv4,2023-10-29T01:39:29Z
Snow White vs. Snow White,DXNVfqxT5Es,2023-10-26T02:30:10Z
Introducing Bentkey - The Key to Disney Getting Bent,pqWLT70gqsY,2023-10-21T14:38:09Z
Liberty Safe Gives Customer's Secret Backdoor Safe Access to Feds,8Z_q41CHnLE,2023-09-06T13:55:47Z
Netflix's Live Action One Piece Adaptation... is GOOD?!,qV1GXN7WcEU,2023-09-03T00:19:26Z
Disney's Ahsoka Is Dividing Star Wars Fans...,lCB1zSy1TV8,2023-09-02T01:06:38Z
"No, Not Everyone Can Be Trained In The Force... | Disney's AHSOKA",to0rr2nz-vk,2023-08-31T13:43:42Z
Why Star Wars Theory is WRONG About Ahsoka | My Response...,6S_JI_qyilo,2023-08-29T13:56:22Z
Snow White - Rachel Zegler is Box Office Poison,b04_bbIMrZs,2023-08-19T03:00:08Z
Bob Iger's 2023 Disney Investor's Meeting Was A Disaster,eO7oaSug-zw,2023-08-11T01:51:55Z
Why Race Swapping Characters Is A Bad Choice,1USu4e0fG-U,2023-08-08T14:30:08Z
How I Would Save Star Wars From Disney...,KkUbYNy57e0,2023-07-31T17:00:09Z
"""But It's Not Real"" | AI Generated Child Art Could Be The Next Big Problem",WG6gWFVpZak,2023-07-29T20:12:46Z
Modern Hollywood Women Ruined Netflix's Witcher Series,Qdci8JMJp6U,2023-07-29T12:11:56Z
The Barbie Movie is a Master Piece...,j-vhuBpaJ8I,2023-07-26T15:36:13Z
Snow White and the Seven Mistakes Hollywood Keeps Making...,Gf4b0WcHEcI,2023-07-25T19:00:09Z
"Hasan Piker and Fans Harass, Threaten and Doxx J-Pop Group into Disbanding",ev_hwLDZqCQ,2023-07-25T02:14:42Z
A Tale as Old as Time... How Disney's Hubris Ruined Their Own Brand,iA5Kf8K040Q,2023-07-24T00:38:56Z
"No, Hollywood Writers No NOT Deserve More Money | (Penguinz0 Response)",bGQesUH32RQ,2023-07-15T19:24:50Z
Is Star Wars Actually A Racist Franchise?,8C1Q0MoEXdU,2023-07-14T20:22:13Z
