Title,Video ID,Published At
Adam Driver Says He's DONE With Disney Star Wars,DF_xy4tq71k,2023-12-31T01:11:50Z
"Disney Has AWFUL Box Office Year After Losing Over A BILLION, Media Refuses To Say They're Failing!",_QECKEi3YGo,2023-12-29T17:41:02Z
"Adam Driver Says He's DONE With Disney Star Wars, Madame Web Looks Like More Marvel Sh*t | G+G Daily",o33HCiIDpqM,2023-12-29T17:27:11Z
Disney Star Wars The Acolyte Leaks Sound Like A Woke NIGHTMARE! | Lucasfilm Disaster!,BeM2-NPWjKM,2023-12-29T02:43:19Z
Rings Of Power DISASTER Gets WORSE In Season 2 | Sauron Casting MOCKED By Fans,1KZ7QGkdaw8,2023-12-28T18:10:06Z
"Star Wars The Acolyte DISASTER New Leaks, Disney Is The BIGGEST Woke LOSER Of 2023 | G+G Daily",2kFFIEOGGZc,2023-12-28T17:13:54Z
"The Marvels Director Wanted To Go FULL WOKE CRINGE, And Disney Let Her",5G5u8Rz13JM,2023-12-27T23:35:46Z
"Rings Of Power Season 2 Will Get WORSE, The Marvels Director Wanted To Go Full CRINGE | G+G Daily",NQjTaZywDtY,2023-12-27T17:26:18Z
Disney Shills Have A MELTDOWN Trying To Protect The Marvels After Aquaman 2 Box Office FLOP,7ZwpjfGENzE,2023-12-27T14:45:28Z
Tuesday Night's Main Event,ta66DFIJAWw,2023-12-27T05:04:41Z
Kevin Spacey SLAMS Netflix Over House of Cards In WILD Christmas Interview With Tucker Carlson,ac9H1dYVGgQ,2023-12-27T05:00:01Z
"Aquaman 2 Is A Box Office DISASTER, Disney Shills COPE Over The Marvels FAILURE | G+G Daily",LJSiy0wtlDw,2023-12-26T17:15:23Z
Merry Christmas! G+G Daily,eTR4TQPFX24,2023-12-25T16:56:09Z
Rocksteady Gets DESTROYED Over Suicide Squad Leaks And CREEPY Child Poison Ivy,uaxMyuEoP50,2023-12-25T14:02:57Z
Vin Diesel Gets SUED After TERRIBLE Allegations From 13 Years Ago | Another Hollywood Star Accused,Cddfbq_AQvc,2023-12-23T16:05:51Z
The Iron Claw is AMAZING,uG6iJXmH8dg,2023-12-22T23:42:31Z
"DCEU DIES With Aquaman 2, Vin Diesel Hit With MAJOR Allegation, Suicide Squad BACKLASH | G+G Daily",qpTxb6KS82M,2023-12-22T17:34:57Z
Marvel Set To DOUBLE DOWN On Woke M-She-U | Young Avengers Movie Will Be A NIGHTMARE,QMKBuBccQtw,2023-12-22T15:03:13Z
Warner Bros And Paramount Looking At HUGE MERGER After Woke Hollywood Failure,sgn_hXE1MDo,2023-12-22T03:37:02Z
Netflix Gets MASSIVE Backlash Over Cocomelon Lane | Boy In Dress Dances For 2 Gay Dads,8VNqofngZBE,2023-12-22T00:31:21Z
