Title,Video ID,Published At
Magical NEGROES?! | When Racebaiters Make Movies,tFD41c5sTSI,2023-12-27T16:00:28Z
"Content Planning, Twitch was Naked, Kang is out, X-Women",khSe2f8kLKk,2023-12-22T03:47:04Z
Jonathan Majors Guilty and Fired | What The MCU Can Do Now,RwVyghl926Y,2023-12-20T16:00:25Z
Explained With Puns and Idioms | Zootopia vs Elemental,Ph5S8hQSlnQ,2023-12-15T15:30:06Z
Greg's Top 3 L's of 2023,K1qe0_IWSoE,2023-12-12T16:00:12Z
The Shift | Review,1wpKxyawqfc,2023-11-28T15:30:01Z
Disney's Wish | The 6 Kid Review,nEht4IYvs9E,2023-11-24T15:00:48Z
MCU Chickens Are Home to Roost,SJ4-5k8rmhY,2023-11-22T15:30:15Z
Main Character Syndrome | Barbie and the Manosphere Agree On This,KsmptkTm5Tc,2023-11-20T15:30:04Z
Why Wheel of Time is a Failed Adaptation | Character Comparisons,RxJuriBksQU,2023-11-17T15:30:07Z
The Marvels Is All The Worst Parts of the MCU | Spoiler Review,sCVOAMHnUR8,2023-11-10T15:00:49Z
Why MCU Writing Sucks Now | Scene Comparison,F5hDCOqxuCI,2023-11-02T15:00:19Z
Why The Marvels Will Flop,WmVdlBLAFsI,2023-10-27T15:00:22Z
Subversive Trolling is OK When We Do It?!,y7cNsRCw8HM,2023-10-25T15:00:50Z
Why DreamWorks is Superior: The Theme of Expectations,pXjleiyPq_E,2023-10-23T15:00:41Z
Chasing ESG Scores is Killing Companies Like Disney,-Iz8uIJMMZQ,2023-10-17T15:00:00Z
"Live From YouTube, It's Thursday Night!",WSQMZ2vxYQI,2023-10-13T12:11:10Z
Hollywood Has a Postmodern Problem,xxdZ6WkRGzQ,2023-10-10T15:00:47Z
"Back from vacation, let's hang out",EX5syXsDICA,2023-10-06T02:10:11Z
Normie Reviews: One Piece Season 1,m-Lw9CkcblA,2023-10-03T15:00:41Z
Normie Reviews: One Piece Live Action ep 1-4,GDCXl7G71MA,2023-09-13T15:05:00Z
Ahsoka at the Halfway Mark | Normie Reviews,oomyAotY6WE,2023-09-11T15:00:43Z
Normie Reviews: Ah-SLOW-ka Episode 3,92eQbDL3npw,2023-09-01T15:00:09Z
No One Cares About Your Pronouns,2n4exjSUgXM,2023-08-31T15:00:03Z
Normie Reviews: Ahsoka Episodes 1&2,AEYqSCsjcyw,2023-08-28T15:00:13Z
Wheel of Time Show SUCKED and Season 2 Will Suck,Rj4HPP9ZtUU,2023-08-25T15:00:31Z
Content Planning and Community Hangout,lI_S4rQFTX4,2023-08-22T13:56:43Z
Does Disney Need to Chase Women?,IvsyUzLjIas,2023-08-21T15:00:14Z
You Need to Try the Sea of Stars Demo,OzbePps2ZN0,2023-08-17T15:00:15Z
TMNT Mutant Mayhem | The 6Kid Review,wTomxpBTEIw,2023-08-14T15:00:45Z
Hollywood's Terrible Horrible No Good Very Bad Summer,RYbuool7K8Q,2023-08-11T15:00:18Z
Is A.I. Coming For Your Job?,Y50HVrCp6lg,2023-08-09T15:00:23Z
Why Swaps Are Stupid,GJqzXOn31X0,2023-08-04T15:00:10Z
Sound of Freedom has Rolling Stone Self-Snitching,EXDj_yrpaME,2023-07-31T15:00:09Z
Sanderson Secret Project #3 Review AND Why I Hate Spotify and Speechify,P4ba5ZoNpDw,2023-07-27T15:00:16Z
"The Marvels Has To Be Bad On Purpose, Right?",7Dl_Xa4-eDk,2023-07-25T15:00:08Z
Snow POC and the Seven Persons,58icvCU_Ogo,2023-07-18T15:00:06Z
Why Are Adult Stories Usually Dumb?,1vV_7GPgSFM,2023-07-14T15:00:01Z
Did You Catch All These Messages in Across the Spiderverse?,e8llDFYRtko,2023-07-11T15:00:27Z
"Good Trope, Bad Trope: Remakes",EnERwauQAIY,2023-07-07T15:00:17Z
I'm Done Reviewing This Show | Secret Invasion Episode 2,E7G8a-zTW3c,2023-07-05T15:00:18Z
More Bad Than Good | Indiana Jones 5 Review,YyTFaa-POis,2023-07-03T15:00:26Z
Ruby Gillman: Teenage Kraken | The 6 Kid Review,ZjoDTLdyBGY,2023-06-30T15:00:24Z
This Movie Has No Purpose | DC The Flash Review,0qhf8YXdvhc,2023-06-29T21:15:00Z
Secret Invasion Isn't Great (yet?) | Ep. 1 Discussion,pD3Uc24Dkbw,2023-06-23T15:00:49Z
Elemental Surprised Me! | Family Review,rZxL9aSGiWw,2023-06-16T15:00:50Z
Little Mermaid Second Weekend Explained with Puns,002VH1tfOTQ,2023-06-06T15:00:00Z
Spiderverse is Excellent! | Review & Family Takes,BtQz58YxC6Q,2023-06-02T14:30:04Z
You Guys Convinced Me to See Guardians of the Galaxy 3,k6H6JJCTFH4,2023-06-01T15:00:38Z
More Concern about Elemental and Pixar,IBLiI5HAe4A,2023-05-30T15:00:19Z
My family did not enjoy The Little Mermaid | The 6 Kid Review,VZF6CYDANQ4,2023-05-26T16:00:20Z
Indiana Jones Looks Dead On Arrival,3MD8ufz2awk,2023-05-23T16:00:04Z
Why DreamWorks Villains Are Superior,BBfVERaSlmU,2023-05-19T16:00:13Z
This is Why I Won't Pre-Order Diablo 4 | Overwatch 2 PvE Cancelled,_aGI0Cc3ccQ,2023-05-18T16:00:33Z
Guardians 3 Stays Alive While Disney Burns,kfzwlLsQ9Sk,2023-05-15T16:00:26Z
Here's Why You Don't Like the Replacement Avengers,fqtOcpn-ruU,2023-05-12T16:09:00Z
Guardians of the Galaxy 3 Isn't the Win Marvel Needed,YNXHhtGx76Q,2023-05-09T21:51:26Z
Games for Non-Gamers,Iap18KM2IIM,2023-05-08T16:00:08Z
Disney is Dying | Part 3: Death Spiral,FlwfGbzjxCw,2023-05-05T16:00:17Z
Mandalorian Season 3 was a joke #mandalorian #starwars #lucasfilm #disney,FAVx1NV6zl8,2023-05-03T00:30:07Z
Mandalorian Season 3 is a Meeting That Should Have Been an Email,lpElEhJ-y5c,2023-05-01T16:00:24Z
"Guys, Girls Like Jane Austen",zio_7u9c3nk,2023-04-27T16:00:45Z
"Good Trope, Bad Trope: Enemies to Lovers",wiTN38yJteA,2023-04-20T16:00:41Z
Mario Movie Review,WCTZp5_PNRg,2023-04-17T16:00:19Z
All The Reasons 'The Marvels' Will Fail | Part 2: The Politics,KIzwFmHolmo,2023-04-14T16:00:14Z
What Can We Learn From the Hogwarts Legacy Boycott?,B4xBhfRK554,2023-04-10T16:00:08Z
