Title,Video ID,Published At
Afternoon T w/ AZ - I Made Twitter Angry Again (Superchat Square-Up)!!,IThVQzwDnFQ,2023-12-31T17:18:56Z
Doctor AZ Explains Miles Morales!!,vwiGtc7XTx4,2023-12-29T16:16:34Z
RIP and The Silverback (Ep 7),ZjI8sbFsugE,2023-12-27T22:19:23Z
The Real BBC - Doctor Who Christmas DISASTER!!,QUx6wZcWQZM,2023-12-26T21:13:58Z
Afternoon T w/AZ - Superchat Square-Up!!,J7B8ie82YEs,2023-12-17T17:06:10Z
RIP and The Silverback (Ep 5),PsBNuBOWdYk,2023-12-13T22:53:00Z
"The Real BBC: Doctor Who Ends as a Joke, Mark Millar Destroys Cancel Pigs!!",rR3V0gU-95E,2023-12-12T21:30:19Z
The Day Before - They Shut The Studio Down and Took Your Money!!,h-n3EYXSfzw,2023-12-11T20:26:03Z
Doctor Who: The Giggle Turned Out to Actually be a JOKE!!,fYsgwklremQ,2023-12-11T16:47:25Z
Afternoon T w/AZ - Doctor Who is a LAUGHABLE JOKE!!,ZzbS9nzmpic,2023-12-10T17:34:35Z
Disney: Stop Embarrassing Yourself!!,llAFvB9ZKoM,2023-12-06T16:03:32Z
Doctor Who: Wild Blue Yonder - Russell T Davis Just Can't Get Over Himself!!,WmVRqnrgBbY,2023-12-05T22:25:23Z
SOSKA SISTERS & AZ - GEEK OUT!!,kqzFFUwEAKY,2023-12-04T22:26:55Z
Afternoon T w/AZ: Superchat Square-Up,YlbU293ckjw,2023-12-03T17:15:46Z
The Real BBC: Doctor wHorrific FALLOUT!!,mUBvmJoi7xI,2023-11-28T21:26:27Z
How Ideology Tears Fandoms Apart!!,RiETSZyz9EA,2023-11-28T16:59:36Z
ABSOLUTE DISASTER!! Doctor Who/Whom is a Ratings and Audience FAILURE!!,puzGHz0qQKw,2023-11-27T10:48:20Z
Afternoon T w/AZ: Doctor LOLCOW!!,-ye6Nq3XWwo,2023-11-26T17:22:07Z
"RIP and The Silverback Episode 3: Alphacore Hits $1,000,000 The Marvels Hits ROCK BOTTOM!!",agORlOGzp1E,2023-11-22T22:36:34Z
WTF is THIS?? The Marvels Cat Trailers Take a Victory Lap of FAILURE!!!,l7uUMWD6ntg,2023-11-22T17:12:39Z
ABSOLUTELY DESTROYED!! The Marvels Box Office Falls into the Mariana Trench!!,_x1pOzGZYi4,2023-11-20T18:39:35Z
Afternoon T w/ AZ: The Marvels Falls into the Mariana Trench!!,8yQAE8nVztY,2023-11-19T18:09:37Z
Robyn Hood Episode 8 FINALE: He Has Risen - Saint Jesus G Lionheart Floyd Returns!!,Av0zPBNAa_Q,2023-11-17T20:24:08Z
