Title,Video ID,Published At
The Downfall Of Disney Star Wars (Part 2),cBZuKsTB9f0,2023-12-10T19:57:46Z
Why A Zombie Apocalypse Wouldn't Be That Bad,2176gO8dxwg,2023-10-29T19:14:20Z
The Downfall Of Disney Star Wars (Part 1),hSksk2Q2QDs,2023-10-10T19:23:48Z
How I Fell Out Of Love With Star Wars,gYBsIhvVxJY,2023-09-17T22:35:21Z
The Evolution Of YouTube Politics,Z4pqkrKYwt4,2023-09-07T19:15:01Z
Is Racebending Making People More Racist?,8u88pYsZzec,2023-08-30T19:03:01Z
SuperHeroes  (Why They Lie),U8Trweh9cl0,2023-08-13T19:14:18Z
Is Every Movie Bombing Because Of Wokeness?,GhqYUR7XZxc,2023-08-08T22:54:23Z
Sound of Freedom VS The Mainstream Media,Y2ljqdxyGNA,2023-08-05T17:00:12Z
Disney's Mistreatment Of Lucas-Film,kyYmcSRudu8,2023-07-30T16:49:24Z
Snow NOT White And The 7 NOT Dwarfs,QqI2wm0CCP8,2023-07-25T23:10:23Z
Mary Sues Are Getting Even Worse!,E2sysfnuIDA,2023-07-23T17:02:08Z
The Failure Of The Witcher Blood Origin,JSM9LLODWgM,2023-07-18T21:13:58Z
In-Cell Villains In Movies,HbDjYoWZkfE,2023-07-02T17:00:09Z
Why Ezra Miller Is The Opposite Of The Flash In Everyway,5hpjqklgfY0,2023-06-25T18:35:36Z
Why you are wrong about the ending of Cyberpunk Edgerunners (Rebecca lives and david too?),xstT5N-wAt0,2023-06-24T20:59:36Z
The Absolute DESTRUCTION of Spoctor Tech,qxkj0RuVM88,2023-06-18T20:19:09Z
Let's Talk About Netflix’s Cleopatra And Black Washing,BzLk6Z50QK0,2023-06-06T20:00:08Z
The Downfall of Disney Remakes,CWvWIn5uCuk,2023-06-01T21:36:31Z
DaftPina The Last Straw (Just Stop and LS Mark Rabbit Hole),BO6KlwG-Ov4,2023-05-18T21:01:09Z
Disney Is No Longer On Top,0bCaUlabvIA,2023-05-08T21:15:01Z
Seth The Programmer Is Worse Than You Think!,OBEpspjBMas,2023-04-13T21:00:19Z
Is LACKADAISY The Next Hazbin Hotel or Is It Even Better?,w8Ez11mP3CA,2023-04-11T20:16:12Z
Why Hate Watching Doesn't Make Shows Like Velma Successful,DKauZmY8kyI,2023-03-07T22:00:09Z
The Woman King Was a Mistake We Should Not Forget,qeE2_UEQVvc,2023-01-31T21:15:02Z
Velma Is The Worst Scooby Doo Show Yet!,0_CuisWAjD4,2023-01-28T22:54:45Z
I'm Leaving,tv9DsDwK5lI,2023-01-12T22:39:18Z
What Really Happened In The Antoons Drama,IOy-LuTGwks,2023-01-08T03:10:39Z
