Title,Video ID,Published At
Ranking the Movies of 2023 (was it a good year?),HVcWQv-JBys,2023-12-29T23:18:32Z
Why EVERYONE Stopped Caring About the DCEU,XIey1uDBKkg,2023-12-22T21:01:37Z
"10,000 Subscriber Stream! Ask Me Anything!",2MgXIpvbWMY,2023-12-18T15:42:58Z
So...is Disney Just Afraid to Give Their Princesses Love Interests?,0A7EWknfhzI,2023-12-14T17:50:37Z
I'm Going to DEFEND Rachel Zegler (and you should listen),sZzwRnVhQyA,2023-12-13T18:14:30Z
"Thank you for 10,000 Subscribers! What's Next?",-OOQio_xyoY,2023-12-11T23:54:15Z
Godzilla Minus One BESTS Most American Films This Year!,ufRss7gwyI0,2023-12-02T00:15:35Z
Disney's 100 Year Anniversary is Their WORST YEAR at the Box Office,9oxnZJBaNrc,2023-11-26T23:58:14Z
"Disney's Wish Has Many, Many, Many Problems",5UcPdQMzGus,2023-11-23T00:06:20Z
The 8000 Subscriber Celebration Stream! Ask Me Anything!,QDumSA2hOzY,2023-11-20T15:17:07Z
"People Don't Hate Strong Female Characters, They Hate BADLY WRITTEN Characters",JkLwyjJpiDY,2023-11-18T19:12:16Z
Hunger Games Ballad of Songbirds and Snakes is...GOOD!,YOwvMLkdp5U,2023-11-17T17:40:51Z
Why I Stopped Caring About the MCU,RdM5uo8b69A,2023-11-11T22:31:20Z
The Marvels Is the End of the MCU,uuUrFqFA8q4,2023-11-10T23:12:34Z
THE MARVELS REVIEWS ARE TERRIBLE! THE SAG STRIKE ENDS! LIVE!,ixbFh-rzyws,2023-11-09T13:53:22Z
This is Why Marvel Movies Have Been So Awful.,YvwOJu_mLo8,2023-11-01T19:15:18Z
BECOMING BARBIE FOR HALLOWEEN!!! #shorts #halloween #barbie,Hp5JtVCgEmM,2023-10-31T16:02:38Z
SCARY MOVIES THAT SCARE ME!!! Horror Movie Recommendations 2023!,aWMzw-9xzQA,2023-10-30T22:30:10Z
SNOW WHITE DELAYED TO 2025! More films delayed/announced LIVE!,zD54LyTDYHU,2023-10-28T07:17:42Z
Disney Just Released the BEST Thing They've Done in YEARS! | Once Upon a Studio Review,eQxKPjIYdaw,2023-10-18T21:07:02Z
The Failure of Disney Plus (and can it be fixed?),6_7FKxgWEHk,2023-10-12T18:19:37Z
This is the LAST Good Superhero Comic EVER Made!,ykKW9U2i4iQ,2023-10-09T17:44:41Z
I Interviewed a Star Wars Fan Who REFUSED to Watch Ahsoka!,jiHyI37ymtE,2023-09-29T22:58:29Z
NEW WGA CONTRACT REVEALED! REGULATIONS ON A.I.! LIVE!,bIEUpFR1GOc,2023-09-27T13:15:08Z
THE WRITERS STRIKE IS OVER! LIVE!,zCno4-7l7Rs,2023-09-26T03:22:25Z
A Very Dramatic Song Performance That Will Inspire You All (it inspired me),Fb5vZLFKPCQ,2023-09-21T18:40:30Z
Hollywood's Continuous Problem With Female Characters,b2mLg74c_NQ,2023-09-16T18:03:37Z
5K SUBS STREAM! Gaming + Q&A!,OtCG4YENWjg,2023-09-04T14:08:16Z
The Comic Book Industry is Truly Dead Now.,wtgu7KXlYpU,2023-08-30T17:50:33Z
R.I.P. Arleen Sorkin: Original Voice and Inspiration for Harley Quinn (i'm devastated),q0lazz02Ft4,2023-08-27T01:19:28Z
RANT! Hollywood Studios Are Going to Destroy Themselves!,axxmDFMm3G0,2023-08-25T17:39:35Z
4000+ Subs Celebration! Ask Me Anything!,D3ldNiiauPM,2023-08-21T14:20:40Z
The Shower Surprise - A Horror Short Film,bjplbDl1GLA,2023-08-19T16:46:35Z
I Saw BOMB Beetle and It Was a Mess!,_chEwYqWncA,2023-08-18T18:38:01Z
We Need to Talk About Rachel Zegler (Disney's New Snow White),vU0S6QgqSk0,2023-08-12T16:23:13Z
STRIKE UPDATE! Could Hollywood be Shut Down into 2024?,_uPxKGKSBHg,2023-08-09T08:16:03Z
People are SHOCKED at Ariana Grande! #shorts #arianagrande #celebrity,SCt-wUGo66M,2023-08-08T21:06:12Z
Will Hollywood Learn the WRONG Lessons From Barbenheimer's Success? (Yes),giM1yIksS-M,2023-08-07T19:01:56Z
Is Barbie ACTUALLY Anti-Men?,xj6ln7wGvNM,2023-08-06T19:00:10Z
Lizzo responds to HUGE allegations against her #shorts #lizzo #celebrity #shortscomedy,Qc5l98cttBc,2023-08-03T15:16:40Z
I Don't Think I Want to be a DC Fan Anymore...,nNlTOQl16wg,2023-08-02T18:47:19Z
"Barbie: Brilliant and FUN, or Hateful and Lost?",2e5mDEsKiR4,2023-07-30T18:00:09Z
Barbie movie marketing is INSANE! #shorts #barbie,Vhk5iVGabCE,2023-07-20T20:18:56Z
Why Everyone Became So OBSESSED with the Barbie Movie EXPLAINED!,7mbueUYHa9g,2023-07-18T18:00:09Z
Fran Drescher SLAMS Hollywood elites! #shorts #sagstrike,0TitLvq3NlU,2023-07-14T19:43:02Z
HOLLYWOOD SHUTS DOWN! The Writers AND the Actors are now Striking!,iBcyte5ADxE,2023-07-13T17:51:26Z
TOM CRUISE SAVES MOVIES AGAIN! Mission Impossible 7 is AMAZING!,i4MBfatg9S0,2023-07-12T21:19:51Z
The BEST and WORST of the MISSION IMPOSSIBLE MOVIES!!,t9rmOx0kAIg,2023-07-11T22:29:16Z
Is Hollywood Going to DIE!? (WHY IS EVERY MOVIE FLOPPING?),H-qNoYOYxmk,2023-07-10T21:45:49Z
Why the Most EXPLOSIVE Movie of the Year Could be BARBIE!!!!,6raUzzq5HKQ,2023-07-06T22:21:38Z
Why Indiana Jones and the Dial of Destiny Bombed! #shorts #disney #bomb,tMhMHZkq6t8,2023-07-03T20:29:07Z
Why I DIDN'T SEE Indiana BONES and the Dial of Destiny!,hStkYUyESn8,2023-06-30T18:22:50Z
Life as a Fast Food Worker #shorts #comedyshorts #shortscomedy #comedyvideo,YRckenC-5HI,2023-06-27T18:57:59Z
Reacting to YOUR Comments on my Flash video LIVE + is James Gunn Really Going to Save DC?,aMNSCf9WUGg,2023-06-25T13:39:29Z
Why Pixar's Elemental BOMBED (and Disney Pixar is in a Dark Age),zk00abhuv1o,2023-06-21T17:34:09Z
The Flash Made Me NEVER Want to See a DC Movie AGAIN!,gNx9VnntuM0,2023-06-18T21:42:19Z
The Purple Hand - Horror Short Film,f5ciLl_apKU,2023-06-09T22:00:11Z
I HATE IT when Mario Does THIS!!!,9bW6SXi4Xwo,2023-06-07T19:53:29Z
Across the Spider-Verse is One of the BEST Animated Movies Ever Made!,Q4ZsklRhmEQ,2023-06-05T23:58:15Z
Are People FINALLY Turning on Disney Remakes!?,i-yn4-vhyc8,2023-05-30T21:03:24Z
DC Comics Was WRONG to Do This...,ApSEnDjT6bw,2023-05-19T22:23:12Z
Answering YOUR Comments on my STAR WARS VIDEO!,DDNOXpjci3Y,2023-05-14T09:17:04Z
Why Rocket Raccoon's Backstory Works So Well - Guardians of the Galaxy Vol. 3,V0urEXLPr4A,2023-05-11T16:00:08Z
Why I Stopped Caring About Star Wars,8xvulJi_J_c,2023-05-04T16:00:10Z
Duel - The Greatest Movie You've NEVER Seen!,jTviiFhWApE,2023-04-28T17:52:20Z
Why Does Marvel Hate Peter and MJ? LIVE COMIC BOOK DISCUSSION!,suerqrz1N2s,2023-04-25T10:41:54Z
When you tell your dentist you don’t floss. #shorts #forfun,EXkKyXCUtdk,2023-04-18T19:16:57Z
WHAT'S HAPPENED TO MARVEL?! MY MARVELS TRAILER REACTION!,1DDBVdmVAeg,2023-04-11T15:51:33Z
Disney Made Me Lose My Faith in Humanity.,x2v3cA1A4Ws,2023-04-07T16:40:54Z
Why Critics HATE the Super Mario Bros Movie (But I Liked it!) + Final thoughts on Joker 2 + Q&A!,SdTf1JVfSLc,2023-04-07T13:10:06Z
Super Mario Bros Movie out today! #shorts #mario,alcpgZKgRZ8,2023-04-05T18:08:00Z
So...What is this Barbie Movie Anyway?,CaZECA1NNIQ,2023-04-04T18:10:54Z
How Disney comes up with their movies #shorts #disney #remakes #moana,U2l8Owqztk0,2023-04-03T19:16:27Z
Joker ABUSES Harley in Joker 2 Set Photos?! My Reaction!,QnA_nw9ERtQ,2023-04-03T17:33:35Z
Getting a root canal #shorts #funnyshorts #humor,8mBb653yyWA,2023-03-27T20:09:01Z
The Golden Age of Comic Book Movies is Done. LIVE,t8be353u76I,2023-03-27T13:41:39Z
Lady Gaga Harley Quinn Outfit Reveal! MY REACTION!,-Tr4hdWJ-kc,2023-03-26T00:13:48Z
"Please, I Beg You, STOP WATCHING DISNEY LIVE-ACTION REMAKES!",jtK4ZOysBfU,2023-03-20T20:40:17Z
When You’re an introvert and you have to make a call #shorts #forfun #introvert,XPXMQbl-62c,2023-03-20T13:49:55Z
The 2023 Oscars LIVE Watch Party!,ErhwvqfO6YI,2023-03-13T04:03:54Z
James Gunn Will Direct Superman: Legacy CONFIRMED (Is this bad?),GGMo_epZwwc,2023-03-10T22:11:58Z
my oscars video no one watches because no one watches the oscars.,zscSrbEEI2s,2023-03-06T20:46:59Z
Snow as a kid vs adult #shorts #snow #funny,INuZ2JdL7No,2023-02-28T20:39:23Z
"Everything ""Superhero"" is Imploding.",wAy44fcvmeY,2023-02-25T21:17:17Z
