Title,Video ID,Published At
Tom King's Wonder Woman Is Even SICKER Than WE First Thought,RlP6MSMWx1o,2023-12-31T19:00:10Z
Another MARVEL COMICS WRITER Begs for RENT MONEY After VIrtue Signaling Against ComicsGate,DspNjoN0eRc,2023-12-31T17:14:34Z
Doctor Who Trailer Goes FULL WOKE CRINGE For Ncuti Gatwa Era,y_LdtENbVHI,2023-12-30T19:00:25Z
Brandon Sanderson Canceled Over Fake News Clcikbait Headline On AI Writing,Pi-xUyDpUc8,2023-12-30T17:00:17Z
Conservative Calendar CONTROVERSY Reeks Of FAKE NEWS Coordinated Garbage,iyc36mAcIow,2023-12-29T19:30:07Z
Green Lantern PAYS FOR GAY    In GROSS New DC Comic By WOKE Writer Tim Sheridan,mymo8cu8Gjg,2023-12-29T18:21:29Z
New Doctor Who Will Be UNRECOGNIZABLE To Fans With Intentional CONTROVERSY Says Companion Millie Gib,7BLHwjyMbl8,2023-12-28T19:00:04Z
You Won't Believe This Crazy CGC Scam WIth Graded Comics,z2Pzh5u6eGQ,2023-12-28T17:44:45Z
Media Blames RACIST FANS For Ncuti Gatwa Doctor Who's FAILURE,rp1Ga9qyTuw,2023-12-27T19:30:04Z
Rings Of Power To Push CRINGE Race Swap Of Sauron In Amazon Prime's Season 2,Gs4LWDkBzn4,2023-12-27T18:20:33Z
Netflix REBOOTING Narnia With Barbie Director Greta Gerwig And Black Widow's Florence Pugh,IdhaJd0YFlo,2023-12-26T19:00:06Z
Black Doctor Who FAILS In Ratings As CRINGE Episode Marks New Low For The Show,rj2oLRBxM70,2023-12-26T17:40:59Z
Fans HATE The New Doctor Who Christmas Special Previews On Track For EPIC FAILURE,OV4KMIhaX6k,2023-12-24T18:03:10Z
Tom King Wonder Woman GASLIGHTS A Dying Child To Try To Turn Him TRANS In New Issue,2RJ9ycBnU8Q,2023-12-24T16:38:12Z
Marvel Editor ATTACKS Fans As BIGOTS As X Men REBOOT Looks Like It's FAILING,Mxb9bPATdgU,2023-12-23T19:00:08Z
A Pro Sci Fi Writer's HONEST Review Of Zack Snyder's Rebel Moon  Part One  A Child Of Fire,xM8AUcrlYm8,2023-12-23T17:55:18Z
Mark Waid USES SICK WOMAN As A Shield For DISGUSTING Attack On ComicsGate Creators,xm9njGN2ju8,2023-12-22T19:00:26Z
Eric July WINS Lawsuit For Isom And The HATERS Still Won't Admit Rippaverse Success,iVrOwrAP_I0,2023-12-22T17:37:18Z
Aquaman 2 Is WOKE With CLIMATE CHANGE Propaganda And Amber Heard MAJOR Screentime,KwMYW7dFVH0,2023-12-21T19:00:15Z
