Title,Video ID,Published At
The Rings of Power Somehow Got Dumber,TrVdqtLI5kA,2023-12-27T02:32:47Z
Are the X Men a Flawed Civil Rights Allegory?,5q76d5ooFNI,2023-12-16T02:17:44Z
When Comic Book Pros Attack,XG-gHGrBgfU,2023-12-08T02:28:05Z
"Green Lantern: It's All About the ""Message""",2WFszDReKEo,2023-12-04T00:12:14Z
A Special Response to Doctor Who,LRpMKTAi2po,2023-11-27T21:00:15Z
The Marvels Bombed in Every Way Possible,a8iuhtbGvpU,2023-11-21T02:32:45Z
The Marvels: The Lowest MCU Opening Ever,2XPQP2AA3Es,2023-11-15T01:13:17Z
Ahsoka: What Was the Point?,vV-YrP3FTpE,2023-11-12T23:09:01Z
Miles Morales: Into the Panderverse,Ep5ZJOWAgnY,2023-11-09T01:15:00Z
The Lord of the Rings: Pawn of the Culture Wars,rl7yEZZvrLU,2023-11-07T00:45:02Z
Snow White and the Seven Woes,jERVI1mEYgk,2023-11-01T23:02:15Z
Green Lantern: A Predictable Mess,Cl4rtydSyGQ,2023-10-28T00:07:59Z
Comic Pro Tim Sheridan Begs For Sales,0JeMbdlPkm0,2023-10-22T19:00:00Z
Ahsoka: The Anti Star Wars,pjMD8W5uK40,2023-10-21T22:00:32Z
Ahsoka: Thrawn Has No Plan,c4YnBU6PivY,2023-10-13T01:36:16Z
Ahsoka Gets Upstaged in her Own Show,H3HabXT2JBM,2023-09-27T23:00:12Z
Texas Teacher Fired Over Anne Frank's Diary,IAcwDsilWxk,2023-09-24T23:00:06Z
Fables Creator Makes Veritgo Series Public Domain,Jpg6FmJpeGs,2023-09-21T23:32:33Z
Ahsoka: Specter of the Past,BiElbMCZGyo,2023-09-12T23:00:10Z
Ahsoka: A Show About Nothing,dD9hGWbtZNU,2023-09-02T03:19:47Z
Ahsoka: The Slowest Show Ever,g9EyZtoltik,2023-08-29T23:00:16Z
Is Baldur's Gate 3 Full of Racism?,75gicIXy__g,2023-08-24T23:00:06Z
Blue Beetle: Another DCEU Failure,cHBdj2VhTiI,2023-08-21T23:00:15Z
"Zachary Levi Slams ""Garbage"" Movies",D6vayM4ULjw,2023-08-16T16:31:30Z
Elemental: A Pixar ComeBack Story,3c0QSr2hiLU,2023-08-13T15:00:02Z
The Fall of X: From the Shadows,l1sjSA7k27A,2023-08-10T16:00:37Z
White April O'Neil Returns... Kind of,Zsd4X7ERTPU,2023-08-09T18:00:15Z
The Modern Obsession with Unpretty Art,qS3zbhTRwPk,2023-08-07T16:00:39Z
Iceman: Reunited and It's Still So Bad,R0vRDMP92TA,2023-08-05T03:30:10Z
James Gunn Greenlights Wonder Woman 3,SQMXavwr8Qk,2023-08-03T17:00:25Z
Responding to a Response from Vee,s99kCD8M5IA,2023-08-01T16:07:33Z
The Fall of X: The End of Krakoa X Men,9_ablEatNYw,2023-07-30T23:29:48Z
When Edgelords Attack: A Vee Monro Tale,Cm2JV0Lazng,2023-07-30T07:02:08Z
The Need for Political Diversity in Comics,t8zFhSJDs7U,2023-07-26T19:00:35Z
It’s a Barbie World: Barbie Rules the Box Office,264BL73pCxg,2023-07-25T00:12:36Z
Is Blue Beetle DOA?,XO4pSIpBgbA,2023-07-22T21:03:40Z
The Predictable Return of Ms Marvel,uuOK_A7_604,2023-07-20T18:00:32Z
CBR Whines Like It's Still 2017,L3pAXBtp7Bw,2023-07-18T18:00:09Z
Snow White: Disney Denied But Supplied It,wKfY6v-DcX8,2023-07-16T21:00:20Z
Snow White and the Fake Dwarfs,uGQfP_M7vrY,2023-07-14T21:00:35Z
X Men: God Loves Man Kills | A Review,R4KfhU8GKD8,2023-07-13T14:00:17Z
Ruby Gillman: Worst DreamWorks Opening Ever,WV0z5qEumEk,2023-07-10T20:21:44Z
Attack of the Fake Fans,P2wdWIpRT8k,2023-06-26T23:45:00Z
Elemental: A Pixar Flop,C-k6g-JOS50,2023-06-23T02:26:34Z
The Flash Stumbles at the Box Office,mm2oDilXkRo,2023-06-20T21:00:19Z
The Pitiful State of the Eisner Awards,lSzRahfMkUI,2023-06-12T22:00:31Z
Race Swapping Tolkien,85S-6s6i1zU,2023-06-02T23:12:51Z
How Dare Gamers Want Playable Games,VEYXj9E2XmU,2023-05-30T03:27:46Z
How to Lose the Culture War,Oe7GzSbp5zI,2023-05-25T19:00:10Z
Ms Marvel: Death of a Token,VLR1tvi3tMY,2023-05-19T18:01:11Z
Dove - Virtual Insanity,G1FYkTHmaSM,2023-05-18T18:12:02Z
Florida Teacher Investigated for Showing a Disney Movie,GAO_Qb5ZxD0,2023-05-17T18:30:11Z
Queen Cleopatra Bombs,Ef23F0GUlDI,2023-05-16T16:16:58Z
Zack Snyder Gaslights Fans,Z9DlswoaQuE,2023-05-15T18:59:54Z
The Rings of Power: Coping in the Dark,KDFkrsuy70w,2023-05-01T17:59:16Z
A Flash Reaction,igENTJl7bv8,2023-04-27T19:15:00Z
Blackwashing Cleopatra: A Netflix Special,OXfC92WABCw,2023-04-25T02:15:00Z
Marvel Rips Off Kwanza's Comic BLACK,-PcJUBeJ4XY,2023-04-22T01:40:31Z
The Rings of Power: One Rando to Sue Them All,llms0z_ha0I,2023-04-20T01:36:50Z
Star Wars: The Revenge of Darth Kennedy,HnLN2SS6prk,2023-04-14T22:37:20Z
The Marvels: Welcome to the Fumble,nyLMm7uBkc0,2023-04-11T19:29:35Z
The Rings of Power: How to Lose an Audience,utunlwO9CZg,2023-04-06T23:00:18Z
The Pride and Price of Representation,gIewCOJSl00,2023-04-02T01:31:41Z
Captain Marvel Gets Cancelled... Again,pV8-qoGyFSI,2023-03-29T20:15:02Z
Captain Marvel: A Billion Dollar Hoodwink,Gvnb0E2TFow,2023-03-26T22:28:36Z
The Predictable Failure of Not Bi Tim Drake,_Mw_4036fuo,2023-03-24T14:00:21Z
Bob Iger Admits Solo Crashed Star Wars,sGmeGd4bDyA,2023-03-22T23:00:24Z
Magic: The Gathering of Cringe,XEB-1Jic5_c,2023-03-17T14:00:28Z
Does The Lord of the Rings Radicalize Fans?,eIISjV-L2xc,2023-03-15T19:30:05Z
Strange World: A Forgettable Voyage,LKmQA6u_rJc,2023-03-14T03:11:05Z
Banned in the USA,1rMRGBzX3KI,2023-03-04T23:00:01Z
March: How to Make Good Trouble,s8SSLsrJSjI,2023-03-01T03:29:42Z
The Lord of the Rings: The Quest for More Money,q4CB-8lMY9Y,2023-02-27T02:00:20Z
The Little Mermaid: Trouble Under the Sea,M8Aa2h8-Ojk,2023-02-23T23:45:00Z
Star Trek Picard Boldly Goes Back to Basics,Gf7dJAPDcXY,2023-02-19T01:30:06Z
