Title,Video ID,Published At
An IMPORTANT Message from the Knights Watch!,-fuAaQW7xQA,2023-12-24T11:27:48Z
"Stuff we actually ENJOYED watching this year, that DIDN'T SUCK in 2023?!",Mo2k_wBHdJ8,2023-12-20T11:30:16Z
You'll own NOTHING and be HAPPY!,LYF3jcEQQs0,2023-12-15T11:30:10Z
"Not as TERRIBLE as YOU'D THINK, but STILL not good! WONKA Full Review",8u5v4vqDUKA,2023-12-14T11:30:03Z
Hollywood is BURNING MONEY by renewing these terrible shows!,B2cao7OmD0U,2023-12-13T11:30:07Z
"It's no longer about EQUALITY, it's about REVENGE!",G42WGRt7lnQ,2023-12-12T11:30:08Z
Elon Musk ain't AFRAID of calling out THEIR CRAP!,HZqGLDdBwsI,2023-12-09T11:30:06Z
They REALLY LOVE to Pander... The Game Awards 2023,mYY2yxy1km0,2023-12-08T11:30:19Z
Everything DEPENDS on AQUAMAN... Cinemas Terrified over potential HOLIDAY EARNINGS!?,wwS7H2pkFWQ,2023-12-06T11:30:23Z
Marvels Failed and so had BOB Iger...,JmiXjRgICcI,2023-12-04T11:30:08Z
They ATTACKED Peter Jackson's Trilogy to DEFEND The Rings of Power!,ld4ozxkGRus,2023-12-01T11:30:19Z
Netflix WITCHER ignored the writer! Show is DEAD,tfLKmuZsMgI,2023-11-29T14:10:59Z
Doctor Who is DEAD!,x93RnKnlMjg,2023-11-28T11:00:52Z
The sad rise of the entitled INFLUENCERS,98pwiak928M,2023-11-27T11:00:06Z
"Hollywood is BURNING, The Marvels lost MILLIONS with more failures coming",ANlhaIs06jo,2023-11-25T11:30:05Z
I'm speechless. . . The fall of Boogie2988,O88iLzQHYOw,2023-11-24T11:00:30Z
ANOTHER BAIT AND SWITCH! We can't have HONEST adaptations anymore... Scott pilgrim Takes Off,Zt3tNJnFSkY,2023-11-21T11:30:15Z
Taikai Waititi says Star Wars Film will ‘Piss People Off’,YkAeLdgZtSU,2023-11-20T11:30:13Z
The Marvels is a BOX OFFICE FLOP and their EXCUSES are HILARIOUS!,Ryzao02Cq2M,2023-11-17T11:30:19Z
NETFLIX better not SCREW THIS UP! Last Airbender Trailer REACTION,w0Dpf08jw3o,2023-11-10T11:30:33Z
THE MARVELS is explosive diarrhea posing as a film | The Marvels Review,Ib1QEN-Qxr0,2023-11-09T11:00:13Z
What is a man's worth,NWYRDy5Cfu4,2023-11-08T11:00:31Z
Disney SNOW WHITE Keeps Taking HITS...,4ojoMyWV_3k,2023-11-07T11:00:05Z
South Park ROASTS WOKE Disney!,5ppmgPu05aY,2023-11-06T11:15:00Z
VEGEMITE supremacy proven! Australian sword-man converts USA to Vegemite - Featuring FNT crew!,3qUzyJKvoVY,2023-11-03T11:00:04Z
Jada Pinkett Smith is so awful,gJu4mOQOVf0,2023-10-31T11:30:26Z
Warwick EMBARRASSED at Disney's Decision to REMOVE Willow.,ItMiTyKh8Q4,2023-10-26T11:30:08Z
"It's an AWFUL show, that's WHY the reviews are bad...",YlTD0429CIM,2023-10-25T11:30:12Z
Brie Larson's DONE with MARVEL but is it her fault?,j15UIYyakL8,2023-10-24T11:30:18Z
Did they make Mary Jane UGLY in the new Spider-Man?,GJcEChpoCkM,2023-10-20T11:30:12Z
"The Great Ai art DEBATE! With Shadiversity, Adam and Sitch, and Sam Fennah",VQ8kW0Ez1BI,2023-10-19T23:07:11Z
Identity THEFT is not a JOKE Jimmy! Millions of families suffer every year...,bAJ2w6D6ylo,2023-10-19T11:30:11Z
Dailywire ATTEMPTS to take on DISNEY?!,PEwelTsuhiw,2023-10-18T11:30:10Z
How is SssniperWolf STILL allowed on YouTube?,wVFEJVNJ3gk,2023-10-17T11:30:32Z
Reid Southen lies and gaslights attacking Shadiversity - REPLY,7wmtk5ERBMg,2023-10-12T11:08:28Z
SHADIVERSITY addresses the controversy,DiuCHqmUB0A,2023-10-11T12:26:18Z
IT'S WORSE THAN I FEARED! Wheel of Time season 2 FINALE episode 8,FsF6NvJpF-8,2023-10-07T12:00:16Z
They made him PATHETIC and WEAK! Wheel of Time season 2 episode 7 REVIEW,mPHK99ygpkI,2023-09-29T13:45:03Z
REPLY to THE QUARTERING - We need to talk about alt-tech and RUMBLE,fbCOmYLlu6Y,2023-09-28T11:00:35Z
Was this the best episode?! Wheel of Time season 2 episode 6 REVIEW,NG3RQXhsfAE,2023-09-26T13:00:21Z
True STRENGTH and the meaning of MASCULINITY - A message to young men,U6DFPujf928,2023-09-22T18:00:41Z
This ISN'T the Ahsoka show anymore... | Ahsoka Episode 6 Review,NZ1UvK5plEA,2023-09-20T13:00:30Z
Heroes are EVIL and Villains SYMPATHETIC! Wheel of Time season 2 episode 5 REVIEW,NZpEId5a2KQ,2023-09-16T21:51:37Z
BEST Star Wars since George Lucas left?! | Ahsoka Episode 5 Review,dg9iCJNHChA,2023-09-13T12:30:32Z
WORST EPISODE YET! Wheel of Time season 2 episode 4 REVIEW with NERDROTIC,5W8vOf5ePn0,2023-09-10T14:06:37Z
Why we're STUCK on reviewing One Piece NETFLIX Live-Action,TNrigbj7MR0,2023-09-08T13:00:32Z
ASHOKA promises TIME-TRAVEL and TELEPORTATION? | Ahsoka Episode 3 & 4 Review,xTy1Bg2hkok,2023-09-06T12:30:40Z
They did WHAT!?!? Wheel of Time season 2 episode 3 REVIEW,J2MU1XV1mdM,2023-09-04T10:27:02Z
WHY IS SHE SO STUPID! Wheel of Time season 2 episode 2 REVIEW,TAhKfqwUtyQ,2023-09-02T23:57:27Z
It's still TOTAL CRAP! Wheel of Time season 2 episode 1 REVIEW,BHCFjl6LOdw,2023-09-02T00:09:25Z
DISNEY IS FALLING! Their stocks are LOWER THAN NETFLIX?,Nw4K32AgwbM,2023-09-01T13:00:27Z
ACTORS ARE FURIOUS! Should Studios have the rights to their identities?,rSTVSKhfHds,2023-08-25T12:30:23Z
"Ashoka is a POLISHED TURD, but still a turd! | Ahsoka Episode 1 & 2 Review",Vbcj23WVvvI,2023-08-23T12:30:31Z
OVER before it EVEN BEGINS! Blue Beetle KILLS James Gunn's DCU,SFnlx-LtBvA,2023-08-22T13:00:30Z
SHOULD Gamers EXPECT more? Baldur's Gate 3 Controversy,32DPPWI8ITM,2023-08-17T13:30:01Z
This breaks my heart – A message to young men living without hope,Tk6dC12R7bs,2023-08-10T17:44:42Z
Ken was NOT THE HERO of the Barbie film!,zALmxrIlXa0,2023-08-06T15:13:01Z
THOTS vs Ai GIRLFRIENDS - Which is worse?,lV8GLLJMxmM,2023-08-03T12:00:38Z
Angry Joe REPLIES and calls us LIARS and HYPOCRITES!,t67ymAZGQDo,2023-08-02T12:00:46Z
Will they RESPECT the books? Wheel of Time SEASON 2 trailer REACTION and review,3RMDRV4o3ew,2023-07-27T12:57:37Z
Angry Joe ATTACKS us and proves he's a HYPOCRITE,1IVw7Q4BNL0,2023-07-24T12:00:04Z
Is this PROPAGANDA?! | Oppenheimer Full Review,QWSGQXtD-ok,2023-07-20T13:30:13Z
MAN-HATING FEMINIST TRASH | BARBIE film FULL REVIEW,zMvg2JzxHZQ,2023-07-19T18:51:40Z
Are they SURPRESSING this film?,5-4i4S1VgMQ,2023-07-19T13:00:04Z
SNOW WHITE and The 7 Randoms.. Disney Takes More Ls,7wkadmRzzmA,2023-07-18T13:30:02Z
Is Ai ART trained on STOLEN ART or is it FAIR USE?,QUoOl4rBm_Y,2023-07-15T13:32:48Z
NOW they are Desperate... Netflix WITCHER,23bZ34uDysU,2023-07-10T13:30:00Z
Is Indiana Jones a BOX OFFICE BOMB!,HRMrKhP_vKI,2023-07-07T13:00:11Z
One of the MOST INSUFFERABLE characters ever!!! | REVIEW Indiana Jones and the dial of destiny,12hMX1rPZmU,2023-06-28T13:00:46Z
This DOESN'T look promising... Netflix The Last Airbender REACTION,W5q9CQS-5dM,2023-06-23T13:00:33Z
Did NETFLIX Learn NOTHING from Cowboy Bebop??? One Piece Live Action Trailer REACTION,Ku7GQTNI9ww,2023-06-21T13:00:10Z
Twitch's death brings hope to us all!,20qH1_ycthI,2023-06-20T13:00:03Z
A useless trash film! THE FLASH is a POINTLESS nostalgia bait MESS! - Full review,PwDAZt5y8bc,2023-06-15T13:00:20Z
These Critics FLASH Reviews are DECIETFUL,HORR-ApZOe4,2023-06-09T13:00:13Z
BAIT AND SWITCH ROBBERY!! Spider-Man: Across the Spider-Verse MADE ME ANGRY,Ek-7h-PgRs8,2023-06-01T12:00:10Z
Hidden things in the DRAGON'S DOGMA 2 trailer that reveal MORE!,uf9MZd6x7Fo,2023-05-30T13:00:41Z
THE LITTLE MERMAID deep dive review - SO BAD it takes us 2 hours,uFp8C_j38_Q,2023-05-25T12:00:54Z
Be attracted to me or you're a bigot! - DOVE attacks gamers for liking attractive women,-DAU9moEXpo,2023-05-18T13:00:00Z
"DISNEY in the DUMPS, Dune Part 2 Trailer, Little Mermaid is AWFUL?  | Knightly News LIVE!",Mh6fAIcf8tU,2023-05-18T02:21:52Z
"These Writers SUCK at their jobs, so why should we care?",s9sLgY8Fy3g,2023-05-17T13:00:44Z
There's MATURE CONTENT in Starfield? Edgey Bethesda or Oversensitive ESBR Rating?,lVomLfF2NKU,2023-05-11T13:00:36Z
This is the BEST marvel can do? | Guardians of the Galaxy Volume 3 REVIEW,DkQ_NPsfIsk,2023-05-10T13:00:13Z
"Message to MATT WALSH, why cartoons & video games are not inherently childish",XqRDbZexh6w,2023-05-04T12:00:31Z
Is VIOLENCE a problem in this ultra-realistic game? Unrecord Gameplay Discussion,cOZ6t2BI5ss,2023-04-28T13:00:28Z
"WITCHER SEASON 3 along with Picard, NO RETURN for Boba Fett and John Boyega?  | Knightly News LIVE!",QUMcq7AFmoU,2023-04-28T01:43:34Z
