Title,Video ID,Published At
Unstoppable Nightwatch Ep. 2: The Dreams are Worse (Literature Devil),G0GG1rJ8hB0,2023-12-25T09:01:14Z
The Plot of John Wick 5 Might Not be What You Expect!,e7iMvM606dI,2023-12-19T21:03:57Z
How to Be an Edgelord in D&D,6VWPlwVrQ_s,2023-12-12T21:00:03Z
My Adventures with Superman Is Lois Lane A Mary Sue | Deep Dive Character Analysis,jrV1tzmjQlc,2023-09-08T16:31:56Z
So I Watched My Adventures with Superman,ewW2QgARGd4,2023-08-30T03:12:31Z
Eric July's Isom #1   An In Depth Review,6A7rbccwMv4,2023-08-02T18:30:08Z
Quick Notes: A Redemption Arc in 5 Easy Steps (Literature Devil),bufNfzD_YnQ,2023-07-26T18:30:37Z
Quick Notes: Macbeth in 60 Seconds (Literature Devil),k2VRPzFsxsk,2023-07-21T17:30:16Z
Writing Masculinity | Sokka (Literature Devil),-_GXg4nFYyQ,2023-07-18T18:00:00Z
Unstoppable Nightwatch Ep. 0: Can't Be Heroes (Literature Devil),1OYFNmvVpVM,2023-07-15T01:51:08Z
Unstoppable Nightwatch Ep. 1: Hero Therapy (Literature Devil),GUxY0yJgsCk,2023-07-10T18:06:19Z
Storybuilding: This One Trick Will Unlock Your First Story!,QPcjMiMz26Q,2023-05-27T23:54:37Z
Quick Notes: Your Story Might Be Missing This! (Literature Devil),s81qhmqLFpY,2023-05-24T19:28:44Z
Quick Notes: The Seven Basic Plots by Shakespeare (Literature Devil),VvJe_oq2KMM,2023-05-23T15:59:58Z
Quick Notes: Four Core Emotions (Literature Devil),jdotZl_PlWo,2023-05-22T15:33:54Z
Reviewing A Million Dollar Indie Comic! Cyberfrog: Rekt Planet (Graphic Novel Review and Critique),M08dBZCpDQ4,2023-05-21T22:30:10Z
That Time Injustice Catwoman Became Best Girl,ruL5B31yBZo,2023-03-01T18:00:11Z
Turning Red Is A Narrative Nightmare And Here's Why,uZWTFxDzETY,2023-02-08T22:30:08Z
Cyberfrog Bloodhoney by Ethan Van Sciver: A Book That Helped Change Modern Indie Comics,MTnV4fFUXQc,2023-01-01T07:30:09Z
