Title,Video ID,Published At
Countdown of Matt Walsh’s Most VIRAL Moments of 2023,skDCvraOSmo,2023-12-30T16:00:38Z
Ketchup Is for Children,RKWznwQvSlU,2023-12-29T23:00:23Z
Caillou vs. One-Punch Man,b30wMXwlJOE,2023-12-29T19:00:22Z
Matt Walsh Relives The Most Annoying TikToks Of The Year - 2023,WOZARSpfsYU,2023-12-29T16:00:18Z
The French Fry Epidemic,pkgHnyFalnM,2023-12-28T23:00:33Z
TikTok Feminist Likes It When Guys Pay,W04hVOfc0iY,2023-12-28T19:00:11Z
Matt Walsh Explains Why These Movie Villains Were Right,_CnrvKEUxe8,2023-12-28T16:00:20Z
Reviewing the World's Worst Candle,yqmRpZb7mBA,2023-12-27T21:00:25Z
Do You Salt Your Fries?,WBgYKDSaym0,2023-12-27T19:00:25Z
My Crew Gave Me New Year's Resolutions For 2024,288vfb4T1XE,2023-12-27T16:00:02Z
Are Shake Shack Fries Good?,HwutXCzuagw,2023-12-26T22:00:05Z
"Another ""Whatever"" Clip Goes Viral and It's Easy to See Why",baHezp7wDwE,2023-12-26T20:00:12Z
Who Has The Best French Fry? BLIND TASTE TEST,AfHIUF3qZmA,2023-12-26T16:00:05Z
"This Christmas, I Am Kenough",FHK0wMrlHos,2023-12-25T23:00:04Z
This Is What Presents Used To Be Like,KKVc0JypMWs,2023-12-25T17:00:12Z
Matt Walsh Eats A VEGAN Christmas Meal,cgFda_tbCyY,2023-12-25T16:00:18Z
Pawsing To Open a Gift...,GoVBc8B8ZaU,2023-12-25T01:00:10Z
Matt Walsh Learns Crazy Fact About Russians,3_g11mWoQ4M,2023-12-24T23:00:02Z
CoComelon Is Showing Some Interesting Stuff to Your Kids...,fa_v1-_2eDA,2023-12-23T21:00:15Z
SECRET SANTA From Matt Walsh's Crew,73VRZk7qBPs,2023-12-23T16:00:03Z
Young Recruits Claim Military Is Too Hard,ZWmPLnjFeyg,2023-12-22T22:00:15Z
Vivek Is Withdrawing Until Trump Is Restored,sb6EkerjGSM,2023-12-22T21:00:32Z
Unpopular Opinion: This Clip Is NOT A Good Sign For Humanity,8FGIKgG7bDc,2023-12-22T19:00:07Z
Another Actress Sobs For A Dumb Reason,n0ibyzWURiM,2023-12-22T16:00:25Z
"This ""Whatever Podcast"" Clip Went Viral For All The Right Reasons",Zo9E4QQe6Cs,2023-12-22T01:00:14Z
New York Times Goes After Bluey & Chip Chilla,r9UoVzWf-k0,2023-12-21T23:00:36Z
Senate Staffer Fired After Rearing His Ugly Head in the Capitol,0kwtMn_Ik-4,2023-12-21T21:00:02Z
It's Time For Netflix To Get The Bud Light Treatment,Ig5KNv-Csc0,2023-12-21T19:03:05Z
Colorado Takes Trump off the Ballot,fWd1HNRzmmk,2023-12-21T19:00:15Z
Trump Was Removed From The 2024 Ballot?!,Knf8PcuZlt4,2023-12-21T15:00:28Z
The Problem With Elf on the Shelf,wip-o_ABumI,2023-12-21T00:00:24Z
Raising Kids Without Phones,e6iNEVp1SAo,2023-12-20T22:00:15Z
New Movie Is Openly Racist,zz67tLBEgRY,2023-12-20T21:00:35Z
Here's The Solution To Our Military's Current Crisis,XYpJA2An0ss,2023-12-20T21:00:14Z
"If You Can't Answer These 3 Questions, You Probably Shouldn't Be Dating",hvn5-OBOLGc,2023-12-20T18:00:41Z
This Former NFL Player Called For Segregated Games In Viral Tweet. I Like It.,uRmECrl442U,2023-12-20T15:01:43Z
White House Shenanigans,kyB7-u8m8nE,2023-12-20T00:00:30Z
Satanic Temple Sets Up Shrine in Iowa Capitol,JPw0fG3xqLU,2023-12-19T19:00:07Z
The Erasure Of American History Is Alive And Well On The Left,M43hIi6M3s4,2023-12-19T16:00:25Z
"This Mom's ""Shocking"" Elf-On-The-Shelf Setup Has Some People Seriously Upset",g5uJ-X79Yao,2023-12-19T01:30:16Z
How Is This Allowed?,MPnzEKlUR30,2023-12-19T00:00:09Z
This New Movie Trailer Is Explicitly Racist Towards White People,BIY2BlmPBF8,2023-12-18T23:30:03Z
Dana White on the Bud Light Boycott,kdp7yWPfYf8,2023-12-18T21:00:20Z
This Viral Satanic Altar Was Beheaded And Destroyed. Good,2s68ty2QhmU,2023-12-18T19:00:01Z
Survey Shows Teens Use Social Media... How Much?!,qYfACd4gerA,2023-12-18T16:00:28Z
Racial Segregation Is More Common Than You Think,mT1-ePMBPaM,2023-12-16T19:00:28Z
Open Marriages Can Never And Should Never Work,sRQuRHgGVE8,2023-12-15T19:00:23Z
Dealing With Online Haters,SasLTZYLKt4,2023-12-15T19:00:12Z
Jada Pinkett Smith Says Will's Slap Saved Their Marriage?!,wwdQiEtL5y0,2023-12-15T16:00:42Z
This Mayor Hosted A Racist Holiday Party,ygwVyPGMYPw,2023-12-15T01:22:10Z
The Issue With a Self-Centered Society,lBsH7joI1MI,2023-12-14T21:00:31Z
The Future of America,cMJgt7R6Vxs,2023-12-14T20:00:20Z
Another Example Of Serious Anti White Racism Goes VIRAL,-QxKcU5srts,2023-12-14T16:00:00Z
This HORRIFYING Satanic Altar Was Made To Mock Christians,qiZw4W2q8Kg,2023-12-14T02:00:20Z
Will Ferrell Says Women Should Rule the World,k6hB2Juc6CQ,2023-12-14T00:00:28Z
A SHOCKING Update On The Bud Light Boycott,GkPKt3ux1ws,2023-12-13T23:42:16Z
