Title,Video ID,Published At
"BBC accused of WOKE Bias, Hollywood rushes to the defense!",6eMShT6Fnrc,2023-12-28T21:00:06Z
Disney HUMILIATED by Hollywood Trade over PITIFUL 2023 Performance!,SETD6hp9_Ug,2023-12-28T02:17:45Z
Disney in CRISIS: How the ACTIVIST Takeover BEGAN!,2hpnjMq4LzM,2023-12-24T18:04:36Z
Aquaman 2 FLOPS SO BAD it might SINK the Warner and Paramount acquisition?!,_4ztlqDKE_U,2023-12-23T18:07:31Z
Aquaman And The Lost Kingdom SPOILER REVIEW - STORY SYNOPSIS Revealed!,SI-gQKjuFnU,2023-12-21T02:35:48Z
"Jonathan Majors was FIRED SIX MONTHS AGO, and would have been REGARDLESS of verdict!",WXb0E8DeP0I,2023-12-19T14:03:40Z
"After Doctor Who DISASTER, The BBC “Modernizes” Agatha Christie, D.E.I. style!",agcX-RxvPYY,2023-12-18T03:45:56Z
"Mark Waid gets himself and his peers branded Cancel Pigs, and everyone is better off for it!",7ZqmGJ6ua20,2023-12-17T01:15:45Z
Nelson Peltz Strikes! Bob Iger and Disney board HUMILIATED in letter to ALL Disney shareholders!,_0W2TQccbbY,2023-12-15T02:52:39Z
Delayed by a year & Getting reshoots: Captain America 4 set to be Disney’s next MASSIVE FLOP!!!,TKZpKmW09jI,2023-12-14T22:11:37Z
"Walls Closing in on Bob Iger: Disney under Criminal Investigation, shareholders losing confidence!",y8yv224HiAs,2023-12-11T20:30:10Z
"Elon Musk DOUBLES DOWN, as HUMILIATED “The Marvels” ends Theatrical Run in DISGRACE!",8FSweRhBytE,2023-12-05T16:00:07Z
"Hollywood in SHOCK over Disney floundering, Marvel’s Kevin Feige about to abandon ship!?",Ld97Ussig2s,2023-11-29T06:39:49Z
"Disney BLAMES THE AUDIENCE for ""Wish"" FLOPPING with such EMBARRASSING numbers?!",FxiFrng1CE4,2023-11-28T03:10:07Z
DAVE FILONI Enlisted to Bring Forth KATHLEEN KENNEDY’S STAR WARS!?,hPghPeND-JE,2023-11-24T00:16:05Z
"«The Marvels» FLOPS even harder, WORST relative second weekend drop IN HISTORY!!!",Vn_XHs4MHAE,2023-11-20T20:00:10Z
Midnight's Edge Live Stream,B2RIPwvDLMw,2023-11-20T18:36:31Z
"After “The Marvels” DISASTER, female centric Spider-man knockoffs are Next! And Kang is GONE!",KpVKm6iquRU,2023-11-16T16:00:15Z
"The Marvels REJECTED by Women, Box office DISASTER leads to PANIC among DEI shills!",tB6sAwS3Acg,2023-11-14T03:00:11Z
When Marvel BROKE: The FALL of the MCU Inadverdently explained by book trying to cover it up!,QRkpX8GbqP0,2023-11-09T18:00:11Z
"THE MARVELS Early Reviews a DISASTER, movie is ROTTEN despite media spin!",nem-QcoFAUc,2023-11-09T00:44:47Z
Marvel in CRISIS: The RISE before the Catastrophic FALL of the MCU,bdXDB6vqKBw,2023-11-04T17:00:11Z
Gina Carano on the HUMILIATED Kathleen Kennedy; and the rumored Reaction to South Park in Disney!,dSb3hypFVYI,2023-11-01T00:45:08Z
"Kathleen Kennedy HUMILIATED by South Park, FURIOUS and wants REVENGE!?!",j5cdjirq6lc,2023-10-28T23:00:10Z
Disney 100: A company in CRISIS that has lost its way and identity,4jnh6JMEU4w,2023-10-24T17:05:00Z
"Disney in PANIC and DESPERATE to save Marvel, as even media TURNS on Bob Iger!!",aCw4HVa01Gk,2023-10-15T17:30:10Z
"Warner and DC in PANIC, James Gunn’s Reboot AT RISK over Imminent and Catastrophic Aquaman FAILURE?!",POH6b0WHUg8,2023-10-14T22:00:09Z
James Gunn’s Reboot DC Universe is actually PEACEMAKER Cinematic Universe?!,q6-D7ljhZv8,2023-10-07T22:30:08Z
Ahsoka: Star Wars HUMILIATED by another Commercial FAILURE | Postmortem,_ZAzcKuv2vY,2023-10-06T12:48:54Z
"Woke Disney ADMITS FAILURE, now doing what they FIRED Chapek for trying to do last year?!",0o1unYHyDmU,2023-09-27T22:00:00Z
"The HUMILIATION and SABOTAGE of Disney’s Chapek, at the hands of Bob Iger Exposed!",LGI_22TkQbE,2023-09-17T11:39:21Z
"The SHOCKING reason behind Disney’s Bob Iger and Chapek Falling Out, Revealed!",hIUVYJPZNJ8,2023-09-13T20:01:58Z
"Bob Iger HUMILIATED, as his Mismanagement and stacking of Disney's Board is Exposed!",jU8fCVq81dA,2023-09-12T16:05:00Z
Disney and the Rest of Hollywood RIGGING of Rotten Tomatoes EXPOSED,N30DVl3QKqY,2023-09-08T12:45:01Z
How One Piece NARROWLY AVOIDED becoming another Netflix Cowboy Bebop disaster!,BiWcI_R5UWE,2023-09-07T20:20:24Z
"Graham Hancock on Ancient Mysteries, and the Price of going against the Narrative | Interview",cjNkMn_VLho,2023-09-05T16:00:08Z
"Disney DESPERATE to bring viewers back, major Marvel course correction in the works?!",TH48OTDr85k,2023-09-03T15:39:17Z
