Title,Video ID,Published At
EFAP #264 - Getting Stuckmannized! Delving into The Tastemaker's top 50 & his film review in 2023!,thrYlMn30E0,2023-12-31T17:30:04Z
MauLer catches up on MooLer superchats while playin' vidya - A chill stream,eMq_uCxJwdE,2023-12-28T17:00:28Z
Star Grift - Episode 3 - Rebel Moon,ZspDGuG1N_A,2023-12-27T18:30:31Z
"EFAP Movies #54: Home Alone 2: with Moriarty, JlongBone, JonCJG and DasBoSchitt",mY4Z3UxmBAE,2023-12-26T16:30:06Z
EFAP #263 - A complete breakdown of Zack Snyder's Rebel Moon - Part 1 - A Child of Fire,slCZYdN_ZNM,2023-12-25T19:00:08Z
EFAP #262 - Merry Christmas! - Watching Cinematic Venom's LotR Trilogy review with the man himself,tClvdyEscrE,2023-12-24T15:33:54Z
Star Grift - Episode 2,-WBJgFFqZsc,2023-12-19T18:36:23Z
EFAP #261 - ANNOUNCEMENTS - What's coming next and a trailer - The shortest EFAP ever!,qfL7ISzUE-g,2023-12-17T18:04:35Z
The EFAP WAR Movies Arc - Official Trailer,BRAVzVDODdE,2023-12-16T21:45:10Z
"EFAP Mini - Catchin' up on EFAP #254 ""The Most Hated Artist You Probably Recognize"" & Ahsoka review",Jg8NKKbEcjM,2023-12-13T16:30:03Z
Star Grift - Episode 1 - MauLer and Star Wars Theory have a chat,f3nZiFcMSRE,2023-12-12T16:30:10Z
EFAP #0 - TDW Podcast - Delving into Jared and Quinton's minds - EFAP's Proto-episode,Vpj4viXhJa0,2023-12-09T19:00:10Z
"EFAP Mini - Catchin' up on EFAP #253 - ""The Problem with Over-criticism""",KclD3bLCuHU,2023-12-06T16:15:01Z
EFAP #260 - EFAP FINALLY discuss SOMA and revisit some videos from a long time ago...,yqFYr78DQQM,2023-12-02T19:00:09Z
"EFAP Mini - Catchin' up on EFAP #251 - ""You're Wrong About Modern Art""",y4nE60R3GE0,2023-11-29T16:00:44Z
"EFAP #259 - Chris Stuckmann asks ""Does Cinema is Kill?"" w/ Little Platoon, Capital-O and Disparu",Ti9i6Wi_A1c,2023-11-26T16:30:11Z
"EFAP Mini - Catchin' up on EFAP #248 - ""YourMovieSucks criticism of Critical Drinker""",gSBkDsEEypg,2023-11-22T16:00:22Z
"EFAP #258 - Delving into the depressing abyss of Boogie2988 w/ Nicholas Deorio, Az, E;R & Moriarty",oOMHBEwjtGU,2023-11-19T17:15:02Z
"MauLer discusses Star Wars w/ Star Wars Theory, Ryan Kinel, Darth Melvin, DiamondFigs & StarWarsSith",VukYJvmVKPc,2023-11-14T15:45:01Z
"EFAP #257 - A complete breakdown of The Marvels - It was bad w/ JLongBone, Disparu, Nutsa & Meme",WjumvOkMmTE,2023-11-12T16:00:18Z
EFAP Mini: Reacting to The Marvels - Official Final Trailer (2023) - Absolute Desperation,qHpvfgzl1gM,2023-11-08T18:30:09Z
"MauLer and Star Wars Theory chat about Andor, Ahsoka & the state of Star Wars with Will & SWS66",2WDIWNlrKkY,2023-11-07T20:41:39Z
EFAP #256 - Disney's Dead Reckoning: A New Era is Born,f7MfJFOKCIE,2023-11-06T18:30:34Z
EFAP Movies #53: Saw X,qfDU5E7q7C8,2023-10-30T20:00:06Z
EFAP TV: Reacting to the complete first season of Ahsoka,X_GVy0T5eDw,2023-10-28T17:30:11Z
EFAP Movies #52: Spiral: From The Book of Saw,GRjmYPwBHts,2023-10-27T23:00:09Z
EFAP Movies #51: Jigsaw,ccWovQrCf1c,2023-10-24T20:30:08Z
"EFAP #255 - TEAM QUIZ SHOW! - The Pantheon of the World! w/ Dev, Theo, Brooks and Jon",VmPQulEAknE,2023-10-22T15:19:56Z
EFAP Movies #50: Saw 3D,KvKI9lkPHno,2023-10-20T20:00:11Z
EFAP Movies #49: Saw VI,ZlwxiA7j9xU,2023-10-18T19:00:08Z
