Title,Video ID,Published At
A NerdWord Recommendation: Klaus,GAXsceEdYMo,2023-12-24T06:43:58Z
Why Modern Male Role Models are Losers,5kUpIO-wfa8,2023-12-04T03:12:54Z
Captain Marvel: A Failed Superhero,_c7s6Ho-0rk,2023-11-20T08:30:28Z
The Marvels: What did I just Watch?,r9hE8gKKWMI,2023-11-13T03:23:06Z
Brie Larson and the Marvels: Yeah....No one Cares,MD2PdCXtgl4,2023-11-04T21:22:01Z
Robyn Hood: Creative Brain Rot,2S_Ytqo1uSI,2023-10-15T22:45:01Z
Bambi: They Can't be Serious,mlDiuKDvjbg,2023-10-07T04:28:22Z
Strong Female Characters: Then and Now,fUl7kGV4Pqc,2023-10-01T05:02:47Z
The Marvels: Does Anyone Care?,Z4onj0aPYiI,2023-09-24T02:30:28Z
Superhero Movies Are Dying...,Vfo_udNGBH0,2023-09-05T00:17:49Z
Snow White: The Destruction of the Dwarves,w63qimx8hQ0,2023-08-19T22:58:12Z
Rachel Zegler: Hollywood's Newest Girl Boss,JVLXPizIgxc,2023-08-13T00:31:51Z
(Modern) Hollywood hates Romance,T5yt4HBbUlM,2023-08-07T01:28:52Z
Snow White: Force-Fed Feminism,r2fHrc_DUeQ,2023-07-30T01:15:06Z
The Decline of Disney,kp_Dxa0_AwA,2023-07-26T03:11:35Z
Snow White: This has to be a joke...,dSJqrSPg3fM,2023-07-20T04:23:49Z
Sound of Freedom: The Most Important Movie You will Ever See,HEydwZA_iRI,2023-07-16T03:41:09Z
The Rise of the Mary Sue Part 2,fVnakdFXywA,2023-07-09T04:52:23Z
Indiana Jones 5: The Dial of Disappointment,XpDAfRut468,2023-07-02T01:07:51Z
Indiana Jones 5: The Problem with Phoebe Waller-Bridge,6MCEGryOMfU,2023-06-25T02:36:46Z
They hate Men....,Xvgai-eAX2w,2023-06-18T00:46:23Z
"Why Live Action Disney Doesn't Work (Little Mermaid, Aladdin, Mulan, Peter Pan and Wendy, Pinocchio)",hV8su4kAkP8,2023-06-04T21:00:42Z
Indiana Jones 5: Can We Stop Please?,9ffJVmabHXs,2023-05-28T21:25:37Z
Queen Cleopatra: An Unmitigated Disaster,8pjrmXj5H-0,2023-05-22T20:07:08Z
Hollywood hates Femininity,roP3yE619O0,2023-05-08T02:08:39Z
Queen Cleopatra: Erasing History,JaHJHqPPFYE,2023-04-30T21:04:00Z
The Rise of the Girl-Boss,hFnQCbqCdwg,2023-04-17T03:36:16Z
Why Modern Male Characters Suck,yFnGQ9vQa9I,2023-03-24T03:47:15Z
Why Modern Female Characters Suck,Vq5Ymn5alC0,2023-03-14T04:25:28Z
The Destruction of Thor,5zTYQPAYzAU,2023-02-08T06:25:24Z
"The Rise of the Mary Sue (Rey, Galadriel and Jane Foster)",o-Ojo9172B8,2023-01-14T01:03:36Z
