Title,Video ID,Published At
DEI Jobs CUT by 90% | Is WOKE Over Now?,pLU9WQRktHs,2023-12-30T20:27:48Z
Aquaman and the Woke Agenda | You Won't Believe How BAD! - Full Review,Woy-B84-uVY,2023-12-29T17:30:09Z
WOKE Hollywood is DOOMED in 2024 | The Cope Begins!,pw4S43V7i7A,2023-12-19T18:33:07Z
WOKE Disney Loses Their MCU Villain | Jonathan Majors CONVICTED lol,nYs4aa9hfxI,2023-12-19T00:30:07Z
"WOKE is DESTROYING Video Games, Here's How...",4xWKP1Dr98I,2023-12-17T17:15:09Z
"The Nerd War On Woke: A Documentary | ft Nerdrotic, YoungRippa59, Geeks + Gamers, & MORE!",3HejrkxQp8s,2023-12-15T17:30:10Z
The Rippaverse is CRUSHING Woke Marvel and DC! - Alphacore Review (No Spoilers),rj3Tv_Cm_RM,2023-12-10T21:45:06Z
The Boy and the Heron - A Ghibli Masterpiece? | Review (No Spoilers),P8hxZuz2cc0,2023-12-10T02:00:07Z
"The NEW WOKE ORDER: A Documentary | ft. Nerdrotic, Benny Johnson, YoungRippa59, Geeks + Gamers",Rk3DV_DFloU,2023-12-08T19:00:10Z
"The CULT of WOKE: A Documentary | ft. Nerdrotic, The Critical Drinker, Geeks + Gamers",upsQLBejiUc,2023-12-02T22:00:10Z
Go See GODZILLA Minus One RIGHT NOW - Full Review,5vjGJsY3SQE,2023-12-01T01:57:44Z
NAPOLEON... How BAD was it? (Almost The Marvels BAD) | Full Movie Review,lqzbcNCPAww,2023-11-22T17:18:03Z
THE MARVELS loses DISNEY Half A BILLION Dollars! The M-SHE-U is DONE,oFqbP-Ngzsw,2023-11-19T22:13:23Z
THE MARVELS... How BAD was it? | Full Breakdown,t7x09e2Xxm0,2023-11-12T20:00:08Z
WORLD WAR WOKE: A Documentary | ft. Nerdrotic and The Fellowship,cJGsCxA8Cb0,2023-11-04T19:00:06Z
THE PANDERVERSE is Already HERE!,1mrTqV103CE,2023-10-29T22:00:09Z
Nerdrotic and the NERD CULTURE WAR,Nh0oQduAtEA,2023-10-15T20:00:10Z
"A NERD HOPE | ft. Nerdrotic, Geeks + Gamers, YoungRippa59, HeelvsBabyface & MORE",zYb3OOiCxQw,2023-09-30T21:00:09Z
Nerdrotic and The FELLOWSHIP Defeat a TRILLION Dollar Company,Hvzc-LFFubI,2023-09-22T20:00:07Z
"Woke Corpos Push 'Fat Liberation', Sound of Freedom Hero to Run for Senate? & MORE",IRUQF9vjkEo,2023-09-17T20:30:10Z
"STARFIELD: Pronouns in Space | DrDisRespect, Hasanabi, HeelVsBabyface",ygGbp4Qfm-g,2023-09-10T20:30:08Z
"The Wokepocalypse | ft. Nerdrotic, Geeks + Gamers, The Critical Drinker, Benny Johnson & MORE",i1pI5SXuSZc,2023-09-01T20:30:08Z
"The Iron Age | Rippaverse, Comicsgate, Razorfist & More",Y7OUiQ8Ss4Y,2023-08-27T21:15:08Z
"Woke Disney went TOO FAR! Normies are DONE - Lauren Chen, Eric July, The Critical Drinker",nqfw77HW9fo,2023-08-20T21:15:07Z
DISNEY is in SERIOUS TROUBLE | Rippaverse will REPLACE it?,htxCyDy1n2Q,2023-08-17T21:15:11Z
The Woke Hollywood Dystopia | Nerdrotic Vs San Francisco,4bNoAbAwcxs,2023-08-13T21:15:08Z
"How to REPLACE Woke HOLLYWOOD | EVS, Geeks+Gamers, TheQuartering",yrEQQImOnuM,2023-08-06T21:15:10Z
"Nerdrotic, Rippaverse, Geeks + Gamers Start WHALE SANCTUARY?!",oSfxUcy_QAY,2023-07-30T21:15:10Z
What's a Super Chat Fight? | Geeks + Gamers & Nerdrotic Vs John Campea,_JfCv0s05iA,2023-07-21T15:00:35Z
"Sound of Freedom SUCCESS Drives Media INSANE! ft. Jeremy Jahns, The Critical Drinker, Tyrone Magnus",R62x0RlM6GU,2023-07-16T21:15:07Z
NEW Willy Wonka Gets A WOKE Reimagining,oqES0NytuLs,2023-07-12T19:00:07Z
Disney & Warner Bros are IMPLODING! Woke Hollywood is FINISHED?,QoJQlbuE3ww,2023-07-08T17:15:00Z
"THE PARALLEL CULTURE | ft. Nerdrotic, Dr DisRespect, The Rippaverse, Comicsgate, & MORE",0b9hNq1lSUE,2023-06-30T21:15:00Z
The Nerd Renaissance | The Rippaverse and Comicsgate are WINNING!,UqERi64wojQ,2023-06-24T21:15:07Z
NERDS can SAVE THE WORLD from WOKE,A4nvn9SUBU8,2023-06-20T18:15:00Z
"Call of Duty Bros Accidentally Join The Culture War | Nickmercs, Dr Disrespect, TimTheTatman",CfT0sym1Klk,2023-06-14T17:15:00Z
Stopping the WOKE MIND VIRUS,Mjyvx1RZSKQ,2023-06-10T20:15:10Z
The PEOPLE Vs. TARGET,YHn8xzxUvlM,2023-05-30T20:00:08Z
The PEOPLE vs. Target PRIDE,jQHT-dG8b1Y,2023-05-28T19:15:00Z
The END of WOKE | The Nerd War On Woke: A Documentary,2YlMe56ygxs,2023-05-21T21:09:51Z
WOKE 'Dove' Hid This CRINGE Ad Campaign,AWU_AnFCKb0,2023-05-19T22:00:04Z
The Joker Vs Joe Biden Vs Stairs #shorts,DYu3jp4qrnI,2023-05-12T00:04:17Z
WOKENESS Opened A Portal to HELL?,UzljGtwZ6n0,2023-05-07T21:15:00Z
"Warner Bros ""Reimagines"" its Classic Movies to be WOKE",dKGAdv2WRGA,2023-04-29T21:15:01Z
The Woke Elite | THE NERD WAR ON WOKE: A Documentary,xT_J5DmnrPo,2023-04-21T19:30:06Z
The WOKE Agenda's Real Goal,gMiD4aTJuBQ,2023-04-14T19:30:05Z
Who's Behind the WOKE HOLLYWOOD CULT?,yzL18KYZn4E,2023-04-05T19:15:01Z
Is WOKE Hollywood CANCELED?!,mclKz1Wq01M,2023-03-26T19:15:02Z
The PRESIDENTS Review: The Last of Us (AI Voice Meme),D62Co2SWZhg,2023-03-14T19:15:00Z
WTF is WOKE?!,Cc-3BuLof0k,2023-03-11T20:15:00Z
'VELMA' Hit WOKE BOTTOM | THE NERD WAR ON WOKE: A Documentary,iOhce5hPu-k,2023-02-24T20:00:23Z
Woke 'VELMA' Just UNMASKED Hollywood,FHIIuXKrCJc,2023-02-12T19:00:08Z
Woke 'VELMA' Just REDPILLED the INTERNET,Kg3FF602E9U,2023-02-02T20:30:01Z
THE HOLLYWOOD AGENDA | THE NERD WAR ON WOKE: A Documentary,G9UzqV16hB0,2023-01-20T23:00:15Z
WOKE Hollywood's DARKEST TIMELINE,hIZ61u7JaFc,2023-01-18T20:07:58Z
I HAVE THE RIGHT TO REMAIN SILENT!,GL_sw9STMgc,2023-01-13T21:27:10Z
Hollywood's DIVERSITY OBSESSION isn't going well...,JQAQ2d8C0Gw,2023-01-08T22:00:09Z
