Title,Video ID,Published At
"Aquaman 2 FLOPS But Still EMBARRASSES The Marvels! | Beats It In Only 2 WEEKENDS, Disney Shills BTFO",aFSOxMRjaBU,2023-12-31T18:33:52Z
"Marvel Goes FULL CRINGE In DESPERATE Effort To Save Echo Series With 'Superfans"" Like Rings Of Power",kq3Nu_1VJTw,2023-12-30T17:19:04Z
Doctor Who Creators LIE About Pushing WOKE Propaganda After Fans REJECT Black Gay Doctor,RCHCaAFOS04,2023-12-29T22:23:50Z
Woke Media DESPERATE To Get People Excited For Marvel's Newest CRINGE Girl Power FAILURE Madame Web,bKeiyXiCIZw,2023-12-29T17:33:32Z
Adam Driver Confirms He's DONE With Disney Star Wars | Wants NOTHING To Do With Rey Movie Disaster,msskKS55GNs,2023-12-29T05:00:31Z
"Woke Disney Box Office DISASTER! | Media Gives Disney WORST Grade Of 2023, Still Won't Admit FAILURE",QDux2Db7clk,2023-12-29T00:38:58Z
Aquaman 2 Box Office FLOP Gets WORSE! | CRASHES At Box Office After MISERABLE Ending To DCEU,ZEBthMJd74E,2023-12-28T20:00:13Z
Disney Star Wars The Acolyte Will Be A CRINGE Woke DISASTER | New Leaks About Lucasfilm's Next FLOP,BvaBrqOgGJQ,2023-12-28T15:30:03Z
"Transgender Netflix Actor Gets DESTROYED By BASED Delta Airlines Employee Over ""Misgendering""",o_5GczDt5eM,2023-12-28T01:30:25Z
"Disney DESTROYS Doctor Who | Fans REJECT Black Gay Doctor, Christmas Special Gets Worst Ratings EVER",tGwoa2Lcx6s,2023-12-27T20:43:14Z
Rings of Power Season 2 Keeps DESTROYING Lord Of The Rings | Sauron Casting Is A JOKE,mLu8IWb4FSA,2023-12-27T04:20:50Z
"Aquaman 2 CRASHES And BURNS At Christmas Box Office, Hits PATHETIC New Low As DCEU Dies",MkTyxEuxZfw,2023-12-26T20:28:58Z
The Marvels Director ADMITS She Wanted To Go FULL Woke CRINGE After Bob Iger SLAMS Her,Ghxp__50TBw,2023-12-26T15:35:33Z
"Worst Year EVER For Woke Hollywood?!? | Fans WALK AWAY, Hollywood Goes Woke And Loses BILLIONS",Jb9h16O10v8,2023-12-26T02:53:45Z
Disney Gets SUED AGAIN After Another Streaming DISASTER | Willow Actor SUES After Disney+ FAILURE,OEi61Ay0Owg,2023-12-25T20:38:13Z
Woke Media DESTROYED For Defending The Marvels FLOP After Aquaman FAILURE | Shills Attack Fans!,TovR7Um-u-Q,2023-12-25T16:14:48Z
Kevin Spacey SLAMS Netflix And Goes VIRAL In Wild Tucker Carlson Interview As Frank Underwood,IsxoXu3oKAg,2023-12-25T05:53:11Z
"Aquaman 2 Is A PATHETIC Box Office FAILURE | One Of The Biggest FLOPS In DC HISTORY, DCEU Dead",cRWeCkaCsO8,2023-12-25T00:56:09Z
DC Game SLAMMED Over CREEPY Poison Ivy Child Redesign | Fans BLAST Rocksteady For Harley Quinn Line,V7HuhtKUGgY,2023-12-24T18:35:33Z
Aquaman 2 Box Office Already A FLOP For Warner Bros | One Of The WORST Openings In DCEU HISTORY,YflRBsiqPQo,2023-12-22T21:34:53Z
Woke Disney Just Had It's Worst Year Of ALL TIME | 2023 Was A DISASTER For Bob Iger And Disney,sPf9FHXfWeY,2023-12-22T15:53:54Z
