Title,Video ID,Published At
Man EXPOSES Half-Naked Attention Seeking Woman,9OpGdnCmjTU,2023-12-31T16:00:05Z
Woman CAUGHT Cheating With His Best Friend,t2OX4niLAkM,2023-12-30T15:00:57Z
Man Outsmarts Toxic Woman With One Simple Question,8P8XDSo9Ox0,2023-12-29T15:00:05Z
Millionaire REJECTS & FRIEND ZONES Woman,NbOJzJbLGp0,2023-12-28T14:45:03Z
"Woman DISRESPECTS Man During Date, Instantly Dumped",BpCRXwBzVT8,2023-12-27T15:00:13Z
Man Runs Away On Date When She Brought Her Friends,LFCJvaAKysI,2023-12-25T15:00:20Z
"Woman Fails On Twitch, Starts A OnlyFans Instead",YsMbA982nUc,2023-12-24T15:00:25Z
Men IGNORE Attention Seeking TikToker,Lfe4yc8WbKk,2023-12-23T16:34:59Z
Woman Celebrates Divorce & INSTANTLY Regrets It,KHk79kZPbtw,2023-12-22T17:00:12Z
Woman Has A MELTDOWN After Man Asks For Divorce,PaKxHF4GfEo,2023-12-21T17:00:17Z
Man Breaks Up With Cheating Girlfriend,nJjiW2mXc1w,2023-12-20T18:00:31Z
"Woman Challenges Man To A Fight, Instantly Regrets It",Av73-mugm24,2023-12-19T18:00:04Z
Man DUMPS Girl During Date After Hiding Phone #2,THzjDvggtpw,2023-12-18T15:00:31Z
"Woman Acts Delusional During Date, Man Leaves",4BI--3E8sL8,2023-12-17T15:00:03Z
Man DUMPS Girl During Date After Hiding Phone,K1baifWdRQw,2023-12-16T15:10:00Z
Angry Woman Throws A Punch At Man For Rejecting Her,u0xyY_ZV8os,2023-12-15T15:30:18Z
Man THREATENS Woman For Filming In The Gym,NEto6fuhtaA,2023-12-14T16:00:14Z
Man LEAVES Woman During Date #5,NIaa3O31y1k,2023-12-13T15:00:27Z
Delusional Adult Actress Has Surgery To Become A Virgin,XnJPX52OvNg,2023-12-12T16:00:17Z
Man REFUSES to Look At Woman Who Friendzoned Him,2uV_HNdvWQc,2023-12-10T15:30:24Z
Man REJECTS Friend Zone and WALKS AWAY,FDWwCHmv2j4,2023-12-09T15:30:03Z
Man DESTROYS Delusional Woman,Dna0bs6gW7g,2023-12-08T20:45:00Z
Man Spends $100k On Only Fans Model & INSTANTLY Regrets It,bT5_rR6lg0g,2023-12-08T16:00:21Z
Man LEAVES Woman During Date #4,ztSy7a5Ugb8,2023-12-07T15:30:13Z
Man Dumps Cheating Girlfriend After She Does This,l4dyzpLuzWo,2023-12-06T15:00:40Z
Man LEAVES Woman During Date #3,6_R5ACa-S2U,2023-12-04T15:30:01Z
Man Owns Feminist Using Her Logic #3,VIQJ6dS4ycI,2023-12-03T16:00:27Z
Man Puts Woman In Her Place,GFgOxdlW3yg,2023-12-02T15:00:08Z
Woman FAILS To Intimidate Man During Date,IzrQaKWpbD4,2023-12-01T15:00:13Z
Man Divorces Woman After She EMBARRASSES Him At Wedding,MNSpEkDGrKs,2023-11-29T15:00:21Z
TikTok Is Getting Crazy,lNNLVWAyMXc,2023-11-28T15:00:40Z
Man HUMBLES Entitled Woman and Refuses to Pay For Date #2,LAYtA-lfaYs,2023-11-27T15:00:24Z
Man Gives Adult Actress A Taste Of Her Own Medicine & She Can’t Handle It,hEKuHCcd59w,2023-11-25T12:00:38Z
Man THROWS Drink On Angry Woman,8aooDvlKOFc,2023-11-24T15:00:08Z
Adult Actress Gets REJECTED By Man Because Of Her Past,E4jQYordxT0,2023-11-23T15:00:10Z
Man LEAVES Woman During Date #2,almXJFh_xFQ,2023-11-22T15:00:02Z
Girlfriend RUINS 11 Year Relationship in 38 Seconds,T-nPvsanrmw,2023-11-21T15:00:32Z
Man Shuts Down DELUSIONAL Woman With Facts!,gUZEhjMQINo,2023-11-20T15:00:30Z
Man LEAVES Woman During Date,UFe1xe0JSC8,2023-11-19T15:00:29Z
Man EXPOSES Fake Female Fitness Influencer,btQn_KO-0fc,2023-11-18T23:55:37Z
Man Owns Feminist Using Her Logic #2,cJYEr6aS170,2023-11-17T15:00:30Z
Man Shuts Down DELUSIONAL Woman With Facts,9FIwpqXqcPI,2023-11-16T17:00:11Z
Man Owns Feminist Using Her Logic,neQZya34Jzo,2023-11-15T15:00:48Z
Only Fans Girl RAGE QUITS Over Biological Facts,ZPzjtlzbBfU,2023-11-12T15:30:07Z
Man REJECTS Cheating Ex Girlfriend,cRNKvjdo-A4,2023-11-11T16:00:31Z
Man HUMBLES Entitled Woman and Refuses to Pay For Date,wiqL6BnRLFg,2023-11-10T15:15:03Z
Man Refuses To SIMP For Adult Actress,92tX1JaR3VA,2023-11-09T17:00:10Z
Disrespectful Woman Gets KICKED Off Podcast,tX62B4S2wZ0,2023-11-08T15:00:47Z
Man Gives DELUSIONAL Women A Reality Check,-lwDxWizCyQ,2023-11-07T15:00:00Z
Man IGNORES Cheating Girlfriend,MdB-pycS90I,2023-11-06T16:45:23Z
Simp Dated An Only Fans Girl And She RUINED His Life,Hsljt9Jw8BQ,2023-11-05T16:00:10Z
Woman On Holiday Ruins Her Relationship In 16 Seconds,zRT1wNj8UiE,2023-11-04T16:00:46Z
Men ROAST Female Soldier On TikTok,8V0TLHHtPl0,2023-11-01T18:00:05Z
Woman Punches Man & Instantly Regrets It,gZROCETO9cg,2023-10-30T16:00:25Z
TikToker Gets KICKED Out Of Gym,2OMGPEHM5Zw,2023-10-28T15:15:00Z
Woman Instantly Regrets Grabbing Man's Private Parts,jCQrK_DhMQc,2023-10-27T14:00:36Z
"Woman Gets Caught Cheating, Instantly Regrets it",SySqaGFzFSs,2023-10-26T18:30:20Z
Brittany Renner Continues To EXPOSE & EMBARRESS Herself,A-EkL_d8S5Q,2023-10-25T18:30:12Z
Men Are REFUSING To Help Modern Women,vGxT5RpsXxY,2023-10-24T17:00:43Z
"Girlfriend Disrespects Her Man, Instantly Regrets it",UHksfsIsAV4,2023-10-22T15:00:21Z
Man CHARMS Group of Thirsty Girls,FGlRvpzBAus,2023-10-21T15:00:20Z
Toxic Only Fans Girl Gets EXPOSED,YTjAE_ixAQk,2023-10-20T16:15:03Z
Men ROAST Attention Seeking Gym Girls,g3clFVQeKuY,2023-10-19T18:30:33Z
Jada Pinkett Smith HUMILIATES Will Smith Yet Again,KlvcChR1veA,2023-10-18T18:30:22Z
Lana Rhodes Has Officially Hit The WALL,54vBoATx6JM,2023-10-17T17:30:00Z
OnlyFans Model Gets CAUGHT Making Content,mf03gVgDO-U,2023-10-16T18:30:36Z
This Is Why Men Don't Date Anymore...,xNrDkGp5vIo,2023-10-15T13:00:47Z
Only Fans Girl Gets REJECTED By Famous Youtuber,X0WDZcQ4wKM,2023-10-13T16:00:55Z
"When a REAL WOMAN Goes Out In Public, This Is What Happens..",D6D9jOC1WxY,2023-10-11T18:45:00Z
The Best Of When Men STOP Simping For Women,XwLIvJwRxGA,2023-10-10T17:45:01Z
Wife Caught Her Husband CHEATING On Their Wedding Day,tzsbyxTtLhk,2023-10-09T17:30:06Z
Man KICKS OUT Disrespectful Girl,B2aONrrEL0Y,2023-10-07T17:15:00Z
Brittany Renner SLEPT With 3 Men In 24 Hours,_bmSTmfO-cA,2023-10-05T18:45:02Z
Angry Woman ATTACKS Man,wTJCRCBQThw,2023-10-03T18:15:05Z
Brittany Renner Continues To Embarrass Herself...,TTuWCsjOwxc,2023-09-30T18:00:10Z
Man REJECTS Only Fans Model #4,SgrnaVt0mog,2023-09-24T15:00:26Z
"Woman Demands $500,000 To Date Her...",dn8kwcvinkw,2023-09-22T17:15:00Z
Woman EXPOSES Boyfriend For Cheating With Another Girl,b7I27syVMH8,2023-09-21T16:00:35Z
IG Model Gets DUMPED By Famous Man,-5RNOwAcO9w,2023-09-19T17:00:00Z
Woman ROASTS Attention Seeking Gym Girls,C9aiBOAYEJc,2023-09-17T15:00:15Z
Has Logan Paul Gone Too Far?,n6mMeAju2kg,2023-09-16T15:00:39Z
Candace Owens SILENCES Woman Who Sleeps With Married Men,uB-XDButUWQ,2023-09-13T16:00:48Z
Self-Entitled Woman Gets Put In Her Place By Man,adbusQA8yAA,2023-09-12T17:00:01Z
Women's USA Football Team Lose 12-0 To Retired Men's Team,4v2bIW4YmXk,2023-09-10T15:00:05Z
Woman EMBARRASSES Herself In Public,COL67FE2g-w,2023-09-09T15:45:00Z
Bradley Martyn FAILS Trying To “Act Tough”,jK9r7UMk00w,2023-09-08T17:30:04Z
Woman RUINS Her Marriage In 60 Seconds..,0seoApM2jfY,2023-09-06T17:15:00Z
Brittany Renner Loses Her Mind On Podcast,sBkF4rrQLSg,2023-09-04T17:15:02Z
Women FAIL To Get Innocent Man Cancelled,yvzxUuiiyfg,2023-09-03T15:00:42Z
"OnlyFans Model Takes The ""Female Delusional Calculator""",ywMbjNmQDLk,2023-09-01T17:00:40Z
Man HUMBLES Attention Seeking Gym Girl,hzt4EyCsrHI,2023-08-31T19:00:30Z
Vegan Woman Gets HUMBLED By Teenager,sYygeWyBZG8,2023-08-30T16:30:09Z
Men VS Women SURVIVAL ISLAND,DRUr-L9-Re4,2023-08-28T17:30:01Z
Woman Goes CRAZY After Her OnlyFans Pictures Got Leaked For Free,JsAmRcR2PlU,2023-08-27T15:00:14Z
Man EXPOSES Beta Male Dating Coach,5pslLeWjkxM,2023-08-25T17:00:03Z
Modern Woman REFUSES To Accept REJECTION #9,Dzq3pcHMqmU,2023-08-24T16:15:00Z
Logan Paul's Wife Gets ROASTED By Men,HG8gSKkTQio,2023-08-23T17:15:01Z
Men ROAST Margot Robbie On TikTok,PAAVHDfzv0w,2023-08-22T17:00:19Z
Man REJECTS Three OnlyFans Models At Once,egUmG-HllPU,2023-08-21T16:00:35Z
Man Calmly DISMANTLES Delusional Woman,Pzk_sUM1rg8,2023-08-20T15:00:30Z
"Woman REGRETS Being Independent, Now She Is Single & Alone",gDQmik8ZBKE,2023-08-18T18:00:16Z
Man EXPOSES Wife For Cheating With Another Man #4,77zEovDwngc,2023-08-17T18:00:04Z
Man Refuses To SIMP For Woman,uNX4Y2XdSqE,2023-08-16T17:45:02Z
Woman RUINS Her Relationship In 10 Seconds,-qK3-P3uylA,2023-08-15T16:45:00Z
Woman Finally Realizes SHE Is The Problem,AGoFq6GBpnk,2023-08-14T16:00:07Z
Man Eats Chicken In Front Of ANGRY Vegan Woman,Ihxx_cNlUFc,2023-08-09T17:45:00Z
Teenage Boy HUMBLES His Feminist Teacher,NXWYAvKOvw4,2023-08-08T18:45:00Z
Man EXPOSES Wife For Cheating With Another Man #3,DAYjAXNOWE4,2023-08-07T17:15:00Z
Mia Khalifa Gets ROASTED For Awful Marriage Advice,aNdv3qOa98k,2023-08-05T16:00:02Z
Man IGNORES Thirsty Gym Girls,11tfZ6FPzcA,2023-08-04T18:15:00Z
Modern Woman Gets HUMBLED At Relationship Conference,KyjKdWKWKxY,2023-08-03T17:00:21Z
Woman ATTACKS Man In The Club,5auU1D5Zu2s,2023-08-01T18:00:02Z
Soldier EXPOSES Wife For Cheating With Another Man,KMiSPSEYqSk,2023-07-31T17:15:00Z
Adult Actresses ASHAMED Of Their Past,8jTG3k95Yt4,2023-07-30T19:45:00Z
