Title,Video ID,Published At
AQUAMAN 2 is a Box Office DISASTER | The END of the SNYDERVERSE!,sGAyFI9-2tw,2023-12-30T19:46:08Z
THE BATMAN 2 Update: VILLAIN CONFIRMED & ROBIN to be FEATURED!,QrVpLbcEFrM,2023-12-28T17:37:01Z
JONATHAN MAJORS FIRED by MARVEL: KANG to be REPLACED!?,TOBkeZlwGUI,2023-12-27T16:23:48Z
ANNE HATHAWAY Cast as BLACK CAT in SPIDERMAN 4 | What COULD'VE Been!,b32QrbFQTLI,2023-12-19T20:30:02Z
The PROBLEM with JAMES GUNN Steering the DC UNIVERSE!,rZekIJuusnY,2023-12-15T19:30:44Z
KYLO REN's Arc Was RUINED: ADAM DRIVER Speaks Out!,ObdRp39AcWg,2023-12-14T23:06:03Z
Why AQUAMAN: The LOST KINGDOM Will FLOP at the BOX OFFICE!,o45xMZcqu5g,2023-12-13T21:55:29Z
MARVEL Giving THE HULK a New SOLO MOVIE!? | MARK RUFFALO Speaks Out!,tLCSOfcD_gY,2023-12-10T20:26:01Z
READING and REACTING to MEAN COMMENTS  | HATERS at their WORST!,bQMGMSFUsAA,2023-12-08T02:40:24Z
WISH FLOPS at the BOX OFFICE | PROOF Audiences are DONE with DISNEY!,ymEMYWqTq-o,2023-12-05T22:54:02Z
MARVEL Turns the SILVER SURFER FEMALE!? | Disney's GENDERBEND Agenda!,40wTCId3Mi0,2023-12-01T20:48:10Z
PEDRO PASCAL Cast as MR FANTASTIC? | MARVEL'S Next MISTAKE!,X6yw33U8Loc,2023-11-29T17:44:09Z
SHE-HULK Season 2 COMING SOON | MORE Disney Marvel DISASTERS!,ySydF4mQkgo,2023-11-28T21:59:28Z
Captain America 4 DESTROYED in Test Screenings | MAJOR RESHOOTS!,u12bfVsOdbw,2023-11-20T18:50:43Z
THE Marvels FLOPS at the Box Office | A DISASTER for MARVEL!,qc2fdlJMwZ0,2023-11-16T20:13:10Z
MADAME WEB Trailer REACTION | More CRINGE from SONY!,wrFKPGDF5y8,2023-11-15T22:49:41Z
MARVEL is DOOMED: The END of an ERA!,SEuYwNZRIdg,2023-11-05T22:57:13Z
Five Nights at Freddy's Movie Review | The FAIL of FNAF!,OILEtuPcBuQ,2023-11-02T21:08:06Z
Rachel Zegler DOOMS Disney | Snow White Remake DELAYED AGAIN!,vYZcl8SIV6c,2023-10-31T20:53:09Z
I Tried Watching KILLERS OF THE FLOWER MOON | Why I LEFT the Theater!,AG_Im4purZA,2023-10-18T21:37:45Z
THE MARVELS Expectations | A Box Office DISASTER!,D5zwGsxBg7M,2023-10-14T16:00:09Z
DAREDEVIL: Born Again SCRAPPED | Writers FIRED by DISNEY!,PxMHvT5Qwwo,2023-10-12T19:00:23Z
ALL JUSTICE LEAGUE Actors to be RECAST for the NEW DCEU!,1fU49Yc6GPM,2023-10-11T19:44:42Z
James Gunn's DC DISASTER: Misplaced PRIORITIES!,-cbxwjNbNfo,2023-10-06T22:15:00Z
LOKI Season 2 Review: MARVEL'S Last HOPE?,mkcoz74NMv4,2023-10-04T22:45:01Z
Spooky Season Cinema: My TOP 10 Movies for HALLOWEEN!,Jih-41tfbt0,2023-10-01T19:00:10Z
We're SICK of Disney's AGENDA: Bring Back the POPCORN MOVIE!,mhuSXrJU1ZM,2023-09-30T16:30:15Z
MEN and WOMEN Don't CONNECT Anymore: Here's WHY!,K5i6zmFy_Bc,2023-09-28T22:30:01Z
DC STUDIOS in CRISIS: The TROUBLING Path AHEAD!,1iiOyr6Pxt4,2023-09-21T23:00:02Z
REJECTING BAD Disney STAR WARS: The UNGRATEFUL Truth!,rltg_ELO1UE,2023-09-19T22:00:21Z
Cracking a Whip in Catwoman Cosplay!,jsp_AuxHQN8,2023-09-18T21:14:50Z
Why AMBER HEARD Is STAYING in Aquaman 2 | JAMES WAN Speaks Out!,BPZffki9ntE,2023-09-17T15:56:18Z
THE CROW Reboot: A DISASTROUS Revival | WHY it SHOULDN'T Happen!,ZwE8GISjtUU,2023-09-15T18:30:22Z
Elon Musk's OVERWATCH COSPLAY Fetish!?,K90uTwJRB58,2023-09-14T22:13:13Z
WHERE'S the AQUAMAN 2 TRAILER? Warner Bros Keeps Fans WAITING!,eMIi1N3cgdg,2023-09-09T15:00:23Z
James Gunn INSULTS Batman and DELETES Facebook after Backlash!,fYtghFgZHhE,2023-09-07T18:00:13Z
Ahsoka CANNOT Fix Star Wars | DISNEY's Damage is DONE!,97NiSopwy6s,2023-09-06T21:22:54Z
Why the DCEU Ruined WONDER WOMAN!,qe3WC6dM4Qg,2023-09-02T19:00:23Z
THE BATMAN 2 Villain REVEALED & Film Date CONFIRMED!,MDLABWFsV3k,2023-09-01T17:33:44Z
Disney DELAYS Live Action SNOW WHITE Movie | Rachel Zegler FIRED!?,qRpEe0qsqJ8,2023-08-31T17:38:22Z
Ahsoka Episode 3 REVIEW | This Will NOT Save Star Wars!,4JNWb_ZVP_s,2023-08-30T21:05:13Z
Charlie Cox OUT After Daredevil: Born Again!?,CBkE_4J1sm8,2023-08-29T16:38:58Z
Blue Beetle FLOPS at the Box Office | DC is DONE!,4tJOf36Qctw,2023-08-24T23:09:08Z
Rachel Zegler's TOXIC Snow White Remake | DISNEY is DONE!,yy7gJyShnew,2023-08-19T18:47:26Z
Blue Beetle Review | A Bottom-Tier MCU Rip Off!,Xs_xN5zSkGE,2023-08-18T21:11:06Z
Gal Gadot is NOT Back as Wonder Woman | What Happened!?,9OJAr9w85Ao,2023-08-16T22:21:31Z
Marvel VFX Artists STRIKE BACK!,TKsKqx4__2U,2023-08-15T23:48:04Z
Gal Gadot BACK for Wonder Woman | Why DC is DOOMED!,6A5J0Y8H4ew,2023-08-09T22:02:04Z
International Cat Day | Celebrating with my Catwoman Cosplays,xzC-Q2_240o,2023-08-08T17:27:42Z
I Went VIRAL on Instagram Reels and THIS is What Happened!,vaTK7MWhUrA,2023-08-04T17:53:31Z
The BARBIE Movie: As TOXIC as SHE-HULK!?,Tvtkb-WY2Ng,2023-07-27T00:58:37Z
AQUAMAN 2 Undergoes MORE Reshoots | Another FLOP Waiting to Happen!,BwFuGuc6Txs,2023-07-24T19:11:40Z
The Barbie Movie Review | Right Out of the Theatre,nUm6eOHNhkE,2023-07-19T18:12:05Z
The BARBIE Movie | Early Screening & my Thoughts!,MElvz9NwwnA,2023-07-19T14:59:45Z
Is DC Purposely DOOMING Blue Beetle!?,VgNRtFIi6Z0,2023-07-17T18:10:53Z
Why WOLVERINE in DEADPOOL 3 is Just Another CASH GRAB!,H2voZgOoyrQ,2023-07-16T14:48:55Z
WHY Disney CEO Bob Iger SLASHED MARVEL and STAR WARS Content!,jUAltGFLd8s,2023-07-15T01:53:30Z
Disney's GRUMPY OLD MAN Trope | RUINING Your HEROES!,mbDXHy2yahc,2023-07-10T16:00:37Z
James Gunn's NEW SUPERMAN David Corenswet is the PERFECT Choice!,0ItD5HQecOs,2023-07-08T18:39:08Z
DISNEY's DAREDEVIL: BORN AGAIN will be NOTHING like the NETFLIX SERIES!,p5LM6bTOmc8,2023-07-06T21:43:33Z
Why KRAVEN THE HUNTER is DOOMED to FAIL!,bekEMN3T-9s,2023-07-05T22:17:53Z
Gal Gadot CONFIRMS Return as WONDER WOMAN!?,o-clCTp5n2w,2023-06-29T20:05:50Z
The Flash FLOPS at the Box Office | Is it SUPERHERO FATIGUE?,sUeLzqv8uag,2023-06-24T16:00:39Z
MARVEL's Secret Invasion Opening Credits is ALL AI ART | Another INSULT to Artists!,o1jf9EEaVtg,2023-06-23T20:57:21Z
THE FLASH Movie Review NO SPOILERS | DC's BACK!,h_d0gUwqx7Y,2023-06-16T20:00:22Z
EZRA MILLER Attends World Premiere of THE FLASH | HYPOCRISY at its FINEST!,xKHQsEN4drA,2023-06-15T16:56:18Z
"JOHNS HOPKINS | LESBIANS Are Now ""NON-MEN!?""",cWw9l1C7nSE,2023-06-14T20:53:07Z
THE FLASH Review | Me VS The Internet,zEuNMRUmKQw,2023-06-13T21:25:00Z
WHEELJACK in TRANSFORMERS: Rise of the Beasts is THE WORST,MglFtHE4X2c,2023-06-13T00:59:53Z
Transformers: Rise of the Beasts REVIEW | REACTION & Easter Eggs!,KilPfVG5dUA,2023-06-11T16:00:12Z
THE FLASH Movie Review | DC FINALLY Gets It RIGHT!,cu8doQPc8V0,2023-06-06T19:15:00Z
Upcoming LIVE ACTION Disney Remakes | Why DISNEY is DESTINED to FAIL!,RC0ANjDt7DU,2023-06-05T20:30:02Z
Disney's MODERN AUDIENCE | WHO is this all FOR!?,Vju96SUBuio,2023-06-01T23:36:40Z
The Flash Early Screening | Meeting Sasha Calle as SUPERGIRL!,Q-FMDDYnn5o,2023-05-31T17:11:47Z
THE FLASH Early Reviews are IN: the Fans LOVE IT or HATE IT!?,0FEscS9tcrk,2023-05-25T18:44:07Z
My OPTIMUS PRIME Cosplay for Transformers: Rise of the Beasts!,yMn4taQstNg,2023-05-21T19:22:39Z
