Title,Video ID,Published At
The Game Awards 2023 was a COLOSSAL Waste of Time,tqWTLv_goqo,2023-12-12T19:00:21Z
Amazon's Fallout is going to SUCK,Tse0R0YJS1U,2023-12-03T01:12:14Z
Based Game of the Year Just Dropped,JlkMA22lv9g,2023-11-18T00:15:51Z
"Spider-Man 2 is Disgusting, Woke Propaganda",PnYPEfhmGlE,2023-11-02T21:10:43Z
Remember When Superhero Games Were Good?,oUQW5fGWU9A,2023-10-25T18:47:45Z
Assassin's Creed Mirage is Mid,EX8kHXWIEdQ,2023-10-11T21:47:04Z
Starfield is Creatively Bankrupt,dRDi6XHfcJ8,2023-09-13T18:58:45Z
Armored Core 6/10,hoSZaqj1Wzo,2023-08-30T21:49:53Z
Immersion is DEAD,qz22OSE27Fg,2023-08-25T00:23:34Z
Baldur's Gate 3 is Excellent and Terrible,fkKHAa9FiZ0,2023-08-17T18:00:28Z
"Barbie is the Most Delusional, Hateful, Woke Film I've Ever Seen",oSN5X0tXBIk,2023-07-25T21:19:14Z
Darksiders II - 11 Years Later,ZbNqwyKfFdk,2023-07-14T23:07:14Z
The True Sequel to F.E.A.R.,t0jGVOlaydI,2023-07-03T17:00:35Z
Final Fantasy 16 Will Put You to Sleep,ocN-HPG0_zg,2023-06-28T19:44:30Z
That Was The WORST Gaming Showcase of all Time,TVGJIayCmlE,2023-06-15T19:30:31Z
Twitter Doesn't Like My Zelda Video...,tSaloPojGn0,2023-06-03T18:47:36Z
Tears of the Kingdom is Not a Masterpiece,Kln6-U2Eh_M,2023-05-30T20:39:06Z
The Playstation Showcase Was Terrible,ace3NCD7nkM,2023-05-26T00:13:41Z
An Actual Review of Star Wars Jedi Survivor,ommjLTg7nXs,2023-05-04T18:19:21Z
In Defense of Crowbcat,FIt6wIVcExw,2023-04-17T19:54:12Z
Resident Evil 4 Remake is Actually Good,yBwkOnHm6ZE,2023-04-07T21:20:24Z
Resident Evil 4 is a True Masterpiece,WWFds5iLq5g,2023-03-23T23:10:42Z
HBO's The Last of Us is Subtle Propaganda,DfK_EBPNsko,2023-03-14T21:07:33Z
Sebastian Takes the GoblinPill | AI Voice Meme,TEEODPSDEi8,2023-03-01T19:00:13Z
Atomic Heart is Bizarrely Average,BVjpKER6BwU,2023-02-24T23:43:01Z
Hogwarts Legacy is Somehow Based and Cringe,cpNU2yRzwu4,2023-02-20T21:48:12Z
Escapism is DEAD,OTcvjuWrb_k,2023-02-07T19:43:22Z
HBO's The Last of Us Has Jumped the Shark,gmYZOSHeX2U,2023-02-01T22:39:48Z
Forspoken Shouldn't Exist,iDVC7sfzjw0,2023-01-27T19:44:37Z
HBO's The Last of Us is Getting Better,N3C2kOTrcIQ,2023-01-24T01:06:07Z
HBO's The Last of Us is a Pointless Adaptation,pl2BMy8wBv8,2023-01-17T20:16:53Z
The Best and Worst Games of 2022,x9yFB0LC2jU,2023-01-05T01:31:44Z
