Title,Video ID,Published At
Ben Shapiro SHUTS DOWN Woke College Student on Gender Ideology..She couldn't answer the question,0BB_kMKfW5s,2023-12-16T16:00:00Z
Dinesh D'Souza EVISCERATES woke student's ideas and guts core Marxist argument,Xxv5Co1wnUc,2023-12-14T22:00:13Z
Candace Owens DISMANTLES White Privilege Argument form Woke Liberal,KzBvhaBchkw,2023-12-13T17:00:30Z
Charlie Kirk has NO MERCY for this woke student...SHE WAS NOT READY FOR THIS.,WPQISpnGYYU,2023-12-12T13:00:22Z
SHE GOT CAUGHT! Senator John Kennedy RIPS Woke Judicial Nominee,2oEgxRY8mcM,2023-12-11T15:00:05Z
THEY'RE FULL OF IT! Ben Shapiro DESTROYS Smug Woke Student in a Classic Battle,-4oc0L4v4xE,2023-12-11T13:00:00Z
Jordan Peterson DISMANTLES Low IQ Politicians .. THEN THIS HAPPENED,eNm8bPsBiWs,2023-12-08T14:00:25Z
Candace Owens DESTROYS Woke Feminist Guest Who Can't Keep Up,bmXejywXr9k,2023-12-07T15:00:34Z
HUMILIATED!  Dylan Mulvaney Gives College Speech And NO ONE Showed...THE LEFT PANICS.,s6eEt7UPV64,2023-12-07T13:00:46Z
Charlie Kirk DESTROYS a woke activist…THIS WAS INSANE,e-X6193kv8E,2023-12-06T13:30:13Z
Michael Knowles MOCKS Woke Students’ Plan and ALL HELL BREAKS LOOSE,xQzpW2csq94,2023-12-05T16:00:37Z
Jordan Peterson Leaves WOKE Feminist COMPLETELY SPEECHLESS On Toxic Masculinity!,xrky3_b3fqs,2023-12-05T13:00:52Z
Charlie kirk SHUTS DOWN confused woke feminist student with One Simple Question,if1AfmEc3To,2023-12-04T15:30:17Z
Matt Walsh DISMANTLES Pompous woke person who Fails To Do His Homework Before Debating,tFFE_a6uRRQ,2023-12-04T13:30:31Z
Michael Knowles DESTROYS Entitled Woke BLM Student After Making Ridiculous Claims,prjbQPc5AvI,2023-12-02T14:00:38Z
Candace Owens TORCHES Woke BLM race hustling Professor on Dr. Phil,Eu7G8dd1uJw,2023-12-01T16:00:08Z
Charlie Kirk TRIGGERS woke Students and EXPOSES liberal teachers,nmNHkvsjhQU,2023-12-01T13:00:43Z
Anti White TikTok Reaction!...THIS WAS INSANE! Plus the channel's new name WHITE SHENANIGANS.,DrUUfHwOrhA,2023-11-30T13:00:10Z
Charlie Kirk DESTROYS a white woke liberal female student with facts and logic...SHE WASN'T READY,RnivUSAJtUs,2023-11-28T13:30:13Z
Charlie Kirk DESTROYS a woke BLM student activist..SHE GOT TRIGGERED BAD!,JcewS8kLSxM,2023-11-27T13:00:26Z
Charlie Kirk DESTROYS woke gender Activist student...SHE GOT TRIGGERED!,l9ocWy_2CdU,2023-11-25T14:00:37Z
Charlie Kirk DESTOYS white BLM supporting woke student ...SHE WASN'T READY,pmfBQD5KB44,2023-11-24T13:00:46Z
Candace Owens DESTROYS Entire Army Of Woke Students!,WAF2pT04cVA,2023-11-23T13:00:26Z
BASED Dad EVISCERATES School Board When He Reads Books From Library,7mWrHXXpRhI,2023-11-22T16:00:04Z
Mike Johnson Just Released THIS Tape And It Changes EVERYTHING,uGNjtka1Ymo,2023-11-22T14:30:15Z
Matt Walsh DISMANTLES Gender Ideologue With Biological Facts!,WgvKxirpIqc,2023-11-22T13:00:22Z
"Matt Walsh SHUTS DOWN A woke smug ""Mother"" On Womanhood...THEN THIS HAPPENED",o9NvSI6_Xhc,2023-11-21T13:00:46Z
Jordan Peterson DESTROYS angry Race Hustling BLM 'Intellectual',ZWh80D-gaoM,2023-11-20T16:00:32Z
He Gets EMBARRASSED And Couldn't Answer Matt Walsh's SIMPLE Question…,0zU-WfvGVjY,2023-11-20T14:30:00Z
Lib Professor Has MELTDOWN When Josh Hawley Asks If Men Can Get Pregnant,8GVzGVbd17k,2023-11-20T13:00:07Z
Liberal Student Has MELTDOWN After Getting STUMPED By Charlie Kirk,J1IR1SyJHgg,2023-11-18T14:30:06Z
"Dinesh D'Souza Absolutely DESTROYS Woke Professor, Leaving Him Speechless!",JmURff1xc0U,2023-11-16T16:45:02Z
Woke College Student STUNNED When She Hears This,4K43FwlOXvU,2023-11-16T15:00:03Z
Douglas Murray Completely DISMANTLES BLM Race Hustler's Narrative,8LA-c9V-Ul8,2023-11-16T13:00:06Z
Michael Knowles DESTROYS Woke Gen-Z Student…THAT WAS SAVAGE!,c-m2Fg2Mhr0,2023-11-15T13:00:36Z
MIC DROP!! Matt Walsh absolutely SHUTS DOWN woke GEN-Z students,P5WOYAWEWuc,2023-11-14T17:00:24Z
EPIC MELTDOWN ! Charlie Kirk DESTROYS woke student on gender Ideology...HE LEFT CRYING,4N_1MpSpohU,2023-11-14T14:59:36Z
VERY pregnant Candace Owens TRIGGERS Rude Woke Students and then SHE WENT OFF!!,PEtMeDIwFlg,2023-11-14T13:00:31Z
"TikTok Trans Karen gets ""MISGENDERED"" and goes VIRAL when they call him ""Sir""",xcZ7UI7_r6U,2023-11-06T15:00:59Z
"Dating Matchmaker quits working with women, modern women are DELUSIONAL, men go ABROAD | MGTOW",bAzwTDE-3n8,2023-10-26T16:00:26Z
