Title,Video ID,Published At
This is scary but true,ncgLSiSouj0,2023-12-31T21:00:30Z
I will never go electric,wo1T6xRY9x8,2023-12-31T02:00:31Z
Miranda Cosgrove is a saint,0b4T5gNur7U,2023-12-30T21:00:00Z
A Day In My Life Living In Budapest,bfDdD3A0AM8,2023-12-30T18:00:40Z
I wish I didn't know this,byggK6UKzrI,2023-12-30T02:00:15Z
New York City is doomed,CMqSPX48sF4,2023-12-29T21:00:05Z
Is the Left waking up?,Djb1PVyuzLU,2023-12-29T02:00:05Z
This aged wonderfully,-EjbAhEjbTI,2023-12-28T21:00:00Z
The greatest example of our country's education,g0wPFSwgnO8,2023-12-28T02:00:25Z
Exercise Is BAD For You!?,Q3ioZbVaLWE,2023-12-28T00:00:22Z
The bar for men is low,k8hXDn9u3Ys,2023-12-27T21:00:30Z
"Yes, this is a real addiction",8c64-3eUU-U,2023-12-27T02:00:03Z
This generation is doomed,bVQ8RTbWKDY,2023-12-26T21:00:16Z
Will Ferrell is pandering,mOfJGXhkSlc,2023-12-25T02:00:14Z
Feminists lied to us all,XzYbJMXFu_0,2023-12-24T21:00:22Z
You deserve what you put into a relationship,TLY4eBPW6U4,2023-12-24T02:00:11Z
Are dogs allowed on the counter?,6i84W1mKVYA,2023-12-23T21:00:01Z
The Most Terrifying Christmas Special.,1-KyYO5ZiS0,2023-12-23T18:00:01Z
Technology has ruined this,1DEvIB7s6po,2023-12-23T02:00:00Z
Your “Soulmate” Is NOT A Robot.,JRToRwYBigo,2023-12-23T00:14:13Z
Is this how male friendships work?,mjaL7V951tA,2023-12-22T21:00:26Z
Cartoon Fathers Are Cancelled Now?!,bLU9qBuVMM0,2023-12-22T18:24:24Z
"What exactly is ""ickonomics""?",RdzCq1GvJro,2023-12-22T02:00:09Z
How Is Shane Dawson Allowed to be a Father?,zT8QXjoRol4,2023-12-22T00:00:36Z
Open marriages just don't work,iJW0Qy-HWOo,2023-12-21T21:00:25Z
TikTok “Dietitians” Are Paid By BIG FOOD?!,bG1y_lsZFLs,2023-12-21T18:00:16Z
Modern feminists will hate this,NXw6Lu2qvn4,2023-12-21T02:00:09Z
The Rise Of Woke Will Ferrell,rmjooP5WYTY,2023-12-21T00:00:21Z
"Humanity is not a ""virus""",Jj6jQM5eu4E,2023-12-20T21:00:09Z
Fat Flyers Are Rewarded for Their Extra Pounds,qjAp-8_mYAs,2023-12-20T18:01:50Z
She made Oprah nervous,Ko5eOsVEbmw,2023-12-20T02:00:12Z
Is This Movie Predicting Future Events?,vZfc_T7x6p0,2023-12-20T00:00:25Z
The next generation is doomed,t6C2SxQtgoI,2023-12-19T21:00:23Z
How Was This Allowed In The Senate?!,3YiWFjiUmcM,2023-12-19T18:00:01Z
Innovative vending machine...,iUD6nkAT2ps,2023-12-19T02:00:21Z
Twitch Had To Backpedal This New Policy,Mun4NJiank0,2023-12-18T23:45:17Z
Do women know about this?,Ex5wZTdkPbc,2023-12-18T21:00:07Z
He blends in perfectly,r8L6EDWAscs,2023-12-18T02:00:25Z
Everyone wants to be special,kyOi0b5c4GY,2023-12-17T21:00:30Z
How To Protect Your Home w/ @TREXARMS,jYwwjmf_26M,2023-12-17T18:00:29Z
Blue collar guys are making a come back,PSCqEg--IRw,2023-12-16T21:00:14Z
Would You Rather Be Skinny Or Fat?,1s72raaChUw,2023-12-16T18:00:01Z
This Company Wants To Convert Straight Men,8z3JT6sBPTA,2023-12-15T23:45:00Z
This should be illegal,w93m0hWmTYg,2023-12-15T21:00:29Z
College Loans Are Crushing Gen Z,CvW4h1a9BSs,2023-12-15T18:00:08Z
"Ben & Brett try ""pickled tongue tacos"" | @BenShapiro",9nOEuMTTEJE,2023-12-15T02:00:05Z
Having Children Won’t Drown The World.,ScTNOfNDwm0,2023-12-14T23:30:04Z
He can't give one reason...,Q9dBF5Y-e6I,2023-12-14T21:00:18Z
Destiny’s Very Predictable Divorce,YHoJ6e7HH10,2023-12-14T18:00:14Z
Brett can't peer pressure Ben | @BenShapiro,zTfwgwLq4fU,2023-12-14T02:00:23Z
What I Think Of GTA VI,joWskSXS6P4,2023-12-13T23:07:39Z
Kids with Bible names need Bible lessons,ifL_IMUz06Y,2023-12-13T21:00:30Z
Why VICE Went Bankrupt,4kVDG2jAurE,2023-12-13T18:00:04Z
Elon Musk owned Disney,-qb8w-Z3Kj0,2023-12-13T02:00:00Z
Trader Joe’s Ethnic Food Names Are Hilarious,RbPFTrEC5NI,2023-12-13T00:00:17Z
Hearing about the iPhone for the first time,4x-eMHh-dpY,2023-12-12T21:00:02Z
How stores scam on Black Friday,Hyh_YTlZrC8,2023-12-12T02:00:06Z
Can Conor McGregor Save Ireland?,SOMZ24tM4NE,2023-12-12T00:00:13Z
How is this controversial?,yk31KL3FXnU,2023-12-11T21:00:34Z
Young Thug's lawyer is working overtime,nN5Wa0Lr3WQ,2023-12-11T02:00:25Z
Family thanksgiving politics,GOYMnFeRHic,2023-12-10T21:00:09Z
Celebrities boasting about abortion,9kSZpvG8sEA,2023-12-10T02:00:06Z
Jacob Elordi Hates His Most Popular Movies,LRpnwvIld7Q,2023-12-09T23:00:19Z
Paramedics in 2023...,UoQ48BR_lVE,2023-12-09T21:00:19Z
Dave Portnoy is very mature for this,0Rclk6O7qlk,2023-12-09T02:00:00Z
Brett’s Journey From Broadway To LA,FwosyoMl-M0,2023-12-09T00:00:11Z
His self awareness is refreshing,6vjn5Ykg_RM,2023-12-08T21:00:06Z
Why NO ONE Goes Black Friday Shopping,YCkS8nYDro0,2023-12-08T18:00:25Z
Brett's relationship advice,pQNWiYZiVeU,2023-12-08T02:00:20Z
Elon Musk DESTROYS Disney’s CEO,btJ5oXmKhhw,2023-12-08T00:00:16Z
What parents sound like nowadays.,vihEXDqC-Yo,2023-12-07T21:00:36Z
Brett's character in 'Lady Ballers',qtPIFSIYiMo,2023-12-07T02:00:30Z
Dave Portnoy Did The Right Thing,lsqw4L9vFZk,2023-12-07T00:00:24Z
This is how all democrat campaigns go,4nL0PuTB7Ss,2023-12-06T21:00:03Z
Brett's unfortunate credit score,VyTt9hEzmcA,2023-12-06T02:00:18Z
