Title,Video ID,Published At
Open Bar #78 - Our Big Drunk Review Of The Year,HezedyrR2TM,2023-12-31T19:30:04Z
Drinker's Chasers - Godzilla Minus One: Our Favourite Movie Of 2023,E7uc1WuOvB8,2023-12-31T13:40:17Z
Drinker's Chasers - The Surprise Failure Of Mission Impossible Dead Reckoning,cqXzfSC_9DY,2023-12-30T22:30:03Z
Drinker's Chasers - How Barbenheimer Dominated 2023,0h9W69YkBY0,2023-12-30T18:50:08Z
Drinker's Chasers - The Implosion Of The Superhero Genre,mdGEEi3U0lI,2023-12-30T15:49:18Z
Open Bar #77 - Last Orders,21F1ZDfCJKs,2023-12-27T19:15:13Z
"Open Bar #77 - Aquaman 2, Rebel Moon, Jonathan Majors Guilty",wlc5LL9hWl0,2023-12-24T16:58:26Z
Drinker's Chasers - Jonathan Majors Fired: What Happens Now?,5_3dhNAZMwY,2023-12-23T18:30:03Z
Drinker's Chasers - The Worst Hollywood Year In Generations,D3-GsNqtC20,2023-12-23T13:45:00Z
Drinker's Chasers - So Rebel Moon Kinda Sucks...,4Q1yI2z8eYc,2023-12-22T17:30:00Z
Drinker's Chasers - Aquaman 2 First Impressions,3pzhKYC9qFQ,2023-12-22T12:45:44Z
Open Bar #76 - Last Orders,4bqMzo63YWI,2023-12-21T15:44:08Z
"Open Bar #76 - Snow White Apology Tour, Doctor Who Drama, Zachary Levi Criticises James Gunn",1PaVc5nxaUw,2023-12-17T17:30:00Z
Drinker's Chasers - Former Doctor Who Roasts Russell T Davies,2Xn6m2u7GxY,2023-12-16T19:30:00Z
Drinker's Chasers - How Star Wars And JJ Abrams Destroyed Each Other,ZHjMf8ehdDQ,2023-12-16T13:15:03Z
Drinker's Chasers - The Rachel Zegler Apology Tour Has Begun,4yQvHUR8kIA,2023-12-15T19:00:59Z
Drinker's Chasers - Damning New Evidence Against Jonathan Majors?,ztnUZflov5A,2023-12-15T14:12:52Z
Open Bar #75 - Last Orders,ZhLqVYkk73w,2023-12-11T14:00:21Z
Drinker's Chasers - Doctor Who Ratings Failure: Loses 250K Viewers,wZ0gxWg4t6g,2023-12-09T21:00:30Z
"Open Bar #75 - Godzilla Roars, Doctor Who Cares, The Marvels Is Over",u82U8amGj2Q,2023-12-09T16:00:37Z
Drinker's Chasers - Disney+ Killed The MCU,rRNiVWQr_-g,2023-12-08T20:00:31Z
Drinker's Chasers - Godzilla Minus One EMBARRASSES Hollywood,0bKDTTsZ-s0,2023-12-08T16:14:17Z
"Happy Hour #55 - Napoleon (feat. History Bro, The Outcasts Creative)",g0RV5Oy-aWo,2023-12-06T12:31:12Z
Open Bar 74 - Last Orders,V56IpAtIRGc,2023-12-04T12:30:23Z
"Jeremy Boreing Talks Lady Ballers, The Pendragon Cycle And Snow White",L_1K-lXQ3EI,2023-12-03T18:30:20Z
"Open Bar 74 - Disney Implodes, Doctor Who Flops, Elon Declares War",ZToy9v6MC5o,2023-12-03T13:16:39Z
Drinker's Chasers - Disney's Staggering Year Of Box Office Failures,cymyHvcwIOw,2023-12-02T17:15:02Z
Drinker's Chasers - Art vs THE MESSAGE,m7z9YTkWSCs,2023-12-02T12:20:36Z
Drinker's Chasers - Elon Nukes Bob Iger From Orbit,8HvI5cprxSE,2023-12-01T14:08:00Z
Open Bar 73 - Last Orders,gvxGTgYzyXE,2023-11-20T12:10:12Z
"Open Bar #73 - The Marvels Megaflop, Kang Dropped, Madame Web Trailer",J3p9iP-lN9I,2023-11-19T18:30:09Z
Drinker's Chasers - Kang The Conqueror Dropped By Marvel,c3CT0tazMKE,2023-11-19T14:00:31Z
"Drinker's Chasers - Captain America 4 In Shambles, Massive Reshoots Planned",hKeSdl0t-eg,2023-11-18T13:30:26Z
Drinker's Chasers - Madame Web Looks Terrible,3zksTzySKjY,2023-11-17T19:10:13Z
Open Bar 72  - Last Orders,PMGnXnean-Y,2023-11-17T15:11:38Z
"Open Bar #72 - The Marvels Review, Hunger Games, Actors Strike Ends",AEzcK_XPV8w,2023-11-11T21:00:04Z
"Drinker's Chasers - The Marvels Is A Broken, Convoluted Mess",bucPOXkXU6E,2023-11-11T14:30:22Z
Drinker's Chasers - NOBODY Cares About The Hunger Games,Zuaum861LBg,2023-11-10T21:00:17Z
Drinker's Chasers - The Marvels On Track For DISASTROUS Opening Weekend,OAnJM0rwDvs,2023-11-10T13:30:08Z
Happy Hour #54 - Talk To Me (feat. Emily Booth),U38YhrK15tQ,2023-11-08T14:30:02Z
Open Bar #71 - Last Orders,eisZn_Mhghs,2023-11-06T13:30:27Z
"Open Bar #71 - Panderverse Fallout, Marvel In Crisis, Gina Carano's Revenge",CzzJo2_ZE70,2023-11-05T17:00:10Z
What's Going On With Snow White? An Interview With Ben Shapiro,N5jViRrsYyY,2023-11-05T15:30:09Z
Drinker's Chasers - Gina Carano Nukes Kathleen Kennedy AND Rachel Zegler,8UzDyDcRdpc,2023-11-04T18:19:37Z
Drinker's Chasers - She-Hulk's Insane Budget: How Can Something So Expensive Look So Terrible?,QutRKVXGMF4,2023-11-04T13:14:30Z
Drinker's Chasers - South Park Has Opened The Floodgates,6lv8tf-DEsw,2023-11-03T21:30:20Z
Drinker's Chasers - Marvel's Ridiculous Feminist Blade Reboot,mKqSbxS3R4Q,2023-11-03T16:31:53Z
"Happy Hour Halloween Special - Resident Evil (feat. Avalanche Reviews, Carrier)",VLDcbPjl5BU,2023-11-01T22:38:48Z
Open Bar 70 - Last Orders,cniSFSd4Y7E,2023-10-31T18:03:19Z
"Open Bar #70 - The Marvels Review Blackout, Disney Board Takeover, Actor's Strike Bites",oimOhwWdHKM,2023-10-29T17:00:29Z
Resident Evil (1996) - Jill Valentine Full Playthrough,fE7xHLu1ITo,2023-10-29T13:02:24Z
Drinker's Chasers - ANOTHER Battle For The Disney Board,lRsBkrEDRFE,2023-10-28T13:00:44Z
"Drinker's Chasers - Marvel Panics, Puts Review Embargo On The Marvels",G2mFejd1YpU,2023-10-27T16:15:01Z
Drinker's Chasers - Crunch Time For Actors Strike: It's Now Or Never,YzNwJtImM3g,2023-10-27T11:55:41Z
Drinker's Extra Shots - Willy's Wonderland,temW9-3wdoA,2023-10-25T18:55:40Z
Open Bar #69 - Last Orders,1Lv0RO5zfXI,2023-10-23T13:11:48Z
"Open Bar #69 - The Marvels Flop, Daredevil DOA, Rival Snow Whites, Robyn Hood Director Rages",fCj1RMDLIF8,2023-10-22T20:25:58Z
Drinker's Chasers - Debating The Director Of Robyn Hood,eM0X0HFHPoE,2023-10-22T13:30:14Z
"Drinker's Chasers - Marvel Panics, Nukes Daredevil And Fires Everyone",uCofSjtQOU0,2023-10-21T16:45:02Z
