Title,Video ID,Published At
Tim Pool FINALLY Gets His CIVIL WAR..... Maybe He Was Right All Along..,ywACvOr8aiM,2023-12-29T20:48:21Z
Bud Light Damage FAR WORSE Than Reported! Beer Sales Hit 25 Year Low After Dylan Mulvaney Mess!,RJvaV-oSSRo,2023-12-28T23:55:04Z
Woke Weirdo Has EPIC MELTDOWN At Airport But Gets ZERO Punishment Due To His Privilege,VtqC3Yu4GoU,2023-12-28T22:59:34Z
Defunded Police REFUSE To Help Woman Who BEGGED 911 & Something TERRIBLE Happens To Her As A Result,7H175r9eIeM,2023-12-28T21:51:30Z
Ricky Gervais EXPERTLY DEMOLISHES Migrant Invasion Propaganda & Leftist Journalists MELTDOWN,zyFG36ZE2nc,2023-12-28T20:45:16Z
"Every Single ""Fat Influencer"" Has Died... Most Before 40 & The Media Is Hiding It From You",igOfmQ8ZugQ,2023-12-28T18:29:06Z
Instant Regret! Woke Gavin Newsom Demands $20 Minimum Wage & Companies IMMEIDASTELY Fire Thousands,ZI2JrWqIh6Y,2023-12-28T17:10:07Z
"Google's Woke Collapse! 30,000 Staff To Be FIRED After 12,000 Others Earlier This Year!",MHTW5Z3mhvU,2023-12-27T23:36:26Z
"Spoiled Brat Gets A PS5 For Christmas & Has A MELTDOWN It's Not A $5,000 Gaming PC",5xPH8-9BjLw,2023-12-27T23:05:18Z
Entitled Gym E-Girl DESTROYED By Based Men Working Out! She HILARIOUSLY Thought She Was Right!,huosG_AW84E,2023-12-27T22:18:33Z
$500 Fines For Texting Hate Speech Are HERE! Cell Phone Providers Reading Your Texts & Will Fine You,D3cG2hYzPw8,2023-12-27T20:43:42Z
Entitled Pronoun Bully DESTROYED By Based Airline Worker! Hollywood Actor MELTDOWN On Delta Flight,X6UmFfTFoN0,2023-12-27T18:12:48Z
Twitch CEO DOUBLES DOWN On Woke Backfire & Is Going To Let 5 e-Thots DESTROYS Twitch Credibility,ZPaHIPqQ0MY,2023-12-26T23:01:24Z
Epic Backfire! Youtuber Famous For Harassing Cops Picked THE WRONG ONE & Goes To Jail Immediately,9DNNY6SlOnw,2023-12-26T21:34:49Z
"Taylor Lorenz BRUTALLY MOCKED Over ""Identifying As Disabled""  In UNHINGED Christmas MELTDOWN",dUh8PHGNtpM,2023-12-26T20:38:11Z
Woke Gen Z Entitled Brat DESTROYED With BRUTAL Dose Of Reality Is Now FIRED & Broke!,WNXrfZWzzCw,2023-12-26T18:10:43Z
"Hasan Piker, Asmongold & More Caught Up In Charity SCAM On Twitch! The DARK Side Of Giving",CyK1x3qMrdg,2023-12-22T22:17:34Z
Disney Just ADMITTED Wokeness DESTROYED Their Brand! Billions Lost & They VOW To Return To Classics,AqzneFbxEfY,2023-12-22T21:20:24Z
Entitled Gym Thot HUMBLED By BASED Japan In HILARIOUS Video,By8Nddglwqc,2023-12-22T20:09:58Z
Woke University FOLDS After IMMENSE Pressure From Riley Gaines For Giving Woman's Scholarship To Man,BJMwyDRHJC8,2023-12-21T22:03:30Z
Twitch WOKE Stance On E-Girls Is DESTROYING Them & This NEW Trend PROVES It! South Park Was Right!,Ia3g7F9QhRE,2023-12-21T21:02:31Z
Ricky Gervais Perfectly OBLITERATES Woke Petition To Have Netflix Special Banned,lXThE2ZqU-8,2023-12-21T19:49:36Z
Feminist INSTANTLY Abandons Beliefs After ONE DATE With Non Soy REAL MAN In Hilarious Backfire,ZHXLbVz1u0I,2023-12-21T17:46:02Z
Daily Wire Cartoon BLASTED By Unhinged New York Times Reporter For Positively Portraying A Father,qOq5L4A2B3U,2023-12-20T22:46:58Z
Netflix DESTROYED For CREEPY Cartoon! Parents BEWARE Of This!  People Cancel Over Cocomelon,eAStlADp9cc,2023-12-20T21:44:39Z
Tim Pool BUSTS Woke Anti-Cop Leftist LYING After Using Girlfriend As Human Shield!,e96iOFUU22s,2023-12-20T20:04:19Z
"South Park DESTROYS OnlyFans, Logan Paul, KSI, & Prime In New South Park: Not Suitable for Children",NcJVVOy2tTE,2023-12-20T17:43:11Z
Marvel Just FIRED Rising Star & His Career DESTROYED By Woman's Court Claims & His Own DUMB Actions,frV07VF5fVU,2023-12-19T23:39:51Z
Instant Regret! NFL Player Wants WHITES BANNED From The NFL?  Wildly MORONIC Tweet Gets DESTROYED!,IWEXFEdxgs0,2023-12-19T22:31:16Z
Apple Watch Just Got BANNED In America For Up To 5 Years In New Court Case! Billions Lost!,lDPubG4AaVM,2023-12-19T21:29:58Z
Google DESTROYED In Massive NEW Judgement OWES YOU 630 Million! That Is A HUGE Win For Free Speech!,gG4CUOH30wU,2023-12-19T19:30:29Z
"Jeffrey's List RELEASED!! 177 Names, Crimes, Accusations & Depositions Drop In Days!",RI560D2PSX8,2023-12-19T17:01:57Z
Matt Walsh BLASTED By Media Because He Is 100% RIGHT & They Are Trying To Trick Us!,CATA2-uoBjA,2023-12-18T23:08:09Z
Wildly Anti-White Movie DETROYED By Literally EVERYONE! This Is Beautiful!,xVqoaRFnWLY,2023-12-18T21:57:53Z
Hilarious Woke TikTok HERPES Backfire! Gen Z Is Totally Shameless!,1-seisEue1w,2023-12-18T20:15:10Z
"Disney Gets BRUTAL News! Shareholders Lose 70 BILLION, Park Attendance PLUMMETS & Hostile Takeover!",MZFlElJWWXw,2023-12-18T19:01:14Z
Media DEFENDS Man Who FILMED Degenerate Act At Capitol & He BLAMES Homophobia For Backlash!,zwd_cJ_txb0,2023-12-18T17:01:38Z
Elon Musk REVEALS Microsoft Word GETS WOKE But It's So Much Worse Than You Know!,VGXqOjuaeAA,2023-12-16T19:33:29Z
Megan Rapinoe TOTALLY DESTROYED For New BRAINDEAD Statements About America & God,rOz9Z7u6yT4,2023-12-15T22:10:06Z
