Title,Video ID,Published At
Why Wish is a modern Disney classic,5cZfdnpa3CU,2023-12-16T15:49:49Z
The Hunger Games 5 is the perfect prequel,-WNzrKyegjw,2023-11-21T17:06:31Z
The Marvels is Marvel's Masterpiece,DQO1ZDVIJSY,2023-11-13T13:02:18Z
Everything Wrong with Snow White... in 17 Minutes,wDxsaeIIZww,2023-10-22T17:43:37Z
Ahsoka is the best Star Wars show ever,J-uIbjF8iSs,2023-08-26T17:52:30Z
Why Oppenheimer is an atomic disaster... for women,g3eq6gBy_l0,2023-08-02T20:28:51Z
The Greatest Commercials Ever Made™,y1PBGTni9ds,2023-07-29T22:58:22Z
Barbie is the MOVIE OF THE YEAR!,26K0zXUOnjk,2023-07-20T21:53:39Z
New Snow White looks PERFECT!,U0Y1giNjB_E,2023-07-14T20:53:05Z
The Incredible Success of Kathleen Kennedy at Disney,tEIChnoFS3s,2023-07-08T17:43:11Z
Indiana Jones 5 is a modern masterpiece,0kxD08S1qok,2023-06-30T18:13:27Z
The Flash is a FLASH OF GENIUS!,abjo0JyfXpU,2023-06-17T17:54:32Z
The Little Mermaid is a MASSIVE SUCCESS!,H_xLyDGtprQ,2023-05-27T12:37:27Z
Avatar's Pandora is NOT Safe Space,pQ3i8Pj22Po,2023-05-23T17:20:00Z
Queen Cleopatra is BEAUTIFUL!,2srh1kgDnMA,2023-05-16T16:19:05Z
Marvel: Phase 5 is DEAD,6rlhZ3N1gPo,2023-05-13T15:03:03Z
The Women Who SAVED Star Wars!,We7yasT4CQs,2023-05-05T17:29:51Z
Wendy (and Peter Pan) is PERFECT!,WE4dR1HZ4Fk,2023-04-29T18:15:46Z
All 138 Times Rey DESTROYS the Patriarchy,6WnreshHAqU,2023-04-26T15:58:56Z
"Hollywood, stop killing our wives",H_dFCAsmeIU,2023-04-03T11:57:36Z
The Little Mermaid has a big problem,TZjEMkha8a8,2023-03-27T14:21:47Z
5 Reasons HBO's The Last of Us is BETTER than the Game,b06HiPVIHvU,2023-03-20T12:41:06Z
The Problem with Peter Pan,tXhPdH1VPo8,2023-03-13T11:51:30Z
How Velma reinvented animation,F_MzBqCM278,2023-03-11T14:38:44Z
The Legend of Lark,umML4s18CRc,2023-01-21T13:46:20Z
Willow is a glorious triumph,JFHop0ET8Cw,2023-01-10T12:46:40Z
