Title,Video ID,Published At
Why Obese People Can't Stop Eating,6bdWRlVcdg4,2023-12-31T10:18:15Z
Why Your Life Isn't Going Well,ZGJLu1ho4gY,2023-12-18T06:11:04Z
Women With No Aspirations,FOybVsk0Q9Q,2023-11-30T06:52:21Z
Woman Expects Strangers To Pay For Her Shopping Sprees,L7QD-TWughA,2023-11-24T03:11:41Z
How Children Become Addicts,ComZCwO5ZFk,2023-11-14T09:33:23Z
How TikTok Is Making Women Narcissistic,nHZj284Sp2A,2023-11-03T09:56:38Z
How Feminists Are Making Women Unemployable,2I-tiAYCzd4,2023-10-23T09:37:53Z
The Consequences of Being a Pushover,6rJZx4B8xto,2023-10-12T21:57:55Z
The Problem With Men Being Feminized,lB7EjS-03zE,2023-09-30T12:15:41Z
Woke People Don't Know How To Research,lFOqj0UCQyA,2023-09-21T03:11:53Z
Female Influencers Lying for Money,TiDyv5zL0PI,2023-09-01T23:00:48Z
Why Woke People Don't Know Anything,6TujOKmYcSQ,2023-08-26T00:10:26Z
Why Woke People Are Their Own Worst Enemies,9NVedtDMrKQ,2023-08-11T19:37:29Z
Why Woke Content Is TRASH,qeOJB77BG8Y,2023-07-28T09:50:12Z
Women Who Can't Get A Man,tIubL9dkZkc,2023-07-08T06:54:22Z
Why Woke People Are Making Everything Ugly,QlU_m_rPv6A,2023-06-26T19:59:42Z
TikToker Thinks A Tattoo Will Hide Her Double Chin,vT5Lop70WEA,2023-05-30T17:15:53Z
The Ideologies That Destroy Marriages,Q2F6SWzg0gQ,2023-05-25T07:30:21Z
How Addicts Lie,fsl6oId3YGQ,2023-05-18T04:59:08Z
How to Stay Permanently Single,s-kzb_RRntY,2023-05-06T02:30:01Z
The People Who Destroyed The Family,H_Sd-7vKiuE,2023-04-25T05:22:02Z
How Woke Propaganda Works,5euPmtAw_SA,2023-04-24T07:03:10Z
The New Female Influencer Grift,Jw7oF6HEHrI,2023-04-13T01:24:30Z
The New Racism,Uwemuzt3NpI,2023-03-31T05:04:17Z
Actually Reading The OkCupid Study,00gsjkic5Ik,2023-03-29T04:23:00Z
Feminism is Brainwashing Women to Like Feminine Men,61ZKqGI9-g8,2023-03-26T07:45:41Z
Miserable People Who Pretend to be Happy,PJUa0TYlUVU,2023-03-18T05:24:10Z
The Evil Side of Fat Activism,yOyD6JGdp0A,2023-03-13T03:22:16Z
Why Are Woke People So Comfortable With Breaking the Law?,gSUqsj3-U1o,2023-03-03T06:31:05Z
The Problem With Manosphere Creators,D35l-49-Szo,2023-02-28T05:54:16Z
Dating in 2023,-9fJSCXgcpQ,2023-02-25T05:55:34Z
Fat Acceptance Is Getting Ridiculous,_BrPYhwUwh8,2023-02-22T00:49:43Z
Falsely Accusing Men For Content,eFRr9UQcmeA,2023-02-11T07:32:20Z
I Watched Velma and Some Eliza Bleu Stuff,izHI_qVOY5A,2023-02-03T04:52:22Z
My First Livestream - Eliza Bleu,EhEdtiKCGto,2023-01-30T02:35:21Z
Think Before You Sleep Live Stream,kHT6EQV_-Uc,2023-01-27T22:27:59Z
Pretending Your Addiction Is Therapy,iBkB9W5UAZ0,2023-01-25T11:18:13Z
Why A Lot Of Women Are Single,7nXcjXOpjTY,2023-01-12T08:28:32Z
