Title,Video ID,Published At
"REBEL MOON PART 1 | So Bad, It Makes Sucker Punch Look Like a Masterpiece",lWLhbIQxY8E,2023-12-25T14:00:25Z
WONKA Is So Much Better Than I Thought It Would Be | REVIEW,U2ZaxLdG3ew,2023-12-18T14:00:31Z
GODZILLA MINUS ONE Is Fantastic! Disney & Marvel Should Be Taking Notes!,BNeolRPnBJs,2023-12-04T14:00:06Z
I WISH I Had 90 Minutes of My Life Back | REVIEW,ZwxIe1kOTzo,2023-11-27T14:00:21Z
THE HUNGER GAMES: THE BALLAD OF SONGBIRDS AND SNAKES | Maybe This Should've Stayed Just a Book,WFTakOoM-uM,2023-11-19T14:00:31Z
"MADAME WEB Trailer Reaction | This Looks So Bad, It's Hilarious",RASgl5fOlwA,2023-11-16T14:00:17Z
THE MARVELS Is Embarrassingly Bad! | The MCU's Worst Film Ever!,aW4Y6vq9lwo,2023-11-12T21:08:28Z
"MCU Blade Getting the Feminist Treatment, The Marvels Is a Disaster and More... | MARVEL RANT",Z-8vMaw4GTs,2023-11-04T16:04:31Z
FIVE NIGHTS AT FREDDY'S | A Family-Friendly Horror Movie?,yEr3LoivfdA,2023-10-29T13:00:47Z
Daredevil Born Again Scrapped! | Writers & Directors Fired! | Marvel Is a Sh*tshow!,kXxu2t9Mdms,2023-10-13T13:00:39Z
LOKI 2x01 REVIEW | The One Where Loki Has To P**** Himself,Fq_dhneAtHQ,2023-10-08T13:00:11Z
GEN V | Shut Up and Take My Money!,1AFq7258nA8,2023-10-05T13:08:58Z
ONE PIECE | The Dos and Don'ts of Making an Adaptation,6-IBAoLWm3A,2023-09-13T15:42:40Z
MY ADVENTURES WITH SUPERMAN | Soy Is the New Kryptonite,lpTXG02_YMg,2023-09-06T13:00:39Z
BLUE BEETLE Review | A Reminder of Why the DCEU Failed,rXWeqWQrKtM,2023-08-21T13:00:45Z
Teenage Mutant Ninja Turtles: Mutant Mayhem | REVIEW,gJ83asN3fxM,2023-08-06T13:18:42Z
THE DRAGON PRINCE Season 5 | The Nail In This Show's Coffin?,EpR1DmBc88Y,2023-08-02T13:00:09Z
BARBIE | Toxic Spiteful Man-Hating Garbage,5An11XxnoVg,2023-07-24T13:00:06Z
Mission Impossible: Dead Reckoning Part 1 Is FANTASTIC! Tom Cruise Does It Again!,LiXSdBn5t28,2023-07-15T13:00:11Z
INDIANA JONES AND THE DIAL OF DESTINY Is Absolutely Terrible!,yWYUNy9HKVI,2023-07-03T13:00:07Z
"ACROSS THE SPIDERVERSE | Visually Stunning, But Creatively Borked",x4icsnp-oHQ,2023-06-05T14:28:15Z
"THE LITTLE MERMAID (2023) | It's Time To Stop, Disney!",SgZisF34sXM,2023-05-29T13:00:17Z
FAST X | An Incredibly Stupid Movie,LdEDVLGwhCc,2023-05-22T13:00:12Z
GUARDIANS OF THE GALAXY VOL. 3 | Did They Stick the Landing?,NY95D6pQ8pM,2023-05-08T13:00:18Z
PETER PAN & WENDY | This Was Terrible!,Ra4DhPzlu2Q,2023-05-04T19:24:40Z
GOTHAM KNIGHTS Ep. 6 Review | Written By Simpletons For Simpletons,4B3LuAMxgTs,2023-04-29T13:00:03Z
