Title,Video ID,Published At
"South Park DESTROYS OnlyFans, INFLUENCERS and PARENTS in NEW SPECIAL!",I4q3NmLuiDY,2023-12-31T21:15:10Z
"Gen Z SUFFERING from 'MENU ANXIETY,' some TOO SCARED to order food!",NMx8eexHvYU,2023-12-31T02:53:20Z
"Woke FAT INFLUENCERS all DYING, ‘body positivity’ NOT WORKING!",Q5B88YgKPJk,2023-12-30T23:05:16Z
"Bud Light sales NEVER CAME BACK, now ALL beer sales DOWN!",_xXi-XfazfI,2023-12-30T01:59:05Z
Hallmark REPLACED by Great American Family Channel!,SYX0tWCpJ_A,2023-12-29T19:51:45Z
"Hasbro CRISIS:  Loses $3 BILLION+, massive LAYOFFS, and federal RACISM complaint!",sRjEe_JIMrc,2023-12-29T02:00:03Z
"Tech companies CUTTING Diversity, Equity, and Inclusion PROGRAMS by 90%!",f9D6m2yzz6s,2023-12-28T19:54:54Z
Delta DESTROYS 'misgendered' COMPLAINT at the AIRPORT!,x6EAvKWqK10,2023-12-27T21:30:05Z
Hallmark SUBMITS to WOKE AGENDA and DESTROYS ITSELF!,onmeF-dgxHY,2023-12-26T22:21:43Z
Pride month CANCELLED!  Woke HOLIDAY months OFF the CALENDAR!,VuLJuOOT2c4,2023-12-26T01:59:43Z
Viral complaining COLLEGE student FIRED from FIRST JOB!,ysywvYJm0QA,2023-12-25T23:07:45Z
Disney KILLS the Disney Princess BRAND!,EV6-GNvjBK0,2023-12-24T22:59:13Z
College SUED for FIRING EMPLOYEE for being ‘White’,XmfS56eDuIo,2023-12-23T22:26:53Z
Disney DECLARES woke RUINED their BRANDS!,TzCN6Jnt-Ro,2023-12-23T18:17:43Z
"Companies CANCELING Diversity, Equity and Inclusion HIRING!",Hm5-0VQWkeg,2023-12-22T21:26:41Z
"Marvel WORTHLESS?  The Marvels FLOPS, Secret Invasion FLOPS, Kang ARRESTED!",uZ2vBe4x6CQ,2023-12-22T01:02:18Z
"Colleges FORCED to CANCEL Diversity, Equity and Inclusion!",nCBIN--ABzo,2023-12-21T20:56:44Z
Warner Brothers DEAL to BUY Paramount in the works!,V_IoWVv8p2E,2023-12-21T03:46:11Z
"Woke company EXPOSED for ""OBVIOUSLY ILLEGAL"" hiring practices!",88yq5KXAz2I,2023-12-20T21:59:07Z
Woke Disney CEO Bob Iger is SURROUNDED by his ENEMIES!,wLVOfzxjTz4,2023-12-20T18:24:58Z
TRUMP can’t RUN in 2024!  Says CORRUPT DEMOCRAT Colorado Supreme Court!,Qtn3YvSVHdk,2023-12-20T02:43:30Z
Blackrock SUED for ESG SCAM!  Harvard PANICS hides PRONOUNS!,K6g_z0Nk6VQ,2023-12-19T19:57:45Z
"Disney CANCELED in TESLAS, Marvel star FIRED, stock down BILLIONS!",CsJPZfIMmDk,2023-12-19T02:39:43Z
"Bud Light DISASTER!  Strike INCOMING, layoffs INCOMING, brands DEAD, stock DOWN!",zj9ZBryS2jc,2023-12-18T18:55:39Z
"Military PANICS as LAWSUIT could crush DEI (Diversity, Equity and Inclusion)!",DPtuJhQzWi4,2023-12-18T02:29:58Z
Massive LAYOFFS at WOKE car COMPANIES making ELECTRIC VEHICLES!,9dESQhYHjVY,2023-12-17T23:37:28Z
Harvard COLLAPSES!  Early applications DOWN 17%!,1pYEwJZ7dIk,2023-12-17T00:59:50Z
Woke ‘Office of Reparations’ CANCELED!  Budget CUT to ZERO!,xYLoSkm9xl8,2023-12-16T20:24:23Z
What happens to Disney AFTER the HOSTILE TAKEOVER is COMPLETED?,mXRsS4t6CFc,2023-12-16T02:00:02Z
Batman’s owner is NOT going BANKRUPT or SELLING the COMPANY!,x54Frk7H9Go,2023-12-15T19:31:56Z
"Colleges ORDERED to ELIMINATE Diversity, Equity and Inclusion!",M4NYbtaqKvs,2023-12-15T04:13:32Z
Disney HOSTILE TAKEOVER going NUCLEAR!,NNxL9Vke89s,2023-12-14T21:31:11Z
Diversity exec STEALS $4 MILLION from Facebook!,6n7DYbYSA70,2023-12-14T01:58:07Z
Bud Light DOES NOT deserve a SECOND CHANCE!,NerB7uls9Pw,2023-12-13T21:58:20Z
"Disney SURRENDERS, pays MILLIONS to Spider-Man co-creator STEVE DITKO!",vJqT3JNGU8I,2023-12-12T21:56:08Z
Woke Hasbro KILLED as MASSIVE LAYOFFS hit 20% of COMPANY!,gJhdQ93e86k,2023-12-12T18:11:26Z
Woke Snow White PRETENDS to be HAPPY (she is NOT),CN4se7INKsw,2023-12-11T20:50:32Z
Bud Light DESTROYS ITSELF with ‘INCLUSIVE’ campaign NOBODY wanted!,eEp7ONCW98M,2023-12-10T22:18:32Z
