Title,Video ID,Published At
Rachel Zegler Back Peddles and Kang May Not Be Replaced,G9YX6FIKO9A,2023-12-16T03:10:05Z
Woke Hollywood is Failing and Godzilla Dominates,7UlAGWAEXL4,2023-12-09T03:09:08Z
"Disney is Failing, Chilling with You and Talking Film",thpH1dPeTic,2023-12-02T03:39:35Z
NEGA WHAT?! #shorts,ZqdXMRwNKOU,2023-11-30T21:04:43Z
Carol Travelled How Fast?! #shorts,-1UaBDBkEo4,2023-11-28T21:11:18Z
The Marvels is a Catastrophe,ehWx3MLXhEk,2023-11-20T21:08:52Z
Finishing SCV 4 Starting Harmony and Talking The Marvels,zkphpBbo55M,2023-11-18T03:14:33Z
Super Castlevania IV & The Marvels is a Dumpster Fire,br5rPDt-no0,2023-11-11T15:16:24Z
Haters Love Gatekeeping,2rjUSuXFr_A,2023-11-10T23:28:48Z
Friday Stream Continuing Castlevania Symphony of the Night,QTdbPkrA22c,2023-11-04T03:47:24Z
Five Nights at Freddy's is a Faithful Slog,blT27tTWmyI,2023-11-03T22:15:44Z
Friday Stream Continuing Castlevania Symphony of the Night,9EBvp1W37a0,2023-10-28T04:45:21Z
Writers Today Are Children,DSY-rfVscx0,2023-10-27T20:09:09Z
Richter Gets His Magic Back Fixed,MFo3_hQhz0Q,2023-10-16T20:00:14Z
How Bad Castlevania Nocturne's Writing Is #shorts,4W3urbVxGjc,2023-10-13T22:00:03Z
The Richter We Got... #shorts,YuXctbh9-QQ,2023-10-12T20:00:15Z
First Live Stream on YouTube,UY7XEDnsezU,2023-10-09T03:55:04Z
Castlevania Nocturne is an Absolute Travesty,eOltoqtUkUU,2023-10-07T17:00:24Z
Why People Watch Tom Cruise #shorts,Ny7Q3877srg,2023-10-03T20:00:06Z
How Do Theaters Make Revenue?,Zq6tGxq2Nz4,2023-09-29T20:00:08Z
What Led to Disney's Current Decline? #shorts,X3Yb2_2sFsE,2023-09-26T20:00:16Z
Does One Piece Break the Live Action Anime Curse?,_2zHyhD_91I,2023-09-22T20:09:23Z
Haunted Mansion Lost HOW MUCH?! #shorts,Fz2N3qiCs08,2023-09-19T20:10:47Z
Fair Trials Require Fair Justice #shorts,lSxad0oBR90,2023-09-18T20:00:25Z
How Much Do Movies Actually Cost?,zEByXvEKHe8,2023-09-15T20:19:08Z
The True Results of The Manhattan Project #shorts,U-REtROhxBM,2023-09-13T20:56:15Z
How Wild is Meg 2 The Trench? #shorts,-YdzwoG36bw,2023-09-11T20:02:47Z
Denying Scrutiny Ruins Franchises,--PD0R0et7Q,2023-09-09T01:34:16Z
How Bad Meg 2's Writing is #shorts,MeRoeEYjOjw,2023-09-06T20:01:28Z
Can the DCU Reboot Succeed?,hlpvMBPYFLE,2023-09-06T01:35:08Z
How Albeleo Chooses to Summarize a Plot #shorts,kyBm07qoti0,2023-09-04T20:01:49Z
Blue Beetle Was Sabotaged From the Beginning,p29jvmFXZ78,2023-08-24T20:00:58Z
Meg 2 The Trench is Absolutely Terrible,pxgjbB1loSU,2023-08-19T20:01:23Z
Is Mutant Mayhem a New Low for the Ninja Turtles?,4V0X09SPAOk,2023-08-11T23:07:01Z
Is Oppenheimer Worth the Hype?,n6kZnN13OAY,2023-08-04T20:01:07Z
Why Disney is in Decline,-wuCCydy7fw,2023-08-02T20:04:23Z
Mission Impossible Dead Reckoning Pt 1 is Clunky But Fun,FAwmy5kpbWk,2023-07-21T20:11:44Z
Snow White's Seven Diversity Hires #shorts,txzALb0lsuM,2023-07-17T20:01:06Z
Sound of Freedom is Fantastic,F16Pd13ucI4,2023-07-15T00:51:40Z
Indiana Jones & the Dial of Dysentery is Garbage,INbP3S6j9Xk,2023-07-08T00:28:46Z
The Flash is as Bad as Predicted,-DT_BCwJs68,2023-06-30T20:01:44Z
Across the Spider-verse Has Critical Flaws,yQKInsxdahQ,2023-06-23T20:36:40Z
Witcher Blood Origin is All Convenience No Substance,dtt5b1kBdQ0,2023-04-21T20:09:31Z
Nintendo Aims to Please with The Super Mario Bros,xeUilJhkjME,2023-04-13T20:01:02Z
Dungeons & Dragons Honor Among Thieves is a Surprise,NAdB2qJD1R0,2023-04-05T20:00:54Z
Gingerasure is Real,-O7UZej-Jb0,2023-04-03T20:15:45Z
John Wick 4 is a Flawed but Entertaining Ride,-OPICr3ZCbE,2023-03-31T20:23:12Z
VELMA SEASON 1 IS FINALLY OVER,iciww6x7OKk,2023-03-22T20:00:20Z
What it's like Watching Velma,rEnyLkGu_0c,2023-03-17T20:20:39Z
How Velma Has Wasted 90% of its Runtime,4j3jePhVqJY,2023-03-16T21:34:06Z
Velma Has More Than Just Padding,vm-gWP63mME,2023-03-11T21:00:12Z
What did Cassie Become in Ant Man 3?!,jonzDSjUXqI,2023-03-07T21:06:43Z
Ant Man & the Wasp Quantumania is Terrible,EaNXYQ7mMWs,2023-03-06T21:24:56Z
Velma Hates Men Duh,ud9S68u5MOo,2023-02-27T21:09:30Z
Velma is Padded Stupidity,3mxFpBzPUZU,2023-02-22T21:07:50Z
How Velma Fails to Connect With the Audience,yG3jpVaxYlw,2023-02-06T21:02:09Z
Why Velma Angers Everyone,m4I3Y0keX8o,2023-02-03T20:58:34Z
Velma Has No Care For You,zeDwQny8nS8,2023-01-30T22:12:47Z
Jinkies Velma is Awful,wjqAtPUgnyo,2023-01-25T20:59:54Z
WItcher Blood Origin RIPS OFF Final Fantasy 6,D7pmmkV5kJc,2023-01-17T21:03:50Z
