Title,Video ID,Published At
Zack Snyder wants to make a James Bond 007 movie - Describes James Bond Jr. cartoon show,ewui6q3pSbk,2023-12-29T23:00:30Z
Doctor WOKE - New Doctor Who companion Millie Gibson promises more turmoil in the fandom!,QD_L92lAKpY,2023-12-29T20:16:48Z
A record setting year for Hollywood! 2023's WORST MOVIES! | Bounding Movie Reviews,Wc4Ip3qyhqY,2023-12-29T17:00:21Z
Star Wars Sequel Trilogy - DOOMED from the start? Ft. Grayson Quay & Remso Martinez | Skytalker,Vl_OxqKkXwQ,2023-12-29T16:27:54Z
Zack Snyder's Rebel Moon faces online critic GAUNTLET! Netflix unphased,1JoMd20AgVA,2023-12-28T21:00:02Z
Marc Clair reacts to Tom Brevoort BROWBEATING FANS of Marvel's X-men,0_GaifV9NWY,2023-12-28T17:33:24Z
"Aquaman 2 BEAT DOWN, Best and WORST movies of 2023, anime AI take over! | Zero One",46nAW5APQFA,2023-12-28T04:46:14Z
Warner Brothers Animation and Cartoon Network succesfully Unionize following SAG-AFTRA strikes,cW6Ce6RTIns,2023-12-27T23:00:19Z
Thanks Elon Musk! Kaiju No. 8 Will broadcast FOR FREE on X/Twitter!,_lsnbOxtpDU,2023-12-27T20:00:27Z
Monty Python star John Cleese attacks President Donald Trump during Christmas - BUT IT BACKFIRES!,7BwWTnr_fiE,2023-12-27T17:00:03Z
Iron Claw delivers the IMPACT the Von Erich story deserves! | Bounding Movie Reviews,4BAQhDCG-z4,2023-12-26T22:00:02Z
'Poor Things' star Emma Stone has never looked so EMPTY | Bounding Movie Reviews,jmiWd5t4OLU,2023-12-26T14:33:53Z
Rippaverse's Chuck Dixon explains how Feminism DESTROYED comics---Even for girls!,r3357uHVRmc,2023-12-22T20:04:15Z
Aquaman 2 Lost Kingdom fails to overshadow Amber Heard & Johnny Depp Fiasco | Bounding Movie Reviews,CLlfvcjip6Q,2023-12-22T15:00:14Z
Netflix Announces One Piece ANIME REBOOT!,0j7Axle4yU0,2023-12-21T23:00:00Z
Gundam Creator Tomino DESTROYS Disney,5tnRcH7bzo4,2023-12-21T19:30:50Z
"Christian Toto talks Hollywood's Purity Spiral, The Matrix + Virtue Bombs | Escape From The Future",XCQDJAYoxGU,2023-12-21T13:00:32Z
Batman Gets GOT by Girl Power! Aquaman Box Office DISASTER! Majors OUT of MCU! | Zero One,_72lrREbMjA,2023-12-21T05:03:18Z
Snyderverse Ends On A FLOP? Aquaman Lost Kingdom Predicted To Land Only $40MILLION Domestically!,whRQDJyRm8k,2023-12-20T20:17:01Z
Marc Clair Reacts To Jonathan Majors FIRING! Is this the END for Kang in the M-SHE-U?,_BmeohF8Ue8,2023-12-20T12:45:01Z
Rocksteady's Suicide Squad: Kill the Justice League Game Features Disgraceful Death of Batman,KIuG-TAVC30,2023-12-19T23:30:02Z
Marvel star Jonathan Majors FIRED from all Disney projects including Avengers: Kang Dynasty!,obJ0yjfuvBs,2023-12-19T20:55:42Z
Wonka | Bounding Movie Reviews,sk7rntn2Dlg,2023-12-16T17:02:52Z
Hasbro's Christmas LAYOFFS! 1 THOUSAND employees SHED from Dungeons & Dragons to Power Rangers!,wmAMiY9zUwo,2023-12-15T23:30:15Z
"Amazon's Twitch streaming platform changes content rules allowing twerking, pole dancing, topless",rPUhAOKNrvU,2023-12-15T21:30:04Z
Superman Writer Mark Waid TORCHES unity among Marvel and DC comic pros!,MMFElBPeAFo,2023-12-15T17:45:25Z
Insane Details Released by Judge in Marvel star Jonathan Majors's Domestic Violence Case! He ran!,FHF8vpNuq2Q,2023-12-14T23:00:09Z
"DC Studio's James Gunn says DCU flagship 'Superman: Legacy' will not feature ""Cameo Porn""",AAz839uStcE,2023-12-14T17:13:08Z
"Chuck Dixon talks Rippaverse's Alphacore, Levon Cade MOVIES and Mark Millar | Escape From The Future",Q_U5jUW_aAI,2023-12-14T14:00:07Z
Mark Millar goes to WAR with the Cancel Pigs! Doctor Who RACISM! James Gunn hates cameos! | Zero One,F_e1_D_TBsc,2023-12-14T04:45:54Z
Top 10 BEST Lightsaber Duels in Star Wars! (Live Action) | Skytalker,BmYw2akQMG8,2023-12-13T15:40:06Z
"Superman writer Mark Millar, and Green Lantern Artist Ethan Van Sciver ignite social media FIRESTORM",Hrobqx87jC8,2023-12-12T21:00:10Z
"Disney gets SUED by Disneyland, Marvel and Lucasfilm workers for EQUAL PAY VIOLATIONS! #GenderPayGap",EHejtJQBlg0,2023-12-12T18:43:35Z
Did Eric July and Chuck Dixon deliver a Rippaverse HIT with Alphacore #1? #reaction! | Marc #reacts,dCh5611SVFM,2023-12-12T13:04:19Z
"Bill Burr/Trump Drama, Maggs Visaggio to TRANS another franchise favorite! | Monday Rewind",P4xsrWn8_hA,2023-12-12T08:11:41Z
Leave The World Behind | Bounding Movie Reviews,RFHnYks0kxg,2023-12-11T21:00:20Z
New Star Wars Mace Windu: The Glass Abyss novel! + More Jedi and Sith News | Skytalker,1YaCF-G8Hu8,2023-12-11T17:00:01Z
Comic Book Pros ATTACK LCS Owner! #IStandWithGlenn | Marc #reacts,eFZMYmKF8tM,2023-12-11T13:00:34Z
"RECASTING The Avengers! Iron Man, Captain America, Black Widow! Scooper MyTimeToShineHello CONFIRMS!",opQwH1ZnC3s,2023-12-08T23:00:35Z
Comedian Bill Burr Wishes 💀 On Trump and Biden!?,QUku8SqepXY,2023-12-08T20:21:19Z
Star Wars Sabine Wren's Force Powers - How Did That Happen Dave Filoni? | Skytalker,Zs0O9KU0gGM,2023-12-08T16:00:55Z
Dream Scenario | Bounding Movie Reviews,xXVS903YJ9Q,2023-12-08T14:54:26Z
Star Wars Rankings: Critical Drinker and Ben Shapiro's 2023 Picks! | Skytalker,akgSIK8ReIg,2023-12-07T23:35:21Z
Silent Night | Bounding Movie Reviews,-A-vEqJ_OGI,2023-12-07T18:40:15Z
"Ridley Scott's Napoleon, Erosion Of Trust In Hollywood, Superior 1980's | Escape From The Future",g-AixaKLdFo,2023-12-07T13:00:30Z
"Feigie Says NO Iron Man, Comics Are Beyond Repair, and GTA! | Zero One",Mgb2CEL0RxE,2023-12-07T04:34:08Z
Eric July's Alphacore #1 ships to Rippaverse supporters! Marc Clair reacts!,6yeU20HqSsA,2023-12-06T19:57:46Z
NO REFUNDS! Playstation STEALS your money! Blames Licensing! Unbelievable!,-p8-ghlQPes,2023-12-05T17:59:27Z
Godzilla's TITANTIC take at the box office! Disaster for MCU! And Comics Are Weird! | Monday Rewind,WBwDKNoI_1c,2023-12-05T08:25:10Z
Godzilla Minus One - Bounding Movie Reviews!,16YB2b6HiRU,2023-12-04T20:45:25Z
"Marvel's Kevin Feige OBLITERATES Secret Wars, Robert Downey Jr will NOT return to the MCU",n0LOxfEUS2A,2023-12-04T17:58:58Z
Nightcrawler's BIOLOGICAL Lesbian Moms! Marvel Comics Is WEIRD...,wV_VFpYaICY,2023-12-01T18:15:54Z
Does Jurassic Park need Bow-Chika-Bowow Dinosaur Lovins? Hollywood darling Emerald Fennel thinks so!,7DDnqitXqTM,2023-11-30T17:23:38Z
Disney Admits Defeat? Jimmy Olsen is a GINGER?! Who Can You Trust? | Zero One,qvHP4dolxsQ,2023-11-30T04:25:40Z
Doctor Who 60th Anniversary Special delivers Disney's Social Agenda loud and clear!,KWeWez155WY,2023-11-28T18:17:02Z
'Thor: Ragnarok' director Taika Waititi backpedals on his promise to ANGER Star Wars Fans,tO5s8lMv49g,2023-11-27T19:44:45Z
Bounding Into Thanksgiving,MyDcKtvdEaI,2023-11-22T23:16:10Z
New Lands - Happy Thanksgiving,1ZHydYM3oqY,2023-11-20T17:00:43Z
Taika Waititi Promises To Piss Fans Off With His Star Wars Film,YuhH8mANyxk,2023-11-17T21:00:19Z
"MCU Doubles Down @ Woke Ideology Reportedly Cast Pedro Pascal Because Fantastic Four ""Was Too White""",Sd20RAuK3uU,2023-11-17T18:00:25Z
"Ridley Scott: Joaquin Phoenix's Commodus isn't A Villain ""Most Sympathetic Character"" in Gladiator",LP2H1OGMfXk,2023-11-17T15:00:19Z
Nia DaCosta Attacks Critics of Woke Marvel With Bingo Card Full Of Insults,0AILTUegl2U,2023-11-16T21:00:00Z
Iman Vellani Encourages The Marvels Fans To Create Petition To Greenlight Young Avengers Movie,uXXolwl8rKw,2023-11-16T18:00:34Z
"PC Police Target Nedrotic, Yellow Flash, The Critical Drinker, and Jesse Grant YouTube Encourages It",FBxURPkoUAo,2023-11-16T15:00:19Z
"Producer Bashes The Marvels After Abysmal Box Office: ""Losing So Much Value Is Rare And Hard To Do""",oJRsr_Qqwt0,2023-11-15T21:00:23Z
Netflix Announces Race-Swapped Hannibal Movie Starring Denzel Washington,6iAmy7wSvAs,2023-11-15T18:00:04Z
"'The Marvels' Breaks Another Box Office Record, Glass Ceiling Shattered!",dvxJcHNIDjI,2023-11-15T15:00:35Z
"The Marvels Dies At The Box Office, Massive Declines From Friday To Sunday",T36x4A0YZKU,2023-11-14T21:00:23Z
Netflix Boss Implies Feminist Greta Gerwig Being Raised Christian Made Her Qualified To Adapt Narnia,uxZgTjKlOvI,2023-11-14T18:00:34Z
"Actor Jacob Elordi Passed On James Gunn's Superman Legacy Because It Was ""Too Dark""",txprBS0QnFk,2023-11-14T15:00:50Z
Live Action Zelda Film Announced With The Rise of Skywalker Screenwriter Attached,-0ZEhoYUkEQ,2023-11-08T21:00:00Z
Comic Retailer Blasts Marvel and DC for Destroying Comic Book Industry,gAX8S1CpENE,2023-11-08T18:00:19Z
"Disney Executives Reportedly ""Butthurt"" Over South Park: Joining The Panderverse",2WDtq7NOvVA,2023-11-08T15:00:03Z
Marvel Executive Reportedly Fired For Not Warning About How Terrible The Blade Film Is,JMjl5jmbd8w,2023-11-07T21:00:09Z
"Robin Hood Under Attack, Latest Film To Turn Icon Into 11 Year-Old Girl",obJyYTA0Z-0,2023-11-07T18:00:22Z
Sauron to Fight Adar in The Lord of the Rings: The Rings of Power Season 2,twsBhM_5eLs,2023-11-07T15:00:45Z
"Creature Commandos Delayed to 2025, WB Blocks Animation Partner After Announcement",YDNyxbWXA9E,2023-11-04T20:00:09Z
