Title,Video ID,Published At
Whatcha' Readin' #22 SGT Rock fights zombies and Dan Abnet writes a classic!,jMB_ZrzMKbI,2023-12-28T05:00:19Z
Ask Chuck Dixon #176 What was the Golden Age of comics and was it so golden?,l3HgttoEOpI,2023-12-27T05:00:21Z
Ask Chuck Dixon #175 A man telling you how to write women? Outrageous!,LJkdfLccehI,2023-12-20T05:00:10Z
Ask Chuck Dixon #174 Building the Rippaverse and true comic book independence!,pYMZ-k_RFsk,2023-12-13T05:00:26Z
Ask Chuck Dixon #173 Have comics broken me or are comics broken?,ZKQJNGA-dWU,2023-12-06T05:00:07Z
"Ask Chuck Dixon Extra! 2  Me and TrueUnderDawg talk comics, gaming and pop culture!",9obKKzTnkr8,2023-12-01T05:00:08Z
Ask Chuck Dixon #172 The superhero cycle is over wth two exceptions! And how comics break your heart,VaDT8aSMQdM,2023-11-29T05:00:09Z
"Ask Chuck Dixon #171 DC Comics' deep dark secrets, and how I was almost Batman's boss.",5hqz4MC7rlQ,2023-11-22T05:00:02Z
Whatcha' Readin' #21 Lucky Luke! Killer sharks! Soviet intrigue! Rippaverse!,D39vGerg7Rc,2023-11-17T05:00:07Z
Ask Chuck Dixon #170 How to break into comics and what's love got to do with superheroes?,lTVey6mC2g4,2023-11-15T05:00:07Z
Alphacore #1 is Unleashed! My first project in the Rippaverse is ready to order!,YOiujBvPhJ4,2023-11-11T05:00:10Z
Ask Chuck Dixon #169 Why Comicsgate matters and have comics always been woke?,2ITUpk_m5_E,2023-11-08T05:00:08Z
Ask Chuck Dixon EXTRA! How Levon got to Hollywood!,0VOgGk22YCs,2023-11-03T04:00:08Z
Ask Chuck Dixon #168 How to worldbuild and the dialogue scenes you should NEVER write!,BEkBP7MQE9c,2023-11-01T04:00:11Z
Whatcha' Readin' #20 Johnny Hazard by Frank Robbins and a shocking book from my,uy_VlM72rXQ,2023-10-27T04:00:08Z
Ask Chuck Dixon #167 What's wrong with Jonny Quest?,RHwBhrT7qEM,2023-10-25T04:00:09Z
Whatcha' Readin' #19  Don Simpson twits Alan Moore and the life of William Friedkin!,_0iDbuB_eVA,2023-10-20T04:00:07Z
Ask Chuck Dixon #166 Building the Rippaverse and making a comics universe come to life.,zgZPUQncmgY,2023-10-18T04:00:35Z
Ask Chuck Dixon #165 The comic DC would not publish and how NOT to get screwed by a comic company.,FwWFKa79HT0,2023-10-11T04:00:06Z
Whatcha' Readin'' #18 The Man from UNCLE and fun with the Civil War!,xu7vDSatwes,2023-10-06T04:00:06Z
Ask Chuck Dixon #164 Why I hate The Killing Joke and it's never been tougher for writers than now.,Z3lgChBLehM,2023-10-05T04:00:10Z
"Whatcha' Readin' #17  Buffalo hunting, Nicolas Cage and Little Orphan Annie battles corruption!",c7tJ5G2o6Wo,2023-09-29T04:00:08Z
Ask Chuck Dixon #163 The end of era for Batman and bloodshed at a kid's cartoon show!,9wsDz53yboc,2023-09-27T04:00:04Z
Whatcha Readin' #16 Classic Judge Dredd and a famous cartoonist on the red menace!,IAt3l4Z-AIg,2023-09-22T04:00:10Z
Ask Chuck Dixon #162 What happens when you pay comics creators crap. And why read Neil Gaiman?,03D2Ye7nyLc,2023-09-20T04:00:08Z
Whatcha' Readin' #15 Zing! Pow! Batman manga! And the secrets of ancient Rome!,rO4SeCgvfHY,2023-09-15T04:00:08Z
Ask Chuck Dixon #161 LOTS of questions about the Punisher and who is Don Daley?,XT28w28AmOs,2023-09-13T04:00:29Z
Whatcha' Readin' #14 Hooba Hooba! Marsupilami and Jimmy Stewart!,x08bltCcKno,2023-09-08T04:00:08Z
Ask Chuck Dixon #160 Lazy writers called out! An why do the Big Two always drop the ball?,BeygOWJpSms,2023-09-06T04:00:06Z
Ask Chuck Dixon #159 Comic book editors wield their limited powers and unpublished comics!,KoToLiwLRV0,2023-08-30T04:00:09Z
"Whatcha' Readin' #13 Garth Ennis, Rich Corben and Dirty Harry!",74Xl5wn1duc,2023-08-25T04:00:05Z
Ask Chuck Dixon #158 Is Nightwing like Daredevil? And the best martial arts movies!,fP32zbdu3vg,2023-08-23T04:00:19Z
Whatcha' Readin'' #12 Genghis Khan's greatest general and a Roman war novel!,sy7EvQHDnao,2023-08-18T04:00:38Z
Ask Chuck Dixon #157 Why Superman should never kill and I explore Amish exploitation movies!,36efM8aqt5s,2023-08-16T04:00:02Z
Ask Chuck Dixon #156 I argue with James Earl Jones. And could Bane beat Batman without Venom?,vMoPaHc05Lc,2023-08-09T04:00:10Z
Ask Chuck Dixon #155 How to comport yourself at a comic convention and Storytime!,rmINkWFIwUQ,2023-08-02T04:00:34Z
Ask Chuck Dixon #154 What's wrong with Superman and how would I fix it?,A8KjhP-MW8c,2023-07-26T04:00:10Z
Ask Chuck Dixon #153 What ABOUT Garth Ennis on the Punisher?,6Ed5TZ67sm0,2023-07-19T04:00:03Z
Whatcha' Readin' #11 Quentin Tarentino's Cinema Speculation is on the reading list this week!,-qOTgGe0F1U,2023-07-14T04:00:00Z
Ask Chuck Dixon #152 Why Marvel hates the Punisher and hates you. And life in the Rippaverse!,mkVu1UjudVQ,2023-07-12T04:00:09Z
Ask Chuck Dixon #151 What did Jim Shooter know about storytelling and what makes a comic writer cry?,7mDsNQ1BrX0,2023-07-05T04:00:03Z
Whatcha' Readin' #10 I take a look at a Mickey Donald and Goofy adventure from Lewis Trondheim.,imQwplnUrfE,2023-06-30T04:00:10Z
Ask Chuck Dixon #150 What's wrong with Moon Knight? Will Eisner! Jack Cole!,hAQsq2ZNCcE,2023-06-28T04:00:21Z
Whatcha' Readin' #9 Marvel 1962! Buck Danny!,vjbq20af83c,2023-06-23T04:00:08Z
Ask Chuck Dixon #149 The career of Johnny Romita and why did Ollie Queen have to die?,5MkTM5TI6FU,2023-06-21T04:00:10Z
Ask Chuck Dixon #148 Which comic artist is the best comic writer? And who writes high?,Jbi6MHi_5jI,2023-06-14T04:00:08Z
Whatcha Readin' #8 Jordi Bernet! Dennis the Menace! Quintin McHale!,PE1p5F7N3zU,2023-06-09T04:00:11Z
Ask Chuck Dixon #147 Batman gets wacky. Is Valkyrie a cougar? And what's wrong with Jedis?,_pCmI9lLZYo,2023-06-07T04:00:16Z
Whatcha Readin' #7 I review Judge Dredd: Guatamala,lCat-lHcW_0,2023-06-02T04:00:20Z
Ask Chuck Dixon #146  Writing interesting characters and which is the best Punisher movie?,NrAO8TfaUyI,2023-05-31T04:00:13Z
