Title,Video ID,Published At
MILES MORALES IS MILES MORALES.  (And that's how MARVEL and DISNEY wanted it.),IRwBa4pMkew,2023-12-29T17:45:00Z
DC Comics DISGRACE: TIM SHERIDAN's Green Lantern PAYS GIGOLOS FOR SEX.,HsCtaafXPIw,2023-12-29T01:05:36Z
"OUTRAGE!!!  MARK HAMILL tells STAR WARS THEORY ""no"" TWICE!!",Uzs8URk8uGo,2023-12-28T13:15:03Z
The SAD END of the DCEU! Massive AQUAMAN 2 BOMB just before MASSIVE LAYOFFS!,TlDZzq_V4a0,2023-12-26T18:17:11Z
MARVEL Editor TOM BREVOORT goes CANCEL PIG on the FANS...7 months before he starts X-MEN!,L4ZnE4IMcMI,2023-12-23T04:15:00Z
"MARK WAID uses a sick woman's charity to attack COMICSGATE and the ""Alt-Right.""",rQeh9JXM3Eg,2023-12-21T19:46:54Z
DAVID ZASLAV knows what he's doing. Watch. (MASS LAYOFFS at DC Comics INCOMING!),D8gleokeztU,2023-12-21T18:12:59Z
"This is STUPID.  Building an army of unsold, unwanted garbage female action figures.",XiLr0e7nTso,2023-12-20T20:01:44Z
ROB LIEFELD predicts THE END of DC COMICS in 2024.,1nWov6gWmcM,2023-12-19T17:26:31Z
MARVEL and DC Comics HATE Masculinity!,bX_pCOUYdH8,2023-12-19T13:02:25Z
DISNEY's WOKE X-FILES Reboot! Scully GINGERCIDE!,ErgmF0cIl20,2023-12-18T19:55:14Z
Cheers Bud! I offer some FATHERLY GUIDANCE for Cancel Piglets! REACTION VIDEO!,OTPvJxVU2qQ,2023-12-18T15:06:57Z
The Moment You Realize You Bankrupted WARNER BROS!  Predict AQUAMAN & THE LOST KINGDOM CATASTROPHE!,ErHPUlfPbv0,2023-12-17T13:00:14Z
"We don't make or sell DOG-MAN or MANGA, you idiots.  It's OVER.  At least Mark Waid admits it.",ONKHKOsO5P8,2023-12-17T05:41:47Z
LMFAO MARK WAID HUMILIATED!!  Millar/Waid DRAMA EXPLAINED!!,dGKUG1d0TfA,2023-12-16T03:00:17Z
LOVE BOMB: Mags Visaggio and Zack Snyder's REBEL MOON humiliation! NETFLIX is F***ED!,nn3CBsRXGXc,2023-12-15T20:32:11Z
Jingle Ball 2023,5D-d72zaXo4,2023-12-15T08:26:14Z
"MARK WAID UNHINGED! As Comics Retail collapses, King Baby says he wants Comics Biz to BURN!",kK9Mx7XrvSo,2023-12-14T13:19:40Z
MARVEL created MILES MORALES for TWO REASONS.  This is the SECOND ONE.,ksGy8N2H-zA,2023-12-14T05:58:36Z
Is THIS how the CANCEL PIGS do it??,tmGcdY7xYG8,2023-12-13T22:41:20Z
CANCEL PIGS want to destroy DCEU Actor ZACH LEVI!,zjfv8YzH4zs,2023-12-12T15:19:13Z
CANCEL PIGS WRECKED! Mark Millar DESTROYS these fools! We are WINNING!,J1LBeJklHPU,2023-12-11T20:22:34Z
WORST MARVEL COMICS COVER OF THE YEAR? What HAPPENED here?,5sAg6Crdf9Q,2023-12-10T21:54:55Z
NECESSARY EVIL: Shutting these Cancel Pigs DOWN.,GQluxW4HlC4,2023-12-10T19:33:01Z
Marvel WRECKS Moon Knight! HOW MUCH $$$ do these clowns want to lose??,ezFc-qIDpek,2023-12-09T15:28:30Z
They're REALLY mad at me now!,1mlS0TNYotE,2023-12-09T04:22:28Z
IT'S OVER!  (Sorry Miles Morales fans),UBof-tBTAr0,2023-12-08T17:23:01Z
SJW Comic Pros are STILL CRYING about BASED RETAILER! Now they're mad at ME?  Why?,5lo6SPnQSJQ,2023-12-07T21:13:30Z
THOT EXPERIMENT.  We'll never let the CANCEL PIGS forget this!!,spqLJsLS_CI,2023-12-07T15:15:44Z
"CANCEL PIGS try to cancel MARK MILLAR for saying ""Hi"" to me.  It's really LIKE this in comics. Wow.",oZJW73MVm9k,2023-12-07T03:41:55Z
COMICSGATE KINGS!!  Live!,VGNHrLbjD-U,2023-12-05T03:51:38Z
THEY'RE FINALLY SAYING IT.  We are WINNING.,D8IqIooNeIY,2023-12-04T13:10:44Z
Brutally Honest Movie Review: TROLLS BAND TOGETHER,eIMvBWHzaAQ,2023-12-03T21:13:59Z
He’s here! UNDERPANTA CLAUS 2023.,8EMWX42Jm6s,2023-12-02T15:06:14Z
ComicsGate LIVE!! w/Malin and Shane Davis!  Inglorious/Godlike/CyberFrog TRIPTYCH LAUNCH!,tmmFFiIWJ58,2023-11-27T01:46:32Z
JFK: Witnessing History with COMICSGATE!,9awpv7H8__o,2023-11-22T21:02:10Z
It's Tuesday!  Frog comics are in!,VRQaWFxumDk,2023-11-22T03:45:06Z
PIE VIDEO 2023,2cQr0Q9LTOE,2023-11-21T17:24:12Z
COMICSGATE KINGS!,rJn9am0-EyM,2023-11-21T03:38:40Z
More trouble!  ELECTRIKK BLUE ACTION FIGURE close out!,YFCJ6bLK4Do,2023-11-20T09:11:34Z
This is CRAZY.,gD92AubdVFU,2023-11-18T04:21:49Z
More Sketching!  All Nite All Rite!,DzA27W4lyCk,2023-11-16T02:35:10Z
Head Sketch Wednesday Draw Stream!  Back CYBERFROG!,Pw1lkl-lpV8,2023-11-15T18:03:29Z
LATER GATERS!  Evening Chat!,w8Gm_Qsb4Q4,2023-11-15T03:56:49Z
COMICSGATE KINGS!,0Gidz_5qhao,2023-11-14T03:26:49Z
LATER GATERS Sunday Nite!,SVO3httAqvo,2023-11-14T02:18:43Z
I'm biggity back!,mVFHw1zktFs,2023-11-12T08:06:53Z
Anyone there?,zyaVe3BeqF4,2023-11-12T03:15:05Z
GHOST Party with GRAHAM NOLAN and ComicsGate Live!,BQKmlJq8y7U,2023-11-10T06:19:23Z
CHIK-N-FRIED!,g1zcxyphxds,2023-11-09T06:53:08Z
COMICSGATE KINGS!,ogYIX4BUggM,2023-11-07T02:48:33Z
I've HEARD you.  OK.,-qJYclirOd0,2023-11-06T06:46:34Z
Healing HeelvsBabyface!  Let's EFAP!,3S94SJDqCRA,2023-11-05T23:55:17Z
COMICSGATE ART AUCTION Autumn Edition!,dMv3ADI57C8,2023-11-05T04:47:19Z
COMICSGATE LIVE!!!,xrIcr_TfFr8,2023-11-04T04:41:40Z
TROLLS!  VIEWS!,ST0weMLkcqQ,2023-11-03T02:16:50Z
A Nice Wednesday Night Hang Out!,fYenzBsJ7aI,2023-11-02T01:58:20Z
A HALLOWLEEM ComicsGate Live!,0SSZ9Fw_GPo,2023-11-01T03:52:19Z
COMICSGATE KINGS!,fuAu8dizOhs,2023-10-31T03:00:19Z
EFAPPING Sean Gordon Murphy on Comics with PERCH.,iKs7chbMduY,2023-10-30T02:28:27Z
GINA CARANO ||GOES IN HARD|| on KATHLEEN KENNEDY! Destroys CORRUPT Disney “Yes Men.”,bEX7A2qn3qs,2023-10-29T21:04:26Z
"OK, hold up: What is ""WOKE?""  Let's get it clear.",KQaCzoJ_m2I,2023-10-28T14:38:02Z
"Woke BATMAN Artist Jonathan Glapion doesn't think Asians all look like Jackie Chan, OKAY? BIGOT!",pY-opXk5XwE,2023-10-28T00:10:09Z
CYBERFROG MicroCar Unpainted Prototype!  FREE!,E7Z7WO3zJlw,2023-10-26T14:40:49Z
"Every Single Day, a New Disaster.  Why?  What IS this???",CCHcwmAYF9A,2023-10-26T03:56:02Z
COMICSGATE KINGS!,3w4D4YDcubM,2023-10-24T03:28:01Z
LATER GATERS Overnight! (Pretty good name for a show!),kF2Y7MXtJYw,2023-10-23T10:27:33Z
Post CECIL Stream!,lKm-F8gsXXc,2023-10-18T08:50:34Z
WHAT ON EARTH,nheTaweP5hc,2023-10-17T05:32:51Z
What the HELL is THIS?!,arhDci4n3TU,2023-10-16T08:52:57Z
SNOWMAN: ACDIH close out party!  Trivia! MysteryBox Giveaways!,paCaUl-PG1c,2023-10-15T06:08:53Z
COMICSGATE LIVE!  IMAGE 2.0?  Or is it 3.0?  I dunno.  IT'S SOMETHING!  DC IS F@#$ED!,mNFMZ3ypSj8,2023-10-14T09:30:58Z
COMICSGATE LIVE!!,bC086oX6SIU,2023-10-09T05:36:27Z
COMICSGATE LIVE!  Sean Gordon Murphy SWIPES Patrick Thomas Parnell???,6nV4d65PWYw,2023-10-06T03:00:35Z
COMICSGATE KINGS!  The Blacklisting of MARK WAID.,6GGrXqif6l8,2023-10-03T06:56:51Z
"WTF are these SJW comic pros CRYING about? EFAPing ""Controversial"" Dan Didio interview!",9gubXVUqIPY,2023-10-01T22:41:12Z
A Complete Waste of Time.  COMICSGATE LIVE!,5Cew03mX6BQ,2023-09-29T07:46:00Z
COMICSGATE KINGS!,Vyp5WzU2piQ,2023-09-26T07:35:42Z
TROLLING THE METS 2,S9vdC8p_2eo,2023-09-25T17:00:39Z
Trolling the Mets,3ELz2PfdC_4,2023-09-25T16:59:06Z
Hello? Is YouTube still working?,TFjYZEKg2O8,2023-09-25T04:28:44Z
Wonder Woman actress LYNDA CARTER HUMILIATES herself crying about KARI LAKE and MAGA.,pvS6Rir9wkg,2023-09-24T14:52:17Z
"“DON’T ANTAGONIZE US, MOTHERF***ER!”  SJWs threaten my comic book signing!!!",YEYOPyHABaw,2023-09-24T00:25:16Z
EVIL SJW comics WHISPER NETWORK vs. THE CHAD Fables Writer BILL WILLINGHAM!,kHTzoW6TIRA,2023-09-17T14:58:20Z
GOAT ROB LIEFELD's Big Tiddy CAPTAIN AMERICA is BACK and he's BLACK! No Cap!,KoFdxDzWGmw,2023-09-17T09:27:31Z
"Insane WATCHMEN creator ALAN MOORE: ""Hey BLACK LIVES MATTER! I hate DC Comics so TAKE ALL MY MONEY!""",NOFt9zUT218,2023-09-14T12:31:26Z
SHADIVERSITY brutally cancelled by The SJW Coward Matt Easton of Schola Gladiatoria Channel,2UkY8EuzFyE,2023-09-13T11:20:19Z
"An Objective Review of Crap #7 ""Oy vey, Hal Jordan gets shpilkes!"" KNIGHT TERRORS: GREEN LANTERN #1.",-tNSjEhAvZE,2023-09-12T11:34:37Z
An Objective Review of Crap #6.  Traced art in the STAR WARS: YODA solo series NOBODY asked for.,ldnog_GtCV8,2023-09-08T13:49:11Z
Disgusting! Wtf!  CYBORG SPIDER-WOMAN TOY REVIEW!,a9Ec3awjLio,2023-09-08T02:57:20Z
"""YOU WHINY HIPPIES DESTROYED DC COMICS!"" Is DAVID ZASLAV beginning another BLOODBATH?",NDM7giuT1Uc,2023-09-07T11:31:05Z
They're getting BOLDER. (And weirder.) The agenda to use COMIC BOOKS to PERVERT your KIDS.,AgQY-jcQLHE,2023-09-05T20:49:35Z
HEELvs.BABYFACE goes OFF on BETHESDA GAMES!  Video goes MEGA VIRAL with HATERS!  I defend him.,TDUVo9NVlo8,2023-09-04T05:55:46Z
An Objective Review of Crap #5.  TOM TAYLOR brings airheaded narcissism to TITANS #1.,oQEJGLAc9Uc,2023-09-02T16:18:26Z
An Objective Review of Crap #4. MUY BASURA! America Chavez: Made in America is STINKY,kG1-Bl4quC0,2023-09-02T05:31:21Z
"An Objective Review of Crap #3. GERRY DUGGAN limp-fistedly punches ""Nazis"" in MARAUDERS #20",JtGKikPiAz0,2023-08-30T01:16:48Z
An Objective Review of Crap #2: ERIK LARSEN's DIVERSIT-eh? NORTH FORCE #0,K9_R9CqJgiw,2023-08-29T16:11:20Z
It cost her EVERYTHING. Former DC President DIANE NELSON admits JUSTICE LEAGUE was TRASH!,3Jf4jKvdnUQ,2023-08-28T16:21:23Z
An Objective Review of Crap: DC COMICS PRIDE. CRUSH & LOBO #1,9Hgd2i8cyKA,2023-08-28T02:52:39Z
"Every day is a living hell. RIPPAVERSE SUED over ""TRADEMARK INFRINGEMENT.""",Yw7ff5Rs1EA,2023-08-25T07:15:38Z
Drawing a hideous cybermonster!,cCepWgcZpsU,2023-08-24T05:48:38Z
COMICSGATE KINGS!,fzn1zFlGFHY,2023-08-22T03:29:30Z
Sunday Night ComicsGate!,trpF7Td7Mfs,2023-08-21T05:21:40Z
I’M BANNED ON TWITTER!  omg,jcrwhI_cavM,2023-08-20T13:41:44Z
Nu Cecil is BORING AF,esinBHQP6q8,2023-08-17T05:32:04Z
ComicsGate Kings! Shane Davis launches AXCEND!,02e2ivWMi70,2023-08-15T02:34:17Z
I'm OK,WMOjTnNRO-E,2023-08-13T21:42:36Z
COMICSGATE LIVE!  EFAPing Ya Boi Zack! Heather Antos IDW disaster! 2023 CG Apparel CLOSE OUT!,DI8hyk6QEGM,2023-08-12T21:28:06Z
Taste the REIGNBOW,iJ57urEbpUA,2023-08-09T17:10:25Z
COMICSGATE KINGS!,7rC0TlGZCu0,2023-08-08T03:16:19Z
CYBERFROG 3!  LAST NIGHT!,hORbkbRmefc,2023-08-04T07:48:18Z
CYBERFROG 3: RED EXTERMINATION Close Out Livestream!,yt4eAPXHcO0,2023-08-03T20:50:38Z
SEEING RED.  CyberFrog 3: RED EXTERMINATION is coming.,Lq7FKqV-Xhg,2023-07-30T21:52:57Z
DEATH'S STING,V76DTKScszU,2023-07-27T00:38:15Z
EFAPing MARVEL X-MEN retrospective 2000s,5FrgI3yjiZ0,2023-07-26T08:21:32Z
ALAN MOORE threatens ERIC JULY!!!! (not really),WHFxjcgNSxk,2023-07-26T08:17:06Z
COMICSGATE KINGS!,mpBQW_g2kOk,2023-07-25T04:17:15Z
BARBIE review vs. EFAP Critical Drinker's review?,roQr0zT28aQ,2023-07-24T07:54:52Z
Cyberfrog 3  Red Extermination official trailer,IqwzhEPVyQA,2023-07-23T06:18:40Z
What’s Liam Gray DOING? The pitfalls of indie comics fame. W/ Finatra,yjXq476bx0Q,2023-07-22T11:25:13Z
WHAT IS COMICSGATE? StickyGoose Comics efap stream! Answering this guy!,3O4verOeLTk,2023-07-19T20:50:53Z
COMICSGATE Kings!,EuahGoemk54,2023-07-18T04:48:53Z
SJWs threaten ERIC JULY over SDCC!,I45XkOZ7tk4,2023-07-15T04:59:29Z
SALAMANDROID DEATH’S STING. Applying Glow in the Dark ink!,7xcryUgQpXs,2023-07-14T22:03:40Z
PITT Posters LIVE! SJWs Being Mean To Me on REDDIT!  WTF! I'm the nicest guy on Earth!,PjFvn11V34M,2023-07-14T04:37:53Z
ComicsGate LIVE! CYBERFROG 3 at $350K!! RippaVerse at SDCC/Heather Antos EFAP/Zack HATES Doomcock,7M7naULjI6M,2023-07-13T07:52:10Z
ComicsGate Kings!,nDjwdPQBZe0,2023-07-11T11:58:36Z
CYBERFROG 3: RED EXTERMINATION.  Leap to $300K!,CEIA0Ypn2_g,2023-07-05T16:24:05Z
CYBERFROG 3: RED EXTERMINATION LAUNCH.,y_-RzcAxr7o,2023-07-04T19:14:11Z
COMICSGATE KINGS!,3oVnuD-Tozg,2023-07-04T02:33:14Z
COMICSGATE KINGS! Our first convention!,-WqvpO50EdI,2023-06-27T03:43:40Z
ComicArtistPro Secrets is going live!,ffwToFdtqhA,2023-06-24T22:29:08Z
CYBERFROG 3 teaser. July 4th.,kScvHbfnNuY,2023-06-23T14:26:04Z
COMICSGATE KINGS! KRAVEN Trailer/FLASH Bombs/SON OF JACK KIRBY/GI JOE is BACK?!,IzynppK3g-I,2023-06-20T03:33:56Z
"UNTHANKED. Flash movie forgets important creator: Me.  Oh, and MARK WAID was snubbed too.",IihHL7TSThw,2023-06-19T18:50:09Z
COMICSGATE Live! FIENDISH 2 Closeout Party!,ool3op636nI,2023-06-17T05:26:24Z
"INGRATITUDE is not a good ATTITUDE, DC Films!",-BZ3LC-px84,2023-06-15T04:30:59Z
CAUGHT YA IN 4K! Broken Comic Pros stir s#!t in private with IDW senior editor HEATHER ANTOS!,cOn2p9Cqit8,2023-06-14T18:58:38Z
ComicsGate KINGS! ISOM $1Million|#ComicsBrokeMe,okYSRFx1C-Q,2023-06-13T03:16:19Z
Comics By Perch is Aggro and Cray Cray.  EFAP!,MAYkFzJii5k,2023-06-07T22:47:51Z
COMICSGATE KINGS!,XoBlzXuoF4U,2023-06-06T03:29:38Z
Working Stream (boring),RG5asZZrmD0,2023-06-03T05:14:49Z
COMICSGATE KINGS!,5aG4i4k9Ses,2023-05-30T03:29:22Z
COMICSGATE Live.,2NPZ4WGyTQI,2023-05-29T06:38:20Z
DREAMS CAN COME TRUE.,FNonHvwFf68,2023-05-27T19:50:49Z
ComicArtistPro Secrets is going live!,7TQHxW4VVLM,2023-05-27T14:03:07Z
ComicArtistPro Secrets is going live!,ILm6pNMw1G0,2023-05-26T14:48:13Z
Drawing HEATHER SWAIN headsketches,jNxEexFZ05w,2023-05-26T05:03:33Z
"MORNING SHOW Live!  With your Host, Ethan Van Sciver",Kv6hzTIHc8E,2023-05-25T16:30:18Z
COMICSGATE Live! ft. Paul Chato!,OlPXFtEKIFI,2023-05-25T02:27:31Z
I'm RIGHT.  Smiller is WRONG. KICKSTARTER's new Comics CZAR tears down Conservative projects.,OIDNMIn4roU,2023-05-24T22:05:41Z
ComicArtistPro Secrets is going live!,_USSXCb9NKw,2023-05-24T18:21:33Z
KICKSTARTER hires a new Comics Czar.  A guy to drink a cold Bud Light with.,9aApsXV0OKI,2023-05-23T20:06:59Z
ComicArtistPro Secrets is going live!,Pr0UX6NqEhQ,2023-05-23T15:11:16Z
ComicArtistPro Secrets is going live!,wJCzbZZWrKc,2023-05-22T15:13:47Z
Warehouse livestream!,reR8jqoHlXM,2023-05-22T14:41:40Z
RANT: Dove Soap ad is sickening,iVvi1N4DNgU,2023-05-22T04:26:21Z
Buy Ms. Marvel comics or SHE'LL DIE!,5kLbP_Y3bzQ,2023-05-21T15:09:41Z
RAZ0RFIST and EVS Live!,yPbMTl9PQdc,2023-05-21T05:11:51Z
I UNLOCKED THE SECRET OF WHY GIRLS ARE BAD AT MEDIA! HeelvsBabyFace and Critical Drinker agree!,mxgOltGa_rU,2023-05-19T16:16:20Z
$2 Billion DISNEY STAR WARS HOTEL CRASHES AND BURNS! Gina Carano's vengeance arc BEGINS!,ENa10XGdeEM,2023-05-18T21:57:45Z
Wild Turkey harasses my neighbor.  These birds are crazy.,KyzoXO1dbC8,2023-05-18T11:45:30Z
LMAO FALLEN SALES!! The Death of Marvel Comics.,I2gpcHatYkc,2023-05-18T00:16:06Z
COMICSGATE WINS AGAIN! Ms. Marvel KAMALA KHAN BITES IT! SJWs cry!!,4dd5gp_BJ_o,2023-05-16T18:02:23Z
"""BROWN MARKERS, STAT!"" Marvel Comics Artist MARK BROOKS in full PANIC as SJWs attack!",vzHsFjcL24w,2023-05-16T16:42:19Z
COMICSGATE KINGS! Non-Binary Transformers/Miller Lite Feminism/Neil Gaiman WGA PENCILS DOWN!,n-EMQ_A9_sY,2023-05-16T03:10:40Z
Let’s laugh as unhinged MARVEL COMICS artist MARK BROOKS utterly HUMILIATES himself AGAIN!,xt2nFlqFQHc,2023-05-14T18:25:08Z
What's up with FRANK MILLER's art???,9dFBAZzS5Is,2023-05-14T05:00:00Z
CRACKHEAD JILL. Diversity buries another dying brand.,I7fXgVvaOHo,2023-05-13T18:24:24Z
Can Jim Lee Un-Gay Superman and the DCU? W/Nina Infinity,yKohGWx_cbI,2023-05-13T00:41:52Z
Why is STAR WARS harpy KATHLEEN KENNEDY lying about Rian Johnson's trilogy???,CkjIOTZADKw,2023-05-12T14:34:42Z
POST TRAUMATIC LEFTISTS CRY ABOUT TRUMP 2016 FLASHBACKS AFTER CNN TOWN HALL,HuCeCXgz9RA,2023-05-12T00:53:42Z
"APOLOGIZE FOR THE TWINK, BUD LIGHT.  Here's how it's gotta sound. W/Adam Friended and Sitch!",BJRt7lB52BY,2023-05-11T17:01:36Z
This BUD's for AMERICA. Grind them into the dirt. A RANT w/Adam Friended and Sitch!,QIEwXW9MbiA,2023-05-11T12:49:51Z
HEAVY METAL Magazine viciously and stupidly insults its fans. (2021 PUNISHED edit),KVpv3vQxpXA,2023-05-10T23:29:25Z
ZASLAV brings TRUMP to conquer CNN!!,V-HCYwPJHro,2023-05-05T19:06:22Z
GIRLS SUCK AT COMICS.  The Science (and LEGO) tells us why.,VB2rsgGBapE,2023-05-04T16:00:32Z
WHOOPI GOLDBERG had an idea for a comic book. A fat menopausal grandma. DARK HORSE said YES PLEASE.,lgXNYrHpSRc,2023-05-03T20:12:16Z
COMICSGATE KINGS! Gunn's Black Superman/KISS anti-Gender Statement/ Fantastic 4 rumors,ktBnhoFPkDI,2023-05-02T03:25:50Z
"Woke SQUIRREL GIRL and WONDER WOMAN writer NEEDS A MIRROR. ""Utah is too white!""",UUse5sEo8KE,2023-05-01T18:39:12Z
Yooooo!  Good morning!,Swwt_0D0jSs,2023-04-29T16:02:04Z
STEVEN CROWDER divorce video EFAP/Comics SJWs CRYING! IDW goes DOWN!!,V5LoqcLX4n8,2023-04-28T15:43:48Z
"Heads up, ComicsGate: THE JON MALIN PROBLEM.",2JUsY1vSdHk,2023-04-27T16:04:23Z
DAY OF DAVIS.  Inglorious Rex 2 FINALE.,ZZIPEcxneSU,2023-04-27T07:36:33Z
"RELAX, it’s CYBERFROG.",BMwgj9mjOMI,2023-04-26T20:31:56Z
OK let's see this filth! LIVE review of the new FLASH trailer!,3KmnnHVZEh0,2023-04-25T20:03:42Z
COMICSGATE KINGS!,rEIZKz_viJg,2023-04-25T03:00:02Z
TUCKER CARLSON FIRED at Fox!  DON LEMON at CNN!!  BLOODBATH!,fUmSgZ0HNoY,2023-04-24T19:56:35Z
They're all MAD at me over PICARD! WTF,cuNLy7aNFmw,2023-04-24T10:47:15Z
Everyday Motivation. Today is THAT day!,RwnMdsB4TX0,2023-04-20T15:57:55Z
1989.,mA6BHyZXR68,2023-04-20T08:35:56Z
COMICSGATE KINGS!,Rrn-A6WaLdM,2023-04-18T03:55:50Z
Might As Well Go LIVE!,7nSHl_uPVSI,2023-04-13T08:51:15Z
POST TIMCAST Wrap up!~,w-1tCSwAKss,2023-03-26T10:41:21Z
COMICSGATE Kings!,fq2Y8mr9jRc,2023-03-21T04:04:03Z
El Hombre Rana Gordo vs. CHILE.,9xh8Zh2OFXE,2023-03-19T07:16:13Z
2/14/2023 CYBERFROG 2 REKT PLANET arrives! Andrea is glad the driver took pallets away.,d2EamcxSpGI,2023-03-14T03:29:41Z
COMICSGATE KINGS!,lFrVkgNZKOw,2023-02-21T07:55:04Z
Late Night Sketch Stream!,m3IZNThAyqQ,2023-02-19T12:57:27Z
CYBERFROG Chill Sketch Stream,39iPS5H_8u8,2023-02-18T07:54:19Z
How to fulfill CYBERFROG 2!,U1ESMyXulo4,2023-02-15T15:11:21Z
CYBERFROG: DARK HARVEST launch stream! Plus art auction! (There's a Superbowl?),g6aG2PZm5m4,2023-02-13T07:35:55Z
CyberFrog BLACKLIGHT Posters arrive at my warehouse!,tEWLsDfsWIY,2023-02-10T23:56:57Z
PATREON IS STALKING MY TWITTER FEED!,EDDM-SiVGnA,2023-02-09T20:12:41Z
CYBERFROG 2: REKT PLANET Villainous SCUM!,Cs18xbF7ZKk,2023-02-01T12:45:33Z
COMICSGATE KINGS!,wtP88TPlNKw,2023-01-24T05:24:11Z
Packaged CYBERFROG toy review!,gr2P8LM-sAw,2023-01-09T19:32:15Z
COMICSGATE Live! WOKE CRISIS! All Woke Brands are DYING!,dvJnCEgKoZ0,2023-01-06T18:27:58Z
DISNEY Writer DAMON LINDELOF says NO Caucasians for new STAR WARS film! !!!VIRTUE SIGNAL ACHIEVED!!!,MD-VP8AEq8A,2023-01-06T14:45:52Z
2023 starting off weird.  They said we had vicious monkeys at our warehouse.  Had to check.,mgeBzqbpaPA,2023-01-03T16:29:48Z
COMICSGATE Live! Here's to 2023!,ArqNNotWKws,2023-01-02T03:35:03Z
