Title,Video ID,Published At
Doctor Who: Another Woke Bedtime Storie For Adult Children,fa_NQQV2lQg,2023-12-27T19:10:53Z
Russel T. Davies Uses Doctor Who To Decolonize History,z1pl4LyimSs,2023-12-14T00:02:46Z
Russell T Davies Admits Doctor Who Is Now About Indoctrinating Children,-0C0U2qfkaU,2023-12-06T12:00:00Z
Doctor Who HATES Its Audience,coySfHeuF7Q,2023-11-29T22:49:56Z
The Marvels: An Unmitigated FAILURE Of The MCU,nBzk9h3bJIY,2023-11-14T23:03:06Z
Nia DaCosta F%&ks Off During Post Production Of The Marvels,0adT7qoU4i4,2023-11-03T15:44:11Z
Is Disney Marvel admitting failure?  Will the Daredevil reboot mean better times for Kevin Feige?,eSZ7Hfm2PlU,2023-10-11T22:15:36Z
Ahsoka Episode 8 Star Wars Is F@&king Trash!,fAzPeCz4A-w,2023-10-04T22:51:24Z
"WOKE Star Wars, There Is No Truth But Power!",3bUhVl3DF38,2023-10-03T21:23:41Z
Ahsoka Episode 7 A Show About NOTHING!,beyW6IRHKtc,2023-09-29T18:16:57Z
"The WGA Strike is Over, Now What?",IciTpDF9xPU,2023-09-26T21:51:58Z
Ahsoka Episode 6 They Brought Thrawn Back For This GARBAGE!,eC9xcSBuuVA,2023-09-21T17:12:10Z
Ahsoka Episode 5 Is Still Frustratingly STUPID!,QUp-UzGJpLY,2023-09-13T19:00:58Z
Mads Mikkelsen DESTROYS Woke Journalist,JJJuVXEntZ8,2023-09-12T22:18:13Z
Rotten Tomatoes: How Reviews Are Bought And Paid For,PiUWHXPTRv0,2023-09-09T06:06:09Z
Ahsoka Episode 4 Anakin Is Back PLEASE  Clap!,_d09scQR26I,2023-09-06T22:01:51Z
Che White And The Seven Revolutionaries | Another Woke Disney DISASTER!,me4Vx_Zk1Jk,2023-09-01T19:00:23Z
Ahsoka Episode 3 Is Frustratingly STUPID!,h0rgdn3zsTc,2023-08-30T21:16:27Z
CBR Is SCREWED!,cLAXezbJJIk,2023-08-29T22:54:58Z
Comix Division Live Stream,t4D1jce1zi8,2023-08-27T22:59:59Z
"Ahsoka Episodes 1 & 2 Review. Ahsoka SAVED Star Wars, Or Did It?",zpMjN3Qlhs0,2023-08-23T17:31:49Z
Blue Beetle Is A Disappointing FAILURE!,giVgDjkPxF0,2023-08-22T05:19:03Z
Leave Rachel Zegler Alone?,R0L4_3FqzW0,2023-08-18T06:00:18Z
"Mirror Mirror On The Wall, Who's The Dumbest One Of All?",yK92WZVWlT8,2023-08-15T20:45:01Z
Feminist Frequency Is DONE!,41pR_G6gQWs,2023-08-08T17:26:52Z
The Summer Block Buster Is BACK | MI:7 Review,IArpSOuaw-Y,2023-07-12T06:00:10Z
