Title,Video ID,Published At
The Great Australian Dream Has Been Demolished,kFd1r6FA60M,2023-12-30T00:43:27Z
Robert Crumb’s Misanthropic Diatribe Against Humanity,45aUPUY9c88,2023-12-19T03:59:04Z
Only a Fool Would Write Off Trump,F3EkniskG6A,2023-12-17T22:29:21Z
Boston Mayor Should Be Sacked,2utbA91RDDw,2023-12-16T01:09:05Z
Some Famous (Infamous?) Misanthropic Quotes,uJFbJ9UEt14,2023-12-15T03:08:16Z
New Zealand to Remove Treaty/Ancestry-Based Policies,MNMXkuqnWTQ,2023-12-14T06:25:41Z
How to Destroy Surf Life Saving,czQbyL5CE5c,2023-12-13T01:36:56Z
The Queen Is Gone (No Surprises There),7Yn7um77bPA,2023-12-11T03:31:01Z
Forgoing Children to Save the Planet,J5-rx6CD1Ps,2023-12-09T03:41:14Z
Labor’s Promises Didn’t Take Long to Break,fEEuesrp9xk,2023-12-07T04:18:17Z
The One Delusion Society Seems to Accept,lPNLlh0dPLQ,2023-12-06T04:41:56Z
The YouTube Sword Hanging Over My Head,nP71wD3jLkI,2023-12-01T22:52:26Z
Harmful Predictions by the Bureau of Meteorology,lWIUvNjAtAY,2023-11-30T08:04:03Z
Saving Money Hurts the Economy?,d6WPWDhkV1k,2023-11-29T05:49:15Z
My Lousy New Job and Horrible Boss,bHjIxu6ng4w,2023-11-28T09:46:59Z
Big Australia Becoming a BIG Issue,6nK57xzwdnc,2023-11-24T07:58:31Z
The Fake Hunger Strike Continues!,1HhnXe5DHWw,2023-11-22T04:28:58Z
Merit No Longer Important at This Uni,-NIpAF-MQn4,2023-11-18T09:29:03Z
The Great Australian Housing Sell-off (To Foreigners),efK1bnJhlMc,2023-11-17T04:50:49Z
Climate Fanatic Goes Too Far,76kico398Uo,2023-11-16T04:30:41Z
Should Immigrants Adopt the Practices of Australia?,yERu_jsRFCk,2023-11-15T06:10:51Z
Gender Pay Gap Myths and Facts,2JUfVfDlcTo,2023-11-09T14:57:54Z
Welcome to Country Has Become an Issue,E-L_jrJzMNg,2023-11-07T09:00:55Z
Labor Obsessed With Gender and Women,D52dbBw8NmM,2023-11-06T09:46:43Z
Indigenous Professor Stan Grant Is Angry (Again),ww2JwQTF7N0,2023-10-31T04:54:55Z
They Don’t Like Sharing Their Culture,vuU6QwVVlPg,2023-10-27T12:44:44Z
Truth and Treaty in Divided Australia,R6gbFQRiP0A,2023-10-26T05:06:52Z
The Empress’s New Clothes (Or Lack Thereof),xWwamPsux5U,2023-10-25T04:31:00Z
The Post-Voice Culture Wars Begin,N-eAra_d9hw,2023-10-23T06:08:29Z
Lidia Thorpe and the Blak Sovereign Movement,13VZiPEsFww,2023-10-20T12:59:29Z
QLD No Longer Supports Path to Treaty,zQCv9JeMLr4,2023-10-19T04:32:00Z
New Zealand Drops the Labour Party,dVTt48TKvYE,2023-10-18T07:06:56Z
South Oz Forges Ahead With Voice,JYTasJcBN-A,2023-10-17T04:43:03Z
They Push Ahead With Treaty and Division,GU_1RsgoMd8,2023-10-16T06:26:28Z
Voice Results Are In – REJECTED,6frKN5mE9KE,2023-10-14T11:52:52Z
Black Lives Matter Show Their True Colours,6Kl0AX9EBCk,2023-10-12T04:16:12Z
Australia the ‘Tolerant’ Country Allowing Extremism,uS4d7fKYtDA,2023-10-11T04:49:47Z
My Final Voice Comments Before the Vote,0CxpOXa9MvM,2023-10-09T11:08:11Z
The Yes Campaign Continues to Divide Us,3t9x25R1WL8,2023-10-02T01:37:19Z
Voice Ethics Arguments That Don’t Make Sense,_ZM_SufW1PI,2023-09-27T03:57:18Z
Are Some Yes Voters Lying?,OrmvlF3_B2I,2023-09-22T02:59:58Z
Australia Weapons Ban (I Love Throwing Knives),hfmVVuiQvqs,2023-09-14T10:04:23Z
The Voice Yes Campaign Is Done,VEGjcG9FOUU,2023-09-13T06:34:48Z
Novak’s “Shot of the day” by Moderna,A3DSotG-KME,2023-09-12T02:47:44Z
“Chronically Unaffordable” Housing in Sydney,BpWSJyDVvec,2023-09-11T09:49:56Z
"The Government Wants Our ""Voice"" Divided",Pyvz7pf-iYA,2023-09-07T06:55:35Z
"You’re the Voice, Try and Understand It",nrCI_9BT6NI,2023-09-06T06:19:20Z
Climate Idiots Deflate People’s Tyres,6aWwOM-vZ2o,2023-09-02T08:57:38Z
Trudeau Down Trump Up – WHAT?!,xIRRgtgbork,2023-09-01T03:59:12Z
V-Status by Age UK Final Report,xNYaPYkVowA,2023-08-31T06:53:30Z
The Final V-Status Report UK,MMcB5Hwx3Kk,2023-08-30T05:24:13Z
“The Infamous Kiss” – BURN HIM!,xEhI6AkfbcM,2023-08-29T09:24:48Z
Food Prices Going Down – WHAT?!,ULPL83Clm6s,2023-08-28T08:28:38Z
Forced LGBT Armed Forces Day,wKCoCD5hN60,2023-08-27T09:05:18Z
Population Ponzi Scheme in Oz,1q6NFf5-ikM,2023-08-26T01:42:24Z
"Dodgy Vote Counting (✅ Good, ❌ Bad)",KpFXUdNJJN8,2023-08-24T04:34:40Z
Workplace Division Has Gone Too Far,4tMahZs5-F0,2023-08-23T04:39:50Z
Living Standards Falling as Wages Lag,mooCB1H8BpI,2023-08-21T10:03:32Z
Disease Paradox (Social Distancing vs Exposure),RRbp2zhAdMQ,2023-08-20T08:30:27Z
Additional OECD Countries Excess Deaths 2023,6qIebAf5tyo,2023-08-18T06:10:21Z
Excess Deaths Worldwide First Half 2023,i8yPNLqFrSU,2023-08-17T04:48:35Z
