Title,Video ID,Published At
'Napoleon' is Everything Wrong With Biopics,_BJYLaYIgcg,2023-12-20T15:38:39Z
The Marvels is The Worst Movie of 2023,8jQFJQ9k3uE,2023-11-26T16:14:52Z
She Said: Hollywood's Humiliating #metoo Disaster,0bXt8Kjw1gc,2023-11-09T12:41:41Z
"The Rise, Fall and Redemption of Simpsons Treehouse of Horror",uTFqpEFqFv0,2023-10-31T15:21:23Z
Open Chat to Celebrate 50K Subs / Discussing Horror Movies,J1qFtYGg8iM,2023-10-29T15:51:13Z
Robyn Hood Might be the Worst TV Show of 2023,8BlO7xwaCN4,2023-10-18T13:00:10Z
Apple's 'Mother Nature' is a Cringe Catastrophe,rFwBUoDhOTg,2023-10-02T12:00:43Z
Despot's Tribunal IV,poivUZebTqA,2023-09-29T02:18:22Z
Solo Was Garbage and it Destroyed Lando Calrissian,HzLzZiH32U4,2023-09-20T14:54:09Z
When Propaganda Fails - Gillette: The Best Men Can Be,e5diDkUYgb4,2023-08-31T16:10:21Z
Why Modern Female Characters Suck: Double Standards,ld_HIM667Do,2023-08-21T14:45:42Z
Despot's Tribunal III (with Greg Owen and Echo Chamberlain),S3_FB_Df_TY,2023-08-16T01:10:40Z
Barbie Movie Review and Analysis,pHtBtR-gnCM,2023-08-07T07:10:22Z
John Normie Watches Indiana Jones and the Dial of Destiny,LFj5Bf99bH8,2023-07-13T05:14:52Z
The Dial of Destiny: The Anti-Indiana Jones,ZYDzBf29jeQ,2023-07-11T13:24:50Z
Rings of Power: The Anti-Lord of the Rings,4CZV291UZEI,2023-06-25T15:09:42Z
Bros: Anatomy of a Disaster,Oy8ZUcRkaGI,2023-06-18T12:28:41Z
Despot's Tribunal II: Andrew Tate BBC 'Interview' / The Little Mermaid / Wheel of Time / Fast X,5-ECnBuiVr8,2023-06-07T17:46:08Z
The Little Mermaid is the Worst Movie of 2023 (So Far),ienU_Oipydw,2023-06-05T12:00:29Z
Netflix’s Cleopatra is so Much Worse Than You Think,sj-iCoPQN78,2023-05-22T12:00:43Z
"The Despot's Tribunal I: Guardians 3, Cleopatra, The Woman King, LAR17 (Peter Pan and Wendy)",MTp-hADdTJw,2023-05-14T15:41:38Z
Disney Remakes Need to Die (and Peter Pan and Wendy is Unwatchable Trash),o-W_f49tleo,2023-05-07T15:46:46Z
Believability Matters: Why Ant Man 3 Failed and The MCU is in Decline,kMAsLMlp8Hg,2023-04-26T13:00:38Z
2023 so far with Greg Owen (Live Chat),W9C9Ag0OG3k,2023-04-25T03:35:58Z
I Can Fix Velma,TL7g2i9sflU,2023-04-11T13:00:08Z
Razzies & Oscars Discussion and Predictions,i_07vGISH48,2023-03-11T12:30:59Z
Despot of Antrim Live Stream,kASoSPiiTlc,2023-02-28T15:18:38Z
The Joker's Bank Heist Plan is Terrible,-3q7iJGignE,2023-02-21T14:38:02Z
Worst of Woke Awards,v1kSoPd8KaY,2023-02-09T15:15:34Z
Velma: How Did Shows Get This Bad?,zGBbithD3BE,2023-01-20T16:29:40Z
When The Movie is Actually Quite Bad...,RETkUiSDT1o,2023-01-12T16:16:53Z
