Title,Video ID,Published At
Nikki Haley Doesn't Want You to See This...,5TwHeSs8JRs,2023-12-30T21:00:02Z
Joe Biden won't like this...,ZhuadymKA44,2023-12-30T15:00:25Z
This could have went better...,AnGMFN-hRnc,2023-12-29T21:35:43Z
Did That Just Happen...,TYt6xbX0-BI,2023-12-29T15:00:32Z
hmmm....,ZbOjY-FHDJw,2023-12-29T03:47:04Z
meanwhile in Michigan...,sUyamO776mA,2023-12-28T04:17:20Z
The Definition of Hypocrisy....,pj_D54Qgv3s,2023-12-27T15:00:39Z
You Won't Believe This....,FkzKRPCJHdQ,2023-12-26T16:26:59Z
What living in a DELUSION looks like....,qFQWKtRGLxo,2023-12-23T21:56:56Z
I DON'T think so Joe...,eV9pHHk-rdA,2023-12-23T03:21:18Z
hmmm....,XQvLK9p_GIs,2023-12-22T04:24:53Z
when you HAVE to TAKE a STAND....,txJ7FSxL8p8,2023-12-21T04:11:12Z
when YOUR dad's the PRESIDENT...,_26uJJHneyc,2023-12-21T00:00:14Z
Remember when Joe Biden's PUPPET said THIS....,Ef86k8FdkmM,2023-12-20T20:12:19Z
say GOODBYE Joe...,KE-qXqUSdus,2023-12-20T04:04:41Z
Whoops...,BbdpKB0wV7M,2023-12-19T23:09:50Z
What You Didn't See....,9uFY-UUqfp8,2023-12-19T13:30:07Z
when a LIBERAL is CLUELESS...,beX4muGK5XA,2023-12-19T00:07:32Z
when THEY want YOUR MONEY...,rKSWby5GII0,2023-12-17T14:00:35Z
hmmm...,Pb6mEpI2F9M,2023-12-17T00:54:05Z
Whoops...,wDLZnoyBPmg,2023-12-16T04:01:32Z
What You Didn't See....,KlOlDyCmuNs,2023-12-15T02:53:19Z
SAY goodbye JOE...,bBNH9wjAd0Q,2023-12-14T15:00:35Z
when a Democrat is DELUSIONAL,rgtRtM2rCNI,2023-12-14T03:26:06Z
we DON'T want YOU here...,IA8zfWkKnEs,2023-12-13T22:54:28Z
hmmm...,g_e4UxUfSkQ,2023-12-13T03:41:55Z
when you're NOT SCARED...,dGHP-40ZGuo,2023-12-12T21:43:33Z
when the TRUTH comes OUT...,l5zO6Al2x4U,2023-12-09T22:12:07Z
Trump Update...,uAVFbiah2RY,2023-12-09T04:59:36Z
THIS is INSANITY....,SZW8jDOIkqw,2023-12-07T21:00:18Z
C'mon MAN....,nFZpg4-c228,2023-12-07T15:15:58Z
When you're insanely OUT of TOUCH,uF8PJif4HA4,2023-12-06T20:38:50Z
Joe Biden won't like THIS...,jsjd-OudOC4,2023-12-05T20:27:29Z
WHAT THEY DON'T WANT YOU to SEE...,3CUQd3roIGs,2023-12-05T12:00:02Z
hmmm....,Pl_9iGhWwUU,2023-12-05T01:00:16Z
YOU probably SAW this COMING...,lHS1OsglkHI,2023-12-04T21:00:31Z
What You Didn't See....,JJkO6vpasTQ,2023-12-03T22:00:11Z
When terms of service is COMPLICATED for a REASON...,6c4jfqJa-24,2023-12-03T18:40:53Z
Meanwhile in Georgia...,ICQng7J0GFE,2023-12-02T23:24:07Z
What You Didn't see....,OL82WojVOYs,2023-12-02T18:05:43Z
What living in a DELUSION looks like....,Xc9gn5w_QUY,2023-12-01T15:00:34Z
Kamala COULDN'T answer this QUESTION...,7vQbnzriTZg,2023-11-30T15:43:26Z
Kari Lake DESTROYS liberal reporter...,wZFqOiE7kC4,2023-11-29T21:00:37Z
this guy needs to be FIRED...,KLRlPBuFbLI,2023-11-29T17:34:42Z
when you're EMBARRASSED of your PICK...,t_m2RaTG71o,2023-11-29T01:00:22Z
why YOU always lying...,OqLT2ymMa60,2023-11-28T21:55:59Z
SOUNDS LIKE he would be a PUPPET....,I8pPjTKEshQ,2023-11-26T21:00:08Z
when you're not telling the WHOLE truth...,4xK0EQndJIA,2023-11-26T16:03:35Z
