Title,Video ID,Published At
AOC ROASTED while walking through NYC!,B4ngLOvy05I,2023-12-31T22:30:01Z
Tucker Carlson BROKE TWITTER with this video lol,ADN9NXitQUs,2023-12-31T21:00:08Z
This state is CHANGING FAST!!,-MzWr_bhaok,2023-12-31T19:30:00Z
Do you remember this?,u7or0wp0nI0,2023-12-30T22:30:05Z
Maine Secretary of State is already FINDING OUT!!!!!,JRNSTWySjeY,2023-12-30T20:30:01Z
College makes you dumber.,1x7LQ18LZGA,2023-12-29T23:30:00Z
When you end up learning the HARD WAY!!,EMP527ZT3L0,2023-12-29T21:30:01Z
ONE question just ended Nikki Haley's Presidential campaign lol.,0KaxWttXO08,2023-12-29T19:45:00Z
Regular people are DONE with the woke crap!!!,uJHoCcfbfjI,2023-12-28T22:30:06Z
This clip has everyone on Twitter arguing.,Px8SPaI7fXM,2023-12-28T21:00:18Z
CNN forced to admit TRUMP WINS massive court battle!!!,_UHxarTybr8,2023-12-28T19:30:02Z
Did you guys see this?,4806VOAKkWk,2023-12-27T22:30:00Z
They actually SIGNED THIS.....,pVwq7gXn0VY,2023-12-27T21:00:30Z
This one minute clip BROKE TWITTER.,y7M8Emc5Ua8,2023-12-27T19:31:52Z
We tried to warn them this would happen.,D7G3wJU2abs,2023-12-26T22:30:00Z
"LOL: Woke conference gets INVADED by men claiming to be ""non-binary""",tOsxADMnBHc,2023-12-26T20:30:04Z
It's OVER for Joe Biden.,2JWk7CliWZk,2023-12-25T22:30:00Z
Gavin Newsom PANICS about Trump Ballot Removal!,bf-3ioKYNWM,2023-12-25T20:30:05Z
Kari Lake TAKES THE LEAD in Arizona!!!,x0N3kZ-TLoE,2023-12-24T22:30:04Z
Chris Christie's campaign for President ended today.,wTvn2YMh520,2023-12-24T21:00:22Z
Supreme Court REJECTS Jack Smith's argument!!!,3UDLCtU-098,2023-12-24T19:30:00Z
She wasn't ready FOR THIS!!,RRuM2SicILQ,2023-12-23T22:30:04Z
Everyone's talking about this twitter video.,HBoPvaEP62Q,2023-12-23T21:00:08Z
"This is their ""NEW PLAN"" lol",c49CLN4qHgo,2023-12-23T19:30:04Z
That moment you realize it was all a lie...,IL74lo2XMrw,2023-12-22T22:30:02Z
