Title,Video ID,Published At
"When your state is BROKE AS F*CK but at this point, you don't really give a sh*t",2uJ4y6TSD4U,2023-12-30T10:22:46Z
"Just when I thought we've reached PEAK CLOWNWORLD, they go ahead and prove me WRONG...",sv64uuSbhtc,2023-12-29T23:41:37Z
Trudeau's circus is the gift that keeps on giving,EQvKyyq8ptM,2023-12-27T04:30:24Z
Biden got EXACTLY what he asked for...,O6Kn0XaCv48,2023-12-20T02:13:57Z
"They really want to make this ""study"" a thing, huh?",XbR7p2nHQ2c,2023-12-20T01:08:30Z
CBS News quickly CUTS AWAY from Biden as he FALLS ASLEEP at Justice Sandra Day O'Connor's funeral,BBNZOa7aGwI,2023-12-19T20:53:35Z
Chicago Mayor blames TX Governor for MIGRANT CRISIS instead of the guy actually responsible for it,22edDWvEPyM,2023-12-19T18:22:50Z
"Oh, wow...you're sooo bloody generous",mngRW7o3Wiw,2023-12-19T17:11:35Z
When your brain takes a vacation...and DOESN'T come back,C1yFh2pW_gk,2023-12-19T05:37:58Z
"MSNBC anchor goes BALLISTIC after being called a ""Democrat operative"" to her face on LIVE TV",3EUqsrQ1x9w,2023-12-18T05:48:17Z
"looks like biology just gave up, jumped through the window and ran into oncoming traffic",3_D3bkfGnj4,2023-12-18T02:44:47Z
#JustMinnesotaThings,mJAXL4U7Lfc,2023-12-17T15:12:07Z
things are so dire I couldn't come up with a title for this one,EoNVC0oNdKs,2023-12-17T03:19:27Z
You WON'T believe what this ABSOLUTE FRAUD just posted on her OFFICIAL Twitter Government account...,-JfcYM0-134,2023-12-15T23:44:57Z
"STOP worrying about money, inflation it's all in YOUR imagination",Tv85pzd-KTE,2023-12-15T20:24:33Z
"MSNBC ""journalist"" claims that if Trump wins, he may ""TURN OFF THE INTERNET""",ua-vdCyqKxo,2023-12-15T01:12:32Z
KJP completely DODGES question regarding Joe's LIES about interacting w/ Hunter's business partners,gS6kpfesHMM,2023-12-14T22:06:13Z
YOU are the carbon the want to reduce,pnzZnOMo720,2023-12-14T15:58:26Z
Hack CONSTANTLY interrupts Vivek while trying to manipulate the audience...it DOESN'T go as planned,LhSfWdi59IQ,2023-12-14T15:36:12Z
"Congress is expediting MANDATE that would see ""KILL SWITCH"" installed on all new vehicles by 2026",gNHb9MCrA7E,2023-12-14T03:03:10Z
Uh...what does one thing have to do with the other?,qjEZtvtGxmw,2023-12-13T22:47:39Z
John Kennedy GRILLS Biden's Nominee over FAILURE to investigate abuse at a union she worked for,LaU4MQ4o0Mk,2023-12-13T21:24:49Z
Multiple school buses TRAPPED as Pro-Palestine mob BLOCKS highway in Los Angeles,W0Av0pqYyYQ,2023-12-13T18:55:10Z
NOOO! You CAN'T just blame the guy in charge of EVERYTHING for the rising cost of living...NOT FAIR!,ilaRsYwqDsQ,2023-12-13T16:41:09Z
Chickens for KFC,iMIjp4eIql0,2023-12-13T02:57:16Z
Meanwhile at the Iowa State Capitol...,it-ORysyq7U,2023-12-12T21:05:55Z
"You will NEVER guess what this FEARMONGER is blaming for the ""mental health crisis around the world""",wmIcjvyB4A0,2023-12-12T16:47:19Z
ABSOLUTE MANIAC wants to CHARGE Aussies for using cash to FORCE Australia into a CASHLESS society,oQBspVvrzdQ,2023-12-12T14:59:49Z
Biden awkwardly poses OUT OF FRAME while a group photo is being taken and wanders away,bQ9jnCwwsVQ,2023-12-11T23:57:44Z
Al Gore warns social media as we know it is the ENEMY OF DEMOCRACY and must be BANNED,faseK1jNl_M,2023-12-11T18:06:08Z
Progressive education in a nutshell,_VjdPUQMTQ0,2023-12-11T16:37:58Z
MASS INCURSIONS took place EVERY SINGLE DAY of this past week...the INVASION is OUT OF CONTROL,ph5dV_0SBQ4,2023-12-11T03:13:13Z
Ousted VP of Argentina Cristina Kirchner gives Milei supporters the MIDDLE FINGER as she departs,n2zLQ9AOVQ8,2023-12-10T17:54:20Z
"NYC Mayor admits Washington migrant crisis meeting was USELESS: ""Help is NOT on the way""",I65WnkmSusg,2023-12-10T15:16:43Z
FBI Director admits NONE of the agents involved in the memo targeting Catholics have been punished,PUOzVRqRTIA,2023-12-09T21:41:40Z
"Goldman EXPLODES after witness contradicts claim that ALL illegal migrants in NYC are being ""vetted""",Oc5jQRYl--M,2023-12-09T16:37:54Z
FBI Director DEFENDS agency tipping off Hunter Biden ahead of warrant search,9ioBl58h0BA,2023-12-09T14:29:20Z
"Barbados Prime Minister is demanding $4,900,000,000,000 in REPARATIONS",d9f71GrK3H8,2023-12-08T18:08:41Z
"Elon Musk's SpaceX is getting SUED for hiring TOO MANY American citizens...wait, WHAT?",hK0-sqz5e_4,2023-12-08T05:04:49Z
FBI Director CAUGHT IN 4K playing defense for the Bidens during the 2020 elections,4L1P_CnEgOg,2023-12-08T02:10:51Z
"Ireland's Minister for Justice turns into a STUTTERING MESS when asked to define the ""far-right""",pqh39uv4b5Q,2023-12-07T16:37:28Z
"NY Governor promotes WALKABLE CITIES as her ""Congestion Pricing"" tax goes into effect",1JIova-KaIk,2023-12-07T15:37:13Z
UPenn President BACKPEDALS her earlier statements on GENOCIDE as donors call for her resignation,sIeQdk585xk,2023-12-07T14:42:01Z
LUNATIC wants to extend CRIMINALS that are STILL IN PRISON the right to vote,6OvSQsFZyvg,2023-12-07T01:47:24Z
You will now have to PAY for the PRIVILEGE of driving through the streets of NYC,p64tgWKIrr0,2023-12-06T23:24:19Z
Biden gets TRIGGERED over question regarding his involvement with Hunter's business dealings,vZWjpz4w8ls,2023-12-06T21:29:11Z
UPenn President TREMBLES as she admits they paid Biden $800K for doing ABSOLUTELY NOTHING,ODYr_m0c2dg,2023-12-06T20:15:17Z
"GHOULS claim calling for the DELETION of entire populations is fine ""depending on the context""",JqWUD6qRJxQ,2023-12-06T15:03:35Z
This is a SLAP IN THE FACE to law-abiding citizens all around the country...,Y652O5zEMO0,2023-12-05T15:31:00Z
DERANGED Senator wants the Military to recruit ILLEGAL migrants to keep the WAR MACHINE going,Y73sr9yfI10,2023-12-05T12:37:12Z
KJP RUSHES out of briefing when asked about BOMBSHELL regarding Hunter's business dealings with Joe,vJawoyWYTEk,2023-12-05T01:44:51Z
Red Dawn,pr2EFExb1M8,2023-12-04T22:23:31Z
I still can't believe some people really want 4 MORE years of this...,5I-cCTC-sEs,2023-12-04T03:56:01Z
Malibu is FINALLY playing its role as SANTUARY CITY...how will the population there react?,TKXrpnr3HIE,2023-12-04T01:29:02Z
DHS officer admits federal employees are being sent to border NOT to stop but to AID the invasion,lIbODfhHv0Q,2023-12-03T15:07:31Z
Kamala becomes the human equivalent of a WORD SALAD while talking about the Hamas/Israel conflict,LIEMu2MNOl4,2023-12-02T21:30:42Z
KJP's brain turns into SPAGHETTI during FAILED attempt to list Biden's achievements for black people,zII7AF5-0HU,2023-12-02T20:15:12Z
Sen. Kennedy left SPEECHLESS after witness at gun control hearing said THIS,Nj42uEaqt88,2023-12-01T04:31:29Z
KJP ends White House briefing in CHAOS after REFUSING to call on an African journalist AGAIN,6YXZac_8UvA,2023-11-30T21:59:08Z
"Age is just a number you guys, don't worry about the walking corpse haunting the halls of the WH",deRVYWeb1YE,2023-11-30T09:56:05Z
"UNHINGED CLOWN says ""capitalism"" leads to ""fascism"" as she smears Dublin MASS STABBING protestors",QKvymEhWK1M,2023-11-30T05:09:54Z
Bro is MAD AS F*CK because the media revealed the nationality of the Dublin MASS STABBING perp,7B_MjxUGCcE,2023-11-30T03:15:49Z
"Ireland's ""Media Minister"" orders public to report any ""hate speech"" they see online to the police",v4WB2Hhukew,2023-11-29T16:38:08Z
"Chicago Mayor BLAMES ""right-wing extremism"" for the ongoing MIGRANT CRISIS",jIO-chkFRDA,2023-11-29T04:09:14Z
"Pathetic ""journalist"" attempts to CANCEL a LITERAL child over ""blackface"" face painting",VfTENjoHjbc,2023-11-28T11:12:52Z
Councillor smears thousands of Irish who protested MASS STABBING perpetrated by Algerian man,ZnY_ax0Eue8,2023-11-28T02:51:13Z
The Gaslighter-in-Chief,ZAAxUZ10R6A,2023-11-27T23:35:22Z
Biden's head of education straight up BUTCHERS one of the most famous quotes in U.S. history,pH9WfCLiuXo,2023-11-27T21:37:03Z
"MSDNC stroke Biden's ""ego"" for 2 MINUTES STRAIGHT  while claiming Trump is the senile one",bRWMwhbOeA0,2023-11-27T16:00:55Z
"""We are RESTRICTING freedom for the COMMON GOOD""",71AoHUwE1PM,2023-11-27T14:20:36Z
Bro thinks we are stupid or something...,F4ufflvZx2I,2023-11-27T03:09:36Z
"Rep. Eric ""Fang Fang"" Swallowswell claims electing Trump NOW will usher WORLD WAR III",ttl4ocWdAj8,2023-11-26T21:56:17Z
Looks like Jeff Bezos isn't a big fan of unionizing huh?,JvBR8Jnq2R0,2023-11-26T18:38:09Z
How about 100 ways to grab deez nuts,3n2_zMOhRhY,2023-11-26T00:57:07Z
They want bro dead ASAP,9IDazqkvSsk,2023-11-25T23:49:27Z
Biden claims Hamas attacked Israel because HE was on the verge of bringing PEACE to the Middle East,xief6laHZP0,2023-11-25T09:06:24Z
School board member SHAKING & CRYING because Muslim parents don't want GRAPHIC books at school,BISBzp1ckls,2023-11-25T03:28:04Z
This is not a serious administration,CpXx7wmmz4M,2023-11-24T18:37:48Z
C*nts didn't watch Terminator it seems...,SOWHGRjGj1M,2023-11-24T01:39:56Z
"Cenk Uygur claims Biden's minions are SCARED of him and are trying to keep him ""OFF the ballot""",SAWggArkQWM,2023-11-23T09:05:07Z
Chicago FAILS to hide construction of GIANT encampment for illegal migrants from reporters,Tpl0urLUQ-I,2023-11-23T07:15:10Z
"OMG! You Guys...He Is ""MORE DANGEROUS"" Than the Moustache Man!",QrRiWrqzkmg,2023-11-22T20:52:24Z
"So much for being ""inclusive""...LMAO",_6CnftKh9Wg,2023-11-22T03:28:33Z
"MSNDC ""journalist"" claims Trump will ""EXECUTE"" his critics during UNHINGED rant",_KC_7oZFyWA,2023-11-22T02:18:20Z
NY students are about to get RE-EDUCATED...💀💀💀,bptU3X8W900,2023-11-21T23:01:19Z
Want to hear a joke?,xQwFcrLNvTc,2023-11-21T14:58:09Z
"Psychopath wants to DELETE Trump: ""He has to be ELIMINATED""",oHNKj6JxgpI,2023-11-20T16:59:11Z
"Ukraine gonna lose the war if we don't send them MORE money to pay school teachers...wait, WHAT?",G0KMVzvhycA,2023-11-20T15:43:54Z
"NEVER BEFORE SEEN footage of January 6th shows it was more of a guided tour than an ""INSURRECTION""",w4FHj33lpwQ,2023-11-17T22:36:34Z
"Your ""leaders"" can't go one second without wasting BILLIONS of YOUR money on sh*t you don't need",HtgyURVvwZQ,2023-11-17T18:59:20Z
I'm sure NO ONE saw THIS coming...,Z-dh1waEkrk,2023-11-17T15:26:18Z
NYC Mayor Eric Adams announces the city is F*CKED,xvmJjhk6Gsg,2023-11-17T01:03:03Z
YOUR tax dollars hard at work...don't you LOVE it?,kD77ihRfOnA,2023-11-16T20:36:46Z
CNN anchor ANNIHILATED by Vivek Ramaswamy after trying to bait him into CONDEMNING Donald Trump,9yDxULlzvbQ,2023-11-16T15:43:10Z
"The Biden bot forgets to update, ends up GLITCHING mid-speech",uIyt8T36yoA,2023-11-16T05:06:08Z
"It's getting CROWDED at the border, don't you think?",pdGn8a76xr4,2023-11-16T00:37:27Z
She is UNHINGED,xJEhM-maT9g,2023-11-15T16:07:08Z
Psychopath who wants to MINECRAFT babies up until birth gets PROMOTED,Echa0zz-MFk,2023-11-15T14:31:49Z
And ANOTHER one for the woodchipper...,-LZtpgjsLV8,2023-11-15T12:47:05Z
GOP Presidential Candidate Nikki Haley vows to DESTROY anonimity on the internet...IF elected,mwlMNOJWce4,2023-11-15T02:08:52Z
OMG! You Guys...He Is Just Like the Mustache Man!,oRXbFaUXJs0,2023-11-14T22:22:13Z
Sen. Mullin and union boss Mike O'Brien were THIS close to WRECK each other's sh*t during hearing,rwMYUKv12Lc,2023-11-14T19:13:59Z
The D*CKRIDING levels are OFF THE CHARTS! *slurp slurp*,Voq9IK2uWzE,2023-11-14T14:58:47Z
"""We need ANOTHER FOUR YEARS to finish the job""",YH1MZG87low,2023-11-12T23:52:19Z
Don't you love it when the PARASITES start eating their own?,PnyfjdJNMTY,2023-11-12T18:54:03Z
San Francisco's ENTIRE homeless population miraculously disappears ahead of visit by Xi Jinping,CcSavryHo2A,2023-11-12T05:41:28Z
Bro got so LOST on stage he had to ask for directions,tEMgTqgPOT8,2023-11-11T19:32:36Z
This is a Biden-sponsored INVASION...literally,DiGPvvdWNAM,2023-11-03T03:40:36Z
You noticed THIS in my latest video and now I CAN'T unsee it...,ueIdd2xh8SE,2023-10-19T14:53:41Z
Biden's handlers stare at each other in PANIC as his brain turns to mush LIVE,AsW6i_J9V-0,2023-10-18T23:32:19Z
This is NEXT LEVEL gaslighting...,dN3qSeE3mC4,2023-10-17T22:41:44Z
"We stand with Palest--- wait, not like THAT!",jaFuBtjK990,2023-10-17T15:58:06Z
"""Israel has one of the finest fighting forces in THE country""...huh?",cZEO_T_uzKQ,2023-10-16T20:47:26Z
"We can CERTAINLY afford TWO WARS, amirite fellas?",arELXeXHXvY,2023-10-16T16:13:04Z
Rare Fetterman W,M_0Ruo9ngGA,2023-09-27T20:14:20Z
HAHAHA...you CAN'T make this up,u05ePzDqp2c,2023-09-25T02:22:30Z
Biden takes credit for admitting MORE migrants SECONDS after blaming his opponents for BORDER CRISIS,eKs6dylxY7s,2023-09-22T02:48:41Z
"(ఠ༬ఠ) We must stop the  ""CLIMATE ASSAULT"" once and for all! ( ⚆ _ ⚆ )",olIruAimwfI,2023-09-21T22:07:39Z
no no no no no no no no,L2adNYQZyc0,2023-09-21T19:57:09Z
"NY Governor tells migrants to ""GO SOMEWHERE ELSE"" 💀💀💀",tn5FbF43Glo,2023-09-21T18:50:23Z
THIS IS HELLA SUS...,5_Xm4wizNZ4,2023-09-21T06:15:11Z
President of Brazil visibly PISSED after Biden forgets to shake his hand,dPTd5OKGGqI,2023-09-21T01:54:24Z
The FLOODGATES are WIDE OPEN and they are NOT closing anytime soon...,-43hlfbByGk,2023-09-20T21:35:32Z
"The ""Sanctuary City"" Paradox",pSvfbYUSK_Q,2023-09-20T09:11:24Z
What's the point of having a border if you are simply letting EVERYONE in?,vLxNC84gZkQ,2023-09-20T04:33:32Z
"NIMBYs are BEGGING local leaders to ""close the borders of Chicago""",jMgSvaphuKw,2023-09-19T01:28:10Z
What an absolutely SHOCKING betrayal *wink wink*,QAq3lrO_qV0,2023-09-18T23:13:40Z
"At this point, the border is MORE open than Kameltoe's mouth",brGuA48s2OU,2023-09-18T21:34:16Z
the work the work the work,FpRI4igzQ98,2023-09-18T07:19:41Z
and they don't stop coming and they don't stop coming and they don't stop coming,_QKBvBU6nTI,2023-09-18T00:02:06Z
"At this point, Biden's got MORE origin stories than the Joker...WTF?",NZZFfWFHuIE,2023-09-17T11:39:28Z
"Oh, so NOW impeachments are a ""WITCH HUNT""",ilZU4FBG8pQ,2023-09-13T08:11:02Z
New Mexico sheriff TAKES A STAND against AUTHORITARIAN governor and her ban on guns,MKE8PQp9phE,2023-09-12T10:06:38Z
"The View host HILARIOUSLY claims Biden ""is FIT""",IZglZYjYqws,2023-09-12T07:38:21Z
My brain just BAILED OUT after trying to keep up with The Science™ behind this circus,3lhcf2lzEUU,2023-09-11T09:46:56Z
"OOPSIE! Kameltoe admits climate fluctuating is ""NORMAL"" as she defends her FAILED border policies",JrXTXiJA6Fg,2023-09-11T07:40:37Z
Biden CUT OFF mid-sentence as staffers DESPERATELY end press conference to stop his rambling,uDH0Vk5WzYk,2023-09-11T05:28:39Z
Macron gets BOOED into OBLIVION,UzbxPc79OgM,2023-09-10T01:08:24Z
Why won't this DINOSAUR go extinct already?,WqCK_gLQcZ4,2023-09-09T07:52:37Z
New Mexico has FALLEN as INSANE governor BANS carrying guns in Albuquerque,Z3NIYXBzSEk,2023-09-09T03:44:03Z
The Science™ strikes AGAIN,rA1zCiLoTBk,2023-09-09T01:47:14Z
I regret to inform you that COMMIEFORNIA is at it AGAIN,vDAsU5OM4bQ,2023-09-08T21:18:06Z
"The View hosts are ready to kick migrants the f*ck out of NYC: ""They need to be resettled elsewhere""",U8uDPatl_RI,2023-09-08T19:06:23Z
Kamala hints she may be taking over as PRESIDENT for the SECOND time this week,P10liUJKdTA,2023-09-07T23:26:26Z
"Mayor Adams WARNS migrant crisis ""will DESTROY New York City"" as he blasts Biden for failing to help",yNwzIvJKJCA,2023-09-07T19:35:22Z
Biden proves he gives ZERO F*CKS about WH mask rules as he breaks them AGAIN,cURBBEKS1Ug,2023-09-07T02:23:28Z
"KJP claims it ""WAS PLANNED"" for Biden to bizarrely leave Medal of Honor ceremony before it was over",ufyVXcX3Vbg,2023-09-06T23:29:52Z
Biden breaks his own WH mask rules even after being DIRECTLY exposed to the Rona,GmWpg7YbytM,2023-09-06T04:11:38Z
"Peter Doocy asks Karine POINT-BLANK why Biden's staff treats him ""LIKE A BABY""",MOxRFqw3HVI,2023-09-06T00:34:07Z
"These ghouls sound WAY TOO EXCITED while claiming the Rona ""IS BACK""",y7Pj4LQjMLk,2023-09-05T22:44:48Z
Biden straight up WALKS OUT of Medal of Honor ceremony BEFORE it is over,cm3NeEFqiMU,2023-09-05T21:09:26Z
Just ONE MORE booster could have prevented this....,THhguaGOKM4,2023-09-05T04:37:10Z
Riiiight...,SrGgPrIVT7Q,2023-09-02T19:11:00Z
Why do they even run anymore LOL...it's not like they are going to get arrested in Commiefornia,Tpogaac2uJ4,2023-09-02T06:04:36Z
When will they learn that ACTIONS have CONSEQUENCES?,-c0fjgtZy7M,2023-09-02T03:39:51Z
"Tough sh*t, Chicago...you voted for this, now DEAL with it",96HnlTA_tCs,2023-09-01T06:11:34Z
They forgot to charge the McConnell robot AGAIN,xgPtZUzJc7s,2023-08-30T23:59:30Z
Pea-brained puppet gets FACT-CHECKED over false diversity claims,sX4Q6bM5o70,2023-08-30T01:42:41Z
Hunter Biden appreciates your tax dollars...he REALLY does,Jtuxe7xG1N0,2023-08-29T06:56:33Z
Biden fought the teleprompter and the teleprompter WON,2a52hOmNmkY,2023-08-29T04:58:51Z
This Twitter exchange was WILD...,nXBk7h_DcKE,2023-08-27T19:53:11Z
KJP Admits Giving Preferential Treatment To Reporters That Meet Her In Private,JyR_PK16LtI,2023-08-26T20:52:22Z
The Australian Government is using students to spy on their parents...WTF?,Mle-QBASGq8,2023-08-25T20:13:34Z
"Cult member claims that those who disagree with his views are in a ""CULT""",NBaA0wJitlE,2023-08-25T16:05:58Z
The Governor of New York has completely LOST IT...the state is about to IMPLODE,8Tk7zS9tELI,2023-08-24T23:11:09Z
"Psaki caught LYING in 4K as she tried to shield her ""former"" boss and his lapdogs from criticism",wXXrAmzxNEU,2023-08-24T16:40:31Z
"HAHAHA...wait, she's SERIOUS?",2fpaFSDENTQ,2023-08-24T04:20:14Z
He's Back For The Sequel,1r6B9wnQ-ec,2023-08-23T16:06:04Z
This is ABSOLUTELY SHAMEFUL,HHCCbvPrklI,2023-08-23T05:31:15Z
"Grifter wants you to think he can stop ""the beast of Climate Change""",AE07VakNQ6o,2023-08-22T15:33:24Z
Joe Biden's MOST DISGRACEFUL speech YET...,7LnpfK4HbFk,2023-08-22T04:41:27Z
"""I don’t recall an economy that is this good""",awaeWxNLkk8,2023-08-18T19:56:11Z
DHS brags about $300M investment as Biden offers insulting $700 payments to Maui wildfire victims,pFv6S5_Ehvc,2023-08-18T04:04:31Z
Hide yo kids...Sniffin' Joe is back at it again,921NtDg-Lpw,2023-08-17T23:03:47Z
Absolutely Incompetent...WTF?,fQqc3MkJOxs,2023-08-17T04:50:54Z
WALKING CORPSE gets booed into oblivion by his own constituents after his BRAIN LAGGED on LIVE TV,z_S6bCLMh4g,2023-08-07T05:50:50Z
Pete compares soldiers risking their lives in a WARZONE with his work at the Dept. of Transportation,2K7d1JM3QX8,2023-08-06T23:15:05Z
USWNT is ELIMINATED early as Anti-American Megan Rapinoe misses GAME DEFINING penalty kick,R0qyQp3zc8g,2023-08-06T17:35:04Z
"Socialist scum Hasan Piker downplays CHAOTIC RIOTS at NYC, MOCKS business owner attacked by mob",VmtwX835bWE,2023-08-06T02:52:31Z
Almost century-old puppet REFUSES to give up her position of power despite being UNFIT for it,b7vSR0abJ7o,2023-08-06T00:23:53Z
"Pfizer admits employees were given SPECIAL BATCH of the shot, different to rest of the population",SYmys75xlFY,2023-08-05T16:30:31Z
"The FBI lied to us, Jan. 6th crowd was crawling with feds, UNAIRED leaked interview REVEALS",sJuXqyLh3ZE,2023-08-05T07:53:43Z
"""People are having an easier time putting bread on the table""",3DGDA62C00Q,2023-08-05T04:14:14Z
"""Presidential Historian"" compares Trump to The Confederacy, Pearl Harbor, and 9/11",Q1GAnFAHqgc,2023-08-04T17:42:54Z
Psychopath doubles down on singing ANTI-WHITE chant as he blasts Elon Musk,ANKcnzpL2l8,2023-08-04T07:52:53Z
Mongolian PM gets a taste of Kamala's world INFAMOUS word salads,uk61MESOTgE,2023-08-04T01:55:12Z
Won't Somebody PLEASE Think of the Poor Looterinos?,EWaPmBSTjCk,2023-08-04T01:07:41Z
Even the CNN anchor is taken aback by such an IDIOTIC comparison...,sUQ4L9IBeVM,2023-08-03T23:53:09Z
"January 6th was ""the CRAZIEST ATTACK since 9/11"" according to this genius",39wnYzD3boE,2023-08-02T23:44:02Z
