Title,Video ID,Published At
Top 5 Woke Hollywood DISASTERS of 2023,GM9H02WvAHs,2023-12-31T22:29:51Z
"Ending the Year of the FLOPBUSTER, Woke Hollywood in Shambles | Friday Night Tights #282",utuja_G__GU,2023-12-30T01:22:01Z
Rebel Moon - A Dumpster of Fire,5ATnBuOMOZY,2023-12-24T19:52:59Z
Woke Hollywood's WORST Year | Aquaman 2 is POO | Rebel Moon Review | Friday Night Tights 281,cOSjy6OWKOk,2023-12-23T01:31:55Z
Jonathan Majors FIRED! He Wuz Kang | Marvel is a Dumpster Fire - The Real BBC,noHs0YXkyPE,2023-12-19T21:50:20Z
Woke Hollywood Is BROKE and More CRINGE Is on the Way.,uUhnGfJ2q_c,2023-12-18T21:32:08Z
Lord of the Rings: The Return of the King 20th Anniversary,lsskBpn87Tk,2023-12-17T23:31:14Z
"Disney's Internal Civil War, Hollywood Crumbling | Friday Night Tights 280 w/ Disparu",_cjx0z58Uyo,2023-12-16T01:13:33Z
RIP Doctor Who | A Casualty Of The Culture War,5cpHPD6n1IY,2023-12-11T21:32:29Z
"Elon ROASTS Bob Iger MORE, Doctor Who Doubles Down! | Friday Night Tights 279 w/ MauLer & Disparu",qF9fdd38Wd4,2023-12-09T01:21:18Z
The Marvels FAILURE is Complete | Disney BURNS! Comic Creators Say The Dumbest Things -The Real BBC,54dsgt30fEw,2023-12-05T21:07:27Z
Disney is Everything Wrong With Hollywood | Elon ROASTS Iger and It Was Glorious,gZNf4NOmSH8,2023-12-04T20:28:58Z
"Disney Burns, Elon Roasts Iger, GODZILLA CRUSHES! | Friday Night Tights 278 w/ MauLer & Disparu",IGcrI7mTpTU,2023-12-01T23:49:52Z
Doctor Who is DEAD | Murdered by The Message,f_QdVnOajWM,2023-11-27T20:14:13Z
"Disney Commits Mary Sue-icide, Doctor Who's Special FAIL | Friday Night Tights 277, Stuttering Craig",RWYcws2_QhM,2023-11-25T00:47:10Z
The Marvels FALLOUT | RIP Doctor Who | The Silver SurfHER? - The Real BBC with The Soska Sister,QTjWIjc2xX4,2023-11-21T22:07:01Z
The Marvels FAILURE is a MASSIVE Culture War Win,u-63PXUzBvA,2023-11-20T20:44:30Z
"M-She-U In Full Collapse, The Marvels Mega FLOP! | Friday Night Tights #276 / Melonie Mac",sDJZ7_bUhNU,2023-11-18T01:52:29Z
The Marvels is AWFUL | The MCU is DEAD,4bDZ14UtMGI,2023-11-12T20:31:28Z
"The Marvels is EMBARRASSING! Loki Finally Ends, MCU is Long DEAD | Friday Night Tights #275 w Mauler",Us2QSvOaR-8,2023-11-11T01:29:14Z
"Disney Marvel DESTROYED, Loki is BORING, Comic Pros Weigh In | Friday Night Tights 274, Nolan, Jones",nNAcxn3e78o,2023-11-04T00:01:12Z
Marvel EXPOSED! Disney is in Full PANIC Mode | The Fans Were Right,ELtPYj9f7XE,2023-11-03T17:13:32Z
The Marvels CRINGE! Gina Carano NUKES Lucasfilm! Hollywood's ENDLESS Strike - The Real BBC,sM4kAncT2aU,2023-10-31T21:04:11Z
"South Park DESTROYS Disney, and That's a Good Thing",_qCcf7IYXaE,2023-10-30T19:30:20Z
Snow White DELAYED! South Park ROASTS Disney! Hollywood Strike DEADLINE Woke Friday Night Tights 273,7-72C5NxriY,2023-10-27T23:32:11Z
Woke Hollywood Instant Regret! The Strikes Have Been a DISASTER,0GR3jgj0vLE,2023-10-24T19:49:44Z
"The Marvels DISASTER, Loki's Failure, Streaming Price Hikes | Friday Night Tights 272, Carl Benjamin",bGGlGchNBUY,2023-10-20T23:35:37Z
Woke Hollywood is Still on STRIKE | Loki APATHY - The Real BBC w/ MauLer HeelvsBabyface & ItsAGundam,0tUbvU3cVPk,2023-10-17T20:34:37Z
Disney PANICS! The Marvels is Projected to FLOP,hcB0DWbIhUY,2023-10-16T20:13:38Z
"MCU Heading for REBOOT? SAG Strike Stalled, LOKI Review | Friday Night Tights #271 w/ DanikaXIX",DB5aJyPmtJ8,2023-10-14T00:11:05Z
Why Marvel is FAILING,KuKOP2rw9pA,2023-10-12T19:33:12Z
ONE PIECE - The Best Show of 2023!,ERRCv1I6iY0,2023-10-11T20:00:10Z
"Ahsoka Finally Ends, Loki's Girl Bosses Begin | Friday Night Tights #270 w/ Disparu",rOewxP50-eo,2023-10-07T00:16:14Z
Ahsoka Is a Massive FAILURE,vymO7j8d3mo,2023-10-06T16:33:38Z
Ahsoka: AhSUCKA | Loki 2 Already in Trouble? Gunn's DC DOA The Real BBC w/ MauLer and HeelvsBabyface,csj1CWfEQB8,2023-10-03T19:30:45Z
