Title,Video ID,Published At
Wonka Wins Christmas as Aquaman and Ferrari Flop,QFJxISvWtBU,2023-12-31T20:09:33Z
E476: Christmas Box Office | 2023 Box Office Winners and Losers,D0_OmfP7Bb8,2023-12-27T14:41:23Z
Aquaman Flops as The Iron Claw Shines,yE7CJ0wctko,2023-12-24T19:37:45Z
Aquaman to be Final DCEU Bomb as Wonka Brings in the Families,6tu3VPFKxfc,2023-12-21T20:19:22Z
E475: Disney Box Office Catastrophe | Theater Booking 101 | Advent,uhsEQkIXMPA,2023-12-20T14:31:14Z
Wonka Starts Fine as Disney Loses Over $1 Billion for the Year,a6UQAfdybJE,2023-12-17T20:02:58Z
Wonka to Open Weak But Possibly Hold Strong,O4yywCvzhoU,2023-12-14T20:24:46Z
E474: The Boy and the Heron | Disney Set to Lose $1 Billion in Theaters,gdQmRzMjLJ8,2023-12-13T17:15:21Z
Boy and the Heron Wins Weekend As Godzilla Holds Strong,YJqwxPNzmGo,2023-12-10T19:35:36Z
The Boy and the Heron (2023) Movie Review,xK-GNMgdUNU,2023-12-10T03:15:51Z
Miyazaki's Boy and the Heron Opens Strong as Godzilla Shines,rMfeqxqDyxM,2023-12-08T11:58:01Z
E473: Godzilla Minus One Talk | The Marvels Box Office Fail,bZsX8AKx03g,2023-12-07T03:30:21Z
"Beyonce Dominated by Swift, Wish in the Gutter, and Godzilla Minus One",UIDC2Vk9JE4,2023-12-03T19:31:57Z
Beyonce Victory As Godzilla Minus One Deserves More,2qJRb3BoVkw,2023-12-01T11:52:31Z
Godzilla Minus One (2023) Movie Review,E56CsLEbIlI,2023-11-30T12:05:28Z
E472: Wish Massive BOMB | Box Office Talk,EaTdV_TCdbU,2023-11-29T13:54:10Z
Wish is Massive Failure as Napoleon and Hunger Games See Life,eMGxwFNkYm0,2023-11-26T20:22:31Z
Hunger Games to Edge Out Wish as Napoleon Overperforms,3s09Q4nc7Ug,2023-11-24T16:31:43Z
E471: Wish Set to Bomb | Hunger Games Struggles | The Marvels Dumpster Fire,kJ4IUugmJv0,2023-11-22T13:46:58Z
Hunger Games Flops as The Marvels Reaches MCU Worst Box Office,PoHhIgp4_ko,2023-11-19T19:20:07Z
Hunger Games to See Franchise Worst Opening as The Marvels Plummets,ZiEpWk2hB08,2023-11-17T01:00:08Z
E470: The Marvels Box Office Catastrophe | Hunger Games is Next,GJF-9r7FiLY,2023-11-15T13:57:05Z
The Marvels FLOPS and Has Worst MCU Opening Ever,nBEIDnJqq28,2023-11-12T19:10:52Z
The Marvels Projected to Have Worst MCU Opening Ever,31RHPRPUUqg,2023-11-10T03:22:53Z
E469: FNAF Phenomenon | The Marvels Set for Worst MCU Opening Ever,MFoY1DUzfH4,2023-11-08T14:01:44Z
FNAF Continues Box Office Dominance Despite Massive Drop,SLlQwcTgwTo,2023-11-05T19:31:53Z
Five Nights at Freddy's Destroys Projections as Killers of the Flower Moon Flops,BYyzFabDFpY,2023-10-31T11:03:54Z
Five Nights at Freddy's to Dominate the Weekend,QqDB9_cfTNs,2023-10-26T11:04:17Z
E468: The Marvels and Hunger Games Prequel...Will They Flop?,qkvm8eZC8lE,2023-10-25T13:10:19Z
Killers of the Flower Moon Flops as Megahit Taylor Swift Drops,H-579ys5sPU,2023-10-22T18:29:06Z
Killers of the Flower Moon's Budget Problem and Taylor Swift's Week 2 Fall,pXifK5RIVjI,2023-10-19T10:51:46Z
E467: Daily Wire Snow White | Box Office Breakdown | Criticless,IvPhJNy1qp4,2023-10-18T14:10:31Z
Taylor Swift Eras Tour to Dominate as The Marvels Set for November FLOP,QOt6Af77xDc,2023-10-13T12:54:24Z
The Creator (2023) Movie Review,sONrimvIAlI,2023-10-10T20:38:11Z
"Exorcist Believer Wins and Loses as The Creator, Dumb Money, and Expen4bles Bomb",ul7hdW3bQSc,2023-10-10T15:37:14Z
Expend4bles to Flop at the Box Office,KNmv_TNwta8,2023-09-21T11:27:08Z
E466: Countdown to Baby Girl | Criticless | Movie Talk,m5U8KHIgmPk,2023-09-20T12:42:39Z
Ahsoka (2023) Anakin Skywalker Return Thoughts,iJYtyhQzDUw,2023-09-20T11:24:04Z
"The Nun II Beats Haunting in Venice, MI7 Gets Major Boost, and Oppenheimer Crosses $900 Million",0roib69NPFw,2023-09-17T18:26:26Z
E465: Modern Day Box Office Ticket Sales | Criticless App | Movie Talk,dC8VOqjLick,2023-09-17T12:43:30Z
A Haunting in Venice Already a Flop,B5VUcPHgQM0,2023-09-14T11:17:57Z
E464: Rotten Tomatoes Scandal | One Piece Netflix Review | Angel Studios Winning,eynkZ_f2FRo,2023-09-12T11:16:21Z
The Nun II and Bollywood’s Jawan Win as Equalizer 3 Sees Big Drop,PsFV9LeH_O0,2023-09-10T18:33:36Z
The Nun II Opens BIG as Equalizer 3 Falls,ilf6LlyI0aI,2023-09-07T11:18:14Z
E463: The Equalizer 3 | Box Office Talk | One Piece and Twisted Metal Thoughts,adQMhneAcoE,2023-09-06T13:26:16Z
Equalizer 3 Dominates as Barbie Beats Super Mario Bros,kh3DauRACxc,2023-09-03T18:42:53Z
E462: Equalizer 3 Box Office | Taylor Swift Movie | Barbie Beats Mario,P8WSQ8Th1EI,2023-09-03T12:48:58Z
The Equalizer 3 (2023) Movie Review,p1HG5XZC2Zo,2023-09-01T01:58:10Z
Equalizer 3 to Open Strong as Gran Turismo Falls,so6dqSdiyII,2023-08-31T11:14:16Z
E461: Gran Turismo | Equalizer 3 Projections | Channel Membership Changes,TQiG6ompsyc,2023-08-30T12:59:09Z
