Title,Video ID,Published At
Captain America 4: Marvel's Most Expensive FAILURE to DATE? | Source Leaks Reshoot Details!,rsaLRe9uJpo,2023-12-29T18:57:45Z
Rebel Moon Part One Review | A Choppy MESS That STILL Kicks Disney Star Wars' ASS!,kwyRC-vxpfM,2023-12-27T20:35:03Z
Disney BENDS THE KNEE After Little Mermaid FAILURE | Ariel No Longer Race-Swapped in NEW Project Art,tzwFVPfw-Co,2023-12-26T19:28:20Z
The Doomcock Animated Christmas Special | Bob Iger & Elon Musk Bring Harvey Some Christmas Cheer!,jGmcHnskQtY,2023-12-21T17:34:14Z
Disney Investor RANTS About Iger's INSULT to Shareholders | Is an Investor Rebellion Near at Hand?!,Qy6a2LFh5YU,2023-12-20T19:46:38Z
"Investors REJECT Disney and ESG | South Carolina Joins Florida and Elon Musk in Saying ""FU"" Iger!",aea7SvrmWJM,2023-12-19T20:23:29Z
"Disney REELING as Proxy War Begins | Nelson Peltz, Former Disney CFO Try to FORCE CHANGE on Disney!",VJQojhrGGcI,2023-12-14T20:44:42Z
"Japan Kicks Hollywood's A$$ | ""Godzilla Minus One"" & ""Boy and Heron"" DOMINATE US Box Office!",IVUoO0453e8,2023-12-14T17:40:53Z
Mangold ADMITS Indy 5 Rumors Were CORRECT | Multiple Endings CONFIRMED | Doomcock Was RIGHT!,146NJHv0VnU,2023-12-11T18:44:56Z
Disney in CRISIS | Peltz Gains Allies in Bid to Seize Power | Musk Wants Iger FIRED!,jCGwKr8ZAz4,2023-12-08T19:31:30Z
Captain America 4 is a Woke DISASTER | Test Screening Scores WORSE Than The Marvels Source Claims!,ZTVnOjWjaX8,2023-12-06T18:13:48Z
Godzilla Minus One is AWESOME | One of the BEST Godzilla Movies I've Ever Seen! NO SPOILERS Review!,DM0jbgsIvwg,2023-12-02T17:33:32Z
Peltz Launches ATTACK To Take Control of Disney Board | Disney TERRIFIED as Hostile Takeover LOOMS!,E9rmJWusNRE,2023-12-01T21:05:50Z
Feige's Job is in PERIL as Iger ADMITS Disney Movies SUCK | Major Rumor Update!,7NrgPTqbxkU,2023-11-29T19:26:50Z
"""Wish"" is Disney's Latest Box Office BOMB | Losing Streak? Or Is Disney a Dead BRAND?",S6W1K1A0Dno,2023-11-27T19:29:04Z
Dave Filoni Promoted to Chief Creative Officer at Lucasfilm | After AHSOKA? God Help Us ALL!,C8PxGtNrOWg,2023-11-22T19:56:55Z
Disney Fears HOSTILE TAKEOVER | Emergency Meetings Called as The Marvels BOMBS at Box Office!,1TQqcrJnIWw,2023-11-20T19:31:51Z
The Marvels Allegedly Cost Disney FAR MORE Than They Admit | 87% Box Office Drop DISASTER For Marvel,MaJYA92C5o4,2023-11-19T20:04:27Z
Pedro Pascal as Reed Richards? The MCU is DOOMED! Marvel Has Learned NOTHING From Their Failures!,GUYPU3wSznk,2023-11-17T20:17:42Z
"Disney is NOT Remaking Star Wars | They're Recasting Luke, Leia & Han for ANOTHER Reason!",iVftO01E7NM,2023-11-14T18:46:00Z
"""The Marvels"" is the MCU's Biggest FAILURE YET | WORST Opening Weekend in MCU History!",qSCgPuJ7dC4,2023-11-12T21:09:49Z
"""The Marvels"" is Not Marvelous, Nae Scottish, and Sucks Harder Than a Black Hole in a Stag Film!",B1BSoZ1F2wI,2023-11-10T21:24:00Z
Kennedy EMAILS May Soon Drop in MASSIVE LEAK | Who Is Behind It? Here's What Sources Tell Me!,_O3taMkRGRQ,2023-11-08T19:00:29Z
George Lucas POISED To Take Revenge on Disney at LAST Multiple Sources Say | The LUCAS Strikes BACK!,sE8uDcDh6vI,2023-11-05T18:57:16Z
Is Brie Larson QUITTING the MCU? Or is Disney Getting Ready to FIRE Her? | Here's the Latest Rumors!,KDG7FUL9V0A,2023-11-03T19:00:07Z
CRISIS at Marvel EXPOSED |  MCU Reset Coming as Iron Man RETURNS | She Hulk Cost $25 MIL an EPISODE!,PN61x6B5gyU,2023-11-02T20:09:10Z
South Park SMACKED DISNEY & KK Turned Us Into a CARTOON | South Park Joining the Panderverse Review!,OCOeA5X3ZsE,2023-10-30T17:22:04Z
Disney DELAYS Snow White Until 2025! | It's Indiana Jones 5 All OVER Again as Disney Gets DESPERATE!,DRYWl1DvJl0,2023-10-27T20:41:04Z
"Disney Financial Losses Are SO HUGE, Major Investors May Soon FLEE Analysts Fear as Peltz Closes In!",4xBVviOwZmE,2023-10-25T19:45:29Z
"Is Disney REMAKING Star Wars? My Hollywood Spies Have Info About This ""Leak"" | It's Time to Get MAD!",76_rZe727ZM,2023-10-24T19:17:36Z
"Star Wars Galactic Starcruiser Hotel FAILED, But KK Will Be FURIOUS Over Iger's Plan To RECYCLE It!",07hM-4ZUSSk,2023-10-23T18:29:54Z
