Title,Video ID,Published At
December - The Scammers Year,3fsQN4yeBYc,2023-12-31T20:00:01Z
November - There Is Hope,W8dg3nstKcE,2023-12-31T16:00:30Z
October - Turns Out we Can Fix Everything,tDxybLydcas,2023-12-30T20:00:16Z
September - The Narrative Crumbles,8zg7Vz7ULJ8,2023-12-30T16:00:04Z
August - Only The Best Guests,FR6egsCothc,2023-12-29T20:00:10Z
July - Just a Good Time,FqO9_MrpWOg,2023-12-29T16:00:09Z
June - The Month of Death,-jksxxZcvfM,2023-12-28T20:00:00Z
May - There Is No Justice,0vhiDdDlyQM,2023-12-28T16:00:01Z
April - The Truth Hurts,F-OJo_ZJKJs,2023-12-27T20:00:07Z
March - The More Things Change…,3F-OU3bEcE8,2023-12-27T16:00:01Z
February - The Year of AI,FuTecAn4kYg,2023-12-26T20:00:06Z
January - The Predictions Came True,xkkPob8G0yM,2023-12-26T16:00:29Z
England Is Still Beautiful,ZI9HIl0Jw3U,2023-12-25T20:00:11Z
How the Right Won This Year,01gDy62ZEig,2023-12-25T16:00:00Z
Some Good Things Did Happen in 2023,LTiSJYsQ92A,2023-12-25T12:00:13Z
What Will Go Wrong in 2024?,SPH1vKfDIX8,2023-12-24T20:00:07Z
Even the Migrants Are Leaving,QH0D-N016nA,2023-12-24T16:00:22Z
Why Don’t Women Propose?,am5xtJzFru8,2023-12-23T20:00:03Z
Catholic Confusion,ZD80zNIoHV0,2023-12-23T16:00:30Z
This Was Always the Plan,0EqjdXy_UFA,2023-12-22T20:00:00Z
CGP Grey Must Pay,4Zm68sEcxuA,2023-12-22T16:00:02Z
The Game Is Rigged Against Us,N7a1gi1uUsg,2023-12-21T20:00:20Z
Trump Banned in Colorado,nVeJGhJ3zvE,2023-12-21T16:00:34Z
Fat Airline Seats - The Newest Frontier in Human Rights,hDRuJuW6VS8,2023-12-20T20:00:24Z
The American Society of Magical Negroes,NDKibIRqUTk,2023-12-20T16:00:23Z
DINKTok,cmYOOhPaF5c,2023-12-19T20:00:11Z
Android Waifu,HB4MJrGEhIM,2023-12-19T16:00:15Z
Zuby vs. Piers Morgan,ZlkOnCEeKpQ,2023-12-19T12:00:36Z
Biden vs.  Musk’s Robot Army,IeDYYFTBFP4,2023-12-18T20:00:06Z
Decency Is on the Ballot,F_5FZRE2Wpo,2023-12-18T16:00:15Z
"Somehow, Doctor Who Got Worse",ufVpUjkuwGo,2023-12-17T20:00:19Z
Harvard’s Gay,cphyEvVQfKI,2023-12-17T16:00:32Z
The Destiny of Polyamory,xghgju7ifUQ,2023-12-16T20:00:30Z
"No, These Books Aren’t Banned",MmUKGS7_41Q,2023-12-16T16:00:10Z
It Will Never Be Enough,D4015z3Gphk,2023-12-15T20:00:06Z
Politics Is Beyond Parody,5i_pCcJZQBg,2023-12-15T16:00:04Z
Everyone Has Weird Responses to GTA 6,LpK1GYsum-M,2023-12-14T20:00:11Z
