Title,Video ID,Published At
Lucasfilm Loves Lucasfilm - Star Wars The Best Of 2023?,nz3mqG4CdaA,2023-12-21T06:46:53Z
Celebrating Men - Godzilla Minus One,T1UsfQZW8pI,2023-12-11T04:56:59Z
"Is Marvel Dead? Can It Come Back From ""The Marvels""? - Part 2",uUnq2lExdeM,2023-12-01T07:19:46Z
"Is Marvel Dead? Can It Come Back From ""The Marvels""?",J-LCLK5Zlww,2023-11-29T13:24:27Z
Ahsoka Is Finished For Disney!,PoxHfCheSfs,2023-11-01T03:30:25Z
Kathleen Kennedy Destroyed Again,Oh_L27u_SSI,2023-10-29T12:53:22Z
Disney’s New Star Wars Force Power Is Ridiculous,98Ev7UrkFxE,2023-10-21T12:46:49Z
The Creator - Is It Better Than Rogue One? | No Spoilers!,j-kSUNkxw-Q,2023-10-01T06:23:54Z
Thrawn A Huge Disappointment,k3pLq_erueQ,2023-09-30T06:10:04Z
The Losers Won - Star Wars Is Never Returning,rM1kQl8ZmRQ,2023-09-29T03:55:21Z
Ahsoka So Far So Stupid,ONwxG9ZWca0,2023-09-15T13:45:18Z
Ahsoka is a Joke!,KTT0Xm1lOHE,2023-09-01T04:07:17Z
Why John Boyega Hates The Last Jedi,kj6a2RlV4GU,2023-08-01T03:59:59Z
Laughing At Lucasfilm,IYPu_MVL7ms,2023-07-24T23:47:42Z
Indiana Jones and the Dial of Destiny is A Disgrace,ZDv0F9RqscA,2023-07-01T06:58:32Z
Garbage Across The Stupid-Verse,5kNaQmXtqkA,2023-06-23T14:22:22Z
Stupid Is As Stupid Does,mbPz-hCnxBA,2023-06-01T02:20:55Z
Sex Sells! Or Does It?,YHweso2NvrM,2023-05-27T14:09:26Z
Is Star Wars Dead?,jsNQAP3iORI,2023-05-01T07:17:22Z
Star Wars Hates Men,4etxuulHcr4,2023-04-30T14:24:37Z
Everything About The Acolyte Is A Lie,xHc7acsAmBw,2023-04-28T16:11:57Z
Disney Just Made Everyone Bigots!,KKfbGvp7XOQ,2023-04-18T15:19:51Z
Jon Favreau Hates George Lucas,k6yFImXu_eo,2023-04-01T06:57:30Z
Disney Is Making Product For Idiots,dxJmlRtoDe4,2023-03-27T13:52:41Z
The Mandalorian Season 3 Episode 1 Changes Everything!,w8FbBD93lHc,2023-03-09T01:45:26Z
Boba Fett Is Finished,K4gYn7moO1U,2023-03-02T07:59:36Z
The Mandalorian - It's Not Season 3,9r2otgMxuWI,2023-03-01T13:00:41Z
Gomez Downgrade Outrage,szDVRqGR_s4,2023-02-28T07:57:12Z
Just Say Gay,vjGzFvQtnbk,2023-02-21T07:56:06Z
Velma Exposes The Critics,X_QBuV8yFUU,2023-02-01T07:56:22Z
Star Wars Movies Are Finished,k9R_SxWhoF8,2023-01-31T02:09:13Z
Glass Onion Alternative Ending 2,HDdZszCJLXM,2023-01-29T06:54:41Z
Glass Onion Alternative Ending 1,VNLX9VgcZY8,2023-01-29T06:53:02Z
Glass Onion Stupid,mMi3gPbd5FQ,2023-01-27T14:07:13Z
Velma Hates Everyone,awb8MkIEQJE,2023-01-25T13:16:59Z
James Cameron Cancels Terminator,WUf53r5Qi-I,2023-01-01T04:55:34Z
