Title,Video ID,Published At
Testing the STAR WARS lightsaber Spin DEFENCE!,QKeU9v4jyQw,2023-12-28T22:00:07Z
Why does CAERPHILLY CASTLE have these?!? Full tour and exploration,4gHdmSBe7xs,2023-12-26T22:11:13Z
"THEY'RE HERE! Shadow of the Conqueror, GRAPHIC NOVELS!",4DelehlibL4,2023-12-22T12:36:00Z
Is Achilles' JUMP ATTACK from TROY effective??,pSPs_hXxsRs,2023-12-21T22:00:19Z
What is the BEST ARMOR for fantasy ADVENTURERS?,McL8oxkgFhQ,2023-12-18T22:00:08Z
This was risky - sword fighting on a NARROW BEAM -TESTED!,UCGAOd7Zlu8,2023-12-14T22:00:14Z
"CARBON FIBER Longsword, The NEXT Step in the TITAN SWORD Project",7ped_AiTlQY,2023-12-11T22:00:23Z
"We DEBUNKED Medieval Armor MYTHS, Can You STAB Through Breastplate?!",TqLRtcDzpYM,2023-12-07T22:13:00Z
The Worlds most DEADLY Sword...The RAPIER!,j5V_AFjqLhE,2023-12-04T22:07:17Z
Can we STAB and SHOOT an arrow like LEGOLAS from Lord of the Rings,tSMC5AhjmTw,2023-11-30T22:31:36Z
Can a RAPIER Actually CUT?! The results were SHOCKING!,dB6n1KBGRYE,2023-11-27T22:28:01Z
"What people REALLY think of my book - The reviews of Shadow of the Conqueror, by Shadiversity",zWfRYM6rTdo,2023-11-25T11:00:55Z
We tested BLACK ARROWS and BALLISTA from The Hobbit!,ERTiJePbfig,2023-11-23T22:00:59Z
We put this ABOMINATION to the TEST!,5_ByfXXM7jA,2023-11-20T22:25:56Z
"We tested SOKKA'S BOOMERANG from Avatar: Last Airbender, the results were CRAZY!",NswRgPCceYc,2023-11-16T22:03:48Z
We made an ABOMINATION of a sword! Katana REHILTING Tested,MGvG74Aijjc,2023-11-13T22:01:45Z
A REVERSE KATANA? The Rurouni Kenshin Sakabato TESTED!!,mISvbpO4XoU,2023-11-09T22:04:50Z
We just made an ABOMINATION! Giving a longsword a katana hilt,p-wQ8lmRU5U,2023-11-06T22:02:09Z
"We TESTED SCORPION'S Kunai from Mortal Kombat, the results were SHOCKING!",cknEdvm8EIY,2023-11-02T22:06:37Z
"We TESTED HORROR Slasher Weapons, the results were SHOCKING!",8MsdLzRqjTc,2023-10-30T22:34:53Z
UNBREAKABLE KATANA!?! Did we discover ENMA from One Piece?!?,EUS1oHYObgA,2023-10-28T11:13:15Z
The TRUTH about Medieval SIEGE WEAPONS!,zsh5_y0vbOE,2023-10-25T22:17:20Z
We gave the O-Katana a MEDIEVAL HANDLE AND IT’S AMAZING!,lufnwJo2aYA,2023-10-23T22:16:23Z
ONE PIECE Mihawks Sword is PRACTICAL?!,uzEhKbRsF8Y,2023-10-19T22:01:38Z
Keyboard-Warriors SUCK and we PROVED IT!,Tq1ytKRiME8,2023-10-16T22:03:04Z
"WOW, this actually works... Testing Demon Slayer in REAL LIFE!",1f6wFgohvxs,2023-10-12T22:33:04Z
A love letter to Ai art - you don't need to be afraid,u_v9Gbw6kcU,2023-10-09T17:00:38Z
We BROKE a sword trying this - Video game BARREL DESTRUCTION TESTED,DT_ObEcXZfg,2023-10-06T10:59:25Z
This is a GIANT ANIME KATANA!!,YlJGYqPSlcs,2023-10-02T22:00:15Z
Zoro sword style TESTED! - ONE PIECE,3tekGBAj-qQ,2023-09-28T22:13:49Z
The BIGGEST problem with Nunchucks! - SHADIVERSITY,QEBPm5gcW3M,2023-09-28T13:00:20Z
Why do CASTLES have this here?,PK1i1DQstHs,2023-09-25T23:00:32Z
"NUNCHUCKS, but BETTER!",LtFlcaKhhyk,2023-09-21T23:02:57Z
Do curved swords cut better than straight swords?,wdySh6VQ0Qo,2023-09-18T23:00:02Z
Uncovering the SECRETS of Chepstow Castle,xelquI_oTr8,2023-09-16T14:37:19Z
The Sword that DISAPPEARED from History!,kpU7eD5AGZ4,2023-09-12T23:01:00Z
WALKING THROUGH my first CASTLE! - Shadiversity BRITAIN TOUR vlog 2 (Chepstow castle),aBGxSTZQD4c,2023-09-10T13:00:00Z
Why is this Castle keep here? The MYSTERY of CHEPSTOW CASTLE,bEJZhLtPedE,2023-09-04T23:00:11Z
REAL FIREBALLS Tested...If Magic was real how Effective would a Fireball Be?,G1GIAIxMEbA,2023-08-31T23:00:01Z
What is this WINDOW doing here!!! - Shadiversity BRITAIN TOUR vlog 1,cUWJzFk36II,2023-08-28T23:00:34Z
This is getting ridiculous…,bsP9NT95hsk,2023-08-24T23:00:58Z
I can't believe THIS SWORD IS SO CHEAP!,devfHN2xjrg,2023-08-21T23:00:53Z
Its STUPID but it WORKED!!!,S2_ZTuPbKyU,2023-08-17T22:55:25Z
Enough is ENOUGH!,KApbZwy_Yo4,2023-08-15T00:07:18Z
I've been waiting to do this MY WHOLE LIFE,ylIYIEpzuec,2023-08-12T12:00:50Z
O-KATANA vs KRIEGSMESSER - The ultimate sword showdown!,6bF8XdAefCo,2023-08-10T23:17:39Z
We NEED to talk about this abomination of a sword,ACnzEuybgWU,2023-08-08T23:01:50Z
REAL double bladed SWORD tested!,R7uBnITeOFE,2023-08-03T23:06:54Z
The Katana is CRAP... So we made it BETTER!,EUAhztF7s04,2023-07-31T23:02:44Z
POWER ATTACKS! useless or devastating?,Doe7F-3SCB8,2023-07-28T13:00:09Z
VINDICATION! Addressing the CRITICS of medieval spring steel swords,2wsYyVu1lFA,2023-07-24T12:00:03Z
Zombie Weapons OR Mall Ninja? DIY CHALLENGE!,Ho7JUvIaqqQ,2023-07-20T23:12:13Z
AND the award for best sword goes to....,2IyVnrZM-JE,2023-07-17T23:27:34Z
What WEAPON IS BEST to DEFEAT CHAINMAIL?,nJyS1b1YSTY,2023-07-15T00:01:24Z
THEY LEFT ME! | Epic Adventure Quest Episode 1,OE9ShHY2paM,2023-07-10T22:59:17Z
Could you make effective ARMOR out of TIRES?,6HmI2fDRTJg,2023-07-06T23:00:18Z
Why the Katana is a GREAT sword!,Nisul7Gf7ic,2023-07-03T23:00:08Z
I can't believe this works?!?! - Is the INDIANA JONES WHIP an effective weapon? | #FUNCTIONALFANDOM,50l_4B_T5XI,2023-07-01T23:00:02Z
The TRUTH about BATTLEAXES!,Y-UXMkr-qLE,2023-06-29T23:10:04Z
Could armor get scalding HOT in the Sun? REPLY to scholagladiatoria,S_SmOZk1s-c,2023-06-27T23:07:59Z
"CHEAP vs EXPENSIVE katana, Which one is better?",7RSJiyhYYN4,2023-06-24T12:00:12Z
What we got WRONG with our FALCHION,sxilAsRPpSI,2023-06-22T12:00:46Z
It's like a KATANA but BETTER! Behold the two-handed FALCHION!,eYZWT8e-LbY,2023-06-20T12:00:34Z
Can you chop down a tree with a SWORD?!? | #FUNCTIONALFANDOM,C6swKzdMLP0,2023-06-17T12:00:10Z
"Armor saves lives, except when it doesn't",pwWe1AOkSt4,2023-06-15T12:00:49Z
The PROBLEMS with katana vs longsword comparisons,zl4nG-uhZeg,2023-06-13T12:00:49Z
To people who think medieval food is CRAP,GBWgSc5UJ3w,2023-06-10T12:00:11Z
This turned out WAY better than we expected - MAKING A FALCHION FROM A MACHETE,TQ3Tb9BieZ8,2023-06-08T12:00:20Z
I'm designing a NEW SWORD that you will be able to buy,LOke6_zKKc8,2023-06-06T12:16:01Z
$200 Cheap LONGSWORD vs KATANA worth $1000,wTWhLGFvjTg,2023-06-03T12:00:50Z
How good is this REAL MASTERSWORD? Legend of Zelda,EDiUvZ8Z3hU,2023-06-01T13:00:15Z
"Analysing GOOD and BAD female armor, FOR SCIENCE!",fV_aJ6aYWHM,2023-05-30T12:00:32Z
Why am I CUTTING such RANDOM CRAP?!,9wqiC3Pbujo,2023-05-26T12:00:06Z
We need to talk about Fantasy Rogues | FANTASY RE-ARMED - The Rogue,79-19Re5YwI,2023-05-24T13:00:07Z
Were we WRONG about reverse grip?,H07B5-ALxlk,2023-05-23T13:00:18Z
We test REAL FIRESWORDS and they're CRAZY!! | #FUNCTIONALFANDOM,X9f98hloEtw,2023-05-20T12:00:27Z
"Jedi ""Knights""",8aYOnl2-CeE,2023-05-18T12:00:06Z
Metatron needs our HELP,MDC4q8xRS7w,2023-05-16T12:00:15Z
Making this thing is going to be TOUGH! - Designing a REAL carbon fiber SWORD!,SGVL_cRufcc,2023-05-13T12:00:18Z
"WEAPONS TESTED!!! The Legend of Zelda, Tears of the Kingdom | #FUNCTIONALFANDOM",SDcccleEA4M,2023-05-05T12:22:55Z
