Title,Video ID,Published At
Smudcast #736: Fanservice in Anime is going too far,4SkZgVpB02k,2023-12-30T02:56:48Z
Smudcast #735: BERSERK Rant: How to make an Antagonist | Some European Chick,LozJeVf4LJU,2023-12-19T00:31:52Z
Smudcast #734: Anti-Woke YouTubers Will Really Just Lie to Their Audiences,_NqaXX855xU,2023-12-16T12:04:18Z
Smudcast #733: Life is Strange ISN'T WOKE,OxbCJjyP80M,2023-12-09T11:24:32Z
Smudcast #732: BERSERK Rant: How not to write a story | Some European Chick,5nTE0tDXunY,2023-12-05T00:56:09Z
Smudcast #731: The Truth About Kanji Tatsumi Persona 4 Analysis,4eYeZ75HLAs,2023-11-28T11:49:55Z
Smudcast #730: The Soulsborne Mindset has Ruined Action Games,HJd8pepb_dU,2023-11-26T08:55:29Z
Smudcast #729: What makes a BAD isekai? Part 3,1oEj2Vmf7F8,2023-11-23T00:14:11Z
Smudcast #728: What makes a BAD isekai? Part 2,48vVbb4EHnw,2023-11-22T00:09:20Z
Smudcast #727: What makes a BAD isekai?,dbVjbXY7meU,2023-11-21T00:39:03Z
Smudcast #726: Castlevania has always been woke (Castlevania Nocturne),zEogUF4v7u8,2023-11-19T00:53:58Z
Smudcast #725: How Shrek Kneecapped American Animation,TlPIeOC5l-o,2023-11-18T11:04:37Z
Worlds Untold game studio from Bioware alumni...is looking for talent.,uDNwhRUDo3I,2023-11-16T15:40:27Z
"Smudcast #724: Yes, Goku is actually a bad dad",fjuOln8Fmd0,2023-11-14T12:04:41Z
Smudcast #723: Spider Man 2 & A Terminally Political Gamer,btz3kIDermM,2023-11-12T00:39:43Z
Smudcast #722: Trope Talk: Dragons,JQaB_791T0A,2023-11-11T11:44:41Z
Smudcast #721: Is My Hero Academia on Pro-American Propaganda?,6n8mTT7wS9c,2023-11-06T23:23:28Z
Smudcast #720: Lord of the Rings Isn't GAY! It's Bisexual...,us6V6ONR6II,2023-11-04T23:13:25Z
Smudcast #719: Why Writers DON'T Need a Plan - Battlestar Galactica | Babylon 5,xzbYfDhRc9I,2023-11-04T10:17:48Z
Mauler on GoW: Ragnarok vs Synthetic Man's GoW:Ragnarok review,wdUdyninU0g,2023-11-01T15:37:28Z
Callum and Harry on Lotus Eaters 773 refer to EFAP's GoW: Ragnarok commentary from Synthetic Man,aaK2etAr8UU,2023-11-01T00:55:35Z
Smudtalk #42: Resident Evil Talk,EhFXQ7enOcc,2023-10-28T11:47:05Z
Smudcast #718: Anime's Everyman Problem,xoX0KtJNyVk,2023-10-24T11:20:28Z
Smudcast #717: Some People Don't Get It - Star Wars Changes,SmOuu98BwYo,2023-10-22T11:07:46Z
Smudcast #716: Why are adult animated shows UGLY?,0yArA09IzOs,2023-10-20T23:32:07Z
Smudcast #715: Trope Talk: Kaiju,ZnjPOc86mrw,2023-10-13T23:11:28Z
Smudcast #714: The Illusion of “Bad Pacing” | Why Your Writing Feels Off,3qVziDDsT9Y,2023-10-08T10:14:32Z
Smudcast #713: How NOT To Write a Villain,zwziFmObdrQ,2023-10-07T10:56:02Z
"Smudcast #712: Why I Hate ""Manga vs. Comics""",LfzMovsUMqc,2023-10-02T23:50:36Z
Smudcast #711: Dear Conservative Gamers... We Need to Talk...,ttYwFtPCchQ,2023-09-29T23:42:33Z
Smudcast #710: E;R Was Wrong About Gender & Here's Why (part 2),aAgQHRXFVFM,2023-09-23T23:22:13Z
Smudcast #709: The Incel Hero - Re:Zero as the Ultimate Otaku Horror,RKkq0GjjxsQ,2023-09-19T10:41:09Z
Smudcast #708: E;R Was Wrong About Gender & Here's Why,CN5SpGn0aWY,2023-09-17T00:23:08Z
"Smudcast #707: Anime Dubs Aren't Cringe, Anime Is",2DEChBR6Tx8,2023-09-11T23:23:10Z
"Smudcast #706: Cartoon Redemption Arcs: The Good, The Bad, And The Catra",83R4U1U3R2w,2023-09-10T10:46:03Z
"Smudcast #705: No Sex Please, We're Straight (The Jimquisition)",NaXpPQzQ4SU,2023-09-09T01:00:54Z
Smudcast #704: Mushoku Tensei: A Redemption Story... Or Not?,QJCPBJhAdRE,2023-09-05T00:49:38Z
Smudcast #703: Every government in Avatar is a dictatorship (Worldbuilding Analysis),Eaj1KgEqwkw,2023-09-01T23:15:42Z
Smudcast #702: My Problem With Anime Fans...,ustVOybvToA,2023-08-29T10:33:39Z
Smudcast #701: The Sympathetic Strawman - Marvel Accidentally Created One of the Best MCU Characters,AbPC3jQpnto,2023-08-27T10:21:44Z
Smudcast #700: How to Write a Bigot (without sounding cringe),SnXbzWR8s1Y,2023-08-25T23:16:26Z
Smudcast #699: What if we REWRITE Dragon Ball? (Since they won't...),F-MV1h7slHk,2023-08-22T09:54:04Z
Smudcast #698: How The Critical Drinker Misrepresents Barbie (And Why That Matters),1McDnpIaOY4,2023-08-18T23:55:56Z
Smudcast #697: Everything GREAT About Super Mario Bros!,XG9Pm2phZwE,2023-08-16T09:56:36Z
Smudcast #696: Cringe Writing is DESTROYING Fiction,BeNulzmLgZ4,2023-08-12T23:31:13Z
Smudcast #695: One Piece: A Queer Retrospective,pkZMG92LznE,2023-08-08T00:10:23Z
Smudcast #694: Trope Talk: Unreliable Narrators,dCisqH0xGdw,2023-08-05T10:15:09Z
"Smudcast #693: How The Author That Sold Over 72,000,000 Ruined His Legacy.",GInE8MMX5ac,2023-08-01T10:02:21Z
Smudcast #692: The Messy Masculinity of Treasure Planet,8uFF58Q5a50,2023-07-30T10:59:25Z
Smudcast #691: The Japanese hero who outsold Kamen Rider and Marvel,jq3zm4Jdd58,2023-07-25T09:41:51Z
Smudcast #690: The Lotus Blossom Stereotype - Dangers of the Asian Fetish,AsFjuIpCz8A,2023-07-23T01:00:01Z
Smudcast #689: Talking to Under The Mayo,o_oFYtbwGwo,2023-07-22T10:09:50Z
Smudcast #688: Old vs New – LoTR Animated vs Lord of the Rings - Nostalgia Critic,bvDYqDd-tAw,2023-07-19T10:16:06Z
"Smudcast #687: The Little Mermaid as a Queer Allegory, Explained",JrrZ_9fjQTQ,2023-07-16T00:39:03Z
Smudcast #686: Defending Griffith: Why He Did Nothing Wrong (w. Sichlitt),bG8QPJxUrGE,2023-07-13T00:07:45Z
Smudcast #685: What is Maturity in Gaming?,vK38NPG9bpc,2023-07-10T10:16:31Z
Smudcast #684: Are multiversal stories a problem?,4jk7Iv8-z14,2023-07-08T10:34:43Z
"Smudcast #683: The Fallacy of ""Replay Value"" | Extra Punctuation",07DBZm72gmo,2023-07-05T09:58:34Z
Smudcast #682: Film Theory: DON'T Attack The Titans! (Attack on Titan),RcCiWHa_h6I,2023-07-04T10:21:41Z
"Smudcast #681: Where Skyrim Succeeded, and Zelda Failed",piZ2UpKrzoM,2023-07-02T11:00:26Z
Smudcast #680: The Not-So-Critical Drinker,wEPA-24OJBY,2023-07-01T11:55:07Z
Smudcast #679: Is Time Travel Isekai?,ZRbWDhd5oEk,2023-06-27T10:37:59Z
Smudcast #678: The Oliphant in the Room: Is Fantasy Racist and Sexist?,or2jt9KzI6c,2023-06-25T00:01:00Z
Smudcast #677: Defending Griffith: Why He Did Nothing Wrong,frlLwOVdrBw,2023-06-22T00:15:16Z
Smudcast #676: An Introduction to Ultraman!!!,HPt9Xdng5fw,2023-06-20T10:04:26Z
Smudtalk #41: Bioware talk,vsEeAIo0-xQ,2023-06-18T12:15:58Z
Smudcast #675: How Censorship Made Batman the Animated Series A Better Show,XvbTcMwV6C4,2023-06-17T10:28:01Z
Smudcast #674: Redo of Healer is An Issue,oeC2UPs133k,2023-06-12T11:05:57Z
Smudcast #673: Persona 4 - A Bad Good Game (part 2),bh483H6C4Sk,2023-06-10T23:12:14Z
Smudcast #672: Persona 4 - A Bad Good Game,kQ3-oTJOEAQ,2023-06-09T23:25:46Z
Smudcast #671: Race swapping Superheroes is good actually... (Video Essay),KUUMUIDDNME,2023-06-05T11:52:45Z
Smudcast #670: Exposing Tolkien And His SATANIC LOTR Part 1,zW0vvEpK8cY,2023-06-03T11:14:10Z
Smudcast #669: A Response To Doom Eternal Fanboys,Wn_NP67JmLo,2023-05-31T12:24:59Z
Smudcast #668: Why so many American and Japanese Anime Fans are in the Alt-Right,fPABDz_0ea4,2023-05-30T11:06:20Z
"Smudcast #667: Why The ""Proud Warrior Race"" Is Doomed To Extinction",uHm1JluQFW4,2023-05-28T11:42:50Z
Smudcast #666: The Pursuit of Realistic Graphics is Killing AAA Games | Extra Punctuation,_uPFg9BBgUI,2023-05-27T11:16:43Z
Smudcast #665: why isn't there more feminism in anime?,6aKOuIECIJg,2023-05-23T11:33:54Z
Smudcast #664: Who Ruined Luke Skywalker? | Star Wars Video Essay,61Y3IkyCGz8,2023-05-21T10:54:47Z
Smudcast #663: There Is Nothing Wrong With Nightshade,OcngHnaQN8E,2023-05-20T11:37:13Z
Smudcast #662: Storytelling In Video Games,s8AKc2SrjaU,2023-05-14T10:56:50Z
Smudcast #661: Erasing Black Icons,rj9P4JTUJSE,2023-05-13T10:12:15Z
Smudcast #660: These Romance Anime Tropes Need To GO,n70tghdpwhw,2023-05-09T11:26:42Z
Q&A with Fans: JRPGs: The Persona Series (part 1),Mk8trAv8mvM,2023-05-08T11:55:58Z
Smudcast #659: Resident Evil 4 (2005) Didn't Save The Series,uUFSkLX_TMY,2023-05-07T12:07:30Z
Smudcast #658: conservatives hate fun (and grogu),11fC7Ljw_jI,2023-05-06T11:23:20Z
"Smudcast #657: Joseph Campbell and the N@zis | Part 2, part 4",-L3Gn-cuUR4,2023-05-03T10:28:26Z
"Smudcast #656: Joseph Campbell and the N@zis | Part 2, part 3",6MWPLuIh_As,2023-05-02T10:56:15Z
"Smudcast #655: Joseph Campbell and the N@zis | Part 2, part 2",hdLxsaqrB2Y,2023-05-01T11:22:12Z
Smudcast #654: Joseph Campbell and the N@zis | Part 2,DxLvGrzAUWM,2023-04-30T11:15:47Z
"Smudcast #653: I Like These Designs Better, Censorship Has Nothing To Do With It",M047QvpVtKs,2023-04-29T11:21:36Z
Smudcast #652: KONOSUBA ISN'T FUNNY,MmtKXl1UujQ,2023-04-25T10:13:30Z
