Title,Video ID,Published At
I did a thing!,BdyY5Lcf2RA,2023-11-21T21:47:58Z
"The disturbing obsession with ""barely legal"" women",hiqeuaqry30,2023-11-20T01:48:02Z
Influencers are a plague,GeM35cmqffg,2023-10-30T23:51:19Z
Disney's death spiral...,27bzcEAF1Qw,2023-10-07T16:49:17Z
Female game developers make everything ugly,F7-18qCOfJo,2023-09-30T01:24:21Z
Making hot girls look dumb for views,WC-2-fKRFzk,2023-09-01T02:28:31Z
The age of insufferable Disney princesses...,OW5uSVyc6Qc,2023-08-21T23:42:59Z
How birth control destroyed a generation of women,nvCOCXU_EuA,2023-08-02T23:14:48Z
When woke Hollywood rewrites history...,3cZxOIEw-sQ,2023-07-20T20:08:57Z
When gamers are punished for protecting kids...,EQSeTrSkUUw,2023-06-11T01:04:30Z
Woke Hollywood needs to be stopped,wOmr2zjmQvc,2023-06-02T02:14:08Z
The age of OnlyFans regret,ezbD8vL308Q,2023-05-25T19:34:01Z
I was on Dr Phil. It was a mess.,auiEKhs_pr8,2023-05-01T00:04:56Z
When your husband says he's a woman...,7RHp_N_iVmE,2023-04-19T01:05:02Z
Jazz Jennings: Watching the trans dream die on national TV,AEfYpDU7O4k,2023-03-25T00:50:16Z
This was NOT supposed to become reality,igdRx4tKIkI,2023-03-03T20:17:24Z
The demonization of straight white men,cV6SJqC-lrs,2023-03-02T18:57:10Z
Why the Hogwarts Legacy boycott FAILED so spectacularly,rpR6-5Rw2vs,2023-02-23T01:12:38Z
Moving forward,01kI17IWEws,2023-02-09T23:14:54Z
How TikTok is deliberately poisoning a generation,PKkLVTUjCwA,2023-02-01T01:44:37Z
I was on Vice's insane feminism panel,JHgpHfrULHc,2023-01-02T20:40:48Z
