Title,Video ID,Published At
The Dark Side of Christmas? | MindShift Response,L1DHHCTb51g,2023-12-29T11:24:45Z
Was Luke 1-2 Added Later By a Different Author?,isUAktiEQ50,2023-12-22T15:33:07Z
The Weird Reason Ehrman Thinks 2 Thessalonians is Forged,wZWWtf3Khqo,2023-12-20T15:39:38Z
Did Matthew Lie About the Massacre of the Innocents?,fgJBu3SgROg,2023-12-17T19:39:54Z
Was Luke a Clumsy Liar When Came To Jesus’ Birth?,3kmEQIbpP58,2023-12-13T16:45:00Z
Did Matthew Invent the Virgin Birth Based On a Mistranslation?,YXlZPjFmY9E,2023-12-10T20:36:56Z
Busting the Forgery Myth: Paul Wrote Ephesians and Colossians,oE4xSx6Ql6Q,2023-12-07T16:00:29Z
Debunking Doubts:  Evidence for 2 Peter's Authorship,LD0QQH3JQIk,2023-12-01T18:30:06Z
Jesus Finds Out About Dionysus Parallels (Satire),IUzVFGe6GhA,2023-11-29T15:00:24Z
Is the Inspiration Doctrine a Harmful Distortion?,5FkLBQIQ4Ks,2023-11-26T19:30:00Z
We KNOW Who Wrote the Gospels (w/Faith Because of Reason + Dr Stephen Boyce),06CrQuS-isE,2023-11-23T02:36:48Z
FORGERY ALERT: Paul DID NOT Write Philippians (Satire),CtPdMd8zPU0,2023-11-18T16:18:06Z
Biased Bart Ehrman Hits Irony Overload (ft. Tim McGrew),vfH0fO8Vzmg,2023-11-15T17:01:17Z
Resurrected Jesus Discovers Romulus Parallels,aMzfEo1DG5U,2023-11-11T15:33:14Z
Jesus Wants to Help But Refuses to Copy Asclepius,dXjTH_NNLhg,2023-11-09T21:29:23Z
Kat Von D's Advice To Seekers #history #evidence #christianity,n6-GoEOLlnU,2023-11-08T04:13:41Z
What Viced Rhino Gets Right and Wrong About Gospel Reliability,qcQKwxUfues,2023-11-07T20:28:07Z
Is the Story of Barabbas Made Up? | Viced Rhino Reply,OHQDy3HSQd8,2023-11-05T19:30:02Z
A World of Contradictions | The Napoleon Myth #skeptic #history #napoleon,EXscHeaCaD8,2023-11-04T13:11:24Z
"Napoleon didn't exist, there's nothing we can do #memes #napoleon #skeptic",IDUy9btxKfg,2023-11-03T20:48:52Z
Did the Gospel Writers Make a Big Lake Mistake? | Viced Rhino Reply,FXfP5ZN0P6M,2023-11-02T13:27:09Z
"'Ghost of the Forest' Deer Found in TN? Yeah, Right. #skeptic",LgPm6pIF-Cc,2023-11-01T14:19:13Z
Debunking the Illusion: The 2023 World Series Myth,pV_z_68Ykt4,2023-10-28T15:25:39Z
The Napoleon Myth | Full Documentary,wAHptVdCv4M,2023-10-27T19:00:07Z
The Napoleon Myth | Documentary Trailer,MjhvDm-ue9c,2023-10-27T01:35:57Z
"In Defense of the ""Why Philip?"" Undesigned Coincidence",YiDh4rEupPo,2023-10-24T13:43:26Z
Pagan Parallels Don't Disprove Christianity,HRdiap_52j0,2023-10-18T15:10:18Z
Attention Skeptics: Stop Citing This Guy on Miracles,hO-CegAohU0,2023-10-15T19:00:23Z
The Apostles and Suffering: Answering Paulogia's Skepticism,5RSpr6-xFn4,2023-10-12T07:17:58Z
AWFUL Arguments Against Undesigned Coincidences,CcTHiK4Sk_A,2023-10-10T17:48:34Z
The Gospels: Mere Myths or Myth Made Fact? CS Lewis’ Unexpected Journey,xxt0GWX5p4g,2023-10-05T08:18:33Z
