Title,Video ID,Published At
Rebel Moon Review... What The Heck Did I Just Watch!,1TNsIt0kEjI,2023-12-22T17:00:01Z
LA Comic Con 2023 Day 2 Film Threat Panel ft Nerdrotic and ComicbookGirl19,B5EGLw2A1Ac,2023-12-21T18:00:06Z
I MET MARGOT ROBBIE! LA Comic Con 2023 Day 1 Film Threat Panel ft Nerdrotic!,KcHbXXKyoa4,2023-12-06T01:00:13Z
Marvel Has THE BEST Fans! Look At What They Said!,e0nT50TkSe8,2023-11-22T20:00:17Z
REVIEW! The Marvels Is Full GIRL POWER Period-Syncing Amazballz! Take That Boys!,pS_n5kRVeCg,2023-11-15T18:00:32Z
The Marvels is AMAZING but It's MEN'S FAULT The Reviews Are Bad!!!,pKXhn7Ji0W0,2023-11-09T22:30:06Z
Brie DESTROYED The Marvels! Here’s Kevin’s Plan To SAVE It!,QkMN88AqCj4,2023-10-27T16:00:19Z
Disney's MAD! New Snow White Film SPOILS Their PLAN!,m03bgGHO0JM,2023-10-18T16:00:37Z
GOTCHA! They Blame Fans For Star Wars FAILURES!,nt_5uJQBsJw,2023-10-16T17:00:34Z
EPIC REVIEW! Ahsoka Episode 8 FULL BREAKDOWN! It's so...,uoSxfe-6qkQ,2023-10-09T19:00:10Z
REVIEW!! The Boys New Spin-Off Show GEN V Is Actually REALLY GOOD!,Oz_2XMFejsA,2023-10-09T13:00:31Z
REVIEW! Ahsoka E7: A MONUMENTAL Waste of Time!,OiWovf671vQ,2023-09-28T17:00:14Z
Uk Parliament DEMANDS Russell Brand Be Banned From ALL Platforms!,lcv5U-5eOQ0,2023-09-22T13:00:48Z
Russell Brand Is UNDER ATTACK! Here's The TRUTH About What REALLY Happened!,u1_Ixr1Ofl8,2023-09-21T17:15:04Z
THRAWN's Debut! Ahsoka Episode 6 REVIEW: Best Episode Yet,nYSK-9eYmEk,2023-09-20T20:00:13Z
SPOILERS!!! Obi-Wan Kenobi CAMEO In Ahsoka Series!!!,PKnLvwdg_0M,2023-09-15T20:48:42Z
Ahsoka Episode 5: The Definition of SOULLESS Nostalgia Bait! REVIEW!!!,BQaiSbPVMtQ,2023-09-14T16:00:14Z
Anakin Skywalker Is BACK! Ahsoka Episode 4 Drops Massive Twist!,Ei03avZLS8I,2023-09-07T16:00:14Z
Starfield CONTROVERSY! Youtubers ATTACKING Over Pronouns!,pxJXeAoVOyM,2023-09-04T16:00:37Z
AHSOKA REVIEW! The First Episode of Disney+ New Ahsoka Series is OUT! Here's My FULL BREAKDOWN!,THJtmyrGiuI,2023-08-23T16:00:30Z
Disneys New ‘Snow White’ Rachel Zegler Is INSUFFEREABLE! Determined To Burn It All Down!,s1wHE4XufE8,2023-08-17T19:00:32Z
Barbie: A Movie Made By MORONS!,e4jFQMF_xDA,2023-08-11T19:00:23Z
Anita Sarkeesian IS DONE! The END Of Feminist Frequency!,FPQamCrvXYg,2023-08-04T20:00:10Z
AHSOKA Trailer REACTION/BREAKDOWN!,WdzrfT8VCZA,2023-08-04T18:00:20Z
Lizzo SUED By Staff! Her SHOCKING RESPONSE To Allegations!,jDn0ChO_GJc,2023-08-03T16:00:34Z
Witcher Writer SLAMS FANS! Blames Show's FAILURE On Henry Cavill's Bts Drama?!,f-OJpP12z4k,2023-08-02T17:00:33Z
The Marvels Is OUT! Dune Part 2 DOMINATES All IMAX Theaters! Ms Cheese is FUMING,CJqFHkeQTyU,2023-08-01T17:00:06Z
Director Greta Gerwig Confesses She Knows NOTHING About Barbie!,kOixYZ6h01o,2023-07-27T20:00:25Z
Woman's HONEST Review of Barbie: It Wasn't Made For Me,ZyIsy89x9C4,2023-07-26T20:00:10Z
My FINAL Day at San Diego Comic Con!,ZjvTZvW8MGQ,2023-07-25T17:00:25Z
"COMIC CON San Diego Day 3! Todd McFarlane, Diamond Select Toys, Alex Ross And MORE!!!",u5Iv8f_tjiQ,2023-07-24T22:00:35Z
"San Diego Comic Con Day 2! Comics, Toys, Flash Gordon and MORE!!!",2jAdhl9IHUY,2023-07-22T20:00:00Z
"COMIC CON San Diego Day 1! Ft Chris Gore, Eric July, Nerdrotic, And More!!!",nSiypvX7aJ4,2023-07-21T19:00:33Z
I'm Back! An The Weirdos Are At It Aaaagin!,QdFYISH3Xcw,2023-07-18T17:00:13Z
I Got ENGAGED! Here's My EPIC NYC Adventure!,97txm7FXZvs,2023-06-28T19:00:10Z
