Title,Video ID,Published At
Aquaman And The Lost Kingdom - Comprehensively Forgettable,SsSFYBGpQNg,2023-12-29T15:59:12Z
Rebel Moon - A Galactic Disappointment,yDHgA5e2du8,2023-12-24T18:30:45Z
The Drinker Recommends... Blue Eye Samurai,YA2TYAQMhLg,2023-12-20T20:16:32Z
"20 Years On, Lord Of The Rings Will Never Be Equalled",DQF4-wEbD6I,2023-12-18T20:44:22Z
Snow White - Redemption Or Deflection?,JRWDPbZmaXY,2023-12-13T19:35:12Z
The Fall Of The House Of Usher - Devilishly Good,PYccShcJT9Y,2023-12-11T18:43:17Z
The Drinker Recommends... Godzilla Minus One,VaOuuByiPDA,2023-12-07T17:00:23Z
So I Watched Lady Ballers...,ztdxTrKC5sg,2023-12-04T21:26:34Z
Napoleon - Not What I'd Hoped For,uvIoMvPUhxQ,2023-11-30T18:00:34Z
Why Doctor Who Will Keep Failing,LRT2gT9ECt4,2023-11-28T16:33:10Z
The Killer - Not The Movie You Were Expecting,m8Xw3Dxrk7E,2023-11-20T18:30:29Z
The Marvels Was Doomed From The Start,NnFqai4EGhE,2023-11-16T16:30:02Z
Production Hell - Batgirl (What REALLY Happened),AZPKLsDLbN0,2023-11-14T18:00:04Z
The Marvels - The Absolute State Of The MCU,jtl157_wA7Q,2023-11-10T18:00:34Z
Five Nights At Freddy's - The Best Or Worst Of Both Worlds?,4NajWX3D4mg,2023-11-07T16:20:35Z
Marvel - Final Desperation,3X1qIZf0w9w,2023-11-02T15:20:21Z
Joining The Panderverse - We're Winning,nygfvI5cZ9w,2023-10-30T17:40:19Z
"Killers Of The Flower Moon - Beautiful, Poignant, LONG",Anu1rGreW3k,2023-10-24T17:30:02Z
A Tale Of Two Snow Whites,YAxkfMB9ggo,2023-10-20T16:45:01Z
The Marvels - The Biggest Flop In MCU History?,_Cfq8TbHzt0,2023-10-18T20:47:25Z
Production Hell - Predator,B7TokSl00SM,2023-10-13T17:00:06Z
Robyn Hood - The Greatest Show On TV,TDoS8dT5hlw,2023-10-09T17:03:02Z
"Ahsoka - Bad Writing, Pandering And Wasted Potential",cFgErWIJ7HY,2023-10-07T18:18:59Z
Saw X - Bloody Good Fun (Sort Of),q-Y3Fi29lV4,2023-10-05T16:03:48Z
The Creator - Flawed Brilliance,Bekcs7FFEh8,2023-10-02T17:26:16Z
Expend4bles Is An Embarrassing Wet Fart,uPJvr58ibMA,2023-09-27T17:32:02Z
"Disney Finally Admit They Went Too Far, But Is It Too Late?",7TOTjCbPVRg,2023-09-24T17:15:00Z
Why Modern Movies Suck - Nobody Can Stay Dead!,QZZRP81gaiM,2023-09-18T21:35:11Z
ONE PIECE Succeeds Where Cowboy Bebop Failed,dhc7qHZ7Eg4,2023-09-12T17:23:46Z
2023 - The Death Of The Superhero,rF3oDOpfK9o,2023-09-05T17:31:16Z
What A Lightsaber Would REALLY Do To You,iGwSa5tXVSk,2023-09-01T17:15:01Z
Production Hell - Waterworld,A2zy-RtrSYg,2023-08-30T18:12:06Z
"No, Ahsoka Won't Save Star Wars",briM3doNrXA,2023-08-25T18:51:16Z
Blue Beetle - Set Up To Fail,ZLWJ68p-nsk,2023-08-21T17:28:17Z
Snow White - How To Destroy Your Own Movie,N7diarukx4M,2023-08-16T17:15:01Z
Gran Turismo - Better Than It Has Any Right To Be,-b9Cc-Jnz8U,2023-08-11T17:15:00Z
Why Modern Movies Suck - They're Too Expensive,9FQgp_sLGjg,2023-08-07T17:06:31Z
How The Witcher Destroyed Itself,ZAyhyVSIfmo,2023-07-31T16:33:34Z
Oppenheimer - Explosive Historical Drama,9O2GXfiiNw4,2023-07-25T17:27:35Z
Barbie - The Greatest Lie Ever Told,7J7aJtGphVs,2023-07-22T15:53:04Z
Snow White Looks Hilariously Bad,WURPLvuJ-5I,2023-07-17T17:15:01Z
Mission: Impossible - Dead Reckoning Is Excellent!,-J3HGa8Nars,2023-07-13T17:00:00Z
The Drinker Recommends... Sound of Freedom,R2ov9_pGkyY,2023-07-09T17:30:05Z
Indiana Jones And The Destruction Of Legacy,G_k8cDLe-Kk,2023-06-30T17:30:02Z
Indiana Jones - Destined To Flop,8KG-SfghRJE,2023-06-26T17:28:06Z
Extraction 2 - Action Movies Are Back!,oMY55weHTyY,2023-06-21T17:30:07Z
The Flash - A Hot Mess,djvkQBPHWGo,2023-06-18T17:15:02Z
Guy Ritchie's The Covenant - More Than Just A War Movie,3jGZt3Zj1Ug,2023-06-14T17:15:00Z
Why Modern Movies Suck - The Strong Female Character,xPE7-PRL0M8,2023-06-10T17:59:54Z
The Drinker Recommends... The Menu,WFkFWU_bXco,2023-06-05T17:15:01Z
Across The Spider-Verse: Imperfect But Brilliant,-mRFti-MFXY,2023-06-03T19:20:56Z
The Little Mermaid - Absolute Bilge,nhShXCslwow,2023-05-29T17:15:03Z
Indiana Jones 5 Destroyed - The Final Nail In Lucasfilm's Coffin,asDEyW7WzOU,2023-05-23T18:04:17Z
Fast X - Unapologetically Dumb Fun,hpb9skqlUts,2023-05-22T17:15:02Z
Queen Cleopatra - The Most Hated Show Of All Time?,nie_LASiZJ0,2023-05-15T17:15:01Z
Sisu Laughs At Hollywood Action Films,HfTyQs5ULtY,2023-05-12T17:15:01Z
Guardians of the Galaxy Volume 3 - The Best Of The Worst,qlrbaf2NVaA,2023-05-08T17:47:58Z
The Drinker Recommends... Boiling Point,AYkZSCdOCuI,2023-05-05T17:17:15Z
Peter Pan And Wendy - It's Awful,KuREaFVr-Vc,2023-05-02T17:00:13Z
The Mandalorian - A Masterclass In Wasting Time,a4QTD_WzVhw,2023-04-24T16:43:21Z
The Super Mario Bros. Movie - A Game Changer,pw-THtE42aM,2023-04-17T17:00:33Z
The Marvels Trailer Looks Amazing!,DVwZvkWHHcw,2023-04-12T17:00:05Z
Star Wars - Somehow... Rey Palpatine Returned,fGdiXChH02o,2023-04-09T17:30:20Z
Drinker's VIP Lounge - Russell Crowe,_qKU7ckNqio,2023-04-05T20:00:08Z
Dungeons & Dragons Subverted My Expectations,xFmLlpsD6EM,2023-04-03T17:50:38Z
John Wick Chapter 4 - A (Mostly) Excellent Finale,xiz3THVwMkk,2023-03-29T13:30:31Z
Shazam: Fury of the Gods - The Sequel No One Wanted,yrFLDkVUHug,2023-03-23T15:30:16Z
Star Wars Is A Dead Franchise,MidRtk8clp8,2023-03-20T15:39:15Z
The Drinker Recommends... The Whale,MQ08mzxQSDQ,2023-03-16T13:48:32Z
The Last of Us - Season 1 Full Review,0Pe4bKsPSs0,2023-03-13T17:48:17Z
Creed III - Can It Go The Distance Without Rocky?,lb1HVdtMw6U,2023-03-09T17:00:27Z
Puss In Boots: The Last Wish Destroys Modern Hollywood,aAZy4Un5ipo,2023-03-06T14:56:35Z
Peter Pan & Wendy Looks Amazing!,06m2Wb2nxWI,2023-03-02T14:04:18Z
Nope - Yup (Sort Of),uc5H7a2OFcQ,2023-03-01T17:37:43Z
Ant Man 3 Will Make You Hate Movies,va_Oz_MCGR8,2023-02-21T16:51:19Z
Oh No - The Marvels Delayed AGAIN!,SFoJyEGY6cM,2023-02-19T16:33:36Z
"Picard Season 3 - Franchise Saviour, Or Too Little Too Late?",pyDo4eZGVG8,2023-02-18T17:19:53Z
The Flash - No Way Home For The DCU?,JG0QV40FMdQ,2023-02-13T16:25:04Z
Disney - An Empire In Collapse,AY2cUBW-72o,2023-02-06T16:58:26Z
The Last of Us - There May Be Trouble Ahead,-6z-ow9bAus,2023-01-31T17:50:55Z
Production Hell - The Entire DCEU,ehmWOj3vy2k,2023-01-26T18:15:48Z
M3GAN - Fun And Freaky Horror Satire,tnPMz0tGdao,2023-01-20T19:00:23Z
Velma Is Complete And Utter Trash,ds8w2Vv_RSY,2023-01-16T14:00:30Z
Why Modern Movies Suck - They Hate Men (Part 1),tUWe11I_7Oo,2023-01-13T23:00:02Z
Glass Onion - A Masterpiece Of Stupidity,6toXVLt4laA,2023-01-05T15:47:41Z
