Title,Video ID,Published At
How Godzilla Minus One Nuked Hollywood,jVABtC51bLA,2023-12-20T18:00:23Z
Death Of The Hollywood Blockbuster,HjBOyWIc7eM,2023-12-01T21:25:56Z
When Stars Destroy Their Own Careers,YUmXFYk2Zos,2023-11-25T17:00:24Z
The Marvels - Absolutely Pathetic,T0J4CbzMjr4,2023-11-13T18:00:02Z
Media’s Obsession With Body Positivity,EUA0YFJHS4I,2023-10-30T19:00:06Z
Nobody Cares About Your C-List Heroes,3T8JowvviUs,2023-10-02T20:00:01Z
The DCU Is Already A Disaster,IdyLOYRMJ18,2023-09-18T21:00:07Z
The MCU Is A Joke,fE2NXo7zZg4,2023-09-14T19:00:16Z
Blue Beetle - Absolutely Not,2v0I-xh7zco,2023-08-25T21:00:03Z
Secret Invasion - What A Piece Of S***,JiNdi4YzPso,2023-08-10T19:00:13Z
Barbie Is The Greatest Film Ever Made,-qR5WheRT0I,2023-07-24T19:00:00Z
Disney - Death Of An Empire,vOiuv-P16LY,2023-07-14T19:00:02Z
Mission: Impossible 7 - Fun as F***,rt-47Tnz_AM,2023-07-13T16:00:09Z
Indiana Jones 5 Is A Crime Against Cinema,Vs4TbJNRBz8,2023-07-02T17:00:05Z
The Flash - Actual Brain Rot With A Bit Of Heart,oKBuuLuHH0Y,2023-06-18T17:36:01Z
Rings Of Power Absolutely Sucked | Season One,c2_uXTgK2dI,2023-06-14T20:23:04Z
Transformers: Rise Of The Beasts - Nope,HcJ8cRVcvX0,2023-06-12T21:30:31Z
Little Mermaid - The Most Important Film Ever Made,IXjmwOZ7_D0,2023-05-27T15:00:16Z
Cleopatra And The Shield Of Racism,zf71a95QHd8,2023-05-17T15:00:10Z
Guardians Of The Galaxy 3 - Flawed But Great,OuDi6e8dfe0,2023-05-14T15:05:45Z
Peter Pan & Wendy Is A Disgrace,4AEh8SczGBc,2023-05-05T19:41:54Z
MCU Phase Four Sucked | The Ultimate Review Part 2,7Qqy6B2oR4o,2023-04-28T22:54:40Z
MCU Phase Four Sucked | The Ultimate Review Part 1,7mvfmZ4qSf8,2023-04-24T00:05:53Z
The Marvels Will Smash The Patriarchy,tszQ_5viZCo,2023-04-12T20:15:03Z
Obi-Wan Kenobi Sucked,KLO1rdFhxdk,2023-04-08T17:22:58Z
John Wick 4 Is Why We Love Movies,JlOXO_mvNRk,2023-03-30T00:40:32Z
Peter Pan & Wendy Ended Racism,qscleeeAYM4,2023-03-04T01:06:34Z
Ant-Man 3 Is Hot Garbage,mwlGga2RrbA,2023-02-23T17:00:09Z
Velma Is A Dumpster Fire,iIPWSIdzjfk,2023-01-21T21:00:50Z
The MCU Is Collapsing,hnhg8MGOdNk,2023-01-06T20:00:10Z
