Title,Video ID,Published At
Dave Portnoy Stuns Host with His Anger #Shorts,rjV93rsGO6A,2023-12-31T20:45:01Z
Dave Rubin Reacts to Cringe Woke TikToks Pt. 2,6MtKbKr-rt0,2023-12-31T16:45:00Z
Dave’s Brain Melts While Reading Sex Scandal Staffer's Bizarre Statement #Shorts,jCRgRLhJa7Q,2023-12-30T20:45:00Z
Dave Rubin Reacts to Cringe Woke TikToks,qtI5fqiJlqs,2023-12-30T16:45:02Z
Dave Rubin Corners Bill Maher with an Uncomfortable Fact He Can’t Deny #Shorts,Ttq_amKHcPA,2023-12-29T21:15:00Z
Dave Rubin Reacts to Hilarious C-SPAN Prank Callers,nTVGBMZYqvQ,2023-12-29T17:45:02Z
"Protesters Shut Down Major Highway, Commuters Did This",GEnKrBUtCdg,2023-12-28T21:15:00Z
Dave Rubin Reacts to the Most Painful to Watch Political Moments,V8z-IL84WoU,2023-12-28T17:45:02Z
Woke Actress Gets Visibly Upset After Bill Maher Tells Her a Joke #Shorts,RglfEoZFGJQ,2023-12-27T21:15:00Z
Dave Rubin Reacts to Biden's Most Humiliating Moments,9firts3Jn1g,2023-12-27T17:45:24Z
Disney Appears to Have Forced ‘Snow White’ Actress to Change Her Attitude #Shorts,_I-199XOzsQ,2023-12-26T20:45:01Z
"Dave Rubin Reacts to 'Leave the World Behind', 'Woke' & 'Killers of the Flower Moon'",fSQ0ZLvEyGk,2023-12-26T18:45:00Z
Dave Rubin Reacts to the Greatest Christmas Movies & Explains Why 'Elf' Is Overrated,f6nw5h3OJdY,2023-12-24T15:45:01Z
Bill Maher Tells Roseanne Barr Her Tweet Was Racist & Her Reaction Is Perfect #Shorts,auTRUsp456k,2023-12-22T20:15:01Z
Dave Rubin Reacts to Funniest News Bloopers Compilation,8mKsceZ4Qdc,2023-12-22T16:15:35Z
This Woke City Just Had the Most Insane City Meeting You'll Ever See #Shorts,YgB75pTt-kE,2023-12-22T00:15:02Z
Dave Rubin Reacts to 'South Park's' Most Offensive Moments,Vj2YrrKB10I,2023-12-21T22:15:02Z
NYPD Has Fallen #Shorts,YVcsTbADECA,2023-12-21T00:15:01Z
Listen to How Rachel Maddow Justifies Trump Ballot Removal as Democratic,YPGQ3_pzdbQ,2023-12-20T23:15:01Z
Robert F. Kennedy's Reaction to Trump Ballot Removal Might Surprise You,EghUj7V569s,2023-12-20T21:15:02Z
Vivek Ramaswamy Has Gutsy Plan to Respond to Trump Ballot Removal,dfrxRTS-kiI,2023-12-20T20:15:00Z
Watch Host's Face as Legal Scholar Gives a Chilling Warning About Colorado Ruling,_OdwzQaTQm0,2023-12-20T19:15:01Z
Trump's Vicious Response to Bombshell Legal Ruling,Qans68LNCYk,2023-12-20T16:56:22Z
Elon Musk’s Sharp Reaction to Disgraceful Ivy League Testimony #Shorts,AOot767FaHc,2023-12-20T01:15:00Z
Crowd Goes Silent as Politician Gives Brave Speech Denouncing WEF Agenda,261IePuyabQ,2023-12-20T00:15:00Z
MUST SEE: MSNBC Compares 'Mein Kampf' to Trump's Speech,Uq1XPm8ajgw,2023-12-19T23:15:00Z
Host Goes Speechless as Dem Mayor Gives the Worst Answer Ever to This Easy Question,YQI8CVI3tsY,2023-12-19T21:15:02Z
Watch Cops Do Nothing as Pro-Palestine Protesters Take Over Transit Hubs,lkH2aOjKIHY,2023-12-19T20:15:01Z
Watch Illegal Immigrants Get Priority Seating on This Airline,tChjHX3TZwA,2023-12-19T19:15:01Z
John Oliver Has a Plan for How to 'Control' Elon Musk & It's Insane,igMAoHnH5hs,2023-12-19T16:57:14Z
Justin Trudeau Condemned Israel & Israel's Response Is Perfect #Shorts,z2htkJlsBVY,2023-12-19T02:15:04Z
Head of WHO Attacks Elon Musk for Daring to Say This Fact,3LvHXenIIZE,2023-12-19T01:15:00Z
Dave’s Brain Melts While Reading Sex Scandal Staffer's Bizarre Statement,FoHHmzmTM54,2023-12-19T00:15:00Z
Watch Dem Mayor Brag About Having 'No Whites Allowed' Party,5tVNks3xXW4,2023-12-18T23:15:00Z
Dave Rubin Has a Theory Why Will Ferrell Humiliated Himself for Feminist Points,ANQdnZBYU04,2023-12-18T21:15:00Z
Watch Smithsonian Secretary’s Face When GOP Rep Shows Proof to the Crowd,qJUxvzCmANo,2023-12-18T20:02:38Z
Elon Musk's War with Disney Just Escalated After He Said This,O4jxB7e7mDA,2023-12-18T16:50:42Z
Gloves Come Off: A New Strategy for Fighting the Woke | Ted Cruz,cMLyDsRPgjU,2023-12-17T14:45:10Z
Bill Maher Completely Disagrees with Jordan Peterson's Take on Israel #Shorts,1LNsunEFHrA,2023-12-15T23:15:00Z
Watch Bizarre Footage from Inside Radical Occupied Ivy League Building,uYhSS9Jkg_U,2023-12-15T22:15:01Z
White House Hires Radical Activist Dance Troupe for Bizarre White House Christmas Video,6zT4mjN2tIY,2023-12-15T19:15:00Z
Hunter Biden Sounds Scared as NYTimes Forced to Omit Key Detail to Protect Him,_qBaTh91ZY4,2023-12-15T18:15:40Z
Joe Rogan Blows His Guests' Minds with Proof That Academic Takeover Wasn't an Accident,bm8dRCVDraw,2023-12-15T16:44:31Z
Piers Morgan Visibly Shocked When Douglas Murray Explains the Real Problem #Shorts,JCuNNYCx4Aw,2023-12-15T01:45:01Z
Dave Rubin Reacts to Shocking 'Civil War' Trailer from '28 Days Later' & 'Ex Machina' Writer,VgfjRsnEz3E,2023-12-15T00:45:01Z
Watch LeBron James' Face When Reporter Catches Him Lying,LNfiMSCXONk,2023-12-14T23:45:00Z
UFC's Colby Covington Makes Press Go Silent w/ His Relentless Attack on LeBron James,XJlwRRlu6oM,2023-12-14T22:45:00Z
Gavin Newsom's Seth Myers Appearance Is a Masterclass In Lying,IDK23Lp1BBA,2023-12-14T21:45:00Z
"Protesters Shut Down Major Highway, Commuters Did This",PmQUy4jud5Y,2023-12-14T20:17:26Z
What Life in Israel Is Really like After Oct. 7 | Caroline Glick,U6LJNF-Aj_A,2023-12-14T19:15:09Z
LeBron James Shocks the Crowd with His Latest Disgraceful Behavior,iualtUvtg_Q,2023-12-14T16:55:05Z
Watch Douglas Murray Make the Crowd Go Silent w/ His Warning #shorts,ZKYP1fFGN2Q,2023-12-14T00:15:01Z
GOP's Brilliant Move May Have Just Put Biden In a Corner,y1PVMMweZAs,2023-12-13T22:15:02Z
Dave Portnoy Stuns Host with His Anger,wXikDfOXNnQ,2023-12-13T21:15:01Z
These Horrifying Stats Will Instantly Change Your Mind on Funding Ukraine,1BBGMcE42OU,2023-12-13T20:15:00Z
Iowa State Capital's Satanic Altar's Surprising Explanation Revealed,MNznmMXg9Wc,2023-12-13T19:15:00Z
Tucker Carlson's Jaw Drops as UFC's Dana White Defends Bud Light,mqQoDr64wNw,2023-12-13T16:48:42Z
Jordan Peterson Blows Joe Rogan’s Mind with How Tyranny Is Normalized,_4ZYvMKH-_4,2023-12-13T01:15:02Z
Joan Rivers Gives Timeless Advice on Israel & Palestine Conflict #Shorts,V8Il3PY2WXg,2023-12-13T01:15:00Z
Should a Head of Women’s Organization Be Fired for Saying This?,OidaI72wVbo,2023-12-13T00:15:01Z
Proof Ivy League Students Aren't That Bright,dB285kMN-T0,2023-12-12T23:15:02Z
Harvard President Embroiled in New Scandal That Could Destroy Her Career Forever,F2sJuuAuaPE,2023-12-12T22:15:00Z
Woke Coffee Shop Employees Fired for On-Tape Harassment of Jewish Customer,PRLQaSJv-vg,2023-12-12T20:15:00Z
How Getting Canceled Boosted My Comedy Career | John Crist,2Jq0xtGBZ5Y,2023-12-12T19:15:08Z
Bill Burr's Response to Jimmy Kimmel's Trump-Hating Is Perfect,bo44Q2seq_k,2023-12-12T16:48:58Z
Count How Many Times Piers Morgan Tried to Get This Leftist to Answer This Question,fIHi09T2MXo,2023-12-12T01:45:02Z
This Video Is Scaring the Opponents of Javier Milei,ti-vsgJJFps,2023-12-12T00:45:02Z
Disney Appears to Have Forced ‘Snow White’ Actress to Change Her Attitude,Eci5Ynb5_Qo,2023-12-11T23:45:00Z
60 Minutes Host Goes Silent as His Question for Novak Djokovic Backfires,2ikXtsC322M,2023-12-11T22:45:00Z
Alex Jones Tells Tucker Who the Real Culprit Is for Allowing Anti-White Racism,GN7wRME3Y-I,2023-12-11T21:45:00Z
‘The View’s’ Sunny Hostin Disgusts Her Co-Hosts by Defending Antisemitism,rfUPFNgg0II,2023-12-11T19:50:49Z
Woke Actress Gets Visibly Upset After Bill Maher Tells Her a Joke,aU8tS0AUCws,2023-12-11T16:53:37Z
I Can’t Overstate How Dire This Is | Bret Weinstein,yKWM76weXBc,2023-12-10T14:45:10Z
Migrant’s First Comment After Crossing Border Tells You All You Need to Know,eHWFwE6L3oA,2023-12-08T21:15:00Z
Watch People Get Uncomfortable as Based Politician Calmly Reads Simple Facts,Lv3Bs3mAKFY,2023-12-08T19:15:00Z
Is This Why Elon Musk Blocked Me After Our Meeting? | Bret Weinstein,APEs4uC0x1k,2023-12-08T18:15:00Z
AOC Literally Complaining About Situation She Helped Create,aFIa3rdeXNc,2023-12-08T16:00:10Z
Dave Rubin Reacts to Grand Theft Auto 6 Trailer,O7yp6GxrCy0,2023-12-08T00:15:01Z
Musk Allows Iranian Leader's Tweet to Expose What Evil Looks Like #Shorts,WZptcDM_-xU,2023-12-08T00:15:01Z
"Nikki Haley Thinks She Corners DeSantis, Then This Happened",2cqe6i2ZqNI,2023-12-07T22:15:00Z
Even If You Hate Chris Christie You Have to Watch This,QZKRgErk6qo,2023-12-07T20:15:01Z
What I Didn't See About Progressivism Until It Was Too Late | Bret Weinstein,NRuoCd-LxaU,2023-12-07T19:15:01Z
This Debate Moment Might Just Have Killed Nikki Haley's Campaign,ENXdDhCzdtU,2023-12-07T16:55:05Z
Ilhan Omar's Response to Israel Attack Is Worse Than You Thought #Shorts,vo9QS2n6a-I,2023-12-07T02:15:05Z
'The View' Cuts to Commercial After Idiotic Gun Comments #Shorts,GX9MimQU4CM,2023-12-07T01:15:00Z
Listen to the Crowd Cheer When Race-Baiting Grifter Denounces All White People,DSdGMwYCOJM,2023-12-07T00:15:00Z
Chilling Video from BlackRock CEO Makes His Plans Clear,XBuKuFpkSEs,2023-12-06T23:15:02Z
Elon Musk’s Sharp Reaction to Disgraceful Ivy League Testimony,iDEJpgt7i9w,2023-12-06T22:15:02Z
Watch Ivy League Presidents Squirm When Rep. Asks This Easy Question,Bm0peQHRux0,2023-12-06T21:15:00Z
Netflix Cartoon Pushes Cartoon Trans Propaganda,QtwE8RZIs2s,2023-12-06T20:15:00Z
The New Atheists Made a Massive Mistake We’re Still Paying For | Bret Weinstein,3YpFTqB7qN4,2023-12-06T19:15:00Z
Host Goes Silent as Javier Milei Says What Every Politician Is Afraid to Admit,ex5L0lb7Vec,2023-12-06T16:58:00Z
Trust Us It's for the Best,9fR8BqtBE7s,2023-12-06T03:15:00Z
Watch Liberal Get Enraged as Rabbi Calmly Reads Simple Facts #Shorts,GdDo6kPRllg,2023-12-06T02:15:02Z
Dan Bongino Has Proof That Democrats Are Getting Scared About 2024,gj8keNc6lnM,2023-12-06T01:15:01Z
"Elon Musk, Tucker Carlson & Dana White Show How It’s Done",9fTZYukj-gw,2023-12-06T00:15:00Z
Bill Maher Tells Roseanne Barr Her Tweet Was Racist & Her Reaction Is Perfect,e8tikCRwRBs,2023-12-05T22:15:01Z
Jordan Peterson Asks Ron DeSantis About Politicians Being Narcissists,2xV4lSpkTE0,2023-12-05T21:15:00Z
Watch 'The View' Host's Face the Moment She Realized Her Plan Backfired,rA6YA2T9jv4,2023-12-05T19:15:01Z
'The View' & Brian Stelter Explain Why News Media Should Be More Biased,10gGQu8fzuQ,2023-12-05T16:54:59Z
Ilhan Omar Admits She’s Confused by People Not Agreeing with Her on Israel,jyTWuoQrwrk,2023-12-05T03:15:03Z
Watch Bill Maher's Face When Neil deGrasse Tyson Won't Define a 'Man' #Shorts,2M7vE9LGJQc,2023-12-05T02:15:00Z
Bill Maher's Audience Roars Its Approval for Dave Rubin's Democrat Plan,b5PitL0zHZQ,2023-12-05T01:15:01Z
Tucker Carlson Admits What Politician Truly Scares Him,_yI4fxVCtJY,2023-12-05T00:15:01Z
Dave Rubin Corners Bill Maher with an Uncomfortable Fact He Can’t Deny,d1-wlXLANPg,2023-12-04T22:15:03Z
Greg Gutfeld's Jaw Drops After Hearing Idiotic Plan to Take Out Elon Musk,WYHx2pe9QJY,2023-12-04T20:15:02Z
Jaws Drop as Gavin Newsom Defends an Insane Policy That Harms Kids,j7A_4ohoUc8,2023-12-04T19:15:02Z
Dave Debunks Popular Dem Conspiracy Theory on 'Real Time' & Bill Maher Agrees,h7gHhH3SZkc,2023-12-04T16:58:25Z
Exposing the Real Origin of Jewish Hatred | Andrew Klavan,vqBDUoTXXUg,2023-12-03T14:45:10Z
Newsom's Reaction to San Fran Poop Map Is Priceless #Shorts,y-i9fi-OIbw,2023-12-02T01:15:03Z
"Listing California's ""Freedoms""",nUXowuHfI-o,2023-12-02T00:15:01Z
Newsom's Reaction to San Fran Poop Map Is Priceless,AC08J__ofbo,2023-12-01T23:15:00Z
Watch Newsom’s Reaction After DeSantis Shows Inside of ‘Banned’ Book,KBeP0GvKSo4,2023-12-01T21:15:00Z
Listen Closely to Hear Bill Gates' Stunning Climate Reversal,Rc4RBSacito,2023-12-01T02:15:00Z
Watch Ilhan Omar Scream at Fox Reporter After She Asks This #Shorts,ArhUnGYKe9w,2023-12-01T01:15:00Z
Elon Musk Lists Who He Will Definitely Not Vote For,Gjl_w0uYQ7w,2023-12-01T00:15:00Z
