Title,Video ID,Published At
"MSheU To The Max, Maya Lopez to Become the Queen In Upcoming 'Echo' Series from Marvel",Q1meH-g0Wlo,2023-12-30T17:19:48Z
Tim Sheridan Denies He Has Alan Scott Trolling For Hookers In New Green Lantern Story,AeM3I5M3xYw,2023-12-30T16:56:17Z
"James Gunn Claims Tom King Is ""Integral"" to DC Universe, It's Better Off Not Existing",Wh0iKWoAM7I,2023-12-29T19:50:48Z
"Marvel Hoping Liv Tyler Can Save MCU With Co-Lead Role in She-Hulk, Appearance In Captain America",xoX3ZhnYZJg,2023-12-29T18:15:41Z
"Adam Driver Done With Star Wars, Previously Wanted People To Forget His Role As Kylo Ren",2btn4Feq55I,2023-12-29T16:23:44Z
The Marvels Director Explains Why The Film Bombed at the Box Office & Why Marvel Studios is Tanking!,xZRJA5zoiyM,2023-12-28T21:47:30Z
"Doctor Who to Continue to Embrace Identity Politics, Include ""Controversial Elements"" To Chase Gen Z",v0wJLVvTO6s,2023-12-28T17:38:05Z
The Acolyte: New Character Details Allegedly Revealed For Upcoming Star Wars Series,wdyijqJEHLs,2023-12-28T15:01:49Z
"Tom King & DC Comics Go Full Groomer, Anti-Christian, & Anti-Motherhood with Wonder Woman",nxJTYkCTHKs,2023-12-28T02:03:23Z
"The Lord of the Rings: The Rings of Power to cast Indian actor as ""Original Form"" of Sauron",U8VH2e1enTY,2023-12-27T20:18:03Z
"Zack Snyder's Rebel Moon Viewership Is Extremely Poor, Audiences Don't Like It",xffyTT4rLZg,2023-12-27T17:53:47Z
"Mobile Suit Gundam Goes Woke With Promotion Of Hedonism, Mental Illness Haircuts",mjaJlNnszuY,2023-12-26T20:44:43Z
"Ncuti Gatwa's Doctor Who Christmas Special Ratings Are Terrible, Viewers Abandoning Degeneracy",O27dXjXdXFI,2023-12-26T18:38:48Z
"Aquaman and the Lost Kingdom Drowns at Christmas Box Office, Performs Worse Than The Marvels",eFO9rSsM_Kg,2023-12-26T16:00:37Z
Jennifer Garner Netflix Film 'Family Switch' Gets Blasted For Its Disgusting Racism,KrSLBi-B5dg,2023-12-23T21:01:54Z
New X-Men Series Proves Disney Will Continue To Double Down on Wokeness,-XT7zeQPSjk,2023-12-23T19:51:41Z
Force Is Female: Hera to Humiliate Thrawn As Dave Filoni Teases Star Wars Showdown After Ahsoka,Q-gkI6WH1T8,2023-12-22T19:00:08Z
"Aquaman 2 Bombs At Box Office With Pathetic $4.5M Haul In Thursday Previews, Worse Than The Marvels",wkdfZxkQeI4,2023-12-22T16:14:39Z
"Reacher's Audience Ratings Explode For Season 2, Prime Video Has a Hit",NC3gbDVRT6M,2023-12-22T14:26:58Z
CoComelon Should Be Boycotted After Pushing Evil Onto Toddlers,ZmjRSKMzmsM,2023-12-21T19:26:25Z
Warner Bros. Discovery Abandons Aquaman and the Lost Kingdom as It's Set To Bomb At Box Office,8AZECrsbATY,2023-12-21T14:00:24Z
"Chuck Dixon: Direct Market for Big Two Comics Is Dead, Marvel & DC Are Managing a Decline",jurMfxrXpeQ,2023-12-20T21:00:18Z
Zack Snyder Appears To Make Excuses For Netflix's Rebel Moon Movie After Getting Savaged By Critics,trgvz0559Yg,2023-12-20T16:51:50Z
