Title,Video ID,Published At
DC Fans Should Be Very Worried About James Gunn DCU,fFfezScZajQ,2023-12-31T17:00:35Z
Where Marvel & DC Went Wrong & Comic Recommendations,R2GKAeRP92M,2023-12-30T22:30:02Z
Finally Free To Admit Comics Are Screwed | Comics Aficionados,zSFlRM1Yxn8,2023-12-30T17:31:53Z
Top 10 Worst Comic Books 2023 Revealed!,OeR1qPeaZFs,2023-12-29T20:30:07Z
Top 10 Best Comic Books 2023 Revealed!!,NeruujLfGyE,2023-12-28T17:00:11Z
DC Comics Have Lost Their F**king Minds!,fbfcyfbDLmk,2023-12-27T22:30:04Z
Aquaman 2 Box Office Final Nail In The DCEU Coffin,YRixGSPE7QY,2023-12-27T17:00:21Z
"What A WBD, Paramount Merger Means For DC Comics",_5Snm8dOIw4,2023-12-26T22:30:07Z
"Tini Howard, Comics Poster Child Of Sub-Mediocrity",7E8jLgLtos0,2023-12-26T17:00:04Z
Christmas Geek Fix Special With Aaron Sparrow,qsi-NMxZQiA,2023-12-25T17:00:39Z
Feige’s Rumored X-Men Plans Won’t Save The MCU,uBwHzqiNNaI,2023-12-24T17:00:39Z
Best Christmas Comic of 2023 & More Recommendations,QocILMpFnc8,2023-12-23T22:30:01Z
Most Important Comic Nerd Debates Settled! | Comics Aficionados,F-wWVCGwELc,2023-12-23T17:46:07Z
Who's Excited For More Girl-Verine?,Db0jKtBoIZ8,2023-12-22T17:00:18Z
Marvel Studios Fire Jonathan Majors After Conviction,-uYM2qUco-E,2023-12-21T17:00:00Z
Only Took 6 Years For Shill Media To Admit We Are Right,WFCheIfQTS8,2023-12-20T17:00:32Z
DC Comics | Take Your Stories and Characters Seriously!,TWmx-BTFYLU,2023-12-19T17:00:19Z
Marvel Comics X-Men Reboot Hard To Believe,Pt7fkrwUfxg,2023-12-18T17:00:32Z
DC & Marvel Are Making The Direct Market Collapse,O9j63KzFx8o,2023-12-17T17:00:24Z
Best DC Event In Years & More Comic Book Recommendations,0zCkp21GCjM,2023-12-16T22:30:00Z
Superman Writer Goes Nuts Over Mark Millar | Comics Aficionados,2I6Y7M-_M7k,2023-12-16T17:31:55Z
