Title,Video ID,Published At
It's time for 2024 baby! (My plans for this channel and a thank you!....),I1riRYJiQTw,2023-12-31T17:53:21Z
"Criticizing Disney , The Marvels , The MCU , and Star Wars / Is it okay now?",PKW5R7ol_JU,2023-11-08T14:00:17Z
CASTLEVANIA NOCTURNE - A REVIEW / ECLIPSE,fIOuWp4Ma6I,2023-10-13T16:08:12Z
STAR WARS IS DEAD AND ASHOKA IS OVER!!!,NI9XFu9FU6U,2023-10-10T13:00:19Z
STARFIELD - PRONOUNS ?,XPFC74Fea9E,2023-09-12T22:09:24Z
BAKI HANMA - SON OF ORGE,RS2Tqjm3OLM,2023-09-05T22:08:09Z
GOD OF WAR RAGNAROK - REVIEW,RuOQYFR3wfo,2023-08-22T10:11:26Z
THE MARVELS - WHY MARVEL HAS FALLEN - PREDICTION / REACTION / REVIEW,BXQ9OuUpPuE,2023-08-02T01:17:06Z
TOP 5 FANTASY ISEKAI ANIME,pGHGltCa5to,2023-07-26T00:08:02Z
Mission: Impossible - Dead Reckoning - Part One Is Awesome!,EsvHt1AgnPY,2023-07-19T09:56:14Z
VINLAND SAGA SEASON 2 - BETTER THAN SEASON 1 ???,qYvDv95oNZo,2023-06-20T23:26:07Z
Elden Ring Review,9ADAMB3x1K4,2023-06-14T00:07:50Z
The Little Mermaid 2023 - Review - It Sucks!,6sNOY1Bc7yc,2023-06-07T02:22:28Z
My Hero Academia - Why You NEED to Watch it!,9FbJAUgjN4E,2023-05-22T16:14:27Z
The Little Mermaid - Why it's going to Suck!,MslJA0Q4Fhk,2023-05-12T06:27:13Z
Anime vs Hollywood . . .,OTF8X2Eediw,2023-02-07T05:44:53Z
