Title,Video ID,Published At
Disney JUNK Can't Even Sell After The BIGGEST Holiday of the YEAR,W3xk_rBmrMo,2023-12-30T14:00:20Z
Hasbro Laying off THOUSANDS Over ABYSMAL Sales,-ihwkKcC4w0,2023-12-12T17:33:47Z
I Took  A Road Trip to the BIGGEST Heap of Unsellable Disney TRASH,TeJ6AVJ8Wa8,2023-12-02T14:15:01Z
Dave Filoni Gets a Promotion at Lucasfilm,HyfzPpB7e_4,2023-11-22T04:33:31Z
The Marvels BREAKS Records With HISTORIC DROP,k8aePRgFwqc,2023-11-20T16:37:15Z
The MASSIVE Disney Toy DUMP Grinds to a HALT,lOWbQpJNAFg,2023-11-18T14:15:03Z
What's NEXT For Marvel? - WCBs380,NG_SSFPeUtQ,2023-11-17T04:47:42Z
The Marvels: A FAILURE So BAD It Goes Beyond WOKE.,zpKnwRJ5suo,2023-11-15T19:09:46Z
WOKE or TERRIBLE: Why Did The Marvels FAIL?,SFKi0LeJlmc,2023-11-15T06:23:44Z
The Marvels FLOPS - NEW LOW for MCU. What’s Next?,FyCrvgG3zpI,2023-11-13T17:02:51Z
How Bad Was The Marvels? - WCBs 379,MWER9prF52w,2023-11-10T06:02:39Z
The Marvels: Expected To Flop and That's What It Needs! | Legend of Zelda Movie - w/ ScriptDoctor,Cl_HLn9jOns,2023-11-08T06:16:17Z
The Marvels SPOILS Its BIGGEST Twist to Sell LAST MINUTE Tickets,1R3DbCEmzGk,2023-11-07T18:11:09Z
Make It Lame and Rey #Shorts #starwars,D5X3M4k91AM,2023-11-06T14:09:19Z
The BIGGEST Disney Toy DUMP Yet,QlhJF74dW08,2023-11-04T13:15:02Z
South Park Panderverse Review | Marvel Gets Taken Down| Special Guests Galore WCBs377,8SWRRA41IQE,2023-11-03T04:44:21Z
The Marvel Studios IMPLOSION -  RIP to the MCU,WMVSNjC9OmQ,2023-11-02T16:48:09Z
We Were RIGHT About Kathleen Kennedy - South Park SKEWERS Star Wars,3qsUp1kpMGg,2023-10-30T16:05:30Z
Our Last Episode...Before Halloween. WCBs Spooktacular 2023!,XnhXV3zlgfw,2023-10-27T04:30:34Z
"With WDW Pro, ScriptDoctor| Star Wars REBOOT? Spider-Man 2 Drama and MORE",tG42jlbxUdw,2023-10-25T05:15:07Z
I Took A Road Trip To The MEGA Mountains of Unsold Disney JUNK,zWX6XI-kcBU,2023-10-21T13:15:03Z
Inside The Avengers Experience Las Vegas 3  #shorts #marvel #disney #lasvegas,vMLH_WNdQCg,2023-10-18T23:33:01Z
Inside The Avengers Experience Las Vegas 2  #shorts #marvel #disney #lasvegas,2hMKY22c1vc,2023-10-18T15:51:01Z
Inside The Barren Avengers Experience in Las Vegas 1  #shorts #disney #marvel,f445efIl_6I,2023-10-17T22:53:51Z
Friday the 13th Drunk Watch! Pt.6 and Freddy Vs Jason (Feat. R-Rated Show),k0CQl1HgOEg,2023-10-14T04:27:15Z
Why This Terrible Reboot Needs to Make $400M to BREAK EVEN,lPsg15reCSI,2023-10-13T15:35:05Z
"How to BURN $300M -The ""Wokesercist""| NYCC| Operating in Hard Times |Trip to Universal - WCBs 376",M_zQ0CVN6sM,2023-10-13T02:36:13Z
Everyone LOVES A Hollywood Dumpster Fire!  LIVE w/ ScriptDoctor and MORE!,4ucsiS9HTJk,2023-10-11T03:39:47Z
LIVE From Universal Halloween Horror Nights,EldVrcHXGzc,2023-10-08T05:01:55Z
The Disney Merch Can't Even Sell For Halloween.,o5zG-eeUyXo,2023-10-07T13:00:43Z
"Ahsoka Ends, Loki Begins and Schlocktober is HERE! - WCBs375",55OJzMKEIoY,2023-10-06T04:29:10Z
Ahsoka Finale LIVE Watch Party,kZU140RtEEc,2023-10-04T04:24:56Z
Is Dave Filoni’s “WOKE” Wife to BLAME For Ahsoka’s FAILURES? Fans Think So,SmZqeU3H0F4,2023-10-02T15:37:22Z
"At 70% Off, The Unsellable Disney JUNK Continues to ROT on Shelves",Q9kSN-5QEuU,2023-09-30T13:15:03Z
Fan Controlled Episode| Nolan's 007| October Preview and More,rWiE6wHXcGA,2023-09-29T04:33:56Z
Is Rachel Zegler FIRED From Snow White?,O2Ab9orCHys,2023-09-27T04:56:59Z
They FINALLY Come Clean; Wokeness KILLED Disney,7yFgp_OrY1k,2023-09-25T15:13:17Z
The REAL Cost of Ghostbusters 2016,Zto_ryA3paY,2023-09-23T13:00:27Z
Branding Russell| The Culture War is Killing Disney...According to Disney| Aquaman Loses Audience,WF9NF5rmBOU,2023-09-22T05:01:33Z
The MASSIVE Drop in Star Wars Merch That Has Disney SCARED,_oigo2xbgqw,2023-09-21T15:17:28Z
Fixing Star Wars/Rebooting Marvel - LIVE with ScriptDoctor and MasterofTDS,Et8ze2bZWb0,2023-09-20T04:43:12Z
Another Tower of Unsold Star Wars #shorts #starwars,KVaw6IFB5yU,2023-09-19T16:55:54Z
The MASSIVE Unsellable Stockpile of Disney Junk GROWS,l4k524sPoOQ,2023-09-16T13:00:39Z
"Lando: First a Show, NOW A Movie | Aquaman Trolls Amber Heard - WCBs372",cJ1Uq4KhgpM,2023-09-15T03:55:21Z
How Ahsoka DOES NOT Take Its Story Seriously,LjiGXh3jmr8,2023-09-14T15:45:01Z
The BIG Toy Stream- Feat. LaserPants (3POA) and Authority Figure,IWvdkNFfLwQ,2023-09-14T03:35:58Z
Why Ahsoka is Being Called The NEW Rise of Skywalker,mxhs9AIMUzM,2023-09-13T15:15:02Z
Is Aquaman 2 Really Canceled? The Death of Disney+ and MORE,-EtaIvRpKSs,2023-09-13T05:00:34Z
"The $1,500 Disney Box Set; And The DEATH of Disney+",PZOpUdISVQA,2023-09-12T17:54:12Z
"E371: The Rotten Tomatoes Payola Scandal, Toxic Celebs and Other Hijinks",urRG2FoyTNc,2023-09-08T04:03:21Z
How Ahsoka Has BORED Fans to TEARS,SvRLOLOgtsY,2023-09-07T20:14:33Z
LIVE With ScriptDoctor and the Legendary Tom Konkle,ORcbEcq_AUY,2023-09-06T06:00:55Z
The Starfield Pronoun Massacre: Unveiling the Secret Behind the Chaos,AzyetRUCOQs,2023-09-05T19:58:55Z
Somebody Reboot Mitch| The Many Lies of Hulk Hogan| Let's Argue!,38HKs2DO23U,2023-09-01T03:12:23Z
Lucasfilm's Ahsoka Numbers SCANDAL Exposed! Who is Telling the Truth?,FjyqXXZNTa4,2023-08-30T15:34:47Z
Live With WDWPro and Script Doctor!,QgXjzqFAn5o,2023-08-30T04:49:57Z
This Disney Junk Will FOREVER ROT on Shelves,RwFWxSrKsL4,2023-08-26T13:15:03Z
Is Rebel Moon The Next Star Wars?,dZ-i885CFJU,2023-08-25T06:02:44Z
3 MAJOR Flaws of Ahsoka,sWVonBm966g,2023-08-24T15:15:03Z
How Bad is Ahsoka? LIVE Watch Along,DjroxDRHg1o,2023-08-23T03:44:42Z
LIVE from the Con Floor,9lVHNMl941Q,2023-08-20T09:52:10Z
How Snow White Was DESTROYED In One Glorious Moment,4YdCkKBMgNE,2023-08-17T15:15:13Z
The DIRE State of Disney Financials feat. WDWPro and ScriptDoctor,W8Who8MbJm4,2023-08-16T05:20:10Z
The WACKY MESS Of The Marvels,xEze98efbcg,2023-08-14T18:59:43Z
It Keeps Getting Worse for Bud Light,lbVHD5c5lno,2023-08-12T19:15:02Z
Disney Reveals How Much Money The Closing Star Wars Hotel LOST,6jXN7HmXekc,2023-08-11T15:13:23Z
HOW BAD Did the Star Wars Hotel Fail?| Disney Plus Loses BIG| Alabama Riverboat Smackdown,vF7u7eNtcWw,2023-08-11T03:42:44Z
April O'Neil CHANGES Race AGAIN? TMNT Toy Controversy EXPLAINED (With REAL Footage),4UzCjE7n3s8,2023-08-10T16:15:00Z
Why Disney’s 100th Year Is Its WORST Year EVER,9wmTigHjkIE,2023-08-09T15:28:39Z
Gina Carano Strikes Back,7eQ2YZV7pwk,2023-08-09T05:38:45Z
Did Disney FORCE Lucasfilm to CANCEL The FAILED High Republic?,LfFKdfNyMmk,2023-08-08T15:37:54Z
How Disney Flushed ANOTHER BILLION Down The TOILET,PIL7RFKrqe4,2023-08-07T18:15:02Z
The Dark Side of Disney’s (DEI)  Initiative,QzTSM4EUHuQ,2023-08-05T15:15:02Z
Why Blue Beetle Already Destined To FAIL,6v3Ouw8pH08,2023-08-04T15:15:00Z
The End of Disney Diversity| Lizzo's Banana Game| NO Barbenheimer| Another WWE Lawsuit-WCBs367,VNM_jX_IQRk,2023-08-04T04:35:07Z
Anita Sarkeesian FINALLY Quits,FHdHQiTPAkE,2023-08-02T03:55:07Z
Good Morning Pop Culture 8-1-23,3Q95LZbYFYs,2023-08-01T15:13:07Z
The BIGGEST Disney Toy DUMP In HISTORY,kFBbnp2c1Yo,2023-07-30T13:00:35Z
Why Marvel’s Secret Invasion Ended at 10% ROTTEN,UHmlzGF0U0M,2023-07-28T18:15:05Z
WTF Is Up With Secret Invasion?| Ghostbusters: The Preview Cut and MORE,5NLAD8ph0OI,2023-07-28T03:26:42Z
Why Is There Barbie Outrage?,6HmRIO-sv2A,2023-07-26T05:38:56Z
Leaked Document Shows Acolyte Budget SKYROCKETS as Disney COLLAPSES,i8mPZK5XeOk,2023-07-24T15:10:34Z
The Barbie Movie is TRASH,MnJCbuVWeBI,2023-07-23T13:00:24Z
Is SDCC Better Without Hollywood?| The Dark Knight 15 years Later,6iUsjgT3zx4,2023-07-21T05:15:32Z
NO War in Star Wars? | SAFE For Black Nerds?,hcyAwwZc2Ws,2023-07-19T15:15:04Z
The High Council (7/18/23),xi-yRs5q6-k,2023-07-19T04:31:54Z
Snow White and the Anti-Conservative Narrative,wEu0WpG54Hc,2023-07-17T18:15:04Z
This PROVES Lucasfilm NEVER Believed in the Dial of Destiny,3OOooL3vkTQ,2023-07-17T15:15:00Z
"Bob Iger is BS| LESS Marvel and Star Wars, Please. Mission Impossible - WCBs364",kzvSJ6MRubA,2023-07-14T04:23:14Z
Why Disney is CUTTING Back BIG on Star Wars and Marvel,K9dOvlADDUo,2023-07-13T18:07:57Z
Why Can't Hollywood Create New Characters?/ Fixing Indiana Jones- w/ Larry Correia and MORE,z6rSofjINZ4,2023-07-13T02:33:22Z
How Ahsoka Expands The LARGEST SCHISM in the Star Wars Franchise,mJhIg91U3jI,2023-07-12T16:10:18Z
How Star Wars: The High Republic DIED feat. Upstream Writers and ScriptDoctor!,FQtca4U-aDs,2023-07-12T04:35:42Z
How Is Mission: Impossible Dead Reckoning? (Spoiler Free Review),l116_1YrQLc,2023-07-10T18:15:03Z
How Star Wars LOST 95% of Readers in RECORD Time,uXoqocwJbgA,2023-07-10T15:15:02Z
The CRUMBLING Remains of The Disney Empire ROTS on Shelves,HJMBKeRBZM0,2023-07-08T14:33:43Z
The Dial of Disappointment Cost Way MORE Than Reported and it Just FLOPPED,I0GNST_4aw8,2023-07-03T16:34:01Z
AEW Fight Forever is broken #shorts,LP9U9_o_CCY,2023-07-01T23:25:04Z
The ROTTING Corpse of Disney's DEAD Brands,-2gJhsx2QU8,2023-07-01T13:15:00Z
How Was The NEW Indiana Jones Film?,UGMGNmF18VE,2023-06-30T04:48:03Z
Why The NEW Star Wars DITCHED The Lucas Era,ZDMA3xG2zsQ,2023-06-28T18:15:02Z
Why Fans Are LIVID Over Star Wars: The Acolyte,JY7szjxkTwU,2023-06-28T15:15:01Z
Meet The New Superman,b-WXlouGIJ8,2023-06-28T04:19:46Z
"Things Are So BAD For Indy 5, Disney is GIVING Away FREE Tickets",Fmtx0Li_6N4,2023-06-26T18:15:01Z
How The Flash BROKE Records to Become DC’s Biggest FAILURE,tndDVvNzYMI,2023-06-26T15:14:19Z
Jackson Calls Marvel Fans Incels | Secret Invasion Stinks| Disney Drops DOWN WCBs362,Bsoafw5difE,2023-06-22T04:29:18Z
The WORTHLESS Remains of Disney TRASH at Retail,RGNHxw-sSXY,2023-06-21T15:49:47Z
LIVE with WDW Pro and Script Doctor!,gQ0wTmf-9NQ,2023-06-21T04:27:38Z
How A BILLION Dollar Industry Was WASTED - The Superhero Craze is DEAD,gcvqBGI5Kv4,2023-06-20T15:15:04Z
The Flash: Good or Nostalgia Bait?| Unmade Batman Films- WCBs361,Oe98JHgAITk,2023-06-16T04:47:47Z
Unwanted Star Wars Films: The Disney Deluge Continues,3ywB-o-p06I,2023-06-14T15:15:00Z
Yet ANOTHER Star Wars Film Announced| Countdown to The Flash,EykwCZYT9gY,2023-06-14T03:44:03Z
NEW Tell-All Book EXPOSES The Dark Side of Lucasfilm’s Star Wars BLUNDERS,m-mkpQUl-Lo,2023-06-12T15:36:03Z
Is George Lucas Buying BACK Star Wars From Disney?,P1c2OZhIVtQ,2023-06-09T15:38:40Z
George Lucas Buying Back Star Wars? - WCBs360,I7xFx2DE2Sk,2023-06-09T03:46:34Z
The Ugly Side of Marvel #shorts,CNYKFHUWRvE,2023-06-08T19:19:30Z
Why Fans Have ALREADY Given Up on The Marvels,6lL_UNwiH9U,2023-06-08T15:18:04Z
Indiana Jones and the COSTLY Adventure - Why It Takes Almost a BILLION Dollars to BREAK EVEN,VVvhXWOUWBI,2023-06-07T18:15:02Z
The ROTTING Remains of Disney's WORTHLESS Merchandise,rOEj-yjC7Hc,2023-06-07T15:15:06Z
"Lucasfilm NIGHTMARE, Spider-Man Musings and MORE. Ft. ScriptDoctor",6jqD8oIiY-Y,2023-06-07T04:04:33Z
Why Mark Hamill Officially QUIT Star Wars,s2goaY47ocU,2023-06-05T19:37:44Z
The Lucasfilm Debacle: Why the Media Has Turned its Back on Indiana Jones and Star Wars,ixW_wJSB63o,2023-06-05T15:55:53Z
Trolling a Pro Wrestler #shorts,ogFaO9A8Ves,2023-06-04T01:44:18Z
How Changing History Could Cost Netflix BILLIONS,uYdeJE0RGWo,2023-06-02T17:06:39Z
Another WOKE FAIL DEAD in the Water,-90Z49MmTmo,2023-06-01T16:42:15Z
