Title,Video ID,Published At
Hollywood will LOSE another BILLION dollars in 2024! Woke movies have SHRUNK box office!,BDPXXMwMuNk,2023-12-29T21:03:37Z
Everyone hates Disney Star Wars,UiNYhLXqYAg,2023-12-29T20:31:02Z
Crunchyroll director SLAMS fans criticizing Anime & Manga localizers! Says only VIRGINS hate them!,qmrsfg7YxPg,2023-12-29T18:15:51Z
GET F-KED! Former Star Wars actor gives Kathleen Kennedy's Lucasfilm the FINGER!,moTd-Rq0oGo,2023-12-29T16:18:28Z
AZ was right about Starfield,GfRQmR2JSuY,2023-12-28T21:42:22Z
LIARS! Asmongold DESTROYS woke Anime & Manga localizers! SHOCKED at how Japanese media is treated!,9wQedCAMWS8,2023-12-28T20:55:52Z
Doctor Who creators claim content is NOT woke! BBC says they're actually neutral politically!,CLrC-Xod3Tg,2023-12-28T18:09:04Z
Girl Power Spider-Man spin-off set to LOSE millions! Sony DESPERATELY calls Madame Web movie of 2024,Poj2nx8UZYw,2023-12-28T16:04:02Z
Disney F**KED Doctor Who fans! ATTACKS them for REJECTING Christmas Special!,WKQAvx8JN5k,2023-12-27T20:50:59Z
FIRED! Woke translators PANIC as Anime & Manga publishers switch to AI! Japanese entertainment WIN!,4244La8iXPY,2023-12-27T17:46:31Z
Woke Anime localizers are mad AI replaced them,t2gJZ8hs80o,2023-12-27T16:11:15Z
Disney's DEATH BED?! Woke media tries to hype 2024 releases to SAVE dying Hollywood giant!,c1jo_S4Wa4M,2023-12-27T16:02:05Z
GTA single player gamers were F-KED,vOppoZwkCSU,2023-12-26T19:09:37Z
New Doctor Who Christmas debut is WORST in shows history! Fans DITCH Disney & BBC disaster!,Z42_gsBGlvQ,2023-12-26T19:02:20Z
Aquaman 2 gets FLUSHED down the toilet! Hollywood box office hits RECORD Christmas box office LOWS!,amO8FHmjJ8M,2023-12-26T17:21:43Z
Disney SLAMMED with lawsuit over SH*T Willow show! It RUINED this actors ability work!,OaJJBf8Co4s,2023-12-26T15:59:56Z
Wolverine leakers are Public Enemy #1,T8GlmxGzfZg,2023-12-22T21:20:48Z
Warner turns Poison Ivy into Greta Thunberg! Rocksteady's Suicide Game is pure CRINGE!,yZBzHs0qr3g,2023-12-22T21:15:37Z
Team Amber Heard RAGES as Aquaman 2 FAILS worse than The Marvels! Claim she could have SAVED movie!,mmSCMnj_43k,2023-12-22T19:10:15Z
"Disney ADMITS going woke KILLED their box office! Marvel, Star Wars, and Pixar are F-KED!",kSOT1vDvdvw,2023-12-22T16:28:16Z
Almost a MILLION fans dump Doctor Who! New ratings for 2023 specials are WORSE than we thought!,2_HvtdheLPY,2023-12-21T21:00:11Z
GTA Hacker Gets LIFE in Prison,_yGJ-3V3NB4,2023-12-21T20:05:53Z
Aquaman 2 DISASTER! Empty theaters HAUNT Warner and the DCU! Heard's performance MOCKED by critics!,q4HxDhyBF_k,2023-12-21T19:09:22Z
Marvel fast tracks Young Avengers movie!? Disney thinks more CRINGE like The Marvels can save them?,y3Dxgz5IOiA,2023-12-21T16:27:02Z
BREAKING! Hollywood SHRINKS! Warner Bros in talks to merge with Paramount!!,_zlLdMSTQ1I,2023-12-20T22:00:08Z
Gundam creator says Disney movies are BORING and SAD! Hollywood is coming for Japan!,CT-MUELbdsA,2023-12-20T20:58:32Z
