Channel1,Channel2,Weight
shadiversity,NolanverseCC,1
shadiversity,GeorgeTheGiantSlayer,1
shadiversity,theshadlands1142,1
shadiversity,ParkHoppin,1
shadiversity,OMBReviews,1
shadiversity,hawttoys,1
shadiversity,GeeksandGamers,1
shadiversity,nerdrotic,1
shadiversity,TheCriglerShow,1
shadiversity,HeelvsBabyface,1
shadiversity,JayneTheory,1
shadiversity,patriotoutpost248,1
shadiversity,CallMeChato,1
shadiversity,FreedomToons,1
shadiversity,FilmThreat,1
shadiversity,bennyjohnson,1
shadiversity,xraygirllive8493,1
shadiversity,rkoutpostshorts8795,1
shadiversity,gngpourchoices,1
shadiversity,Dixonverse,1
shadiversity,ThePodcastoftheLotusEaters,1
shadiversity,ItsAGundam,1
shadiversity,geeksandgamersclips,1
shadiversity,JLongbone,1
shadiversity,TheRageaholic,1
shadiversity,TheBabylonBee,1
shadiversity,TyroneMagnus,1
shadiversity,LadyGravemaster,1
shadiversity,youngrippa59,1
shadiversity,PopCultureCrisis,1
shadiversity,RussellBrand,1
shadiversity,MichaelKnowles,1
shadiversity,DrDisRespect,1
shadiversity,DrewHernandezMedia,1
shadiversity,NerdroticLive,1
shadiversity,jschlattLIVE,1
shadiversity,geeksandgamersplay,1
shadiversity,geeksandgamerslife,1
shadiversity,TheQuartering,1
shadiversity,PierryChan,1
shadiversity,rkoutpostgaming8112,1
shadiversity,EchoChamberlain,1
shadiversity,TimcastIRL,1
shadiversity,BrittanyVenti,1
shadiversity,QTRBlackGarrett,1
shadiversity,Metalheadspartan,1
shadiversity,MarcTheCyborg,1
shadiversity,RealReaper,1
shadiversity,disparutoo,1
shadiversity,Nerdrotic3,1
shadiversity,NinaInfinity,1
shadiversity,NerdroticDaily,1
shadiversity,ComicArtistProSecrets,1
shadiversity,StevenCrowder,1
shadiversity,PrimeTimeAlexStein,1
shadiversity,YellowFlashProductions,1
shadiversity,CultureCasino,1
shadiversity,NormalWorld,1
shadiversity,EveryFrameAPause,1
shadiversity,VALUETAINMENT,1
shadiversity,penguinz0,1
shadiversity,jondelarroz,1
shadiversity,MauLerYT,1
